,ticker,quarter,year,pte,ptb,roe,roa,epsChange,bookValuePerShareChange,payableOnEquity,equityOnAsset,potentialScore,riskScore,potential
0,BID,4,2022,0.12103746397694522,0.2564102564102565,0.199,0.009,0.121,0.033,0.4400000000000001,0.049,0.7639297178160799,0.23607028218392,1.0
1,BID,3,2022,0.06051873198847261,0.12820512820512822,0.181,0.009,0.249,0.075,0.4400000000000001,0.049,0.7365161422974369,0.26348385770256316,1.0
2,BID,2,2022,0.12968299711815562,0.15384615384615388,0.151,0.007,0.13,0.045,0.5466666666666669,0.047,0.7934218608610064,0.20657813913899362,1.0
3,BID,1,2022,0.3054755043227666,0.3076923076923077,0.139,0.007,0.087,0.04,0.4800000000000002,0.049,0.8339419551484988,0.1660580448515012,1.0
4,BID,4,2021,0.2680115273775216,0.2564102564102565,0.132,0.006,0.058,0.004,0.45333333333333314,0.049,0.8443047048801153,0.15569529511988459,1.0
5,BID,3,2021,0.21037463976945245,0.15384615384615388,0.124,0.006,-0.006,0.017,0.34666666666666685,0.051,0.780703566380135,0.21929643361986498,1.0
6,BID,2,2021,0.2968299711815562,0.2564102564102565,0.127,0.007,0.2,0.028,0.3199999999999998,0.051,0.834401074207737,0.16559892579226296,1.0
7,BID,1,2021,0.34582132564841495,0.23076923076923084,0.108,0.006,0.174,0.031,0.25333333333333313,0.053,0.8352641114064031,0.16473588859359697,1.0
8,BID,4,2020,0.5302593659942362,0.3076923076923077,0.094,0.005,-0.159,-0.02,0.26666666666666666,0.053,0.8775076527031505,0.12249234729684946,1.0
9,BID,3,2020,0.2997118155619596,0.20512820512820518,0.126,0.006,0.036,0.023,0.13333333333333333,0.055,0.76249001505827,0.23750998494173006,1.0
10,BID,2,2020,0.2795389048991354,0.1794871794871795,0.125,0.006,0.034,0.005,0.1599999999999999,0.055,0.7737036763041812,0.22629632369581884,1.0
11,BID,1,2020,0.19596541786743515,0.07692307692307694,0.122,0.006,-0.066,0.019,0.1599999999999999,0.055,0.6449216290190846,0.35507837098091544,1.0
12,BID,4,2019,1.0,0.8974358974358976,0.134,0.006,0.177,0.31,0.2933333333333332,0.052,0.825073042592543,0.1749269574074571,1.0
13,BID,3,2019,0.9654178674351584,1.0,0.135,0.005,0.009,0.032,0.9333333333333333,0.042,0.9314487330228883,0.06855126697711174,1.0
14,BID,2,2019,0.7348703170028817,0.7692307692307694,0.137,0.005,-0.027,0.015,0.9733333333333334,0.041,0.9252388510974069,0.07476114890259308,1.0
15,BID,1,2019,0.8328530259365993,0.9487179487179489,0.145,0.006,-0.206,-0.176,0.8933333333333332,0.042,0.9931614423188477,0.0068385576811522564,1.0
16,BID,4,2018,0.270893371757925,0.3076923076923077,0.151,0.006,-0.116,0.018,0.9333333333333333,0.042,0.8654613168546492,0.13453868314535067,1.0
17,BID,3,2018,0.22190201729106623,0.33333333333333337,0.177,0.007,0.031,0.01,0.8800000000000002,0.042,0.8613587716214257,0.13864122837857434,1.0
18,BID,2,2018,0.10951008645533142,0.1794871794871795,0.17,0.007,0.145,0.047,0.9066666666666667,0.042,0.834439552291422,0.16556044770857797,1.0
19,BID,1,2018,0.4322766570605187,0.5384615384615384,0.153,0.006,0.022,0.037,0.9599999999999999,0.041,0.8917678832635529,0.10823211673644698,1.0
20,BID,4,2017,0.16138328530259363,0.20512820512820518,0.156,0.006,0.198,0.053,1.0,0.041,0.8593801789521135,0.14061982104788645,1.0
21,BID,3,2017,0.12968299711815562,0.10256410256410262,0.13,0.006,-0.074,-0.033,0.9599999999999999,0.041,0.8859177414341068,0.11408225856589309,1.0
22,BID,2,2017,0.10662824207492792,0.10256410256410262,0.141,0.006,-0.016,0.052,0.7733333333333334,0.044,0.799094798543374,0.20090520145662608,1.0
23,BID,1,2017,0.05187319884726226,0.05128205128205128,0.146,0.007,0.027,0.035,0.7199999999999999,0.045,0.7848877157986511,0.21511228420134887,1.0
24,BID,4,2016,0.0,0.0,0.147,0.007,-0.043,-0.037,0.7733333333333334,0.044,0.8193717277486912,0.18062827225130887,1.0
25,BID,3,2016,0.023054755043227685,0.025641025641025668,0.153,0.007,-0.007,0.034,0.49333333333333323,0.048,0.6885573582323676,0.31144264176763237,1.0
26,BID,2,2016,0.02881844380403458,0.05128205128205128,0.166,0.008,0.062,0.015,0.5199999999999998,0.048,0.7364032148849967,0.2635967851150033,1.0
27,BID,1,2016,0.03170028818443803,0.025641025641025668,0.158,0.008,-0.031,0.069,0.34666666666666685,0.051,0.5660143602715973,0.43398563972840276,1.0
28,BID,4,2015,0.08645533141210374,0.15384615384615388,0.17,0.008,0.062,0.031,0.49333333333333323,0.048,0.7558507514088676,0.24414924859113254,1.0
29,BID,3,2015,0.16138328530259363,0.23076923076923084,0.165,0.009,0.079,0.126,0.3733333333333334,0.05,0.7069869013732589,0.29301309862674096,1.0
30,BID,2,2015,0.1440922190201729,0.23076923076923084,0.161,0.008,0.042,0.01,0.4800000000000002,0.049,0.7973083706951767,0.20269162930482337,1.0
31,BID,1,2015,0.06051873198847261,0.10256410256410262,0.154,0.009,0.064,0.046,0.26666666666666666,0.053,0.6533242832746585,0.3466757167253415,1.0
32,CTG,4,2022,0.14583333333333337,0.3846153846153846,0.169,0.01,0.086,0.021,0.5454545454545454,0.06,,,1.0
33,CTG,3,2022,0.06250000000000006,0.23076923076923078,0.155,0.01,0.06,0.032,0.5289256198347108,0.061,,,1.0
34,CTG,2,2022,0.20833333333333334,0.3076923076923076,0.151,0.009,0.195,0.046,0.5289256198347108,0.061,,,1.0
35,CTG,1,2022,0.6354166666666666,0.6153846153846154,0.13,0.008,-0.128,0.05,0.5619834710743803,0.059,,,1.0
36,CTG,4,2021,0.5208333333333334,0.6923076923076922,0.159,0.01,-0.147,-0.02,0.5206611570247934,0.061,,,1.0
37,CTG,3,2021,0.20833333333333334,0.5384615384615384,0.186,0.012,0.008,0.025,0.4132231404958678,0.066,,,1.0
38,CTG,2,2021,0.53125,1.0,0.19,0.012,-0.075,0.015,0.47107438016528935,0.063,,,1.0
39,CTG,1,2021,0.16666666666666663,0.6153846153846154,0.209,0.014,0.296,0.075,0.37190082644628103,0.068,,,1.0
40,CTG,4,2020,0.2708333333333333,0.5384615384615384,0.169,0.011,0.246,0.025,0.46280991735537186,0.064,,,1.0
41,CTG,3,2020,0.21874999999999997,0.23076923076923078,0.14,0.009,-0.016,0.028,0.4132231404958678,0.066,0.8171464918241333,0.1828535081758666,1.0
42,CTG,2,2020,0.031250000000000076,0.1538461538461538,0.146,0.009,0.193,0.028,0.4297520661157026,0.065,0.7737228861686739,0.22627711383132615,1.0
43,CTG,1,2020,0.0,0.0,0.126,0.008,-0.012,0.019,0.44628099173553726,0.064,0.8228210779374749,0.17717892206252497,1.0
44,CTG,4,2019,0.15625,0.1538461538461538,0.131,0.008,0.584,0.033,0.487603305785124,0.062,0.8721389639294183,0.12786103607058166,1.0
45,CTG,3,2019,0.6666666666666667,0.1538461538461538,0.083,0.005,0.12,0.033,0.49586776859504134,0.062,0.883125698518223,0.11687430148177709,1.0
46,CTG,2,2019,0.7083333333333335,0.1538461538461538,0.076,0.005,-0.008,0.034,0.5123966942148761,0.061,0.8016496724390997,0.19835032756090026,1.0
47,CTG,1,2019,0.9062500000000001,0.3076923076923076,0.079,0.005,0.019,0.039,0.5206611570247934,0.061,0.8731495911901119,0.1268504088098882,1.0
48,CTG,4,2018,0.7083333333333335,0.23076923076923078,0.081,0.005,-0.314,-0.035,0.5950413223140497,0.058,0.79845283458339,0.20154716541660994,1.0
49,CTG,3,2018,0.6875,0.4615384615384614,0.117,0.007,-0.01,0.028,0.553719008264463,0.06,0.8494772093762294,0.15052279062377072,1.0
50,CTG,2,2018,0.5104166666666667,0.3846153846153846,0.122,0.007,-0.008,0.028,0.553719008264463,0.06,0.7770115153750535,0.22298848462494633,1.0
51,CTG,1,2018,1.0,0.846153846153846,0.126,0.007,0.053,0.039,0.553719008264463,0.059,0.7651177552688784,0.23488224473112174,1.0
52,CTG,4,2017,0.5625000000000001,0.4615384615384614,0.118,0.007,0.002,0.023,0.5867768595041322,0.058,0.6668104815684285,0.3331895184315716,1.0
53,CTG,3,2017,0.2708333333333333,0.23076923076923078,0.121,0.008,0.024,0.032,0.5785123966942151,0.059,0.8551710848170974,0.1448289151829027,1.0
54,CTG,2,2017,0.3437500000000001,0.3076923076923076,0.121,0.008,0.056,0.032,0.5867768595041322,0.058,0.8869938288559966,0.11300617114400334,1.0
55,CTG,1,2017,0.2812500000000001,0.23076923076923078,0.118,0.008,0.017,-0.072,0.5619834710743803,0.059,0.8859051487227618,0.11409485127723826,1.0
