,Date,Close,roe,roa,earningPerShare,bookValuePerShare,assetOnEquity,payableOnEquity
0,2012-01-03,6994.0,0.259,0.017,1415.0,6243.0,13.6,12.6
1,2012-01-04,7323.0,0.259,0.017,1415.0,6243.0,13.6,12.6
2,2012-01-05,7282.0,0.259,0.017,1415.0,6243.0,13.6,12.6
3,2012-01-06,7405.0,0.259,0.017,1415.0,6243.0,13.6,12.6
4,2012-01-09,7447.0,0.259,0.017,1415.0,6243.0,13.6,12.6
5,2012-01-10,7693.0,0.259,0.017,1415.0,6243.0,13.6,12.6
6,2012-01-11,7693.0,0.259,0.017,1415.0,6243.0,13.6,12.6
7,2012-01-12,8064.0,0.259,0.017,1415.0,6243.0,13.6,12.6
8,2012-01-13,8434.0,0.259,0.017,1415.0,6243.0,13.6,12.6
9,2012-01-16,8475.0,0.259,0.017,1415.0,6243.0,13.6,12.6
10,2012-01-17,8887.0,0.259,0.017,1415.0,6243.0,13.6,12.6
11,2012-01-18,9051.0,0.259,0.017,1415.0,6243.0,13.6,12.6
12,2012-01-19,9504.0,0.259,0.017,1415.0,6243.0,13.6,12.6
13,2012-01-20,9463.0,0.259,0.017,1415.0,6243.0,13.6,12.6
14,2012-01-30,9750.0,0.259,0.017,1415.0,6243.0,13.6,12.6
15,2012-01-31,9463.0,0.259,0.017,1415.0,6243.0,13.6,12.6
16,2012-02-01,9586.0,0.259,0.017,1415.0,6243.0,13.6,12.6
17,2012-02-02,10038.0,0.259,0.017,1415.0,6243.0,13.6,12.6
18,2012-02-03,10038.0,0.259,0.017,1415.0,6243.0,13.6,12.6
19,2012-02-06,9545.0,0.259,0.017,1415.0,6243.0,13.6,12.6
20,2012-02-07,9997.0,0.259,0.017,1415.0,6243.0,13.6,12.6
21,2012-02-08,10244.0,0.259,0.017,1415.0,6243.0,13.6,12.6
22,2012-02-09,10203.0,0.259,0.017,1415.0,6243.0,13.6,12.6
23,2012-02-10,9874.0,0.259,0.017,1415.0,6243.0,13.6,12.6
24,2012-02-13,9380.0,0.259,0.017,1415.0,6243.0,13.6,12.6
25,2012-02-14,9668.0,0.259,0.017,1415.0,6243.0,13.6,12.6
26,2012-02-15,9421.0,0.259,0.017,1415.0,6243.0,13.6,12.6
27,2012-02-16,9463.0,0.259,0.017,1415.0,6243.0,13.6,12.6
28,2012-02-17,9627.0,0.259,0.017,1415.0,6243.0,13.6,12.6
29,2012-02-20,10080.0,0.259,0.017,1415.0,6243.0,13.6,12.6
30,2012-02-21,10121.0,0.259,0.017,1415.0,6243.0,13.6,12.6
31,2012-02-22,10285.0,0.259,0.017,1415.0,6243.0,13.6,12.6
32,2012-02-23,10368.0,0.259,0.017,1415.0,6243.0,13.6,12.6
33,2012-02-24,10162.0,0.259,0.017,1415.0,6243.0,13.6,12.6
34,2012-02-27,10368.0,0.259,0.017,1415.0,6243.0,13.6,12.6
35,2012-02-28,10326.0,0.259,0.017,1415.0,6243.0,13.6,12.6
36,2012-02-29,9956.0,0.259,0.017,1415.0,6243.0,13.6,12.6
37,2012-03-01,10409.0,0.259,0.017,1415.0,6243.0,13.6,12.6
38,2012-03-02,10779.0,0.259,0.017,1415.0,6243.0,13.6,12.6
39,2012-03-05,11314.0,0.259,0.017,1415.0,6243.0,13.6,12.6
40,2012-03-06,11190.0,0.259,0.017,1415.0,6243.0,13.6,12.6
41,2012-03-07,11190.0,0.259,0.017,1415.0,6243.0,13.6,12.6
42,2012-03-08,10656.0,0.259,0.017,1415.0,6243.0,13.6,12.6
43,2012-03-09,10491.0,0.259,0.017,1415.0,6243.0,13.6,12.6
44,2012-03-12,9997.0,0.259,0.017,1415.0,6243.0,13.6,12.6
45,2012-03-13,10162.0,0.259,0.017,1415.0,6243.0,13.6,12.6
46,2012-03-14,10285.0,0.259,0.017,1415.0,6243.0,13.6,12.6
47,2012-03-15,10614.0,0.259,0.017,1415.0,6243.0,13.6,12.6
48,2012-03-16,10121.0,0.259,0.017,1415.0,6243.0,13.6,12.6
49,2012-03-19,10326.0,0.259,0.017,1415.0,6243.0,13.6,12.6
50,2012-03-20,10532.0,0.259,0.017,1415.0,6243.0,13.6,12.6
