,Date,Close,roe,roa,earningPerShare,bookValuePerShare,assetOnEquity,payableOnEquity
0,2018-07-02,29297.0,0.254,0.032,2496.0,14093.0,6.3,5.3
1,2018-07-03,27264.0,0.254,0.032,2496.0,14093.0,6.3,5.3
2,2018-07-04,26997.0,0.254,0.032,2496.0,14093.0,6.3,5.3
3,2018-07-05,28150.0,0.254,0.032,2496.0,14093.0,6.3,5.3
4,2018-07-06,28800.0,0.254,0.032,2496.0,14093.0,6.3,5.3
5,2018-07-09,28500.0,0.254,0.032,2496.0,14093.0,6.3,5.3
6,2018-07-10,27650.0,0.254,0.032,2496.0,14093.0,6.3,5.3
7,2018-07-11,25750.0,0.254,0.032,2496.0,14093.0,6.3,5.3
8,2018-07-12,26000.0,0.254,0.032,2496.0,14093.0,6.3,5.3
9,2018-07-13,26200.0,0.254,0.032,2496.0,14093.0,6.3,5.3
10,2018-07-16,26200.0,0.254,0.032,2496.0,14093.0,6.3,5.3
11,2018-07-17,27100.0,0.254,0.032,2496.0,14093.0,6.3,5.3
12,2018-07-18,27950.0,0.254,0.032,2496.0,14093.0,6.3,5.3
13,2018-07-19,27900.0,0.254,0.032,2496.0,14093.0,6.3,5.3
14,2018-07-20,27900.0,0.254,0.032,2496.0,14093.0,6.3,5.3
15,2018-07-23,26600.0,0.254,0.032,2496.0,14093.0,6.3,5.3
16,2018-07-24,26400.0,0.254,0.032,2496.0,14093.0,6.3,5.3
17,2018-07-25,26750.0,0.254,0.032,2496.0,14093.0,6.3,5.3
18,2018-07-26,25800.0,0.254,0.032,2496.0,14093.0,6.3,5.3
19,2018-07-27,25950.0,0.254,0.032,2496.0,14093.0,6.3,5.3
20,2018-07-30,26100.0,0.254,0.032,2496.0,14093.0,6.3,5.3
21,2018-07-31,27800.0,0.254,0.032,2496.0,14093.0,6.3,5.3
22,2018-08-01,27550.0,0.254,0.032,2496.0,14093.0,6.3,5.3
23,2018-08-02,28500.0,0.254,0.032,2496.0,14093.0,6.3,5.3
24,2018-08-03,28350.0,0.254,0.032,2496.0,14093.0,6.3,5.3
25,2018-08-06,28000.0,0.254,0.032,2496.0,14093.0,6.3,5.3
26,2018-08-07,27950.0,0.254,0.032,2496.0,14093.0,6.3,5.3
27,2018-08-08,27750.0,0.254,0.032,2496.0,14093.0,6.3,5.3
28,2018-08-09,27400.0,0.254,0.032,2496.0,14093.0,6.3,5.3
29,2018-08-10,27200.0,0.254,0.032,2496.0,14093.0,6.3,5.3
30,2018-08-13,27450.0,0.254,0.032,2496.0,14093.0,6.3,5.3
31,2018-08-14,27200.0,0.254,0.032,2496.0,14093.0,6.3,5.3
32,2018-08-15,26500.0,0.254,0.032,2496.0,14093.0,6.3,5.3
33,2018-08-16,26500.0,0.254,0.032,2496.0,14093.0,6.3,5.3
34,2018-08-17,26500.0,0.254,0.032,2496.0,14093.0,6.3,5.3
35,2018-08-20,26500.0,0.254,0.032,2496.0,14093.0,6.3,5.3
36,2018-08-21,26500.0,0.254,0.032,2496.0,14093.0,6.3,5.3
37,2018-08-22,26650.0,0.254,0.032,2496.0,14093.0,6.3,5.3
38,2018-08-23,26750.0,0.254,0.032,2496.0,14093.0,6.3,5.3
39,2018-08-24,26600.0,0.254,0.032,2496.0,14093.0,6.3,5.3
40,2018-08-27,26500.0,0.254,0.032,2496.0,14093.0,6.3,5.3
41,2018-08-28,26250.0,0.254,0.032,2496.0,14093.0,6.3,5.3
42,2018-08-29,26150.0,0.254,0.032,2496.0,14093.0,6.3,5.3
43,2018-08-30,26300.0,0.254,0.032,2496.0,14093.0,6.3,5.3
44,2018-08-31,26300.0,0.254,0.032,2496.0,14093.0,6.3,5.3
45,2018-09-04,26100.0,0.254,0.032,2496.0,14093.0,6.3,5.3
46,2018-09-05,25800.0,0.254,0.032,2496.0,14093.0,6.3,5.3
47,2018-09-06,24800.0,0.254,0.032,2496.0,14093.0,6.3,5.3
48,2018-09-07,25250.0,0.254,0.032,2496.0,14093.0,6.3,5.3
49,2018-09-10,25500.0,0.254,0.032,2496.0,14093.0,6.3,5.3
50,2018-09-11,25400.0,0.254,0.032,2496.0,14093.0,6.3,5.3
51,2018-09-12,25000.0,0.254,0.032,2496.0,14093.0,6.3,5.3
52,2018-09-13,25200.0,0.254,0.032,2496.0,14093.0,6.3,5.3
53,2018-09-14,25250.0,0.254,0.032,2496.0,14093.0,6.3,5.3
54,2018-09-17,26050.0,0.254,0.032,2496.0,14093.0,6.3,5.3
55,2018-09-18,26150.0,0.254,0.032,2496.0,14093.0,6.3,5.3
56,2018-09-19,26600.0,0.254,0.032,2496.0,14093.0,6.3,5.3
57,2018-09-20,28000.0,0.254,0.032,2496.0,14093.0,6.3,5.3
58,2018-09-21,28300.0,0.254,0.032,2496.0,14093.0,6.3,5.3
59,2018-09-24,28100.0,0.254,0.032,2496.0,14093.0,6.3,5.3
60,2018-09-25,28000.0,0.254,0.032,2496.0,14093.0,6.3,5.3
61,2018-09-26,28900.0,0.254,0.032,2496.0,14093.0,6.3,5.3
62,2018-09-27,29400.0,0.254,0.032,2496.0,14093.0,6.3,5.3
63,2018-09-28,29150.0,0.254,0.032,2496.0,14093.0,6.3,5.3
64,2018-10-01,28650.0,0.215,0.029,2410.0,14749.0,6.2,5.2
65,2018-10-02,29100.0,0.215,0.029,2410.0,14749.0,6.2,5.2
66,2018-10-03,29350.0,0.215,0.029,2410.0,14749.0,6.2,5.2
67,2018-10-04,30200.0,0.215,0.029,2410.0,14749.0,6.2,5.2
68,2018-10-05,29800.0,0.215,0.029,2410.0,14749.0,6.2,5.2
69,2018-10-08,29350.0,0.215,0.029,2410.0,14749.0,6.2,5.2
70,2018-10-09,29750.0,0.215,0.029,2410.0,14749.0,6.2,5.2
71,2018-10-10,29700.0,0.215,0.029,2410.0,14749.0,6.2,5.2
72,2018-10-11,27850.0,0.215,0.029,2410.0,14749.0,6.2,5.2
73,2018-10-12,28700.0,0.215,0.029,2410.0,14749.0,6.2,5.2
74,2018-10-15,28200.0,0.215,0.029,2410.0,14749.0,6.2,5.2
75,2018-10-16,28700.0,0.215,0.029,2410.0,14749.0,6.2,5.2
76,2018-10-17,29100.0,0.215,0.029,2410.0,14749.0,6.2,5.2
77,2018-10-18,28900.0,0.215,0.029,2410.0,14749.0,6.2,5.2
78,2018-10-19,29000.0,0.215,0.029,2410.0,14749.0,6.2,5.2
79,2018-10-22,28800.0,0.215,0.029,2410.0,14749.0,6.2,5.2
80,2018-10-23,27800.0,0.215,0.029,2410.0,14749.0,6.2,5.2
