,Date,Close,roe,roa,earningPerShare,bookValuePerShare,assetOnEquity,payableOnEquity
0,2012-01-03,8383.0,0.121,0.012,1112.0,11228.0,8.6,7.6
1,2012-01-04,8182.0,0.121,0.012,1112.0,11228.0,8.6,7.6
2,2012-01-05,8141.0,0.121,0.012,1112.0,11228.0,8.6,7.6
3,2012-01-06,7980.0,0.121,0.012,1112.0,11228.0,8.6,7.6
4,2012-01-09,8222.0,0.121,0.012,1112.0,11228.0,8.6,7.6
5,2012-01-10,8302.0,0.121,0.012,1112.0,11228.0,8.6,7.6
6,2012-01-11,8302.0,0.121,0.012,1112.0,11228.0,8.6,7.6
7,2012-01-12,8464.0,0.121,0.012,1112.0,11228.0,8.6,7.6
8,2012-01-13,8504.0,0.121,0.012,1112.0,11228.0,8.6,7.6
9,2012-01-16,8665.0,0.121,0.012,1112.0,11228.0,8.6,7.6
10,2012-01-17,8625.0,0.121,0.012,1112.0,11228.0,8.6,7.6
11,2012-01-18,8746.0,0.121,0.012,1112.0,11228.0,8.6,7.6
12,2012-01-19,9149.0,0.121,0.012,1112.0,11228.0,8.6,7.6
13,2012-01-20,9310.0,0.121,0.012,1112.0,11228.0,8.6,7.6
14,2012-01-30,9753.0,0.121,0.012,1112.0,11228.0,8.6,7.6
15,2012-01-31,9834.0,0.121,0.012,1112.0,11228.0,8.6,7.6
16,2012-02-01,9592.0,0.121,0.012,1112.0,11228.0,8.6,7.6
17,2012-02-02,10036.0,0.121,0.012,1112.0,11228.0,8.6,7.6
18,2012-02-03,9874.0,0.121,0.012,1112.0,11228.0,8.6,7.6
19,2012-02-06,9794.0,0.121,0.012,1112.0,11228.0,8.6,7.6
20,2012-02-07,9874.0,0.121,0.012,1112.0,11228.0,8.6,7.6
21,2012-02-08,10277.0,0.121,0.012,1112.0,11228.0,8.6,7.6
22,2012-02-09,10156.0,0.121,0.012,1112.0,11228.0,8.6,7.6
23,2012-02-10,9915.0,0.121,0.012,1112.0,11228.0,8.6,7.6
24,2012-02-13,9753.0,0.121,0.012,1112.0,11228.0,8.6,7.6
25,2012-02-14,10156.0,0.121,0.012,1112.0,11228.0,8.6,7.6
26,2012-02-15,10076.0,0.121,0.012,1112.0,11228.0,8.6,7.6
27,2012-02-16,10076.0,0.121,0.012,1112.0,11228.0,8.6,7.6
28,2012-02-17,10277.0,0.121,0.012,1112.0,11228.0,8.6,7.6
29,2012-02-20,10761.0,0.121,0.012,1112.0,11228.0,8.6,7.6
30,2012-02-21,10842.0,0.121,0.012,1112.0,11228.0,8.6,7.6
31,2012-02-22,11325.0,0.121,0.012,1112.0,11228.0,8.6,7.6
32,2012-02-23,11486.0,0.121,0.012,1112.0,11228.0,8.6,7.6
33,2012-02-24,11823.0,0.121,0.012,1112.0,11228.0,8.6,7.6
34,2012-02-27,11907.0,0.121,0.012,1112.0,11228.0,8.6,7.6
35,2012-02-28,11571.0,0.121,0.012,1112.0,11228.0,8.6,7.6
36,2012-02-29,11444.0,0.121,0.012,1112.0,11228.0,8.6,7.6
37,2012-03-01,11949.0,0.121,0.012,1112.0,11228.0,8.6,7.6
