,Date,Close,roe,roa,earningPerShare,debtOnEquity,bookValuePerShare,grossProfitMargin,operatingProfitMargin,assetOnEquity,payableOnEquity
0,2007-01-02,6120.0,0.27,0.196,412.0,0.0,1894.0,0.283,0.09,1.2,0.2
1,2007-01-03,6413.0,0.27,0.196,412.0,0.0,1894.0,0.283,0.09,1.2,0.2
2,2007-01-04,6707.0,0.27,0.196,412.0,0.0,1894.0,0.283,0.09,1.2,0.2
3,2007-01-05,7001.0,0.27,0.196,412.0,0.0,1894.0,0.283,0.09,1.2,0.2
4,2007-01-08,7001.0,0.27,0.196,412.0,0.0,1894.0,0.283,0.09,1.2,0.2
5,2007-01-09,7343.0,0.27,0.196,412.0,0.0,1894.0,0.283,0.09,1.2,0.2
6,2007-01-10,7686.0,0.27,0.196,412.0,0.0,1894.0,0.283,0.09,1.2,0.2
7,2007-01-11,8029.0,0.27,0.196,412.0,0.0,1894.0,0.283,0.09,1.2,0.2
8,2007-01-12,8421.0,0.27,0.196,412.0,0.0,1894.0,0.283,0.09,1.2,0.2
9,2007-01-15,8812.0,0.27,0.196,412.0,0.0,1894.0,0.283,0.09,1.2,0.2
10,2007-01-16,9253.0,0.27,0.196,412.0,0.0,1894.0,0.283,0.09,1.2,0.2
11,2007-01-17,8812.0,0.27,0.196,412.0,0.0,1894.0,0.283,0.09,1.2,0.2
12,2007-01-18,9057.0,0.27,0.196,412.0,0.0,1894.0,0.283,0.09,1.2,0.2
13,2007-01-19,9498.0,0.27,0.196,412.0,0.0,1894.0,0.283,0.09,1.2,0.2
14,2007-01-22,9057.0,0.27,0.196,412.0,0.0,1894.0,0.283,0.09,1.2,0.2
15,2007-01-23,9057.0,0.27,0.196,412.0,0.0,1894.0,0.283,0.09,1.2,0.2
16,2007-01-24,8616.0,0.27,0.196,412.0,0.0,1894.0,0.283,0.09,1.2,0.2
17,2007-01-25,8663.0,0.27,0.196,412.0,0.0,1894.0,0.283,0.09,1.2,0.2
18,2007-01-26,8663.0,0.27,0.196,412.0,0.0,1894.0,0.283,0.09,1.2,0.2
19,2007-01-29,8663.0,0.27,0.196,412.0,0.0,1894.0,0.283,0.09,1.2,0.2
20,2007-01-30,9076.0,0.27,0.196,412.0,0.0,1894.0,0.283,0.09,1.2,0.2
21,2007-01-31,9024.0,0.27,0.196,412.0,0.0,1894.0,0.283,0.09,1.2,0.2
22,2007-02-01,9436.0,0.27,0.196,412.0,0.0,1894.0,0.283,0.09,1.2,0.2
23,2007-02-02,9901.0,0.27,0.196,412.0,0.0,1894.0,0.283,0.09,1.2,0.2
24,2007-02-05,9436.0,0.27,0.196,412.0,0.0,1894.0,0.283,0.09,1.2,0.2
25,2007-02-06,9901.0,0.27,0.196,412.0,0.0,1894.0,0.283,0.09,1.2,0.2
26,2007-02-07,10313.0,0.27,0.196,412.0,0.0,1894.0,0.283,0.09,1.2,0.2
27,2007-02-08,9797.0,0.27,0.196,412.0,0.0,1894.0,0.283,0.09,1.2,0.2
28,2007-02-09,9333.0,0.27,0.196,412.0,0.0,1894.0,0.283,0.09,1.2,0.2
29,2007-02-12,9694.0,0.27,0.196,412.0,0.0,1894.0,0.283,0.09,1.2,0.2
30,2007-02-13,10158.0,0.27,0.196,412.0,0.0,1894.0,0.283,0.09,1.2,0.2
31,2007-02-14,9849.0,0.27,0.196,412.0,0.0,1894.0,0.283,0.09,1.2,0.2
32,2007-02-15,9952.0,0.27,0.196,412.0,0.0,1894.0,0.283,0.09,1.2,0.2
33,2007-02-26,10416.0,0.27,0.196,412.0,0.0,1894.0,0.283,0.09,1.2,0.2
34,2007-02-27,10932.0,0.27,0.196,412.0,0.0,1894.0,0.283,0.09,1.2,0.2
35,2007-02-28,10416.0,0.27,0.196,412.0,0.0,1894.0,0.283,0.09,1.2,0.2
36,2007-03-01,10210.0,0.27,0.196,412.0,0.0,1894.0,0.283,0.09,1.2,0.2
37,2007-03-02,10313.0,0.27,0.196,412.0,0.0,1894.0,0.283,0.09,1.2,0.2
38,2007-03-05,10416.0,0.27,0.196,412.0,0.0,1894.0,0.283,0.09,1.2,0.2
39,2007-03-06,10055.0,0.27,0.196,412.0,0.0,1894.0,0.283,0.09,1.2,0.2
40,2007-03-07,9746.0,0.27,0.196,412.0,0.0,1894.0,0.283,0.09,1.2,0.2
41,2007-03-08,9797.0,0.27,0.196,412.0,0.0,1894.0,0.283,0.09,1.2,0.2
42,2007-03-09,10055.0,0.27,0.196,412.0,0.0,1894.0,0.283,0.09,1.2,0.2
43,2007-03-12,10210.0,0.27,0.196,412.0,0.0,1894.0,0.283,0.09,1.2,0.2
44,2007-03-13,9797.0,0.27,0.196,412.0,0.0,1894.0,0.283,0.09,1.2,0.2
45,2007-03-14,9591.0,0.27,0.196,412.0,0.0,1894.0,0.283,0.09,1.2,0.2
46,2007-03-15,9127.0,0.27,0.196,412.0,0.0,1894.0,0.283,0.09,1.2,0.2
47,2007-03-16,9540.0,0.27,0.196,412.0,0.0,1894.0,0.283,0.09,1.2,0.2
48,2007-03-19,9901.0,0.27,0.196,412.0,0.0,1894.0,0.283,0.09,1.2,0.2
49,2007-03-20,9643.0,0.27,0.196,412.0,0.0,1894.0,0.283,0.09,1.2,0.2
50,2007-03-21,9591.0,0.27,0.196,412.0,0.0,1894.0,0.283,0.09,1.2,0.2
51,2007-03-22,9282.0,0.27,0.196,412.0,0.0,1894.0,0.283,0.09,1.2,0.2
52,2007-03-23,9282.0,0.27,0.196,412.0,0.0,1894.0,0.283,0.09,1.2,0.2
53,2007-03-26,9282.0,0.27,0.196,412.0,0.0,1894.0,0.283,0.09,1.2,0.2
54,2007-03-27,9282.0,0.27,0.196,412.0,0.0,1894.0,0.283,0.09,1.2,0.2
