,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,02/06/22,2022,0.25,share
1,10/06/21,2021,0.25,share
2,20/08/20,2020,0.3,share
3,25/07/19,2019,0.3,share
4,06/09/18,2018,0.15,share
5,20/03/18,2018,0.1,share
6,01/12/16,2017,0.1,share
7,15/05/15,2014,0.07,cash
8,13/05/14,2013,0.07,cash
9,17/05/13,2012,0.069,cash
10,30/03/12,2012,0.1,share
11,03/01/12,2011,0.2,cash
12,21/04/11,2010,0.07,cash
13,08/11/10,2010,0.17,cash
14,04/03/10,2009,0.15,cash
15,11/06/09,2009,0.09,cash
16,17/03/09,2008,0.088,cash
17,13/11/08,2008,0.25,cash
18,11/09/08,2008,0.55,share
19,23/04/07,2007,0.3,share
