,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,31/10/22,2021,0.1,cash
1,25/11/21,2020,0.1,cash
2,03/12/20,2019,0.1,cash
3,17/04/20,2019,0.1,cash
4,26/06/19,2018,0.03,cash
5,11/04/19,2018,0.12,cash
6,17/05/18,2017,0.03,cash
7,16/03/18,2017,0.09,cash
8,13/04/17,2016,0.09,cash
9,23/03/15,2014,0.09,cash
10,06/03/14,2013,0.09,cash
11,28/03/13,2012,0.09,cash
12,24/04/12,2011,0.09,cash
13,16/03/11,2010,0.09,cash
14,08/03/10,2009,0.05,cash
15,19/11/08,2008,0.18,cash
16,28/03/08,2007,0.06,cash
17,26/12/07,2007,0.12,cash
