,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,17/06/22,2021,0.05,cash
1,17/06/22,2022,0.3,share
2,31/05/21,2021,0.35,share
3,31/05/21,2020,0.05,cash
4,29/07/20,2019,0.05,cash
5,29/07/20,2020,0.2,share
6,04/06/19,2019,0.3,share
7,12/06/18,2018,0.4,share
8,30/03/17,2017,0.5,share
9,25/08/16,2016,0.15,share
10,25/08/16,2015,0.15,cash
11,21/03/16,2015,0.05,cash
12,08/05/15,2014,0.1,cash
13,08/05/15,2015,0.2,share
14,24/04/14,2014,0.15,share
15,24/04/14,2013,0.15,cash
16,03/09/13,2012,0.1,cash
17,25/10/12,2012,0.1,cash
18,25/10/12,2012,0.2,share
19,30/01/12,2012,0.1,share
