,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,22/12/22,2022,0.14,cash
1,06/07/22,2021,0.095,cash
2,06/07/22,2022,0.15,cash
3,10/01/22,2021,0.14,cash
4,07/09/21,2021,0.15,cash
5,07/06/21,2020,0.11,cash
6,05/01/21,2020,0.1,cash
7,29/09/20,2020,0.2,cash
8,29/06/20,2019,0.15,cash
9,26/12/19,2019,0.1,cash
10,16/09/19,2019,0.2,cash
11,05/06/19,2018,0.15,cash
12,27/12/18,2018,0.1,cash
13,05/09/18,2018,0.2,cash
14,05/06/18,2017,0.15,cash
15,28/12/17,2017,0.15,cash
16,14/08/17,2017,0.2,cash
17,04/05/17,2016,0.2,cash
18,19/08/16,2016,0.4,cash
19,03/06/16,2015,0.2,cash
