,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,ACB,4,2022,6.2,1.5,,,0.265,0.024,,,,,4052,17302,0.043,0.186,0.007,1.593,0.035,0.096,0.141,0.513,0.1,,,0.033,,,,,,,,,10.4,,,,,,,,,,,0.387,0.362,0.707,0.681,0.999,0.707,0.005,0.337,9.4,0.003,,0.049,0.143
1,ACB,3,2022,5.7,1.3,,,0.27,0.025,,,,,3921,16502,0.043,0.149,0.01,1.378,0.034,0.099,0.139,0.356,0.1,,,0.126,,,,,,,,,10.1,,,,,,,,,,,0.516,0.506,0.746,0.717,1.026,0.727,0.007,0.296,9.1,0.001,,0.07,0.195
2,ACB,2,2022,6.9,1.6,,,0.254,0.023,,,,,3482,15415,0.041,0.19,0.008,1.851,0.034,0.096,0.132,0.329,0.1,,,0.13,,,,,,,,,10.4,,,,,,,,,,,0.539,0.57,0.754,0.728,1.019,0.74,0.006,0.288,9.4,0.001,,0.08,0.158
3,ACB,1,2022,8.6,1.9,,,0.242,0.021,,,,,3081,14272,0.041,0.206,0.008,1.878,0.034,0.091,0.127,0.4,0.1,,,0.084,,,,,,,,,11.0,,,,,,,,,,,0.48,0.48,0.744,0.719,0.984,0.756,0.006,0.297,10.0,0.001,,0.074,0.172
4,ACB,4,2021,9.7,2.1,,,0.239,0.02,,,,,2843,13294,0.04,0.197,0.008,2.094,0.034,0.085,0.124,0.405,0.1,,,-0.012,,,,,,,,,11.8,,,,,,,,,,,0.477,0.407,0.711,0.686,0.953,0.746,0.005,0.333,10.8,0.001,,0.057,0.162
5,ACB,3,2021,8.8,2.0,,,0.258,0.022,,,,,2879,12578,0.042,0.206,0.008,1.977,0.038,0.089,0.126,0.396,0.1,,,0.003,,,,,,,,,11.3,,,,,,,,,,,0.485,0.37,0.728,0.702,0.92,0.792,0.006,0.316,10.3,0.001,,0.052,0.131
6,ACB,2,2021,9.9,2.4,,,0.272,0.022,,,,,2870,11955,0.042,0.199,0.007,2.077,0.041,0.086,0.118,0.256,0.1,,,0.124,,,,,,,,,11.7,,,,,,,,,,,0.593,0.416,0.753,0.725,0.953,0.79,0.005,0.287,10.7,0.001,,0.065,0.204
7,ACB,1,2021,8.3,1.9,,,0.256,0.021,,,,,2554,11230,0.039,0.183,0.009,1.204,0.045,0.084,0.117,0.346,0.1,,,0.123,,,,,,,,,11.9,,,,,,,,,,,0.523,0.438,0.75,0.721,0.921,0.814,0.007,0.285,10.9,0.002,,0.07,0.18
8,ACB,4,2020,7.9,1.7,,,0.243,0.019,,,,,2274,10495,0.037,0.15,0.006,1.603,0.046,0.08,0.114,0.339,0.1,,,0.15,,,,,,,,,12.5,,,,,,,,,,,0.529,0.491,0.73,0.701,0.882,0.827,0.004,0.305,11.5,0.002,,0.077,0.159
9,ACB,3,2020,7.3,1.5,,,0.229,0.017,,,,,1978,9746,0.036,0.19,0.008,1.175,0.05,0.079,0.111,0.386,0.1,,,0.085,,,,,,,,,12.7,,,,,,,,,,,0.491,0.462,0.738,0.71,0.888,0.83,0.006,0.296,11.7,0.002,,0.068,0.161
10,ACB,2,2020,6.2,1.2,,,0.225,0.016,,,,,1823,9128,0.036,0.241,0.007,1.441,0.052,0.078,0.109,0.431,0.1,,,-0.002,,,,,,,,,12.9,,,,,,,,,,,0.457,0.371,0.742,0.715,0.858,0.865,0.005,0.29,11.9,0.002,,0.048,0.132
11,ACB,1,2020,4.8,1.0,,,0.238,0.017,,,,,1826,8708,0.036,0.219,0.007,1.483,0.052,0.076,0.107,0.539,0.1,,,-0.177,,,,,,,,,13.2,,,,,,,,,,,0.368,0.351,0.738,0.709,0.879,0.839,0.005,0.294,12.2,0.001,,-0.152,0.158
12,ACB,4,2019,6.3,1.4,,,0.246,0.017,,,,,2219,10271,0.035,0.308,0.005,1.75,0.05,0.072,0.103,0.57,0.1,,,0.032,,,,,,,,,13.8,,,,,,,,,,,0.341,0.322,0.733,0.701,0.872,0.841,0.004,0.299,12.8,0.001,,0.094,0.166
13,ACB,3,2019,6.7,1.5,,,0.259,0.017,,,,,2151,9387,0.036,0.215,0.007,1.589,0.051,0.071,0.099,0.479,0.1,,,0.043,,,,,,,,,14.1,,,,,,,,,,,0.416,0.403,0.748,0.715,0.859,0.87,0.005,0.283,13.1,0.001,,0.064,0.159
14,ACB,2,2019,6.6,1.6,,,0.264,0.017,,,,,2062,8820,0.035,0.265,0.007,1.615,0.049,0.068,0.095,0.487,0.1,,,0.04,,,,,,,,,14.7,,,,,,,,,,,0.411,0.388,0.748,0.714,0.861,0.87,0.005,0.284,13.7,0.001,,0.065,0.13
15,ACB,1,2019,7.2,1.7,,,0.271,0.017,,,,,1983,8284,0.036,0.182,0.007,1.581,0.048,0.067,0.094,0.515,0.1,,,0.043,,,,,,,,,15.0,,,,,,,,,,,0.388,0.391,0.743,0.707,0.863,0.861,0.005,0.289,14.0,0.001,,0.065,0.121
16,ACB,4,2018,7.4,1.8,,,0.277,0.017,,,,,1901,7778,0.035,0.294,0.007,1.519,0.048,0.064,0.091,0.547,0.1,,,0.177,,,,,,,,,15.7,,,,,,,,,,,0.383,0.328,0.737,0.7,0.854,0.864,0.005,0.293,14.7,0.001,,0.077,0.162
