,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,CII,4,2022,4.6,0.6,13.5,,0.142,0.025,-29,255,137,0.5,2897,21524,,,,,,0.19,,,0.4,0.8,0.6,1.077,5537.0,0.162,0.078,0.002,1.8,0.5,10.1,0.5,5.3,-2310,0.034,0.085,89,,-0.045,0.2,0.0,0.078,0.6,,,,,,,,,2.4,,0.13,0.001,
1,CII,3,2022,13.9,0.9,15.6,,0.069,0.012,-8,442,361,0.8,1394,21498,,,,,,0.185,,,0.4,0.7,0.5,0.015,4900.0,0.151,0.102,0.003,1.8,0.5,11.9,0.6,5.4,-2734,0.05,0.108,72,,-0.025,0.2,0.1,0.102,0.4,,,,,,,,,2.5,,0.344,-0.012,
2,CII,2,2022,11.5,0.7,20.7,,0.068,0.011,92,971,426,1.1,1374,21764,,,,,,0.182,,,0.4,0.9,0.4,0.151,3645.0,0.455,0.296,0.073,1.8,0.5,15.7,0.4,5.5,-1359,0.049,0.107,636,4.0,-0.032,0.1,0.4,0.296,0.6,,,,,,,,,2.6,,0.106,0.034,
3,CII,1,2022,25.6,1.5,23.7,,0.06,0.01,153,878,498,0.5,1194,21052,,,,,,0.181,,,0.4,1.0,0.6,-1.884,3296.0,0.364,0.195,0.909,1.8,0.5,17.1,0.4,5.5,-62,0.081,0.131,533,2.4,-0.041,0.1,0.9,0.195,5.1,,,,,,,,,2.6,,-0.003,0.092,
4,CII,4,2021,-34.3,2.4,23.5,,-0.07,-0.011,279,821,108,-0.2,-1351,19287,,,,,,0.157,,,0.4,1.2,0.7,-9.081,3307.0,0.091,,,2.0,0.6,18.0,0.3,6.4,1405,0.082,0.137,992,1.3,-0.057,0.1,,,4.9,,,,,,,,,2.7,,-0.121,0.024,
5,CII,3,2021,106.1,0.9,25.3,,0.009,0.001,182,569,38,-0.2,167,18827,,,,,,0.155,,,0.3,1.3,0.7,-0.398,3764.0,0.269,,0.009,2.3,0.6,15.8,0.4,6.4,2524,0.028,0.033,713,2.0,-0.058,0.2,0.0,,-1.3,,,,,,,,,2.9,,-0.158,-0.001,
6,CII,2,2021,68.7,1.0,20.1,,0.014,0.002,91,440,36,0.7,278,18855,,,,,,0.157,,,0.3,1.3,0.7,0.354,4470.0,0.359,0.192,0.027,2.2,0.6,13.0,0.3,6.4,2673,0.051,0.074,495,4.0,-0.062,0.2,0.2,0.192,0.7,,,,,,,,,2.9,,0.113,0.003,
7,CII,1,2021,124.5,1.4,20.7,,0.01,0.002,131,452,38,0.7,205,18796,,,,,,0.158,,,0.3,1.2,0.7,-0.823,4015.0,0.326,0.19,0.005,2.2,0.6,14.3,0.3,6.3,2252,0.055,0.112,545,2.8,-0.078,0.2,0.0,0.19,0.5,,,,,,,,,2.9,,0.135,-0.03,
8,CII,4,2020,18.4,1.1,23.8,,0.056,0.01,119,453,132,0.6,1162,19385,,,,,,0.165,,,0.4,1.4,0.8,-0.468,3538.0,0.15,0.038,0.003,2.1,0.6,15.2,0.2,6.1,2980,0.056,0.089,440,3.1,-0.065,0.2,0.1,0.038,1.4,,,,,,,,,2.7,,0.16,-0.055,
9,CII,3,2020,7.8,0.8,27.6,,0.104,0.019,238,798,55,0.5,2186,20506,,,,,,0.169,,,0.4,1.2,0.6,-0.408,3050.0,0.185,0.064,0.017,1.9,0.5,17.2,0.3,5.9,2111,0.064,0.109,981,1.5,-0.141,0.1,0.3,0.064,1.0,,,,,,,,,2.6,,0.229,0.005,
