,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,CMG,4,2022,20.4,2.5,11.2,,0.131,0.047,51,21,50,5.2,2000,16140,,,,,,0.351,,,0.8,1.3,1.2,0.046,5678,0.174,0.058,0.048,0.5,0.2,2.0,0.6,2.8,922,0.121,0.06,22,7.1,-0.362,1.2,0.8,0.058,1.0,,,,,,,,,1.3,,0.049,0.048,
1,CMG,3,2022,23.9,3.0,11.9,,0.131,0.048,43,23,47,3.7,1912,15395,,,,,,0.357,,,0.8,1.2,1.1,0.038,5415,0.201,0.057,0.042,0.5,0.2,2.0,1.0,2.8,645,0.101,0.048,18,8.6,-0.364,1.2,0.7,0.057,1.0,,,,,,,,,1.2,,-0.115,0.018,
2,CMG,2,2022,23.1,2.8,11.9,,0.129,0.047,45,20,51,5.8,1841,15129,,,,,,0.354,,,0.8,1.2,1.1,0.148,6119,0.188,0.062,0.047,0.5,0.2,2.2,1.0,2.8,686,0.11,0.052,14,8.1,-0.451,1.1,0.8,0.062,1.0,,,,,,,,,1.3,,0.083,0.053,
3,CMG,1,2022,28.5,3.2,14.5,,0.117,0.043,53,25,50,4.4,1603,14374,,,,,,0.346,,,0.8,1.4,1.2,0.022,5649,0.187,0.041,0.019,0.6,0.3,2.4,0.8,2.9,917,0.13,0.052,27,7.0,-0.583,1.1,0.6,0.041,0.8,,,,,,,,,1.3,,0.008,-0.002,
4,CMG,4,2021,25.5,2.8,15.0,,0.114,0.043,71,25,52,6.6,1569,14403,,,,,,0.362,,,0.8,1.5,1.3,0.126,5603,0.187,0.069,0.054,0.5,0.2,2.4,0.7,2.8,1217,0.151,0.055,44,5.2,-0.523,1.1,0.7,0.069,1.1,,,,,,,,,1.3,,0.071,0.048,
5,CMG,3,2021,38.7,3.9,13.0,,0.106,0.04,68,21,51,5.3,1393,13744,,,,,,0.382,,,0.8,1.5,1.3,0.097,5231,0.199,0.068,0.048,0.5,0.2,2.4,0.9,2.6,1022,0.132,0.06,38,5.4,-0.366,1.1,0.6,0.068,1.1,,,,,,,,,1.2,,0.039,0.031,
6,CMG,2,2021,26.9,2.6,15.5,,0.097,0.037,75,19,52,3.6,1270,13325,,,,,,0.382,,,0.8,1.5,1.3,0.09,5037,0.181,0.048,0.034,0.6,0.3,2.6,1.1,2.6,974,0.117,0.044,43,4.8,-0.422,1.1,0.6,0.048,1.2,,,,,,,,,1.2,,0.066,0.023,
7,CMG,1,2021,28.3,2.5,12.4,,0.091,0.036,76,19,54,3.5,1165,13027,,,,,,0.394,,,0.9,1.5,1.3,0.028,4727,0.138,0.032,0.021,0.5,0.2,2.4,1.0,2.5,893,0.068,0.035,41,4.8,-0.394,1.1,0.5,0.032,1.4,,,,,,,,,1.1,,0.031,0.001,
8,CMG,4,2020,30.7,2.7,10.1,,0.088,0.035,89,23,55,4.7,1133,13017,,,,,,0.384,,,0.9,1.5,1.4,0.029,4584,0.196,0.059,0.046,0.5,0.2,2.6,0.8,2.6,1047,0.154,0.104,57,4.1,-0.405,1.0,0.7,0.059,1.1,,,,,,,,,1.2,,0.031,0.038,
9,CMG,3,2020,28.1,2.5,9.6,,0.089,0.035,88,19,52,3.8,1101,12543,,,,,,0.382,,,0.8,1.5,1.4,0.013,4446,0.182,0.062,0.038,0.5,0.2,2.6,0.7,2.6,1045,0.164,0.119,55,4.1,-0.362,1.0,0.6,0.062,1.1,,,,,,,,,1.2,,-0.125,-0.028,
10,CMG,2,2020,25.4,2.1,10.6,,0.109,0.036,68,20,56,2.4,1087,12907,,,,,,0.392,,,0.9,1.7,1.6,0.137,5083,0.183,0.038,0.027,0.6,0.3,2.8,0.8,2.6,1269,0.129,0.089,32,5.4,-0.324,1.1,0.6,0.038,1.3,,,,,,,,,1.2,,0.03,0.014,
11,CMG,1,2020,20.9,1.6,9.3,,0.097,0.034,66,19,55,1.8,956,12729,,,,,,0.412,,,0.9,1.8,1.6,-0.301,4935,0.189,0.033,0.022,0.5,0.2,2.5,0.7,2.4,1262,0.095,0.078,30,5.5,-0.349,1.2,0.4,0.033,1.5,,,,,,,,,1.1,,-0.037,-0.334,
12,CMG,4,2019,25.5,1.8,9.3,,0.092,0.033,86,25,48,4.9,1367,19123,,,,,,0.405,,,0.9,1.8,1.6,0.169,5123,0.195,0.059,0.045,0.5,0.2,2.1,0.6,2.5,1356,0.119,0.094,63,4.2,-0.402,1.2,1.4,0.059,1.1,,,,,,,,,1.1,,0.05,0.036,
13,CMG,3,2019,31.2,2.0,10.1,,0.082,0.03,86,20,45,6.1,1169,18465,,,,,,0.4,,,0.9,1.8,1.7,0.041,4880,0.182,0.066,0.038,0.5,0.2,2.2,0.6,2.5,1305,0.098,0.071,62,4.3,-0.388,1.3,1.8,0.066,1.0,,,,,,,,,1.1,,-0.141,0.735,
14,CMG,2,2019,30.2,3.2,12.9,,0.108,0.031,83,23,50,1.6,1123,10643,,,,,,0.264,,,0.5,1.3,1.2,-0.209,5679,0.172,0.028,0.008,0.8,0.3,2.3,0.7,3.8,519,0.169,0.06,56,4.4,-0.413,1.4,3.5,0.028,1.0,,,,,,,,,1.9,,-0.041,0.006,
15,CMG,1,2019,19.0,2.5,9.0,,0.14,0.042,76,17,47,5.1,1419,10576,,,,,,0.285,,,0.6,1.3,1.2,0.089,5919,0.176,0.051,0.013,0.7,0.3,1.8,0.7,3.5,490,0.318,0.152,46,4.8,-0.354,1.5,3.7,0.051,0.9,,,,,,,,,1.7,,0.134,0.003,
16,CMG,4,2018,16.6,2.0,9.5,,0.128,0.039,80,22,51,5.3,1302,10548,,,,,,0.294,,,0.6,1.2,1.0,-0.027,5218,0.158,0.049,0.033,0.5,0.2,1.8,1.5,3.4,301,0.141,0.074,51,4.6,-0.396,1.5,1.7,0.049,1.1,,,,,,,,,1.6,,0.053,0.055,
17,CMG,3,2018,16.1,2.2,8.2,,0.139,0.045,75,20,40,5.7,1339,9995,,,,,,0.303,,,0.6,1.2,1.0,-0.19,4954,0.156,0.048,0.031,0.6,0.2,1.7,1.6,3.3,268,0.108,0.074,55,4.9,-0.456,1.7,1.6,0.048,1.1,,,,,,,,,1.5,,-0.103,-0.014,
18,CMG,2,2018,10.5,1.7,8.8,,0.17,0.056,65,22,39,5.1,1654,10141,,,,,,0.308,,,0.7,1.2,1.0,0.076,5525,0.16,0.045,0.032,0.5,0.2,1.4,1.2,3.2,332,0.161,0.108,48,5.6,-0.414,1.7,1.5,0.045,1.0,,,,,,,,,1.5,,0.076,0.039,
19,CMG,1,2018,16.7,2.6,5.0,,0.163,0.057,63,18,41,3.1,1537,9757,,,,,,0.326,,,0.7,1.2,1.0,-0.111,5137,0.163,0.018,0.005,0.4,0.2,1.2,0.9,3.1,248,0.115,0.104,39,5.8,-0.398,1.8,5.7,0.018,1.4,,,,,,,,,1.4,,-0.029,-0.012,
20,CMG,4,2017,13.7,2.4,5.6,,0.184,0.062,61,19,39,8.1,1728,9880,,,,,,0.317,,,0.7,1.2,1.0,0.048,5288,0.154,0.045,0.036,0.5,0.2,1.4,2.7,3.2,258,0.281,0.19,42,5.9,-0.386,1.7,1.4,0.045,1.1,,,,,,,,,1.5,,0.036,0.071,
21,CMG,3,2017,8.2,1.5,6.8,,0.186,0.065,65,18,35,13.9,1649,9226,,,,,,0.349,,,0.8,1.2,1.0,0.278,5105,0.172,0.071,0.052,0.4,0.2,1.3,3.1,2.9,259,0.104,0.062,49,5.6,-0.377,1.8,1.4,0.071,1.0,,,,,,,,,1.2,,0.207,-0.011,
22,CMG,2,2017,9.8,1.4,5.6,,0.143,0.052,58,21,34,4.9,1290,9326,,,,,,0.357,,,0.9,1.2,1.0,0.048,4231,0.135,0.033,0.025,0.3,0.2,1.5,5.0,2.8,248,0.137,0.122,45,6.2,-0.26,1.8,1.5,0.033,1.2,,,,,,,,,1.2,,0.039,0.029,
23,CMG,1,2017,8.9,1.2,5.2,,0.14,0.053,56,20,34,5.7,1231,9062,,,,,,0.375,,,0.9,1.2,1.0,0.068,4071,0.151,0.032,0.022,0.3,0.1,1.4,7.3,2.7,209,0.107,0.105,41,6.6,-0.241,1.9,1.7,0.032,1.2,,,,,,,,,1.1,,0.064,0.012,
24,CMG,4,2016,10.0,1.3,4.6,,0.132,0.05,50,19,26,10.9,1153,8957,,,,,,0.361,,,0.9,1.2,1.1,-0.002,3824,0.136,0.049,0.037,0.3,0.2,1.5,3.0,2.8,288,0.139,0.167,43,7.3,-0.279,1.9,1.5,0.049,1.1,,,,,,,,,1.2,,0.013,0.05,
25,CMG,3,2016,11.3,1.5,5.3,,0.139,0.053,48,21,26,6.5,1155,8528,,,,,,0.356,,,0.8,1.3,1.1,0.017,3775,0.124,0.04,0.031,0.4,0.2,1.8,3.5,2.8,304,0.118,0.127,43,7.5,-0.264,1.9,1.4,0.04,1.1,,,,,,,,,1.2,,0.023,-0.025,
26,CMG,2,2016,9.3,1.2,5.4,,0.137,0.052,51,24,32,4.1,1135,8743,,,,,,0.368,,,0.9,1.4,1.1,0.047,3692,0.13,0.033,0.021,0.4,0.2,1.7,3.3,2.7,410,0.117,0.125,43,7.2,-0.26,1.8,1.6,0.033,1.0,,,,,,,,,1.1,,0.045,0.019,
