,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,CTD,4,2022,126.9,0.3,-25.9,,0.003,0.001,180,57,96,-0.4,280,111203,,,,,,0.433,,,0.8,1.7,1.4,-1.337,-1793,0.028,,0.003,0.1,0.1,-3.8,1.1,2.3,7241,0.13,0.405,141,2.0,-0.357,0.9,0.7,,-2.5,,,,,,,,,1.3,,-0.555,0.002,
1,CTD,3,2022,-69.3,0.5,-12.4,,-0.007,-0.004,240,81,80,-2.9,-832,110947,,,,,,0.461,,,0.9,1.8,1.5,-0.119,-4027,0.011,,,0.2,0.1,-2.3,1.8,2.2,7611,0.051,0.143,241,1.5,-0.26,0.7,,,0.0,,,,,,,,,1.2,,-0.009,0.0,
2,CTD,2,2022,-56.9,0.5,-11.3,,-0.008,-0.005,294,74,105,-7.6,-944,110995,,,,,,0.495,,,1.0,2.0,1.7,65.085,-4064,0.066,,,0.2,0.1,-2.0,1.5,2.0,7642,0.111,0.281,262,1.2,-0.271,0.6,,,0.2,,,,,,,,,1.0,,0.95,-0.003,
3,CTD,1,2022,-6755.8,0.9,-28.7,,0.0,0.0,318,64,109,-2.0,-14,111318,,,,,,0.537,,,1.2,2.2,1.9,-1.044,-2084,0.035,,0.015,0.1,0.0,-1.9,0.3,1.9,7564,0.064,0.115,273,1.1,-0.213,0.6,0.8,,-1.8,,,,,,,,,0.8,,0.153,0.004,
4,CTD,4,2021,334.3,1.0,-20.4,,0.003,0.002,288,63,130,-1560.9,327,110925,,,,,,0.558,,,1.3,2.1,1.9,-0.867,-1808,,,,0.0,0.0,0.0,,1.8,7077,0.107,0.216,221,1.3,-0.083,0.6,,,0.4,,,,,,,,,0.8,,-2.758,-0.008,
5,CTD,3,2021,27.7,0.6,84.2,,0.022,0.013,251,56,95,-1791.1,2457,111782,,,,,,0.635,,,1.8,2.5,2.2,-0.356,1028,0.016,,,0.0,0.0,0.0,,1.6,7173,0.147,0.153,213,1.5,-0.071,0.8,,,0.2,,,,,,,,,0.6,,-0.63,-0.004,
6,CTD,2,2021,16.7,0.6,21.8,,0.034,0.02,214,43,94,13.4,3818,112259,,,,,,0.608,,,1.6,2.4,2.1,-0.285,2782,0.053,0.005,0.018,0.0,0.0,0.0,,1.6,7146,0.078,0.121,162,1.7,-0.014,0.9,0.8,0.005,4.7,,,,,,,,,0.6,,-0.423,-0.004,
7,CTD,1,2021,13.5,0.6,10.0,,0.047,0.028,192,39,85,,5339,112657,,,,,,0.636,,,1.8,2.5,2.3,-0.149,4819,0.047,,0.021,0.0,0.0,0.0,,1.6,7143,0.076,0.145,146,1.9,-0.01,1.0,0.8,,-454.3,,,,,,,,,0.6,,-0.184,-0.018,
8,CTD,4,2020,12.2,0.7,9.4,,0.055,0.03,179,41,106,,6272,114725,,,,,,0.597,,,1.5,2.3,2.0,-0.231,5908,0.061,0.009,0.022,0.0,0.0,0.0,,1.7,7282,0.164,0.296,114,2.0,-0.008,1.0,0.8,0.009,3.2,,,,,,,,,0.7,,-0.263,0.002,
9,CTD,3,2020,8.4,0.6,7.8,,0.072,0.041,143,32,68,,8157,114483,,,,,,0.602,,,1.5,2.3,2.1,-0.112,8012,0.061,0.023,0.032,0.0,0.0,0.0,,1.7,7265,0.043,0.069,107,2.6,-0.011,1.2,0.8,0.023,1.8,,,,,,,,,0.7,,-0.12,0.011,
10,CTD,2,2020,7.2,0.6,5.7,,0.083,0.044,118,24,69,,9191,113283,,,,,,0.558,,,1.3,2.1,1.9,0.052,9105,0.061,0.044,0.04,0.0,0.0,0.0,,1.8,7121,0.027,0.052,72,3.1,-0.017,1.4,0.8,0.044,1.2,,,,,,,,,0.8,,0.132,-0.02,
11,CTD,1,2020,4.9,0.4,9.1,,0.077,0.043,110,25,58,,8739,115609,,,,,,0.574,,,1.4,2.1,1.9,-0.092,8044,0.055,0.024,0.035,0.0,0.0,0.0,,1.7,7173,0.052,0.072,77,3.3,-0.059,1.5,0.8,0.024,1.8,,,,,,,,,0.7,,-0.091,0.015,
12,CTD,4,2019,5.1,0.4,5.4,,0.087,0.043,131,25,83,,9624,113938,,,,,,0.52,,,1.1,1.9,1.7,-0.107,8853,0.045,0.027,0.031,0.0,0.0,0.0,,1.9,7017,0.095,0.17,73,2.8,-0.106,1.4,1.2,0.027,1.4,,,,,,,,,0.9,,-0.101,0.029,
13,CTD,3,2019,8.4,0.8,4.1,,0.098,0.053,102,23,58,,10783,110780,,,,,,0.546,,,1.2,2.0,1.8,-0.279,9842,0.041,0.024,0.027,0.0,0.0,0.0,,1.8,6641,0.117,0.236,67,3.6,-0.147,1.6,1.3,0.024,1.4,,,,,,,,,0.8,,-0.276,0.02,
14,CTD,2,2019,6.6,0.9,5.5,,0.141,0.071,95,25,60,,14958,108595,,,,,,0.514,,,1.1,1.9,1.7,-0.216,13596,0.032,0.015,0.021,0.0,0.0,0.0,,1.9,6549,0.094,0.113,60,3.8,-0.22,1.7,1.3,0.015,1.8,,,,,,,,,0.9,,-0.245,-0.022,
15,CTD,1,2019,6.9,1.2,5.6,,0.178,0.095,72,26,50,,19076,111043,,,,,,0.545,,,1.2,2.0,1.8,-0.067,18011,0.064,0.034,0.044,0.0,0.0,0.0,,1.8,6691,0.073,0.069,48,5.1,-0.192,1.9,1.3,0.034,1.6,,,,,,,,,0.8,,-0.016,0.03,
16,CTD,4,2018,7.2,1.4,5.7,,0.198,0.092,94,23,72,,20449,107805,,,,,,0.473,,,0.9,1.7,1.6,-0.087,18297,0.052,0.037,0.041,0.0,0.0,0.0,,2.1,6472,0.069,0.061,45,3.9,-0.178,1.7,1.2,0.037,1.4,,,,,,,,,1.1,,-0.101,-0.015,
17,CTD,3,2018,6.8,1.4,6.2,,0.222,0.116,67,20,45,,22390,109417,,,,,,0.535,,,1.2,2.0,1.8,-0.002,20360,0.071,0.055,0.058,0.0,0.0,0.0,,1.9,6709,0.119,0.089,43,5.4,-0.172,2.1,1.3,0.055,1.3,,,,,,,,,0.9,,-0.017,0.062,
