,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,DBC,4,2022,22.0,0.7,7.8,,0.032,0.013,7,147,55.0,-0.2,620,19777,,,,,,0.382,,,0.6,1.0,0.3,-0.56,5189.0,0.051,,,1.0,0.4,4.2,4.2,2.6,17,0.131,0.19,99.0,49.9,-0.292,1.1,,,4.5,,,,,,,,,1.6,,-0.172,-0.016,
1,DBC,3,2022,15.2,1.1,7.1,,0.07,0.031,16,140,36.0,7.2,1408,20104,,,,,,0.43,,,0.8,1.1,0.3,0.251,6268.0,0.136,0.081,0.058,0.9,0.4,3.2,4.2,2.3,271,0.049,0.059,119.0,22.9,-0.213,1.1,0.8,0.081,0.9,,,,,,,,,1.3,,0.044,0.044,
2,DBC,2,2022,17.4,1.0,7.4,,0.058,0.025,10,153,48.0,1.7,1126,19251,,,,,,0.405,,,0.7,1.0,0.2,-0.424,6005.0,0.096,0.028,0.005,0.8,0.3,3.2,4.8,2.5,9,0.039,0.044,115.0,38.2,-0.156,1.0,0.5,0.028,0.4,,,,,,,,,1.5,,-0.459,-0.007,
3,DBC,1,2022,18.3,1.8,7.9,,0.103,0.044,20,148,32.0,1.5,1955,19378,,,,,,0.424,,,0.7,1.1,0.3,-0.43,11107.0,0.091,0.024,0.003,0.8,0.3,3.0,3.1,2.4,490,0.049,0.037,136.0,18.0,-0.124,1.0,0.3,0.024,0.4,,,,,,,,,1.4,,-0.234,-0.001,
4,DBC,4,2021,10.1,1.8,6.2,,0.186,0.079,15,154,45.0,3.9,3427,19406,,,,,,0.434,,,0.8,1.1,0.3,-0.155,14500.0,0.121,0.058,0.036,0.7,0.3,2.1,3.8,2.3,475,0.043,0.028,124.0,24.9,-0.071,1.0,0.7,0.058,0.9,,,,,,,,,1.3,,-0.11,-0.023,
5,DBC,3,2021,6.7,1.4,6.3,,0.224,0.093,22,165,36.0,5.0,4055,19859,,,,,,0.445,,,0.8,1.2,0.3,-0.202,16288.0,0.143,0.075,0.051,0.6,0.3,2.0,2.2,2.2,813,0.036,0.021,151.0,16.5,-0.104,1.0,0.8,0.075,0.8,,,,,,,,,1.2,,-0.141,0.029,
6,DBC,2,2021,5.7,1.5,4.4,,0.293,0.119,14,174,40.0,5.7,5083,19299,,,,,,0.44,,,0.8,1.1,0.3,-0.132,18962.0,0.181,0.107,0.083,0.6,0.3,1.8,2.3,2.3,593,0.033,0.024,149.0,25.6,-0.135,1.0,0.9,0.107,0.9,,,,,,,,,1.3,,-0.196,0.031,
7,DBC,1,2021,4.2,1.3,4.0,,0.358,0.139,18,172,34.0,9.4,5853,18714,,,,,,0.431,,,0.8,1.2,0.3,0.012,23580.0,0.254,0.181,0.148,0.8,0.3,1.8,1.9,2.3,746,0.066,0.051,156.0,20.7,-0.154,1.0,0.9,0.181,0.9,,,,,,,,,1.3,,0.002,0.077,
8,DBC,4,2020,4.1,1.4,4.3,,0.387,0.142,0,158,46.0,6.1,5786,17383,,,,,,0.416,,,0.7,1.1,0.3,0.004,23527.0,0.205,0.131,0.092,0.8,0.3,1.7,1.7,2.4,395,0.058,0.04,112.0,,-0.156,1.0,0.8,0.131,0.9,,,,,,,,,1.4,,0.038,0.067,
9,DBC,3,2020,3.4,1.2,4.5,,0.416,0.143,-1,168,41.0,7.1,5764,16295,,,,,,0.386,,,0.6,1.1,0.3,0.358,22656.0,0.266,0.197,0.152,1.0,0.4,2.0,1.7,2.6,471,0.079,0.051,126.0,,-0.176,0.9,0.9,0.197,0.9,,,,,,,,,1.6,,0.24,0.062,
