,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,DGC,4,2022,3.4,1.8,3.2,,0.675,0.514,154,51,18,171.8,14660,27519,,,,,,0.785,,,4.4,4.4,4.0,-0.047,22851,0.414,0.346,0.332,0.0,0.0,0.1,,1.3,8415,0.132,0.075,187,2.4,-0.092,1.3,0.9,0.346,1.1,,,,,,,,,0.2,,-0.052,-0.01,
1,DGC,3,2022,4.8,2.7,3.6,,0.753,0.597,137,54,8,282.8,15375,27807,,,,,,0.828,,,6.2,5.8,4.9,0.191,24100,0.445,0.397,0.383,0.1,0.1,0.1,,1.2,8544,0.006,0.003,183,2.7,-0.058,1.5,0.9,0.397,1.1,,,,,,,,,0.2,,0.156,0.165,
2,DGC,2,2022,8.6,4.7,5.7,,0.725,0.54,126,74,18,570.0,12912,23859,,,,,,0.768,,,4.1,4.1,3.2,0.426,20853,0.532,0.484,0.446,0.1,0.1,0.2,,1.3,7019,0.012,0.004,182,2.9,-0.079,1.5,0.9,0.484,1.0,,,,,,,,,0.2,,-0.178,0.244,
3,DGC,1,2022,11.1,5.2,8.8,,0.602,0.446,112,47,19,554.0,9057,19182,,,,,,0.772,,,4.2,3.8,3.3,0.44,25357,0.47,0.417,0.368,0.1,0.1,0.2,,1.3,5117,0.008,0.002,140,3.2,-0.056,1.5,0.8,0.417,1.0,,,,,,,,,0.2,,0.438,0.204,
4,DGC,4,2021,11.2,4.4,15.3,,0.48,0.336,104,55,17,554.4,6287,15937,,,,,,0.726,,,3.2,2.9,2.3,0.809,17637,0.468,0.412,0.377,0.1,0.1,0.4,,1.4,3810,0.02,0.003,142,3.5,-0.106,1.3,0.9,0.412,1.0,,,,,,,,,0.3,,0.709,0.224,
5,DGC,3,2021,19.9,5.3,14.0,,0.299,0.21,100,44,13,153.7,3476,13016,,,,,,0.727,,,3.1,2.5,2.1,0.237,10320,0.304,0.231,0.227,0.2,0.1,0.6,,1.4,2556,0.016,0.004,131,3.7,-0.124,1.2,0.9,0.231,1.1,,,,,,,,,0.3,,0.11,0.107,
6,DGC,2,2021,13.3,3.2,19.6,,0.262,0.18,89,52,13,97.2,2810,11757,,,,,,0.7,,,2.7,2.2,1.7,0.066,9296,0.243,0.169,0.158,0.3,0.2,0.8,,1.4,2090,0.011,0.002,128,4.1,-0.143,1.2,0.9,0.169,1.0,,,,,,,,,0.4,,-0.038,0.078,
7,DGC,1,2021,10.2,2.5,11.0,,0.261,0.183,83,48,19,65.5,2635,10910,,,,,,0.69,,,2.5,2.1,1.6,0.104,9667,0.221,0.147,0.146,0.3,0.2,0.7,,1.4,1805,0.013,0.004,112,4.4,-0.183,1.2,0.9,0.147,1.1,,,,,,,,,0.4,,0.072,0.063,
8,DGC,4,2020,8.5,2.0,9.4,,0.251,0.171,77,58,10,56.5,2387,10262,,,,,,0.664,,,2.3,1.9,1.5,0.081,9017,0.24,0.163,0.149,0.3,0.2,0.8,,1.5,1627,0.069,0.027,124,4.8,-0.134,1.2,0.9,0.163,1.0,,,,,,,,,0.4,,0.066,0.0,
9,DGC,3,2020,7.4,1.6,7.8,,0.234,0.163,76,60,16,62.7,2208,10260,,,,,,0.676,,,2.4,2.0,1.6,0.147,8456,0.229,0.152,0.145,0.3,0.2,0.8,,1.5,1633,0.015,0.008,121,4.8,-0.121,1.2,0.9,0.152,1.0,,,,,,,,,0.4,,0.021,0.061,
10,DGC,2,2020,6.8,1.4,7.1,,0.214,0.146,68,66,21,60.4,1925,9666,,,,,,0.668,,,2.3,1.8,1.4,0.152,8282,0.277,0.186,0.162,0.3,0.2,0.9,,1.5,1386,0.015,0.009,113,5.3,-0.084,1.1,0.9,0.186,1.0,,,,,,,,,0.4,,0.055,0.045,
11,DGC,1,2020,3.8,0.7,6.6,,0.193,0.132,61,70,25,39.8,1671,9251,,,,,,0.712,,,2.8,2.0,1.5,-0.495,7849,0.201,0.13,0.125,0.2,0.2,1.0,,1.4,1235,0.012,0.009,106,6.0,-0.045,1.1,0.9,0.13,1.1,,,,,,,,,0.4,,0.088,-0.524,
12,DGC,4,2019,5.3,0.9,4.6,,0.177,0.12,46,71,15,20.6,3309,19427,,,,,,0.704,,,2.7,1.8,1.1,-0.139,7211,0.219,0.125,0.116,0.2,0.2,1.1,,1.4,992,0.037,0.04,102,8.0,-0.049,1.1,1.1,0.125,1.0,,,,,,,,,0.4,,-0.098,0.012,
13,DGC,3,2019,4.8,1.0,4.2,,0.216,0.144,34,78,27,20.9,3841,19198,,,,,,0.722,,,3.0,1.8,1.0,-0.163,7997,0.164,0.097,0.102,0.2,0.2,0.9,,1.4,912,0.015,0.015,86,10.7,-0.369,1.2,1.0,0.097,1.1,,,,,,,,,0.3,,-0.407,0.039,
14,DGC,2,2019,4.3,1.1,3.7,,0.409,0.297,18,41,9,20.6,4589,18474,,,,,,0.696,,,2.6,1.6,0.8,0.232,13496,0.186,0.135,0.12,0.3,0.2,0.4,,1.4,750,0.014,0.013,50,19.8,-0.761,2.2,1.1,0.135,0.9,,,,,,,,,0.4,,0.124,0.034,
15,DGC,1,2019,6.8,1.4,4.8,,0.341,0.236,21,59,14,14.2,3724,17862,,,,,,0.657,,,2.2,1.4,0.7,0.209,12002,0.169,0.107,0.104,0.3,0.2,0.5,,1.5,590,0.061,0.053,66,17.3,-0.763,1.7,1.0,0.107,1.0,,,,,,,,,0.5,,0.225,0.0,
16,DGC,4,2018,8.7,1.5,6.5,,0.275,0.187,44,57,14,27.7,3079,17869,,,,,,0.644,,,2.0,1.4,0.9,0.445,9801,0.267,0.162,0.15,0.4,0.2,0.7,,1.6,571,0.086,0.068,87,8.3,-0.77,1.3,1.0,0.162,1.0,,,,,,,,,0.5,,0.711,0.092,
17,DGC,3,2018,12.0,1.6,11.9,,0.184,0.108,81,124,57,44.2,2131,16365,,,,,,0.615,,,1.8,1.3,0.7,1.022,5728,0.235,0.168,0.164,0.3,0.2,1.3,,1.6,463,0.057,0.036,148,4.5,-0.11,0.6,1.0,0.168,1.0,,,,,,,,,0.6,,1.365,3.103,
18,DGC,2,2018,17.6,4.7,,,0.203,0.128,42,29,27,,1053,3988,,,,,,0.918,,,11.2,3.1,2.3,-0.228,2422,0.201,0.1,0.084,0.0,0.0,1.3,,1.1,130,0.005,,44,8.7,-0.339,1.1,1.3,0.1,1.1,,,,,,,,,0.1,,-0.342,0.008,
19,DGC,1,2018,13.4,4.6,9.7,,0.271,0.174,31,14,16,,1364,3956,,,,,,0.901,,,9.1,3.0,2.5,-0.094,3679,0.174,0.078,0.065,0.0,0.0,0.7,,1.1,153,0.068,0.025,29,11.7,-0.31,1.8,1.3,0.078,1.1,,,,,,,,,0.1,,-0.143,-0.121,
20,DGC,4,2017,12.0,4.0,7.3,,0.29,0.179,21,14,12,,1506,4500,,,,,,0.868,,,6.6,3.2,2.9,0.247,4292,0.147,0.057,0.353,0.0,0.0,0.9,,1.2,254,0.107,0.051,23,17.5,-0.314,2.1,1.0,0.057,6.4,,,,,,,,,0.2,,-0.154,-0.334,
21,DGC,3,2017,15.6,2.8,5.9,,0.195,0.098,32,20,29,48.1,1208,6754,,,,,,0.518,,,2.3,1.4,1.1,0.0,5076,0.116,0.055,0.065,0.1,0.1,1.2,,1.9,254,0.168,0.169,23,11.4,-0.222,1.7,1.3,0.055,1.6,,,,,,,,,0.4,,-0.083,0.056,
22,DGC,2,2017,14.7,2.8,6.7,,0.207,0.106,27,21,21,38.1,1208,6393,,,,,,0.525,,,2.5,1.4,1.2,-0.025,5536,0.132,0.067,0.066,0.2,0.1,1.2,,1.9,257,0.15,0.137,27,13.7,-0.204,1.7,1.4,0.067,1.4,,,,,,,,,0.4,,-0.059,0.045,
23,DGC,1,2017,16.9,3.4,6.1,,0.218,0.113,30,17,19,21.7,1239,6119,,,,,,0.544,,,2.7,1.5,1.3,-0.103,5883,0.09,0.034,0.043,0.2,0.1,1.1,,1.8,241,0.135,0.119,28,12.2,-0.223,1.5,1.4,0.034,1.7,,,,,,,,,0.4,,-0.145,0.039,
24,DGC,4,2016,16.5,3.9,6.2,,0.251,0.124,23,29,18,23.6,1381,5890,,,,,,0.506,,,2.1,1.3,1.0,-0.063,6885,0.115,0.05,0.058,0.3,0.2,1.1,,2.0,199,0.137,0.105,34,15.8,-0.189,1.4,1.4,0.05,1.6,,,,,,,,,0.5,,-0.117,0.048,
25,DGC,3,2016,21.4,5.6,5.7,,0.284,0.134,25,31,27,39.2,1473,5619,,,,,,0.483,,,1.9,1.3,1.0,-0.083,7798,0.157,0.088,0.097,0.3,0.2,1.1,,2.1,182,0.149,0.106,30,14.5,-0.206,1.3,1.4,0.088,1.5,,,,,,,,,0.5,,-0.139,0.069,
26,DGC,2,2016,14.5,4.4,7.1,,0.339,0.16,20,34,36,53.5,1607,5258,,,,,,0.495,,,2.1,1.3,1.0,0.014,9056,0.2,0.129,0.117,0.2,0.2,0.7,,2.0,189,0.064,0.032,18,18.0,-0.128,1.4,1.5,0.129,1.3,,,,,,,,,0.5,,-0.075,0.007,
27,DGC,1,2016,12.8,3.9,5.5,,0.348,0.162,24,26,27,59.4,1585,5222,,,,,,0.491,,,1.9,1.3,1.1,0.026,9788,0.184,0.123,0.099,0.3,0.2,0.8,,2.0,179,0.012,0.008,24,15.3,-0.14,1.4,1.5,0.123,1.2,,,,,,,,,0.5,,0.006,0.02,
28,DGC,4,2015,14.9,4.5,6.2,,0.349,0.151,16,31,22,54.9,1544,5119,,,,,,0.484,,,2.1,1.3,1.0,0.07,9728,0.195,0.124,0.095,0.3,0.2,1.1,,2.1,174,0.009,0.006,26,22.1,-0.191,1.4,1.5,0.124,1.1,,,,,,,,,0.5,,0.05,0.076,
29,DGC,3,2015,10.7,3.3,7.0,,0.351,0.144,23,40,28,40.8,1443,4757,,,,,,0.459,,,1.8,1.4,1.2,0.236,9262,0.21,0.138,0.151,0.3,0.2,1.2,,2.2,277,0.006,0.003,36,15.6,-0.35,1.4,1.4,0.138,1.5,,,,,,,,,0.6,,0.066,0.883,
30,DGC,2,2015,10.6,4.9,6.7,,0.312,0.127,19,44,33,34.4,1167,2526,,,,,,0.267,,,1.2,1.3,1.0,0.241,8692,0.184,0.108,0.11,0.4,0.2,1.1,,3.7,209,0.026,0.011,29,19.5,-0.371,1.5,1.4,0.108,1.4,,,,,,,,,0.8,,-0.041,0.239,
