,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,DGW,4,2022,9.2,2.6,9.4,,0.327,0.106,28,55,36,5.0,4092,14330,,,,,,0.377,,,0.6,1.5,0.7,-0.2,6495,0.115,0.051,0.038,0.8,0.3,1.9,46.6,2.7,1900,0.342,0.131,47,13.0,-0.139,3.4,0.8,0.051,1.0,,,,,,,,,1.6,,-0.153,0.07,
1,DGW,3,2022,12.6,4.8,8.8,,0.463,0.165,21,28,15,10.0,5117,13398,,,,,,0.339,,,0.5,1.4,0.8,0.093,7668,0.067,0.036,0.03,1.1,0.4,1.8,,3.0,1717,0.44,0.138,34,17.5,-0.2,5.0,0.8,0.036,1.0,,,,,,,,,1.9,,-0.385,0.088,
2,DGW,2,2022,13.7,5.2,13.3,,0.453,0.164,23,36,19,7.8,4680,12319,,,,,,0.335,,,0.5,1.4,0.6,0.027,12472,0.065,0.035,0.028,0.6,0.2,1.1,,3.0,1787,0.076,0.015,40,15.9,-0.163,5.0,0.8,0.035,1.0,,,,,,,,,2.0,,0.044,0.033,
3,DGW,1,2022,17.2,6.6,14.0,,0.468,0.152,22,36,21,15.2,4557,11928,,,,,,0.299,,,0.4,1.4,0.6,0.158,11942,0.067,0.03,0.03,1.0,0.3,1.7,,3.3,1717,0.269,0.056,37,16.6,-0.143,4.6,0.8,0.03,1.3,,,,,,,,,2.3,,0.132,0.118,
4,DGW,4,2021,17.3,6.4,17.7,,0.449,0.137,21,34,32,30.0,3934,10667,,,,,,0.272,,,0.4,1.3,0.7,0.583,10551,0.077,0.045,0.041,0.6,0.2,1.3,,3.7,1505,0.837,0.127,24,17.1,-0.136,4.4,0.8,0.045,1.1,,,,,,,,,2.7,,0.617,0.225,
5,DGW,3,2021,26.3,7.5,20.8,,0.33,0.137,23,20,14,11.4,2485,8709,,,,,,0.387,,,0.6,1.5,1.1,0.084,6524,0.072,0.025,0.028,0.7,0.3,1.8,,2.6,1245,0.391,0.068,29,15.9,-0.018,5.6,0.8,0.025,1.4,,,,,,,,,1.6,,-0.324,0.045,
6,DGW,2,2021,15.5,4.3,22.5,,0.317,0.136,23,23,16,19.6,2293,8332,,,,,,0.407,,,0.7,1.6,1.1,0.216,9657,0.072,0.028,0.028,0.4,0.2,1.4,,2.5,1183,0.735,0.103,30,16.1,-0.022,6.0,0.8,0.028,1.3,,,,,,,,,1.5,,0.171,0.102,
7,DGW,1,2021,17.1,4.3,15.4,,0.283,0.12,23,19,16,21.1,1886,7563,,,,,,0.377,,,0.6,1.5,1.2,0.214,8246,0.064,0.023,0.021,0.5,0.2,1.7,,2.7,1055,0.651,0.148,26,15.9,-0.071,5.8,0.8,0.023,1.2,,,,,,,,,1.7,,0.232,0.079,
8,DGW,4,2020,15.1,3.3,19.0,,0.246,0.092,26,36,27,40.4,1553,7008,,,,,,0.373,,,0.6,1.5,1.1,0.159,6695,0.063,0.024,0.021,0.6,0.2,2.2,,2.7,944,0.767,0.171,34,14.3,-0.071,4.6,0.7,0.024,1.2,,,,,,,,,1.7,,0.145,0.08,
9,DGW,3,2020,11.1,2.3,14.3,,0.224,0.1,28,29,19,13.9,1340,6488,,,,,,0.456,,,0.8,1.7,1.1,0.118,5850,0.064,0.025,0.021,0.4,0.2,2.1,,2.2,897,0.2,0.064,38,13.1,-0.061,5.0,0.7,0.025,1.1,,,,,,,,,1.2,,0.11,0.031,
10,DGW,2,2020,8.5,1.6,11.4,,0.21,0.089,30,39,16,5.8,1198,6295,,,,,,0.462,,,0.9,1.8,0.9,0.083,5272,0.064,0.017,0.019,0.5,0.2,3.3,,2.2,911,0.259,0.116,53,12.2,-0.053,4.6,0.8,0.017,1.4,,,,,,,,,1.2,,-0.033,0.062,
11,DGW,1,2020,4.3,0.8,9.8,,0.204,0.096,30,36,9,4.9,1106,5927,,,,,,0.506,,,1.0,1.9,1.0,-0.391,5451,0.062,0.022,0.019,0.5,0.3,2.9,,2.0,859,0.094,0.05,58,12.0,-0.015,5.0,0.8,0.022,1.1,,,,,,,,,1.0,,0.095,-0.43,
12,DGW,4,2019,6.1,1.1,7.5,,0.191,0.069,24,64,28,6.6,1816,10401,,,,,,0.38,,,0.6,1.5,0.6,0.125,4977,0.066,0.023,0.02,0.7,0.3,3.5,,2.6,815,0.142,0.129,60,15.5,-0.017,3.7,1.3,0.023,1.1,,,,,,,,,1.6,,0.089,0.033,
13,DGW,3,2019,7.3,1.2,8.3,,0.176,0.077,37,39,17,5.6,1615,10071,,,,,,0.435,,,0.8,1.7,1.0,0.12,4569,0.069,0.025,0.02,0.7,0.3,3.3,,2.3,790,0.078,0.066,59,9.9,-0.029,4.1,1.3,0.025,1.0,,,,,,,,,1.3,,0.112,0.066,
14,DGW,2,2019,6.9,1.1,11.2,,0.166,0.071,35,48,13,3.2,1441,9451,,,,,,0.389,,,0.6,1.6,0.8,0.089,4108,0.06,0.025,0.017,1.1,0.4,4.2,,2.6,731,0.072,0.059,70,10.5,-0.052,3.7,1.3,0.025,0.9,,,,,,,,,1.6,,0.13,0.041,
15,DGW,1,2019,8.2,1.2,11.3,,0.155,0.072,31,48,7,2.4,1323,9078,,,,,,0.436,,,0.8,1.7,0.8,0.054,3636,0.059,0.02,0.018,1.0,0.4,4.6,,2.3,707,0.121,0.099,72,11.9,-0.053,3.7,1.2,0.02,1.1,,,,,,,,,1.3,,-0.005,0.049,
16,DGW,4,2018,8.7,1.3,10.4,,0.153,0.058,28,72,23,3.4,1256,8656,,,,,,0.344,,,0.5,1.5,0.6,0.098,3656,0.072,0.027,0.021,1.1,0.4,4.9,,2.9,672,0.093,0.076,77,12.9,-0.066,3.1,1.3,0.027,1.0,,,,,,,,,1.9,,0.131,0.044,
17,DGW,3,2018,11.4,1.6,11.9,,0.145,0.064,37,45,18,8.0,1144,8290,,,,,,0.441,,,0.8,1.7,1.0,0.096,3231,0.059,0.026,0.021,0.9,0.4,4.3,,2.3,641,0.053,0.041,63,10.0,-0.057,3.5,1.3,0.026,1.0,,,,,,,,,1.3,,0.095,0.052,
18,DGW,2,2018,11.9,1.6,10.9,,0.139,0.066,29,52,14,4.6,1043,7881,,,,,,0.477,,,0.9,1.8,0.9,0.029,2951,0.06,0.022,0.017,0.7,0.3,3.9,,2.1,604,0.154,0.105,68,12.5,-0.035,3.5,1.3,0.022,1.0,,,,,,,,,1.1,,0.041,-0.013,
19,DGW,1,2018,11.2,1.4,12.7,,0.133,0.07,35,51,10,3.6,1014,7987,,,,,,0.506,,,1.0,1.9,1.0,0.132,2835,0.057,0.021,0.015,0.8,0.4,4.0,,2.0,613,0.035,0.028,77,10.5,-0.022,3.4,1.3,0.021,0.9,,,,,,,,,1.0,,0.043,0.028,
20,DGW,4,2017,10.9,1.3,16.1,,0.12,0.055,33,82,25,2.7,895,7772,,,,,,0.43,,,0.8,1.7,0.7,0.16,2718,0.08,0.02,0.02,0.9,0.4,5.0,,2.3,599,0.049,0.03,91,10.9,-0.006,2.6,1.2,0.02,1.1,,,,,,,,,1.3,,0.064,0.043,
21,DGW,3,2017,10.3,1.1,15.0,,0.107,0.049,43,58,25,9.2,771,7450,,,,,,0.445,,,0.8,1.7,1.0,0.062,2554,0.072,0.03,0.024,0.7,0.3,5.1,,2.2,574,0.076,0.055,77,8.4,0.0,2.7,1.3,0.03,1.1,,,,,,,,,1.2,,0.082,0.044,
22,DGW,2,2017,9.4,1.0,13.8,,0.105,0.05,36,70,18,3.7,726,7136,,,,,,0.48,,,0.9,1.8,0.9,0.161,2361,0.073,0.032,0.026,0.7,0.3,5.4,,2.1,546,0.067,0.056,88,10.2,-0.038,2.8,1.3,0.032,1.0,,,,,,,,,1.1,,0.092,-0.011,
23,DGW,1,2017,11.7,1.0,12.5,,0.091,0.044,33,62,12,2.6,626,7219,,,,,,0.545,,,1.2,2.1,1.0,-0.179,2162,0.058,0.013,0.011,0.5,0.3,6.1,,1.8,555,0.036,0.037,83,11.1,-0.038,3.0,1.3,0.013,1.1,,,,,,,,,0.8,,-0.314,0.012,
24,DGW,4,2016,9.3,1.0,9.4,,0.109,0.053,31,71,22,3.3,762,7129,,,,,,0.482,,,0.9,1.8,0.8,-0.096,3152,0.07,0.016,0.011,0.5,0.3,4.1,,2.1,547,0.052,0.055,80,11.8,-0.09,3.0,1.3,0.016,0.9,,,,,,,,,1.1,,-0.083,0.019,
25,DGW,3,2016,8.1,1.0,8.7,,0.123,0.059,37,53,25,7.2,843,7000,,,,,,0.474,,,0.9,1.8,1.1,-0.026,3439,0.056,0.027,0.023,0.7,0.3,3.3,,2.1,534,0.271,0.257,66,9.9,-0.089,2.9,1.3,0.027,1.1,,,,,,,,,1.1,,-0.189,0.04,
26,DGW,2,2016,8.8,1.1,9.9,,0.129,0.054,40,66,24,2.2,866,6731,,,,,,0.466,,,0.9,1.8,0.8,-0.182,4239,0.055,0.021,0.012,0.8,0.4,4.0,22.2,2.1,533,0.027,0.023,82,9.1,-0.052,2.7,1.3,0.021,0.7,,,,,,,,,1.1,,-0.386,0.02,
