,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,FTS,4,2022,11.5,1.1,9.1,,0.101,0.043,1273.0,,3,,1633,17164,,,,,,0.633,,,1.7,2.6,2.6,-0.207,2658,0.613,0.508,0.418,0.4,0.2,2.5,,1.6,3148,0.078,0.071,,0.3,-0.087,0.1,0.8,0.508,1.0,,,,,,,,,0.6,,-0.19,0.028,
1,FTS,3,2022,15.4,1.9,8.3,,0.132,0.063,1045.0,,0,,2060,16700,,,,,,0.519,,,1.1,2.0,2.0,-0.47,3283,,,,0.3,0.2,2.0,,1.9,3060,0.202,0.155,,0.3,-0.125,0.2,,,1.0,,,,,,,,,0.9,,-0.482,0.014,
2,FTS,2,2022,7.3,1.7,7.1,,0.263,0.122,715.0,,1,,3885,16464,,,,,,0.516,,,1.1,2.0,2.0,-0.17,6338,0.602,0.521,0.35,0.3,0.2,1.2,,1.9,3012,0.102,0.056,,0.5,-0.148,0.2,0.7,0.521,1.0,,,,,,,,,0.9,,-0.177,0.024,
3,FTS,1,2022,9.2,2.7,6.3,,0.333,0.156,615.0,,0,,4682,16081,,,,,,0.407,,,0.7,1.6,1.6,0.08,7701,0.735,0.691,0.584,0.4,0.2,0.9,,2.5,2940,0.164,0.086,,0.6,-0.111,0.3,0.8,0.691,1.0,,,,,,,,,1.5,,0.089,0.052,
4,FTS,4,2021,10.7,3.0,7.3,,0.326,0.132,632.0,,2,,4337,15290,,,,,,0.315,,,0.5,1.4,1.4,0.095,7069,0.663,0.608,0.485,0.3,0.1,0.8,,3.2,2781,0.627,0.275,,0.6,-0.135,0.2,0.8,0.608,1.0,,,,,,,,,2.2,,0.119,0.062,
5,FTS,3,2021,10.9,3.0,8.8,,0.315,0.167,682.0,,0,,3961,14397,,,,,,0.43,,,0.8,1.7,1.7,0.474,6317,0.796,0.762,0.681,0.4,0.2,1.0,,2.3,2615,0.231,0.089,,0.5,-0.072,0.3,0.9,0.762,1.0,,,,,,,,,1.3,,0.439,0.098,
6,FTS,2,2021,10.7,2.2,16.5,,0.227,0.12,877.0,,1,,2686,13113,,,,,,0.415,,,0.7,1.7,1.7,0.268,4390,0.773,0.737,0.651,0.4,0.2,1.2,,2.4,2367,0.135,0.037,,0.4,-0.069,0.2,0.9,0.737,1.0,,,,,,,,,1.4,,0.161,0.09,
7,FTS,1,2021,5.6,1.0,11.2,,0.19,0.136,1042.0,,0,,2119,12036,,,,,,0.591,,,1.4,2.3,2.3,1.424,3782,0.751,0.697,0.618,0.3,0.2,0.7,,1.7,2155,0.016,0.008,,0.4,-0.065,0.2,0.9,0.697,1.0,,,,,,,,,0.7,,1.179,0.066,
8,FTS,4,2020,12.9,1.0,12.0,,0.079,0.058,1774.0,,1,,874,11289,,,,,,0.649,,,1.8,2.7,2.7,1.947,1736,0.702,0.615,0.546,0.3,0.2,2.2,,1.5,2009,0.094,0.089,,0.2,-0.041,0.1,0.9,0.615,1.0,,,,,,,,,0.5,,1.257,0.048,
9,FTS,3,2020,31.6,0.9,,,0.027,0.022,2719.0,,0,,296,10772,,,,,,0.767,,,3.3,4.0,4.0,0.836,769,0.678,0.544,0.449,0.3,0.2,4.5,,1.3,1906,0.131,,,0.1,-0.037,0.1,0.8,0.544,1.0,,,,,,,,,0.3,,0.501,0.023,
