,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,GMD,4,2022,15.3,2.2,11.8,,0.15,0.083,-57,12,97,7.4,3301,22985,,,,,,0.525,,,1.5,0.8,0.8,-0.001,4908.0,0.426,0.248,0.177,0.3,0.2,1.3,0.4,1.9,-649,0.172,0.09,-142,,-0.435,0.3,0.8,0.248,1.0,,,,,,,,,0.7,,0.054,-0.027,
1,GMD,3,2022,14.2,2.0,12.6,,0.153,0.092,-18,11,65,8.5,3304,23620,,,,,,0.606,,,2.2,1.0,1.0,0.134,4658.0,0.406,0.284,0.246,0.2,0.2,1.3,0.5,1.7,96,0.09,0.047,-72,,-0.339,0.4,0.7,0.284,1.2,,,,,,,,,0.4,,0.119,0.039,
2,GMD,2,2022,17.4,2.2,12.9,,0.135,0.081,-10,12,52,9.7,2914,22740,,,,,,0.602,,,2.1,1.0,0.9,0.201,4164.0,0.446,0.323,0.295,0.3,0.2,1.5,0.6,1.7,-17,0.088,0.049,-50,,-0.24,0.3,0.8,0.323,1.2,,,,,,,,,0.5,,0.09,0.039,
3,GMD,1,2022,23.5,2.6,14.9,,0.116,0.07,-45,13,67,8.1,2426,21884,,,,,,0.601,,,2.0,0.8,0.8,0.209,3819.0,0.4,0.275,0.311,0.3,0.2,1.6,0.9,1.7,-467,0.083,0.041,-100,,-0.185,0.3,0.8,0.275,1.4,,,,,,,,,0.5,,0.079,0.045,
4,GMD,4,2021,23.0,2.2,16.8,,0.099,0.059,-55,13,65,6.4,2006,20942,,,,,,0.588,,,1.9,0.7,0.7,0.296,3539.0,0.292,0.181,0.183,0.3,0.2,1.8,0.8,1.7,-578,0.09,0.04,-108,,-0.199,0.3,0.8,0.181,1.2,,,,,,,,,0.5,,0.134,0.069,
5,GMD,3,2021,32.0,2.5,17.1,,0.08,0.047,-62,16,74,4.3,1548,19597,,,,,,0.596,,,2.0,0.7,0.7,0.068,3121.0,0.362,0.181,0.174,0.3,0.2,2.0,0.8,1.7,-487,0.064,0.031,-120,,-0.163,0.3,0.7,0.181,1.4,,,,,,,,,0.5,,-0.022,-0.041,
6,GMD,2,2021,28.9,2.1,18.7,,0.072,0.043,-33,16,69,7.0,1450,20439,,,,,,0.602,,,2.1,0.9,0.9,0.095,3190.0,0.425,0.277,0.188,0.3,0.2,2.0,0.7,1.7,-189,0.072,0.032,-86,,-0.161,0.3,0.7,0.277,0.9,,,,,,,,,0.5,,0.05,0.019,
7,GMD,1,2021,24.9,1.6,17.7,,0.066,0.039,-65,16,88,5.4,1323,20052,,,,,,0.603,,,2.1,0.8,0.7,0.091,3038.0,0.377,0.231,0.214,0.3,0.2,2.2,0.6,1.7,-375,0.057,0.028,-138,,-0.104,0.3,0.8,0.231,1.2,,,,,,,,,0.5,,0.039,0.023,
8,GMD,4,2020,26.2,1.6,14.5,,0.062,0.037,-72,17,84,1.4,1213,19603,,,,,,0.599,,,2.0,0.8,0.7,-0.034,2924.0,0.281,0.066,0.073,0.3,0.2,2.3,0.7,1.7,-388,0.065,0.041,-139,,-0.066,0.3,0.6,0.066,1.8,,,,,,,,,0.5,,0.003,0.016,
9,GMD,3,2020,18.6,1.2,13.2,,0.063,0.038,-18,19,80,4.1,1255,19299,,,,,,0.592,,,2.0,0.7,0.7,-0.147,2914.0,0.373,0.21,0.14,0.3,0.2,2.2,0.6,1.7,-487,0.037,0.027,-79,,-0.119,0.3,0.7,0.21,1.0,,,,,,,,,0.5,,-0.029,-0.034,
10,GMD,2,2020,11.8,0.9,10.6,,0.073,0.044,-12,19,80,4.2,1472,19975,,,,,,0.598,,,2.0,0.8,0.8,-0.128,3002.0,0.423,0.259,0.17,0.3,0.2,2.2,0.6,1.7,-322,0.033,0.032,-73,,-0.116,0.3,0.7,0.259,0.9,,,,,,,,,0.5,,0.012,0.004,
11,GMD,1,2020,8.3,0.7,9.1,,0.085,0.05,-36,17,82,3.0,1688,19895,,,,,,0.583,,,1.9,0.7,0.6,-0.011,2966.0,0.395,0.196,0.189,0.3,0.2,2.4,0.5,1.7,-584,0.031,0.038,-101,,-0.095,0.3,0.8,0.196,1.2,,,,,,,,,0.5,,-0.021,0.022,
12,GMD,4,2019,12.7,1.1,8.7,,0.088,0.051,47,15,76,1.2,1708,19459,,,,,,0.579,,,1.8,0.7,0.6,-0.149,3030.0,0.299,0.068,0.1,0.3,0.2,2.4,0.4,1.7,-633,0.028,0.034,-14,7.8,-0.106,0.3,1.4,0.068,2.1,,,,,,,,,0.5,,-0.05,-0.063,
13,GMD,3,2019,12.0,1.2,9.2,,0.101,0.06,54,14,70,5.4,2007,20757,,,,,,0.628,,,2.3,1.2,1.1,0.027,3188.0,0.405,0.264,0.232,0.3,0.2,2.2,0.3,1.6,242,0.027,0.029,-3,6.8,-0.066,0.3,1.3,0.264,1.2,,,,,,,,,0.4,,-0.02,0.024,
14,GMD,2,2019,11.7,1.1,10.9,,0.098,0.059,57,15,82,4.2,1955,20267,,,,,,0.614,,,2.2,1.1,1.1,-0.136,3253.0,0.405,0.238,0.252,0.3,0.2,2.1,0.3,1.6,155,0.031,0.027,-10,6.4,-0.11,0.3,1.4,0.238,1.5,,,,,,,,,0.5,,0.028,0.019,
15,GMD,1,2019,10.3,1.2,11.4,,0.116,0.069,51,17,69,4.1,2262,19892,,,,,,0.601,,,2.0,1.0,1.0,-0.627,3165.0,0.397,0.235,0.19,0.3,0.2,2.3,0.4,1.7,62,0.02,0.017,-2,7.2,-0.262,0.3,1.3,0.235,1.1,,,,,,,,,0.5,,0.06,0.022,
16,GMD,4,2018,3.8,1.2,12.2,,0.301,0.173,58,17,107,2.3,6071,19469,,,,,,0.59,,,1.9,0.9,0.8,-0.02,2985.0,0.302,0.142,0.225,0.3,0.2,2.4,0.4,1.7,-172,0.026,0.022,-31,6.2,-0.307,0.3,1.2,0.142,1.9,,,,,,,,,0.5,,0.008,0.028,
17,GMD,3,2018,3.8,1.3,12.4,,0.315,0.181,60,14,78,5.8,6196,18944,,,,,,0.568,,,1.7,0.8,0.8,0.015,2962.0,0.392,0.267,0.209,0.4,0.2,2.4,0.4,1.8,-282,0.02,0.016,-3,6.1,-0.366,0.3,1.4,0.267,1.1,,,,,,,,,0.6,,-0.009,-0.037,
18,GMD,2,2018,3.4,1.1,10.9,,0.308,0.182,53,14,73,5.0,6106,19675,,,,,,0.593,,,1.9,0.9,0.9,0.098,2989.0,0.459,0.247,0.429,0.3,0.2,2.2,0.4,1.7,-112,0.028,0.027,-5,6.9,-0.427,0.3,1.1,0.247,1.9,,,,,,,,,0.5,,-0.212,0.038,
19,GMD,1,2018,4.6,1.3,10.3,,0.305,0.168,38,12,53,4.5,5560,18963,,,,,,0.58,,,1.8,1.0,1.0,2.325,3792.0,0.298,0.153,1.839,0.3,0.2,2.6,0.3,1.7,35,0.072,0.061,-3,9.6,-0.426,0.4,1.2,0.153,14.3,,,,,,,,,0.5,,-0.001,-0.093,
20,GMD,4,2017,16.2,1.3,9.9,,0.088,0.047,51,12,81,3.9,1672,20910,,,,,,0.561,,,1.7,0.8,0.8,0.232,3798.0,0.249,0.1,0.182,0.3,0.2,2.5,0.5,1.8,-426,0.11,0.102,-18,7.1,-0.388,0.4,1.1,0.1,2.1,,,,,,,,,0.6,,-0.015,0.026,
21,GMD,3,2017,21.8,1.4,15.4,,0.073,0.041,51,15,71,7.1,1357,20388,,,,,,0.578,,,1.9,1.0,1.0,0.06,3856.0,0.294,0.193,0.119,0.3,0.2,2.2,0.7,1.7,25,0.08,0.044,-6,7.1,-0.556,0.4,1.4,0.193,0.9,,,,,,,,,0.5,,0.062,0.019,
22,GMD,2,2017,22.7,1.5,15.0,,0.07,0.04,48,16,70,3.3,1281,20014,,,,,,0.588,,,2.0,1.0,0.9,-0.055,3633.0,0.27,0.173,0.096,0.2,0.2,2.2,0.8,1.7,-29,0.085,0.049,-5,7.6,-0.445,0.4,1.5,0.173,0.8,,,,,,,,,0.5,,-0.39,0.147,
23,GMD,1,2017,17.2,1.3,15.3,,0.078,0.042,40,14,75,3.1,1356,17453,,,,,,0.52,,,1.4,0.7,0.7,0.071,5952.0,0.227,0.129,0.111,0.4,0.3,2.5,1.8,1.9,-787,0.11,0.056,-20,9.1,-0.407,0.4,1.2,0.129,1.1,,,,,,,,,0.7,,-0.029,0.015,
24,GMD,4,2016,14.4,1.1,8.8,,0.075,0.041,44,14,71,3.4,1266,17198,,,,,,0.512,,,1.4,1.1,1.1,0.008,6129.0,0.246,0.124,0.093,0.4,0.2,2.4,0.3,2.0,203,0.124,0.117,-13,8.2,-0.404,0.4,1.2,0.124,0.9,,,,,,,,,0.7,,-0.019,0.013,
25,GMD,3,2016,15.7,1.2,6.9,,0.075,0.041,41,16,69,5.1,1256,16979,,,,,,0.541,,,1.5,1.3,1.2,-0.019,6247.0,0.258,0.169,0.106,0.4,0.2,2.2,0.2,1.8,499,0.158,0.177,-12,8.8,-0.216,0.4,1.3,0.169,0.8,,,,,,,,,0.7,,-0.027,0.022,
26,GMD,2,2016,14.2,1.1,6.5,,0.079,0.044,42,15,71,8.5,1280,16609,,,,,,0.541,,,1.5,1.3,1.2,-0.045,6420.0,0.318,0.231,0.126,0.4,0.2,2.1,0.2,1.8,538,0.154,0.174,-14,8.7,-0.295,0.4,1.2,0.231,0.7,,,,,,,,,0.7,,-0.175,-0.03,
27,GMD,1,2016,12.5,1.0,7.2,,0.08,0.046,36,15,63,5.3,1340,17121,,,,,,0.559,,,1.6,1.4,1.3,0.007,7783.0,0.26,0.167,0.081,0.3,0.2,2.1,0.2,1.8,599,0.174,0.205,-13,10.3,-0.22,0.4,1.4,0.167,0.7,,,,,,,,,0.6,,-0.01,0.032,
28,GMD,4,2015,13.7,1.1,6.4,,0.081,0.047,38,14,56,4.2,1332,16589,,,,,,0.575,,,1.6,1.8,1.8,0.289,7858.0,0.232,0.127,0.102,0.3,0.2,2.0,0.2,1.7,1215,0.168,0.182,-4,9.7,-0.208,0.4,1.2,0.127,0.9,,,,,,,,,0.6,,-0.038,0.128,
29,GMD,3,2015,13.5,0.9,6.7,,0.064,0.036,37,17,61,5.8,1033,14702,,,,,,0.497,,,1.4,2.1,2.0,0.29,8172.0,0.294,0.206,0.111,0.4,0.2,2.0,0.2,2.0,1712,0.19,0.194,-8,9.9,-0.134,0.4,1.3,0.206,0.7,,,,,,,,,0.7,,0.158,-0.004,
30,GMD,2,2015,15.8,0.9,7.2,,0.05,0.029,40,16,63,6.8,801,14759,,,,,,0.525,,,1.5,2.0,1.9,-0.573,7060.0,0.288,0.216,0.151,0.4,0.2,2.4,0.3,1.9,1507,0.195,0.2,-7,9.1,-0.095,0.4,1.3,0.216,0.9,,,,,,,,,0.7,,0.14,-0.03,
31,GMD,1,2015,5.9,0.7,7.4,,0.119,0.071,41,16,48,4.9,1875,15220,,,,,,0.559,,,1.7,2.8,2.7,0.049,6194.0,0.248,0.167,0.081,0.4,0.2,2.6,0.2,1.8,1888,0.188,0.232,9,9.0,-0.146,0.4,1.2,0.167,0.6,,,,,,,,,0.6,,0.193,0.006,
32,GMD,4,2014,,,7.5,,0.115,0.068,43,15,52,6.6,1787,15132,,,,,,0.555,,,1.6,2.6,2.5,0.065,5193.0,0.273,0.169,0.005,0.4,0.2,3.1,0.2,1.8,1784,0.188,0.261,6,8.5,-0.158,0.4,7.7,0.169,0.2,,,,,,,,,0.6,,0.211,0.008,
33,GMD,3,2014,,,9.6,,0.108,0.064,41,21,62,1.8,1678,15009,,,,,,0.552,,,1.6,2.3,2.2,0.012,4288.0,0.21,0.08,0.045,0.4,0.2,3.5,0.2,1.8,1645,0.181,0.219,-1,9.0,-0.195,0.4,1.3,0.08,0.7,,,,,,,,,0.6,,0.007,0.006,
34,GMD,2,2014,,,10.9,,0.108,0.063,45,21,66,2.8,1657,14927,,,,,,0.535,,,1.5,2.3,2.2,15.222,4256.0,0.201,0.1,0.625,0.4,0.2,3.7,0.3,1.9,1779,0.283,0.345,0,8.1,-0.194,0.3,1.2,0.1,7.7,,,,,,,,,0.7,,0.033,0.073,
35,GMD,1,2014,,,10.3,,0.007,0.004,45,18,51,1.3,102,13913,,,,,,0.54,,,1.6,1.9,1.8,-0.776,4120.0,0.164,0.054,0.064,0.4,0.2,3.6,0.4,1.9,1141,0.118,0.153,11,8.2,-0.338,0.3,1.3,0.054,1.5,,,,,,,,,0.6,,0.094,0.039,
36,GMD,4,2013,,,11.8,,0.031,0.019,46,15,42,2.1,457,13388,,,,,,0.529,,,1.6,2.1,2.0,-0.29,3767.0,0.203,0.082,-0.04,0.4,0.2,3.6,0.4,1.9,1311,0.098,0.11,19,7.9,-0.261,0.4,-0.5,0.082,0.2,,,,,,,,,0.6,,0.068,-0.007,
37,GMD,3,2013,,,9.9,,0.044,0.027,47,18,57,1.9,643,13487,,,,,,0.537,,,1.7,2.0,1.9,-0.063,3527.0,0.18,0.081,0.042,0.4,0.2,3.6,0.5,1.9,1263,0.137,0.203,8,7.8,-0.202,0.3,1.2,0.081,0.6,,,,,,,,,0.6,,0.048,0.004,
38,GMD,2,2013,,,10.7,,0.047,0.029,48,17,63,1.9,687,13432,,,,,,0.537,,,1.7,2.0,1.9,-0.017,3364.0,0.182,0.093,-0.012,0.3,0.2,3.5,0.5,1.9,1253,0.152,0.21,3,7.6,-0.206,0.3,0.4,0.093,-0.1,,,,,,,,,0.6,,0.023,-0.057,
