,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,KDC,4,2022,41.0,2.1,25.9,,0.052,0.025,46,84,24.0,-1.5,1365,26595,,,,,,0.487,,,1.0,1.3,0.9,-0.25,2434.0,0.097,,0.005,0.7,0.4,7.0,5.5,2.1,1549,0.156,0.076,106.0,7.9,-0.089,0.9,0.6,,-0.2,,,,,,,,,1.0,,-0.307,0.006,
1,KDC,3,2022,34.3,2.4,19.5,,0.073,0.034,65,65,17.0,1.7,1819,26434,,,,,,0.503,,,1.1,1.3,0.9,-0.161,3511.0,0.172,0.029,0.008,0.6,0.3,3.9,4.3,2.0,1614,0.138,0.061,113.0,5.6,-0.11,0.9,0.4,0.029,0.6,,,,,,,,,0.9,,0.022,0.02,
2,KDC,2,2022,29.6,2.5,19.3,,0.089,0.041,64,58,20.0,5.5,2169,25906,,,,,,0.502,,,1.1,1.3,1.0,-0.073,3434.0,0.257,0.081,0.06,0.5,0.3,3.8,4.0,2.0,1454,0.199,0.086,102.0,5.7,-0.089,0.9,0.8,0.081,1.0,,,,,,,,,0.9,,0.065,0.01,
3,KDC,1,2022,22.5,2.1,20.7,,0.097,0.046,65,62,11.0,3.0,2340,25642,,,,,,0.508,,,1.1,1.3,0.9,0.022,3224.0,0.19,0.053,0.037,0.6,0.3,4.2,4.2,2.0,1357,0.135,0.06,116.0,5.6,-0.09,0.9,0.7,0.053,1.0,,,,,,,,,0.9,,0.031,-0.011,
4,KDC,4,2021,23.1,2.0,19.1,,0.095,0.044,57,80,25.0,3.8,2290,25931,,,,,,0.472,,,1.0,1.3,0.8,0.157,3127.0,0.203,0.061,0.043,0.7,0.3,4.1,3.7,2.1,1613,0.186,0.098,112.0,6.4,-0.087,0.8,0.7,0.061,1.1,,,,,,,,,1.1,,0.147,0.112,
5,KDC,3,2021,28.9,2.5,23.6,,0.087,0.04,93,55,15.0,1.8,1978,23312,,,,,,0.437,,,1.4,1.7,1.3,0.02,2726.0,0.192,0.03,0.045,0.5,0.3,4.0,2.7,2.3,2888,0.253,0.149,133.0,3.9,-0.051,0.8,0.8,0.03,1.9,,,,,,,,,0.7,,-0.077,0.019,
6,KDC,2,2021,30.9,2.6,21.5,,0.087,0.039,91,55,18.0,4.9,1939,22868,,,,,,0.431,,,1.4,1.7,1.3,0.734,2952.0,0.195,0.086,0.097,0.5,0.3,3.8,2.6,2.3,2754,0.226,0.134,128.0,4.0,-0.053,0.7,1.3,0.086,0.8,,,,,,,,,0.7,,0.194,0.011,
7,KDC,1,2021,45.5,2.3,27.7,,0.049,0.023,100,55,10.0,3.1,1118,22612,,,,,,0.45,,,1.5,1.7,1.4,0.404,2472.0,0.19,0.054,0.04,0.5,0.3,4.3,3.6,2.2,2596,0.168,0.095,145.0,3.7,-0.04,0.7,0.6,0.054,1.2,,,,,,,,,0.7,,0.164,0.016,
8,KDC,4,2020,45.0,1.6,26.7,,0.035,0.017,86,58,24.0,1.8,797,22255,,,,,,0.463,,,1.6,1.4,1.1,0.347,2124.0,0.192,0.021,0.022,0.3,0.2,3.9,286.3,2.2,1675,0.143,0.094,120.0,4.3,-0.04,0.7,0.6,0.021,1.6,,,,,,,,,0.6,,0.042,0.007,
9,KDC,3,2020,58.3,1.6,24.8,,0.026,0.013,103,51,18.0,4.2,591,22103,,,,,,0.479,,,2.0,1.7,1.4,1.209,2039.0,0.227,0.059,0.045,0.3,0.2,4.0,9.4,2.1,2108,0.12,0.1,137.0,3.5,-0.032,0.7,0.7,0.059,1.1,,,,,,,,,0.5,,0.233,0.019,
