,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,MSN,4,2022,32.1,4.4,19.8,,0.121,0.027,-21,90,50,0.9,2505,18369,,,,,,0.185,,,0.3,0.7,0.5,-0.627,6970,0.269,0.067,0.022,1.9,0.5,7.1,1.3,5.4,-17646,0.378,0.121,20,,-0.097,0.6,0.5,0.067,0.7,,,,,,,,,2.9,,-0.107,0.02,
1,MSN,3,2022,14.7,5.5,20.7,,0.405,0.076,-68,90,48,1.0,6712,18016,,,,,,0.2,,,0.4,0.6,0.4,-0.059,7807,0.278,0.059,0.028,1.7,0.5,6.0,1.9,5.0,-26809,0.17,0.042,-27,,-0.083,0.6,0.6,0.059,0.8,,,,,,,,,2.6,,-0.07,-0.122,
2,MSN,2,2022,15.6,5.4,16.0,,0.402,0.083,-42,81,42,0.9,7136,20510,,,,,,0.233,,,0.4,0.7,0.4,0.019,8398,0.279,0.057,0.055,1.5,0.5,5.4,1.2,4.3,-15529,0.25,0.082,-3,,-0.08,0.7,0.8,0.057,1.2,,,,,,,,,2.2,,-0.118,0.062,
3,MSN,1,2022,16.8,6.1,18.9,,0.457,0.083,-14,74,40,1.0,7003,19306,,,,,,0.221,,,0.4,1.0,0.7,0.164,9520,0.28,0.062,0.088,1.6,0.5,5.4,0.5,4.5,-388,0.336,0.079,19,,-0.066,0.7,0.8,0.062,1.8,,,,,,,,,2.4,,0.027,-0.162,
4,MSN,4,2021,23.5,6.1,20.9,,0.351,0.071,0,69,40,2.2,6014,23045,,,,,,0.26,,,0.5,1.3,0.9,2.581,9269,0.289,0.104,0.27,1.4,0.5,5.5,0.5,3.8,9082,0.527,0.132,29,,-0.061,0.7,0.8,0.104,3.2,,,,,,,,,2.0,,0.029,0.525,
5,MSN,3,2021,70.1,7.8,22.0,,0.114,0.021,-31,70,38,1.6,1679,15112,,,,,,0.174,,,0.4,0.9,0.6,0.141,9009,0.258,0.078,0.049,1.9,0.5,5.4,0.5,5.7,-2970,0.38,0.071,1,,-0.067,0.7,0.6,0.078,1.0,,,,,,,,,2.8,,0.231,0.008,
6,MSN,2,2021,62.0,6.1,27.8,,0.094,0.019,-36,71,35,1.1,1471,14993,,,,,,0.177,,,0.4,0.9,0.6,0.397,7321,0.228,0.06,0.037,1.9,0.5,6.4,0.5,5.7,-3726,0.367,0.064,0,,-0.084,0.7,0.7,0.06,0.9,,,,,,,,,2.8,,0.216,0.32,
7,MSN,1,2021,71.9,6.7,30.6,,0.051,0.014,-20,66,35,0.6,1053,11359,,,,,,0.139,,,0.3,0.8,0.5,0.215,6021,0.216,0.034,0.009,2.5,0.5,7.3,0.5,7.2,-6446,0.28,0.047,11,,-0.076,0.7,0.4,0.034,0.7,,,,,,,,,3.6,,0.126,0.015,
8,MSN,4,2020,84.0,6.5,27.3,,0.042,0.012,-36,68,37,1.0,866,11194,,,,,,0.138,,,0.3,0.8,0.4,-0.489,5347,0.241,0.054,0.012,2.5,0.5,7.3,0.6,7.3,-9114,0.308,0.067,-5,,-0.081,0.7,0.3,0.054,0.8,,,,,,,,,3.6,,0.203,-0.225,
9,MSN,3,2020,26.0,3.1,29.2,,0.089,0.027,-39,63,26,0.6,1697,14441,,,,,,0.188,,,0.4,0.7,0.4,-0.363,4446,0.238,0.032,0.042,1.9,0.5,7.6,0.7,5.3,-11883,0.196,0.058,-3,,-0.067,0.7,0.8,0.032,1.7,,,,,,,,,2.8,,-0.105,-0.112,
10,MSN,2,2020,16.4,2.7,26.0,,0.139,0.044,-54,78,31,-0.2,2664,16255,,,,,,0.22,,,0.4,0.7,0.3,-0.178,4970,0.219,,0.011,1.6,0.5,6.2,0.8,4.5,-12527,0.15,0.048,-8,,-0.058,0.6,0.6,,-1.7,,,,,,,,,2.4,,-0.156,-0.454,
11,MSN,1,2020,12.2,1.3,15.0,,0.127,0.054,-20,81,36,0.1,3240,29769,,,,,,0.403,,,1.0,0.9,0.6,-0.312,5888,0.225,0.003,,0.8,0.4,4.6,1.3,2.5,-2160,0.072,0.064,26,,-0.088,0.6,,0.003,-1.1,,,,,,,,,1.0,,-0.096,-0.179,
12,MSN,4,2019,11.8,1.5,12.1,,0.154,0.069,14,96,48,3.3,4707,36237,,,,,,0.44,,,1.1,0.8,0.5,0.059,6510,0.308,0.142,0.132,0.6,0.3,3.4,1.6,2.3,-6230,0.131,0.099,62,27.0,-0.091,0.5,1.4,0.142,1.3,,,,,,,,,0.9,,0.006,0.271,
13,MSN,3,2019,17.3,2.7,11.3,,0.205,0.076,11,74,28,1.8,4444,28500,,,,,,0.465,,,1.1,0.9,0.6,0.393,6474,0.271,0.1,0.248,0.7,0.4,4.0,1.5,2.2,-2516,0.191,0.118,57,33.6,-0.145,0.6,1.2,0.1,3.0,,,,,,,,,0.9,,-0.058,0.076,
14,MSN,2,2019,25.5,3.1,13.8,,0.156,0.057,11,75,30,2.7,3191,26495,,,,,,0.46,,,1.1,0.8,0.5,-0.241,6875,0.288,0.132,0.11,0.7,0.4,3.7,1.0,2.2,-3992,0.134,0.056,56,33.2,-0.132,0.6,1.3,0.132,1.0,,,,,,,,,0.9,,-0.013,0.035,
15,MSN,1,2019,19.6,3.2,14.6,,0.22,0.078,10,73,31,2.6,4206,25587,,,,,,0.464,,,1.2,0.8,0.4,0.01,6969,0.302,0.142,0.106,0.7,0.4,3.6,0.8,2.2,-2853,0.088,0.033,51,37.4,-0.103,0.6,1.3,0.142,1.0,,,,,,,,,0.9,,-0.021,0.024,
16,MSN,4,2018,18.2,3.0,16.5,,0.222,0.077,13,60,33,2.8,4164,24977,,,,,,0.457,,,1.1,0.8,0.5,-0.133,7116,0.306,0.13,0.098,0.6,0.3,3.4,0.7,2.2,-3296,0.135,0.045,40,27.8,-0.089,0.6,1.3,0.13,1.0,,,,,,,,,0.9,,-0.008,0.674,
17,MSN,3,2018,18.9,6.1,15.1,,0.309,0.087,11,68,30,1.8,4801,14925,,,,,,0.272,,,0.5,1.0,0.6,-0.002,7171,0.302,0.151,0.082,1.5,0.5,4.1,0.3,3.7,-353,0.222,0.054,48,34.3,-0.082,0.6,1.5,0.151,0.8,,,,,,,,,1.9,,0.015,0.036,
18,MSN,2,2018,16.1,5.4,19.8,,0.322,0.088,10,74,31,1.8,4810,14412,,,,,,0.265,,,0.5,1.0,0.6,0.542,7065,0.306,0.143,0.241,1.6,0.5,4.2,0.3,3.8,-253,0.251,0.05,52,38.4,-0.07,0.6,1.1,0.143,1.9,,,,,,,,,1.9,,0.072,0.146,
19,MSN,1,2018,35.7,8.8,15.2,,0.243,0.057,10,77,31,1.8,3118,12577,,,,,,0.24,,,0.5,0.9,0.6,0.187,6590,0.334,0.163,0.099,1.8,0.6,4.9,0.3,4.2,-1402,0.224,0.051,57,35.2,-0.077,0.6,1.4,0.163,0.9,,,,,,,,,2.2,,-0.099,0.001,
20,MSN,4,2017,28.6,6.0,17.3,,0.206,0.045,12,68,33,1.7,2628,12567,,,,,,0.234,,,0.5,1.0,0.7,0.439,7312,0.334,0.155,0.186,1.7,0.5,5.4,0.4,4.3,-388,0.367,0.079,47,29.9,-0.071,0.6,1.2,0.155,1.5,,,,,,,,,2.1,,-0.045,-0.223,
21,MSN,3,2017,29.6,3.3,16.9,,0.124,0.031,10,63,28,1.7,1826,16169,,,,,,0.289,,,0.6,1.2,0.9,-0.025,7660,0.308,0.131,0.08,1.3,0.5,5.1,0.3,3.5,2651,0.19,0.05,45,34.8,-0.081,0.6,1.4,0.131,0.9,,,,,,,,,1.6,,-0.049,0.045,
22,MSN,2,2017,22.0,2.7,12.6,,0.13,0.033,9,57,26,0.9,1873,15470,,,,,,0.279,,,0.6,1.1,0.7,-0.203,8058,0.302,0.084,0.023,1.4,0.5,4.6,0.3,3.6,1445,0.252,0.088,40,40.8,-0.093,0.6,1.6,0.084,0.4,,,,,,,,,1.7,,-0.095,0.177,
23,MSN,1,2017,19.6,3.5,9.6,,0.181,0.041,9,58,20,0.9,2350,13140,,,,,,0.229,,,0.4,1.4,0.9,-0.006,8903,0.289,0.096,0.028,1.9,0.6,4.5,0.2,4.4,4957,0.343,0.145,47,41.4,-0.094,0.6,1.5,0.096,0.4,,,,,,,,,2.3,,-0.198,0.016,
24,MSN,4,2016,17.1,3.1,9.3,,0.175,0.039,9,59,28,2.2,2364,12940,,,,,,0.209,,,0.4,1.3,1.0,0.018,11094,0.31,0.145,0.072,2.0,0.6,4.6,0.3,4.8,4978,0.647,0.26,40,39.8,-0.103,0.6,1.5,0.145,0.7,,,,,,,,,2.6,,0.024,-0.034,
25,MSN,3,2016,18.9,3.3,9.5,,0.174,0.039,12,62,25,1.9,2322,13401,,,,,,0.216,,,0.5,1.4,1.1,0.276,10833,0.298,0.146,0.074,1.8,0.6,4.7,0.3,4.6,7115,0.502,0.243,49,29.4,-0.128,0.6,1.5,0.146,0.8,,,,,,,,,2.1,,0.082,0.008,
26,MSN,2,2016,22.8,3.1,10.4,,0.138,0.031,13,64,33,2.3,1820,13297,,,,,,0.229,,,0.5,1.4,1.1,0.244,10013,0.305,0.155,0.075,1.6,0.5,4.9,0.3,4.4,5135,0.369,0.174,43,28.4,-0.163,0.6,1.6,0.155,0.8,,,,,,,,,2.0,,0.129,0.041,
27,MSN,1,2016,30.5,3.5,12.3,,0.115,0.03,19,42,20,1.3,1463,12780,,,,,,0.224,,,0.5,1.5,1.2,0.168,8866,0.275,0.102,0.029,1.5,0.5,4.4,0.2,4.5,6093,0.199,0.091,41,19.0,-0.18,0.6,2.0,0.102,0.6,,,,,,,,,1.9,,0.11,-0.092,
28,MSN,4,2015,38.6,3.4,13.4,,0.093,0.024,31,53,26,2.4,1252,14073,,,,,,0.231,,,0.6,1.1,0.8,-0.25,7990,0.321,0.154,0.078,1.3,0.5,5.0,0.3,4.3,1704,0.307,0.159,58,11.7,-0.169,0.5,1.8,0.154,0.9,,,,,,,,,1.7,,0.227,0.058,
