,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,PC1,4,2022,17.1,1.5,9.0,,0.092,0.022,59,49,83,2.2,1664,18891,,,,,,0.236,,,0.5,1.3,1.2,0.115,7692,0.217,0.188,0.08,1.7,0.6,5.4,0.4,4.2,1964,0.416,0.381,25,6.2,-0.152,0.4,0.6,0.188,0.7,,,,,,,,,2.1,,-0.082,0.038,
1,PC1,3,2022,18.9,1.6,9.3,,0.086,0.021,59,57,122,1.9,1492,18200,,,,,,0.231,,,0.4,1.3,1.2,-0.162,8382,0.132,0.1,0.022,1.7,0.5,5.4,0.4,4.3,2048,0.511,0.486,-6,6.2,-0.248,0.4,1.4,0.1,0.2,,,,,,,,,2.2,,0.062,0.013,
2,PC1,2,2022,19.3,1.9,8.9,,0.105,0.027,6,59,94,2.0,1780,17970,,,,,,0.247,,,0.5,1.3,1.1,-0.354,7890,0.228,0.186,0.042,1.6,0.5,5.1,0.4,4.1,1636,0.402,0.501,-29,61.7,-0.39,0.5,0.9,0.186,0.3,,,,,,,,,2.0,,0.139,0.005,
3,PC1,1,2022,14.9,2.3,12.5,,0.168,0.047,28,38,65,2.6,2757,17876,,,,,,0.252,,,0.5,1.2,1.1,0.079,6925,0.237,0.2,0.09,1.6,0.5,5.0,0.4,4.0,1078,0.348,0.246,0,13.1,-0.406,0.6,0.7,0.2,0.6,,,,,,,,,2.0,,0.218,0.03,
4,PC1,4,2021,13.4,2.0,13.9,,0.159,0.047,51,35,59,3.5,2555,17363,,,,,,0.25,,,0.5,1.1,1.0,0.013,5686,0.186,0.15,0.066,1.4,0.5,5.3,0.4,4.0,720,0.365,0.247,27,7.2,-0.58,0.7,0.7,0.15,0.6,,,,,,,,,2.0,,-0.064,0.044,
5,PC1,3,2021,12.8,1.9,14.9,,0.163,0.049,48,43,73,3.0,2522,16632,,,,,,0.253,,,0.5,1.1,0.9,-0.022,6075,0.101,0.079,0.046,1.3,0.4,5.4,0.5,4.0,593,0.295,0.215,19,7.6,-0.884,0.7,0.8,0.079,0.8,,,,,,,,,1.9,,0.024,0.033,
6,PC1,2,2021,8.6,1.4,14.6,,0.173,0.055,12,58,74,2.0,2579,16103,,,,,,0.273,,,0.6,0.8,0.7,0.417,5933,0.081,0.051,0.11,1.1,0.4,4.9,1.9,3.7,-1368,0.153,0.11,-4,29.6,-0.665,0.7,0.8,0.051,2.7,,,,,,,,,1.7,,-0.042,0.072,
7,PC1,1,2021,12.8,1.6,8.8,,0.13,0.046,42,66,81,2.2,1820,15017,,,,,,0.323,,,0.7,1.1,0.9,-0.025,6192,0.121,0.083,0.051,0.9,0.4,3.8,1.2,3.1,412,0.258,0.259,28,8.6,-0.705,0.6,0.8,0.083,0.8,,,,,,,,,1.4,,-0.01,0.02,
8,PC1,4,2020,9.9,1.3,7.6,,0.136,0.053,98,72,73,3.2,1868,14719,,,,,,0.371,,,0.8,1.5,1.3,0.183,6252,0.129,0.082,0.054,0.8,0.4,3.1,0.7,2.7,2023,0.31,0.303,98,3.7,-0.302,0.7,0.8,0.082,0.9,,,,,,,,,1.3,,0.043,0.025,
9,PC1,3,2020,9.3,1.0,8.2,,0.118,0.046,121,103,65,3.9,1578,14362,,,,,,0.383,,,0.8,1.6,1.3,0.237,5993,0.204,0.147,0.097,0.8,0.4,3.7,0.7,2.6,2081,0.22,0.235,160,3.0,-0.291,0.6,0.8,0.147,0.8,,,,,,,,,1.2,,0.088,0.043,
