,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,PTB,4,2022,5.9,1.1,4.4,,0.194,0.091,32,121,36,5.5,7158,39502,,,,,,0.513,,,1.1,1.3,0.6,-0.092,17509,0.194,0.075,0.044,0.6,0.3,1.8,9.0,1.9,757,0.103,0.098,118,11.4,-0.147,1.3,0.8,0.075,0.7,,,,,,,,,0.9,,-0.044,0.002,
1,PTB,3,2022,6.4,1.3,4.5,,0.22,0.098,30,126,34,4.7,7885,39441,,,,,,0.502,,,1.1,1.3,0.5,-0.085,18309,0.219,0.103,0.075,0.6,0.3,1.8,21.4,2.0,633,0.07,0.06,122,12.2,-0.169,1.3,0.8,0.103,0.9,,,,,,,,,0.9,,-0.053,0.045,
2,PTB,2,2022,6.9,1.6,4.5,,0.255,0.107,20,117,35,9.7,8613,37735,,,,,,0.469,,,0.9,1.2,0.6,0.059,19324,0.247,0.134,0.082,0.7,0.4,1.8,19.1,2.1,511,0.125,0.1,102,18.5,-0.179,1.3,0.8,0.134,0.8,,,,,,,,,1.1,,-0.096,0.044,
3,PTB,1,2022,10.3,2.3,5.6,,0.247,0.104,25,113,31,6.7,8137,36153,,,,,,0.451,,,0.9,1.2,0.6,0.081,21365,0.232,0.116,0.082,0.8,0.4,2.0,5.9,2.2,609,0.081,0.05,106,14.9,-0.21,1.3,0.8,0.116,0.9,,,,,,,,,1.2,,0.069,0.059,
4,PTB,4,2021,9.1,2.0,7.7,,0.241,0.1,23,119,39,6.1,7528,34123,,,,,,0.427,,,0.8,1.2,0.5,0.014,19991,0.213,0.102,0.071,0.8,0.4,1.9,4.5,2.3,456,0.057,0.025,103,15.8,-0.296,1.3,0.8,0.102,0.9,,,,,,,,,1.3,,0.022,0.056,
5,PTB,3,2021,10.7,2.5,7.5,,0.252,0.1,18,118,35,8.2,7423,32328,,,,,,0.395,,,0.7,1.2,0.5,0.149,19553,0.241,0.126,0.096,1.0,0.4,2.0,3.8,2.5,501,0.06,0.027,101,20.1,-0.251,1.3,0.8,0.126,1.0,,,,,,,,,1.5,,0.094,0.081,
6,PTB,2,2021,9.5,2.1,8.8,,0.229,0.09,12,115,34,7.6,6458,29907,,,,,,0.373,,,0.6,1.1,0.5,0.106,17877,0.211,0.098,0.076,1.0,0.4,2.2,4.5,2.7,255,0.052,0.02,93,30.3,-0.284,1.2,0.8,0.098,1.0,,,,,,,,,1.6,,0.056,0.008,
7,PTB,1,2021,9.7,1.9,8.0,,0.206,0.083,21,117,37,6.4,5838,29680,,,,,,0.391,,,0.7,1.1,0.5,0.108,16934,0.229,0.1,0.071,1.0,0.4,2.3,4.5,2.6,309,0.086,0.039,101,17.6,-0.294,1.2,0.8,0.1,0.9,,,,,,,,,1.5,,0.064,0.05,
8,PTB,4,2020,7.7,1.4,6.8,,0.193,0.079,23,115,38,7.1,5271,28264,,,,,,0.403,,,0.7,1.2,0.5,-0.043,15912,0.2,0.09,0.074,0.9,0.4,2.3,3.2,2.5,368,0.084,0.045,100,16.0,-0.255,1.2,0.8,0.09,1.0,,,,,,,,,1.4,,-0.033,0.065,
9,PTB,3,2020,6.6,1.4,5.7,,0.217,0.088,14,104,37,7.0,5506,26548,,,,,,0.4,,,0.7,1.1,0.5,-0.034,16449,0.213,0.1,0.069,0.9,0.4,2.1,4.2,2.5,131,0.091,0.057,81,26.0,-0.285,1.3,0.8,0.1,0.9,,,,,,,,,1.4,,0.012,0.004,
