,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,PVD,4,2022,-127.8,0.9,17.5,,-0.007,-0.005,176,63,49,1.2,-172,24922,,,,,,0.67,,,2.1,2.0,1.6,-0.043,1740.0,0.179,0.05,0.037,0.3,0.2,4.6,0.3,1.5,2735,0.14,0.161,190,2.1,-0.01,0.3,1.5,0.05,0.5,,,,,,,,,0.5,,0.119,-0.008,
1,PVD,3,2022,-110.1,0.8,18.8,,-0.007,-0.005,181,63,40,0.5,-179,25120,,,,,,0.668,,,2.1,2.0,1.6,-144.676,1555.0,0.094,0.018,,0.3,0.2,5.2,0.3,1.5,2725,0.105,0.128,205,2.0,-0.021,0.3,,0.018,-2.0,,,,,,,,,0.5,,0.034,0.019,
2,PVD,2,2022,12052.0,0.6,18.0,,0.0,0.0,195,63,52,-0.2,1,24642,,,,,,0.659,,,2.0,1.9,1.6,-0.99,1503.0,0.082,,,0.3,0.2,5.7,0.3,1.5,2597,0.085,0.124,205,1.9,-0.026,0.2,,,7.1,,,,,,,,,0.5,,-0.061,0.01,
3,PVD,1,2022,216.6,1.1,17.3,,0.005,0.003,191,75,56,-0.7,119,24393,,,,,,0.661,,,2.1,1.8,1.6,2.516,1600.0,0.061,,,0.3,0.2,5.9,0.2,1.5,2441,0.069,0.112,209,1.9,-0.026,0.2,,,3.7,,,,,,,,,0.5,,0.332,-0.002,
4,PVD,4,2021,660.2,0.9,26.8,,0.001,0.001,216,86,77,1.4,34,24450,,,,,,0.655,,,2.0,1.8,1.6,-0.346,1201.0,0.102,0.028,0.037,0.3,0.2,7.7,0.2,1.5,2428,0.082,0.11,225,1.7,-0.046,0.2,0.9,0.028,1.4,,,,,,,,,0.5,,0.26,0.002,
5,PVD,3,2021,332.2,0.7,42.9,,0.002,0.001,269,82,72,1.3,51,24403,,,,,,0.662,,,2.1,1.9,1.7,38.217,954.0,0.118,0.034,0.066,0.3,0.2,9.6,0.2,1.5,2479,0.056,0.056,278,1.4,-0.049,0.2,1.0,0.034,2.0,,,,,,,,,0.5,,0.208,-0.005,
6,PVD,2,2021,12571.0,0.7,46.3,,0.0,0.0,269,74,73,0.5,1,24535,,,,,,0.663,,,2.1,2.0,1.8,-0.987,790.0,0.131,0.011,0.006,0.3,0.2,11.6,0.2,1.5,2742,0.053,0.062,270,1.4,-0.043,0.2,0.1,0.011,3.6,,,,,,,,,0.5,,0.452,-0.002,
7,PVD,1,2021,168.3,0.7,48.4,,0.004,0.003,236,78,63,-4.1,101,24577,,,,,,0.658,,,2.0,1.9,1.5,-0.694,544.0,,,,0.3,0.2,17.1,0.2,1.5,2363,0.06,0.11,250,1.5,-0.064,0.2,,,0.9,,,,,,,,,0.5,,-0.528,-0.009,
8,PVD,4,2020,37.0,0.5,21.9,,0.013,0.009,183,66,55,-2.4,332,24811,,,,,,0.661,,,2.1,1.8,1.5,-0.305,1151.0,0.044,,0.072,0.3,0.2,7.8,0.2,1.5,2310,0.077,0.129,195,2.0,-0.04,0.3,1.1,,-0.8,,,,,,,,,0.5,,-0.196,-0.001,
9,PVD,3,2020,18.3,0.4,15.3,,0.019,0.013,178,49,46,0.4,477,24825,,,,,,0.658,,,2.0,1.9,1.7,0.046,1432.0,0.062,0.009,0.031,0.3,0.2,6.2,0.2,1.5,2658,0.12,0.243,180,2.1,-0.027,0.3,0.7,0.009,4.6,,,,,,,,,0.5,,-0.153,0.001,
10,PVD,2,2020,16.6,0.3,9.9,,0.018,0.012,190,52,47,-0.4,456,24808,,,,,,0.658,,,2.0,1.9,1.7,-0.156,1692.0,0.039,,0.042,0.3,0.2,5.5,0.2,1.5,2776,0.125,0.388,194,1.9,-0.026,0.3,0.9,,-6.4,,,,,,,,,0.5,,-0.12,-0.011,
11,PVD,1,2020,9.5,0.2,7.8,,0.022,0.014,210,58,59,1.9,540,25076,,,,,,0.653,,,2.0,2.0,1.7,0.204,1922.0,0.094,0.038,0.014,0.3,0.2,4.9,0.2,1.5,2946,0.127,0.476,209,1.7,-0.002,0.2,0.9,0.038,0.4,,,,,,,,,0.5,,0.238,-0.235,
12,PVD,4,2019,33.5,0.5,10.1,,0.014,0.009,134,73,82,0.7,449,32793,,,,,,0.662,,,2.1,2.1,1.8,-0.565,1552.0,0.104,0.017,0.101,0.3,0.2,6.1,0.2,1.5,2956,0.134,0.49,125,2.7,-0.003,0.2,1.0,0.017,5.7,,,,,,,,,0.5,,-0.115,0.013,
13,PVD,3,2019,17.6,0.6,12.4,,0.032,0.021,153,73,64,1.0,1032,32371,,,,,,0.662,,,2.1,2.2,1.9,-0.164,1754.0,0.095,0.038,0.025,0.3,0.2,5.6,0.2,1.5,2989,0.111,0.245,161,2.4,-0.001,0.2,1.1,0.038,0.7,,,,,,,,,0.5,,-0.2,-0.001,
14,PVD,2,2019,13.7,0.5,11.0,,0.039,0.025,137,68,73,1.0,1235,32410,,,,,,0.664,,,2.1,2.2,1.9,0.516,2193.0,0.152,0.04,0.108,0.3,0.2,4.7,0.2,1.5,3046,0.124,0.251,133,2.7,-0.004,0.2,1.0,0.04,2.8,,,,,,,,,0.5,,0.051,0.01,
15,PVD,1,2019,20.0,0.5,11.6,,0.026,0.017,117,54,54,-1.7,814,32089,,,,,,0.658,,,2.0,2.2,1.9,0.797,2086.0,0.056,-0.077,-0.096,0.3,0.2,5.0,0.1,1.5,2964,0.139,0.27,117,3.1,-0.006,0.3,1.0,-0.077,1.2,,,,,,,,,0.5,,0.145,-0.005,
16,PVD,4,2018,29.3,0.4,13.6,,0.014,0.009,108,54,59,7.1,453,32253,,,,,,0.647,,,1.9,2.0,1.8,2.255,1822.0,0.223,0.202,0.274,0.3,0.2,6.1,0.1,1.5,2894,0.164,0.304,103,3.4,-0.005,0.3,1.1,0.202,1.5,,,,,,,,,0.5,,0.265,0.023,
17,PVD,3,2018,135.2,0.6,15.0,,0.004,0.003,143,60,55,2.2,139,31532,,,,,,0.625,,,1.7,2.0,1.7,-3.056,1441.0,0.057,0.07,0.084,0.3,0.2,8.0,0.1,1.6,2944,0.172,0.374,148,2.5,-0.008,0.2,1.0,0.07,1.2,,,,,,,,,0.6,,0.279,0.021,
18,PVD,2,2018,-183.2,0.4,19.4,,-0.002,-0.001,137,56,58,-1.7,-67,30898,,,,,,0.614,,,1.7,1.8,1.6,1.342,1127.0,0.031,-0.044,-0.042,0.3,0.2,10.6,0.1,1.6,2667,0.165,0.353,135,2.7,-0.006,0.2,1.1,-0.044,1.1,,,,,,,,,0.6,,-0.007,0.003,
19,PVD,1,2018,-600.4,0.6,17.2,,-0.001,-0.001,141,64,57,-4.9,-28,30819,,,,,,0.617,,,1.7,1.6,1.4,-1.464,1135.0,-0.04,-0.196,-0.216,0.3,0.2,10.7,0.3,1.6,2136,0.126,0.331,147,2.6,-0.003,0.2,1.0,-0.196,1.1,,,,,,,,,0.6,,0.129,-0.016,
