,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,REE,4,2022,9.0,1.6,7.8,,0.187,0.082,134,80,48.0,4.4,7568,43634,,,,,,0.457,,,1.3,2.1,1.8,-0.026,14618.0,0.44,0.332,0.234,0.6,0.3,2.4,0.1,2.2,4495,0.06,0.048,166.0,2.7,-0.047,0.3,0.7,0.332,1.0,,,,,,,,,0.8,,0.08,0.049,
1,REE,3,2022,9.8,1.8,8.8,,0.202,0.086,145,88,63.0,3.6,7772,41611,,,,,,0.448,,,1.2,2.0,1.6,0.178,13535.0,0.411,0.354,0.305,0.6,0.3,2.6,0.1,2.2,3714,0.058,0.041,170.0,2.5,-0.11,0.3,0.7,0.354,1.2,,,,,,,,,0.8,,0.151,0.036,
2,REE,2,2022,12.9,2.1,10.6,,0.177,0.075,159,92,100.0,3.7,6598,40159,,,,,,0.439,,,1.2,1.9,1.7,0.1,11763.0,0.443,0.39,0.295,0.7,0.4,2.9,0.1,2.3,3662,0.091,0.057,151.0,2.3,-0.271,0.2,0.7,0.39,1.1,,,,,,,,,0.8,,-0.003,0.043,
3,REE,1,2022,11.5,1.8,11.2,,0.167,0.08,170,87,45.0,4.9,6000,38499,,,,,,0.422,,,1.1,1.8,1.6,0.15,11799.0,0.562,0.512,0.339,0.7,0.4,2.4,0.1,2.4,3372,0.105,0.064,212.0,2.1,-0.409,0.3,0.7,0.512,1.0,,,,,,,,,0.9,,0.33,0.029,
4,REE,4,2021,11.2,1.6,12.9,,0.15,0.071,156,84,78.0,3.4,5219,37423,,,,,,0.418,,,1.1,1.6,1.4,0.082,8871.0,0.455,0.354,0.417,0.7,0.4,3.2,0.1,2.4,2399,0.112,0.08,162.0,2.3,-0.42,0.2,0.8,0.354,1.5,,,,,,,,,0.9,,0.264,0.063,
5,REE,3,2021,11.6,1.6,15.6,,0.147,0.068,185,90,77.0,1.4,4823,35195,,,,,,0.404,,,1.0,1.7,1.5,-0.046,7018.0,0.32,0.239,0.241,0.7,0.4,3.9,0.1,2.5,2799,0.132,0.098,198.0,2.0,-0.485,0.2,0.9,0.239,1.1,,,,,,,,,1.0,,0.047,0.022,
6,REE,2,2021,9.8,1.4,16.8,,0.158,0.072,156,93,97.0,3.0,5058,34454,,,,,,0.403,,,1.0,1.5,1.3,0.006,6703.0,0.406,0.347,0.234,0.7,0.4,4.0,0.1,2.5,2479,0.15,0.1,152.0,2.3,-0.185,0.2,0.7,0.347,0.9,,,,,,,,,1.0,,0.249,0.032,
7,REE,1,2021,9.0,1.4,12.9,,0.163,0.088,168,86,37.0,3.8,5030,33393,,,,,,0.57,,,1.5,1.9,1.6,0.098,5365.0,0.369,0.3,0.352,0.5,0.3,3.4,0.3,1.8,2842,0.093,0.073,217.0,2.2,-0.741,0.3,0.8,0.3,1.5,,,,,,,,,0.6,,0.067,0.036,
8,REE,4,2020,9.2,1.3,13.7,,0.149,0.081,172,81,55.0,3.1,4580,32225,,,,,,0.558,,,1.5,1.8,1.5,0.142,5029.0,0.275,0.181,0.391,0.5,0.3,3.6,0.3,1.8,2578,0.054,0.042,199.0,2.1,-0.645,0.3,0.9,0.181,2.4,,,,,,,,,0.7,,0.105,0.056,
9,REE,3,2020,8.6,1.1,15.1,,0.137,0.076,281,91,45.0,3.3,4012,30526,,,,,,0.548,,,1.4,2.0,1.6,-0.038,4552.0,0.283,0.228,0.231,0.5,0.3,3.7,0.2,1.8,2864,0.06,0.044,327.0,1.3,-0.721,0.3,0.8,0.228,1.2,,,,,,,,,0.7,,0.112,0.033,
10,REE,2,2020,6.3,0.9,14.7,,0.148,0.079,280,104,45.0,3.1,4169,29553,,,,,,0.531,,,1.3,1.8,1.4,-0.039,4092.0,0.305,0.259,0.29,0.5,0.3,4.3,0.2,1.9,2636,0.07,0.06,338.0,1.3,-0.505,0.3,0.8,0.259,1.4,,,,,,,,,0.8,,0.085,0.037,
11,REE,1,2020,5.4,0.8,12.9,,0.16,0.082,263,94,37.0,2.5,4339,28502,,,,,,0.517,,,1.2,1.7,1.4,-0.181,3770.0,0.28,0.219,0.217,0.5,0.3,4.6,0.2,1.9,2354,0.12,0.129,319.0,1.4,-0.22,0.3,0.8,0.219,1.2,,,,,,,,,0.8,,0.042,-0.153,
12,REE,4,2019,6.5,1.0,11.5,,0.166,0.093,74,98,50.0,1.7,5302,33640,,,,,,0.53,,,1.3,1.8,1.5,-0.058,3617.0,0.224,0.139,0.339,0.5,0.3,3.9,0.2,1.9,2747,0.14,0.168,122.0,4.9,-0.249,0.3,1.2,0.139,2.8,,,,,,,,,0.8,,-0.059,0.045,
13,REE,3,2019,6.5,1.1,12.7,,0.186,0.106,65,109,48.0,2.3,5631,32187,,,,,,0.555,,,1.4,3.0,2.7,0.067,3845.0,0.243,0.193,0.328,0.4,0.3,3.3,0.1,1.8,5283,0.168,0.154,126.0,5.6,-0.73,0.3,1.1,0.193,2.0,,,,,,,,,0.7,,0.011,0.042,
14,REE,2,2019,5.7,1.0,13.2,,0.181,0.101,64,111,46.0,2.7,5277,30883,,,,,,0.536,,,1.3,2.7,2.4,-0.07,3804.0,0.274,0.218,0.345,0.5,0.3,3.5,0.2,1.9,5057,0.146,0.131,129.0,5.7,-0.74,0.3,1.2,0.218,1.9,,,,,,,,,0.8,,0.094,0.048,
15,REE,1,2019,5.3,1.0,13.1,,0.206,0.108,68,114,41.0,2.7,5677,29478,,,,,,0.51,,,1.2,2.5,2.2,-0.016,3478.0,0.284,0.232,0.326,0.5,0.3,3.8,0.2,2.0,4837,0.169,0.163,141.0,5.4,-0.683,0.3,1.2,0.232,1.7,,,,,,,,,0.8,,0.004,-0.022,
16,REE,4,2018,4.8,0.9,11.4,,0.206,0.12,67,119,52.0,4.2,5772,30153,,,,,,0.601,,,1.8,2.0,1.7,0.135,3464.0,0.235,0.16,0.337,0.3,0.2,2.9,0.5,1.7,2961,0.188,0.191,135.0,5.4,-0.743,0.3,1.2,0.16,2.5,,,,,,,,,0.6,,-0.105,0.063,
17,REE,3,2018,6.6,1.2,10.6,,0.191,0.11,56,149,47.0,3.9,5083,28374,,,,,,0.587,,,1.7,2.1,1.6,-0.047,3870.0,0.248,0.189,0.246,0.3,0.2,2.4,0.3,1.7,2954,0.136,0.124,158.0,6.5,-0.931,0.4,1.2,0.189,1.5,,,,,,,,,0.6,,-0.008,0.035,
18,REE,2,2018,5.4,1.1,12.8,,0.209,0.125,47,144,43.0,2.8,5335,27423,,,,,,0.587,,,1.7,1.8,1.3,0.155,3903.0,0.185,0.136,0.457,0.3,0.2,1.8,0.3,1.7,2065,0.147,0.136,148.0,7.7,-1.263,0.4,1.1,0.136,3.8,,,,,,,,,0.6,,-0.014,0.07,
