,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,SCR,4,2022,51.9,0.5,42.1,,0.01,0.005,1206,1564,86,0.2,126,12290,,,,,,0.502,,,1.1,1.8,1.0,-0.653,284,0.255,0.083,,0.4,0.2,16.0,1.3,2.0,2617,0.024,0.047,2684,0.3,-1.552,0.1,,0.083,-4.0,,,,,,,,,0.9,,0.598,-0.019,
1,SCR,3,2022,23.1,0.7,69.3,,0.03,0.014,1780,2118,139,-0.2,365,12534,,,,,,0.505,,,1.1,1.9,1.0,0.101,178,0.372,,0.266,0.4,0.2,30.6,1.0,2.0,2980,0.018,0.036,3759,0.2,-0.022,0.1,0.7,,-2.5,,,,,,,,,0.9,,-0.393,0.004,
2,SCR,2,2022,25.3,0.7,41.1,,0.027,0.013,1266,1414,89,0.0,332,12481,,,,,,0.5,,,1.1,1.9,1.0,-0.371,293,0.32,,0.637,0.4,0.2,18.7,0.9,2.0,2983,0.008,0.017,2591,0.3,-0.015,0.1,0.7,,-35.6,,,,,,,,,0.9,,-0.498,0.01,
3,SCR,1,2022,36.3,1.6,28.1,,0.044,0.02,608,688,43,0.9,527,12355,,,,,,0.501,,,1.1,2.0,1.1,0.116,584,0.254,0.115,0.143,0.3,0.2,10.3,0.8,2.0,3139,0.034,0.041,1252,0.6,-0.019,0.2,0.8,0.115,1.5,,,,,,,,,0.9,,0.37,0.012,
4,SCR,4,2021,41.8,1.6,53.1,,0.039,0.018,751,813,41,-0.2,472,12214,,,,,,0.493,,,1.1,2.0,1.1,-0.31,426,0.236,,0.03,0.3,0.2,13.9,1.0,2.0,3285,0.008,0.007,1524,0.5,-0.023,0.2,0.4,,-0.6,,,,,,,,,0.9,,-1.439,0.0,
5,SCR,3,2021,18.2,1.0,-25.3,,0.058,0.024,729,580,63,0.6,684,12213,,,,,,0.462,,,0.9,1.9,1.2,-0.039,-970,0.189,0.083,0.02,0.4,0.2,-7.1,1.4,2.2,3682,0.025,0.019,1246,0.5,-0.015,0.2,0.6,0.083,0.4,,,,,,,,,1.1,,-0.062,0.001,
6,SCR,2,2021,16.7,1.0,-20.2,,0.06,0.026,783,642,57,2.1,713,12195,,,,,,0.456,,,0.9,2.0,1.2,0.702,-1034,0.177,0.091,0.123,0.4,0.2,-6.2,1.1,2.2,3814,0.037,0.034,1369,0.5,-0.023,0.2,0.8,0.091,1.8,,,,,,,,,1.1,,-0.212,0.027,
7,SCR,1,2021,20.6,0.7,-13.8,,0.036,0.015,1704,1161,111,-0.4,418,11869,,,,,,0.416,,,0.8,1.8,1.1,-0.068,-1312,0.253,,0.696,0.6,0.2,-5.2,1.4,2.4,3614,0.015,0.02,2754,0.2,-0.02,0.1,0.9,,-3.1,,,,,,,,,1.3,,0.065,0.009,
8,SCR,4,2020,20.3,0.8,-13.6,,0.039,0.016,1523,1119,141,-3.3,449,11759,,,,,,0.408,,,0.7,1.8,1.1,1.508,-1233,,,0.152,0.6,0.2,-5.8,1.0,2.5,3644,0.043,0.07,2501,0.2,-0.014,0.1,0.7,,-0.2,,,,,,,,,1.3,,-3.697,0.017,
9,SCR,3,2020,34.4,0.5,36.6,,0.016,0.006,2471,4177,120,0.3,179,11565,,,,,,0.385,,,0.7,2.0,1.1,-0.681,457,0.268,0.079,0.166,0.6,0.2,16.0,0.7,2.6,4895,0.038,0.062,6528,0.1,0.092,0.1,0.9,0.079,2.4,,,,,,,,,1.5,,0.348,0.004,
