,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,SCS,4,2022,10.5,4.7,9.8,,0.481,0.435,337,,13,,6882,15271,,,,,,0.922,,,11.8,8.5,8.5,-0.003,8614,0.843,0.781,0.805,0.0,0.0,0.0,,1.1,883,0.036,0.008,,1.1,-0.085,0.6,0.9,0.781,1.1,,,,,,,,,0.1,,-0.016,-0.062,
1,SCS,3,2022,10.6,4.5,9.9,,0.491,0.442,300,,11,,6901,16286,,,,,,0.903,,,9.3,7.1,7.1,0.044,8753,0.804,0.731,0.739,0.0,0.0,0.0,,1.1,974,0.04,0.009,,1.2,-0.079,0.6,0.9,0.731,1.1,,,,,,,,,0.1,,-0.247,0.107,
2,SCS,2,2022,12.5,5.6,10.3,,0.524,0.426,254,,14,,6610,14706,,,,,,0.898,,,8.8,6.5,6.5,0.009,11631,0.798,0.726,0.733,0.0,0.0,0.0,,1.1,837,0.035,0.007,,1.4,-0.06,0.6,0.9,0.726,1.1,,,,,,,,,0.1,,-0.002,-0.039,
3,SCS,1,2022,12.7,5.4,10.9,,0.475,0.439,296,,13,,6549,15305,,,,,,0.922,,,11.8,8.3,8.3,0.089,11660,0.835,0.772,0.763,0.0,0.0,0.0,,1.1,882,0.035,0.007,,1.2,-0.025,0.6,0.9,0.772,1.1,,,,,,,,,0.1,,0.075,0.149,
4,SCS,4,2021,13.6,6.2,14.0,,0.498,0.45,239,,12,,6014,13319,,,,,,0.883,,,7.5,5.3,5.3,0.057,10850,0.736,0.612,0.605,0.0,0.0,0.0,,1.1,690,0.047,0.007,,1.5,-0.024,0.7,0.9,0.612,1.1,,,,,,,,,0.1,,0.051,0.128,
5,SCS,3,2021,12.7,6.1,13.2,,0.493,0.448,230,0.0,11,,5688,11807,,,,,,0.893,,,8.4,5.2,5.2,0.012,10327,0.795,0.713,0.705,0.0,0.0,0.0,,1.1,537,0.031,0.004,218.0,1.6,-0.013,0.6,0.9,0.713,1.1,,,,,,,,,0.1,,0.011,0.123,
6,SCS,2,2021,13.0,6.9,11.3,,0.547,0.396,169,0.0,15,,5621,10518,,,,,,0.718,,,2.6,2.0,2.0,0.099,10212,0.799,0.721,0.706,0.0,0.0,0.0,,1.4,402,0.193,0.028,153.0,2.2,-0.014,0.6,0.9,0.721,1.1,,,,,,,,,0.4,,0.097,-0.144,
7,SCS,1,2021,13.1,5.5,12.4,,0.421,0.396,269,0.0,12,,5114,12282,,,,,,0.93,,,13.3,7.8,7.8,0.034,9309,0.793,0.716,0.7,0.0,0.0,0.0,,1.1,558,0.068,0.012,257.0,1.4,-0.01,0.6,0.9,0.716,1.0,,,,,,,,,0.1,,0.02,0.135,
8,SCS,4,2020,13.3,6.1,12.2,,0.46,0.428,200,0.0,10,,4946,10818,,,,,,0.928,,,12.9,6.6,6.6,-0.015,9123,0.762,0.662,0.651,0.0,0.0,0.0,,1.1,409,0.035,0.006,190.0,1.8,-0.006,0.6,0.9,0.662,1.1,,,,,,,,,0.1,,-0.021,-0.039,
9,SCS,3,2020,12.0,5.4,12.6,,0.45,0.419,212,0.0,13,,5021,11257,,,,,,0.926,,,12.5,6.5,6.5,-0.026,9320,0.781,0.693,0.685,0.0,0.0,0.0,,1.1,438,0.055,0.009,199.0,1.7,-0.012,0.6,0.9,0.693,1.1,,,,,,,,,0.1,,-0.034,0.122,
10,SCS,2,2020,10.7,5.5,10.6,,0.528,0.429,134,0.0,15,,5155,10036,,,,,,0.732,,,2.7,1.9,1.9,-0.065,9650,0.765,0.669,0.691,0.0,0.0,0.0,,1.4,310,0.167,0.026,119.0,2.7,-0.018,0.6,0.9,0.669,1.1,,,,,,,,,0.4,,-0.066,-0.163,
11,SCS,1,2020,8.0,3.7,9.7,,0.505,0.477,174,0.0,12,,5514,11991,,,,,,0.949,,,18.6,9.6,9.6,-0.449,10327,0.796,0.708,0.661,0.0,0.0,0.0,,1.1,482,0.066,0.013,163.0,2.1,-0.02,0.7,0.9,0.708,1.0,,,,,,,,,0.1,,0.018,-0.394,
12,SCS,4,2019,10.8,5.5,9.0,,0.558,0.511,15,0.0,11,145.4,10011,19797,,,,,,0.936,,,14.6,6.6,6.6,0.055,10146,0.803,0.711,0.68,0.0,0.0,0.0,,1.1,352,0.066,0.013,4.0,24.7,-0.025,0.8,1.1,0.711,1.0,,,,,,,,,0.1,,0.039,-0.032,
13,SCS,3,2019,15.1,7.0,13.6,,0.497,0.461,35,0.0,13,,9491,20459,,,,,,0.937,,,14.9,6.6,6.6,0.029,9768,0.797,0.711,0.681,0.0,0.0,0.0,,1.1,371,0.045,0.006,22.0,10.5,-0.019,0.7,1.1,0.711,1.0,,,,,,,,,0.1,,0.019,0.163,
14,SCS,2,2019,15.5,8.1,16.7,,0.557,0.472,33,0.0,11,,9227,17591,,,,,,0.922,,,11.8,4.0,4.0,0.035,9585,0.792,0.704,0.705,0.0,0.0,0.0,,1.1,215,0.047,0.005,23.0,10.9,-0.011,0.7,1.0,0.704,1.0,,,,,,,,,0.1,,0.028,-0.034,
15,SCS,1,2019,15.5,7.6,16.9,,0.508,0.474,34,0.0,11,,8913,18201,,,,,,0.938,,,15.0,6.0,6.0,0.048,9327,0.789,0.69,0.648,0.0,0.0,0.0,,1.1,243,0.093,0.009,23.0,10.7,-0.005,0.7,1.1,0.69,1.0,,,,,,,,,0.1,,0.032,0.13,
16,SCS,4,2018,14.7,7.7,17.5,,0.498,0.453,15,0.0,11,,8504,16104,,,,,,0.892,,,8.2,2.4,2.4,0.043,9036,0.756,0.638,0.581,0.0,0.0,0.0,,1.1,127,0.058,0.005,4.0,24.6,0.0,0.7,1.1,0.638,1.0,,,,,,,,,0.1,,0.032,-0.09,
17,SCS,3,2018,15.8,7.3,16.3,,0.478,0.439,33,0.0,14,,8154,17697,,,,,,0.914,,,10.6,3.8,3.8,0.073,8760,0.788,0.695,0.657,0.0,0.0,0.0,,1.1,196,0.046,0.005,19.0,10.9,0.0,0.7,1.1,0.695,1.0,,,,,,,,,0.1,,0.016,0.137,
18,SCS,2,2018,20.2,9.9,16.1,,0.515,0.409,32,0.0,14,2261.0,7597,15563,,,,,,0.779,,,3.5,1.4,1.4,0.072,8623,0.798,0.709,0.703,0.0,0.0,0.1,,1.3,76,0.186,0.019,17.0,11.6,0.0,0.7,1.0,0.709,1.0,,,,,,,,,0.3,,0.042,-0.077,
19,SCS,1,2018,20.8,8.7,20.8,,0.422,0.369,36,0.0,19,1098.4,7084,16859,,,,,,0.926,,,12.6,3.9,3.9,0.041,8280,0.792,0.696,0.619,0.0,0.0,0.1,1.5,1.1,135,0.036,0.003,17.0,10.2,-0.01,0.6,1.1,0.696,1.0,,,,,,,,,0.1,,0.032,-0.064,
