,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,SJS,4,2022,42.9,2.0,761.6,,0.051,0.017,671,4097,129,-49.5,1038,22104,,,,,,0.369,,,0.6,1.2,0.1,4.384,76.0,,,8.334,0.6,0.2,161.7,2.7,2.7,639,0.029,0.015,4639,0.5,-0.011,0.1,0.7,,-5.9,,,,,,,,,1.7,,-0.731,0.04,
1,SJS,3,2022,332.0,3.0,213.5,,0.01,0.003,267,2623,119,,192,21254,,,,,,0.357,,,0.6,1.3,0.1,-0.325,281.0,0.195,0.127,0.02,0.6,0.2,32.3,0.8,2.8,980,0.026,0.012,2771,1.4,0.01,0.1,0.2,0.127,1.0,,,,,,,,,1.7,,-0.242,0.001,
2,SJS,2,2022,251.8,3.4,198.4,,0.014,0.005,260,2492,117,,285,21239,,,,,,0.359,,,0.6,1.3,0.1,-0.19,371.0,0.235,0.026,0.163,0.6,0.2,25.0,0.8,2.8,1050,0.045,0.016,2634,1.4,0.006,0.1,0.6,0.026,10.3,,,,,,,,,1.7,,-0.442,0.124,
3,SJS,1,2022,270.7,5.1,121.1,,0.019,0.006,203,2147,198,,352,18902,,,,,,0.32,,,0.5,1.2,0.1,-0.175,665.0,0.142,0.067,0.06,0.6,0.2,13.4,0.7,3.1,777,0.094,0.026,2152,1.8,0.015,0.1,0.6,0.067,1.5,,,,,,,,,2.0,,-0.233,0.013,
4,SJS,4,2021,191.7,4.4,105.0,,0.023,0.007,358,2361,225,3.4,427,18660,,,,,,0.306,,,0.5,1.2,0.2,-0.117,867.0,0.065,0.007,0.002,0.6,0.2,9.5,0.4,3.3,757,0.156,0.037,2494,1.0,0.014,0.1,0.2,0.007,2.1,,,,,,,,,2.2,,-0.755,0.0,
5,SJS,3,2021,127.5,3.3,23.9,,0.026,0.008,40,1452,87,7.9,484,18656,,,,,,0.303,,,0.5,1.0,0.1,0.07,3545.0,0.265,0.146,0.071,0.2,0.1,1.3,,3.3,-121,0.116,0.027,1405,9.2,-0.001,0.2,0.5,0.146,0.9,,,,,,,,,2.2,,0.031,0.006,
6,SJS,2,2021,126.9,3.1,20.9,,0.024,0.007,10,1499,73,3.5,453,18540,,,,,,0.299,,,0.4,1.0,0.1,0.011,3437.0,0.324,0.192,0.082,0.3,0.1,1.4,,3.3,-136,0.11,0.03,1435,38.2,-0.003,0.2,0.6,0.192,0.7,,,,,,,,,2.3,,0.036,-0.011,
7,SJS,1,2021,88.1,2.1,20.1,,0.023,0.007,67,1718,67,10.5,448,18737,,,,,,0.304,,,0.5,1.0,0.1,0.357,3317.0,0.35,0.227,0.126,0.3,0.1,1.6,15.8,3.3,89,0.075,0.023,1718,5.5,-0.006,0.2,0.6,0.227,1.0,,,,,,,,,2.2,,0.076,0.004,
8,SJS,4,2020,85.2,1.5,16.4,,0.017,0.005,180,1888,78,95.8,330,18667,,,,,,0.302,,,0.4,1.2,0.2,-0.657,3082.0,0.37,0.334,0.008,0.3,0.1,1.7,4.4,3.3,706,0.102,0.042,1990,2.0,-0.006,0.2,0.1,0.334,0.2,,,,,,,,,2.3,,1.262,0.006,
9,SJS,3,2020,24.3,1.3,28.7,,0.052,0.016,227,3049,84,4.5,962,18561,,,,,,0.3,,,0.4,1.1,0.2,0.043,1362.0,0.219,0.12,0.079,0.3,0.1,3.5,4.4,3.3,437,0.027,0.015,3193,1.6,-0.008,0.1,0.8,0.12,0.8,,,,,,,,,2.3,,0.047,0.005,
10,SJS,2,2020,25.4,1.3,21.7,,0.05,0.016,194,3423,91,5.5,923,18477,,,,,,0.305,,,0.4,1.0,0.2,0.078,1301.0,0.689,0.448,0.305,0.3,0.1,3.5,5.0,3.3,209,0.035,0.027,3527,1.9,-0.006,0.1,0.8,0.448,0.9,,,,,,,,,2.2,,0.068,-0.049,
11,SJS,1,2020,17.2,0.8,20.1,,0.044,0.015,332,2840,98,,855,19426,,,,,,0.326,,,0.5,1.1,0.2,-0.018,1219.0,0.569,0.226,0.164,0.3,0.1,4.1,5.5,3.1,368,0.016,0.016,3074,1.1,-0.009,0.1,0.8,0.226,0.9,,,,,,,,,2.0,,-0.016,0.003,
12,SJS,4,2019,19.5,0.9,18.1,,0.045,0.015,168,2577,112,,871,19363,,,,,,0.332,,,0.5,1.1,0.2,0.471,1239.0,0.289,0.248,0.176,0.2,0.1,3.9,13.6,3.0,412,0.025,0.027,2633,2.2,-0.014,0.1,1.4,0.248,1.0,,,,,,,,,2.0,,0.526,0.04,
13,SJS,3,2019,27.5,0.9,26.7,,0.031,0.01,156,2932,108,,592,18625,,,,,,0.324,,,0.5,1.1,0.1,-0.069,812.0,0.234,0.16,0.107,0.2,0.1,5.8,5.8,3.1,382,0.013,0.015,2980,2.3,-0.576,0.1,1.4,0.16,0.9,,,,,,,,,2.0,,0.113,0.002,
14,SJS,2,2019,30.8,1.1,25.7,,0.034,0.011,146,2690,100,,636,18581,,,,,,0.326,,,0.5,1.1,0.1,0.056,729.0,0.233,0.099,0.057,0.2,0.1,6.6,5.8,3.1,415,0.015,0.019,2736,2.5,-0.577,0.1,1.6,0.099,0.9,,,,,,,,,2.0,,0.053,-0.051,
