,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,SSI,4,2022,17.4,1.3,14.4,,0.089,0.031,835.0,,23,,1088,14938.0,,,,,,0.426,,,0.8,1.6,1.6,-0.32,2765.0,0.526,0.462,0.173,1.2,0.5,8.6,,2.3,18943,0.063,0.05,,0.4,-0.766,0.1,0.8,0.462,0.5,,,,,,,,,1.3,,-0.196,0.01,
1,SSI,3,2022,12.4,1.3,12.9,,0.14,0.051,607.0,,2,,1600,14785.0,,,,,,0.485,,,1.0,1.8,1.8,-0.127,3437.0,0.59,0.535,0.25,1.0,0.5,6.8,,2.1,18803,0.028,0.02,,0.6,-1.233,0.2,0.8,0.535,0.6,,,,,,,,,1.1,,-0.351,0.548,
2,SSI,2,2022,10.3,2.0,11.3,,0.214,0.064,403.0,,7,,1833,9550.0,,,,,,0.329,,,0.5,1.3,1.3,-0.083,5299.0,0.573,0.531,0.211,1.8,0.6,6.1,,3.0,9997,0.017,0.01,,0.9,-1.131,0.2,0.7,0.531,0.6,,,,,,,,,2.0,,-0.023,-0.05,
3,SSI,1,2022,19.0,3.8,14.4,,0.226,0.068,398.0,,8,,2000,10051.0,,,,,,0.299,,,0.4,1.3,1.3,0.105,5421.0,0.593,0.56,0.352,2.2,0.7,6.4,,3.3,10565,0.053,0.025,,0.9,-1.206,0.2,0.8,0.56,0.8,,,,,,,,,2.3,,0.053,0.057,
4,SSI,4,2021,25.8,4.9,16.9,,0.225,0.062,326.0,,3,,1810,9507.0,,,,,,0.279,,,0.4,1.3,1.3,0.297,5149.0,0.558,0.526,0.412,2.2,0.6,6.7,,3.6,10060,0.078,0.032,,1.1,-0.979,0.2,0.8,0.526,1.0,,,,,,,,,2.6,,0.1,0.178,
5,SSI,3,2021,26.3,4.6,22.8,,0.194,0.056,281.0,,2,,1396,8068.0,,,,,,0.252,,,0.3,1.2,1.2,0.195,4683.0,0.632,0.592,0.391,2.8,0.7,7.2,,4.0,5856,0.024,0.006,,1.3,-0.547,0.2,0.8,0.592,0.8,,,,,,,,,2.9,,-0.007,0.06,
6,SSI,2,2021,29.1,4.5,22.6,,0.165,0.051,381.0,,8,,1168,7613.0,,,,,,0.271,,,0.4,1.2,1.2,0.041,4714.0,0.578,0.54,0.335,2.4,0.7,7.0,,3.7,7226,0.021,0.006,,1.0,-0.467,0.2,0.8,0.54,0.8,,,,,,,,,2.7,,-0.038,-0.004,
7,SSI,1,2021,17.2,2.5,20.3,,0.162,0.051,381.0,,13,,1122,7644.0,,,,,,0.303,,,0.4,1.3,1.3,0.33,4902.0,0.538,0.505,0.282,2.1,0.6,7.0,,3.3,6756,0.024,0.008,,1.0,-0.391,0.2,0.8,0.505,0.7,,,,,,,,,2.3,,0.169,0.161,
8,SSI,4,2020,23.8,3.1,15.5,,0.131,0.04,380.0,,6,,844,6587.0,,,,,,0.274,,,0.4,1.1,1.1,0.146,4193.0,0.599,0.556,0.324,2.4,0.7,8.3,,3.6,3217,0.037,0.017,,1.0,-0.4,0.1,0.8,0.556,0.7,,,,,,,,,2.6,,0.086,0.04,
9,SSI,3,2020,14.0,1.6,15.1,,0.115,0.042,551.0,,3,,737,6334.0,,,,,,0.35,,,0.5,1.2,1.2,0.073,3861.0,0.651,0.595,0.374,1.6,0.6,6.7,,2.9,3670,0.022,0.012,,0.7,-0.502,0.2,0.8,0.595,0.8,,,,,,,,,1.8,,0.009,-0.031,
