,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,VCI,4,2022,13.7,1.8,9.8,,0.133,0.056,788.0,,79,,1995,14914,,,,,,0.456,,,0.8,1.9,1.9,-0.336,4400,0.349,0.326,0.036,1.0,0.4,3.8,,2.2,6670,0.527,0.287,,0.5,-1.221,0.2,0.9,0.326,0.1,,,,,,,,,1.2,,-0.207,-0.015,
1,VCI,3,2022,9.5,1.9,8.3,,0.202,0.089,702.0,,45,,3003,15135,,,,,,0.42,,,0.7,1.8,1.8,-0.136,5549,0.597,0.556,0.235,1.0,0.4,2.6,,2.4,6734,0.279,0.141,,0.5,-1.174,0.2,0.8,0.556,0.5,,,,,,,,,1.4,,-0.206,-0.077,
2,VCI,2,2022,7.1,1.5,6.6,,0.243,0.108,608.0,,20,,3477,16398,,,,,,0.435,,,0.8,1.8,1.8,-0.067,6992,0.491,0.481,0.289,0.9,0.4,2.3,,2.3,7479,0.418,0.254,,0.6,-0.668,0.3,0.9,0.481,0.7,,,,,,,,,1.3,,-0.28,-0.001,
3,VCI,1,2022,11.2,2.5,7.8,,0.269,0.123,617.0,,11,,3729,16418,,,,,,0.419,,,0.7,1.8,1.8,0.084,9713,0.825,0.79,0.524,1.0,0.4,2.1,,2.4,7615,0.199,0.107,,0.6,-0.305,0.3,0.8,0.79,0.8,,,,,,,,,1.4,,0.1,0.093,
4,VCI,4,2021,15.8,3.6,8.4,,0.271,0.12,568.0,,95,,3441,15021,,,,,,0.393,,,0.6,1.7,1.7,0.085,8827,0.71,0.62,0.413,1.0,0.4,2.1,,2.5,6953,0.173,0.078,,0.6,-0.467,0.3,0.8,0.62,0.8,,,,,,,,,1.5,,0.115,0.032,
5,VCI,3,2021,14.2,3.1,11.8,,0.267,0.135,600.0,,15,,3171,14552,,,,,,0.464,,,0.9,2.0,2.0,0.204,7914,0.568,0.537,0.358,0.7,0.3,1.7,,2.2,6699,0.103,0.034,,0.6,-0.331,0.3,0.8,0.537,0.8,,,,,,,,,1.2,,0.21,0.195,
6,VCI,2,2021,15.0,3.2,14.2,,0.254,0.126,640.0,,22,,2634,12176,,,,,,0.46,,,0.9,1.9,1.9,0.218,6542,0.71,0.67,0.468,0.7,0.3,1.8,,2.2,5477,0.262,0.067,,0.6,-0.586,0.3,0.8,0.67,0.9,,,,,,,,,1.2,,-0.23,0.08,
7,VCI,1,2021,10.8,2.1,14.2,,0.221,0.114,725.0,,12,,2163,11276,,,,,,0.522,,,1.1,2.1,2.1,0.225,8496,0.556,0.525,0.375,0.7,0.4,1.9,,1.9,4990,0.045,0.013,,0.5,-1.124,0.3,0.8,0.525,0.9,,,,,,,,,0.9,,0.223,0.086,
8,VCI,4,2020,12.1,2.1,10.2,,0.179,0.098,898.0,,39,,1765,10382,,,,,,0.539,,,1.2,2.2,2.2,0.241,6944,0.738,0.716,0.527,0.6,0.3,1.8,,1.9,4578,0.142,0.062,,0.4,-1.138,0.2,0.8,0.716,0.9,,,,,,,,,0.9,,0.179,0.13,
9,VCI,3,2020,7.3,1.1,11.6,,0.159,0.093,951.0,,71,,1422,9185,,,,,,0.593,,,1.5,2.5,2.5,-0.081,5891,0.616,0.526,0.341,0.5,0.3,1.5,,1.7,3950,0.107,0.044,,0.4,-1.276,0.2,0.8,0.526,0.8,,,,,,,,,0.7,,-0.085,0.072,
