,Open,High,Low,Close,Volume,TradingDate
0,18534.0,18534.0,16861.0,18200.0,25400,2016-08-18
1,18255.0,18255.0,17419.0,17800.0,23700,2016-08-19
2,17651.0,17651.0,16722.0,17000.0,13400,2016-08-22
3,16722.0,16722.0,16118.0,16400.0,5000,2016-08-23
4,16165.0,16258.0,16165.0,16200.0,16000,2016-08-24
5,16072.0,16211.0,15979.0,16100.0,4100,2016-08-25
6,15793.0,16118.0,15654.0,15900.0,11400,2016-08-26
7,16165.0,16165.0,16165.0,16200.0,1100,2016-08-29
8,15793.0,16025.0,15329.0,15700.0,10210,2016-08-30
9,16025.0,16025.0,15979.0,16000.0,1100,2016-08-31
10,16072.0,16072.0,16072.0,16100.0,100,2016-09-01
11,16025.0,16025.0,15793.0,15900.0,3100,2016-09-05
12,15700.0,15700.0,15700.0,15700.0,9000,2016-09-06
13,15561.0,15561.0,15561.0,15600.0,500,2016-09-07
14,15375.0,15561.0,15375.0,15500.0,8800,2016-09-08
15,15700.0,15700.0,15700.0,15700.0,5000,2016-09-09
16,15421.0,15700.0,15421.0,15700.0,5000,2016-09-12
17,15793.0,15793.0,15793.0,15800.0,1000,2016-09-13
18,15561.0,15561.0,15561.0,15600.0,500,2016-09-14
19,15329.0,15329.0,15329.0,15300.0,100,2016-09-15
20,15793.0,15793.0,15793.0,15800.0,100,2016-09-16
21,15561.0,15561.0,15329.0,15500.0,4100,2016-09-19
22,15096.0,15096.0,14864.0,14900.0,1800,2016-09-20
23,15096.0,15096.0,15096.0,15100.0,500,2016-09-21
24,14864.0,14864.0,14864.0,14900.0,500,2016-09-22
25,14864.0,14864.0,14864.0,14900.0,0,2016-09-23
26,14864.0,14864.0,14864.0,14900.0,600,2016-09-26
27,14632.0,14632.0,14632.0,14600.0,500,2016-09-27
28,15329.0,15329.0,15329.0,15300.0,100,2016-09-28
29,15329.0,15329.0,15329.0,15300.0,0,2016-09-29
30,15329.0,15329.0,15329.0,15300.0,0,2016-09-30
31,15329.0,15329.0,15329.0,15300.0,0,2016-10-03
32,14400.0,14400.0,14400.0,14400.0,2000,2016-10-04
33,14400.0,14400.0,14400.0,14400.0,1200,2016-10-05
34,14167.0,14632.0,14167.0,14400.0,200,2016-10-06
35,14632.0,14632.0,14632.0,14600.0,100,2016-10-07
36,14353.0,14353.0,14353.0,14400.0,1000,2016-10-10
37,14353.0,14353.0,14214.0,14300.0,4700,2016-10-11
38,14400.0,14400.0,14307.0,14300.0,5000,2016-10-12
