,Open,High,Low,Close,Volume,TradingDate
0,7827.0,,,6500.0,0,2009-07-16
1,7827.0,7827.0,5128.0,6500.0,1040,2009-07-17
2,5805.0,5805.0,5805.0,5800.0,0,2009-07-22
3,6710.0,6710.0,5663.0,6400.0,60,2009-07-23
4,6639.0,6639.0,6639.0,6600.0,110,2009-07-24
5,6471.0,6471.0,5325.0,6000.0,5050,2009-07-27
6,7418.0,7418.0,7418.0,7400.0,10,2009-07-28
7,8908.0,8908.0,7350.0,8100.0,820,2009-07-29
8,8170.0,8170.0,8170.0,8200.0,10,2009-07-30
9,8338.0,8338.0,6840.0,7400.0,220,2009-07-31
10,9564.0,9564.0,7852.0,8700.0,40,2009-08-03
11,8708.0,8708.0,8708.0,8700.0,10,2009-08-04
12,9568.0,9568.0,9568.0,9600.0,10,2009-08-05
13,9568.0,9568.0,9568.0,9600.0,0,2009-08-06
14,10509.0,10509.0,10509.0,10500.0,10,2009-08-07
15,11557.0,11557.0,11557.0,11600.0,10,2009-08-10
16,12713.0,12713.0,12713.0,12700.0,10,2009-08-11
17,12713.0,12713.0,12713.0,12700.0,0,2009-08-12
18,13976.0,13976.0,13976.0,14000.0,10,2009-08-13
19,15374.0,15374.0,12579.0,12600.0,5010,2009-08-17
20,11342.0,11342.0,11342.0,11300.0,1010,2009-08-18
21,10213.0,10213.0,10213.0,10200.0,300,2009-08-19
22,9192.0,9192.0,9192.0,9200.0,300,2009-08-20
23,8278.0,8278.0,8278.0,8300.0,100,2009-08-21
24,7472.0,7472.0,7472.0,7500.0,150,2009-08-24
25,6746.0,6746.0,6746.0,6700.0,100,2009-08-25
26,6074.0,6074.0,6074.0,6100.0,1420,2009-08-26
27,5509.0,6103.0,5509.0,5600.0,3520,2009-08-27
28,5026.0,5452.0,5027.0,5100.0,27460,2009-08-28
29,4622.0,5106.0,4622.0,4600.0,162842,2009-08-31
30,4622.0,4649.0,4300.0,4600.0,61420,2009-09-01
31,5080.0,5079.0,4568.0,4600.0,1038270,2009-09-03
32,3976.0,3976.0,3603.0,3800.0,13115,2009-09-11
33,3629.0,3790.0,3629.0,3800.0,4130,2009-09-14
34,3975.0,4259.0,3975.0,4000.0,3850,2009-09-15
35,4376.0,4429.0,4145.0,4000.0,10500,2009-09-16
36,4376.0,4376.0,3978.0,4000.0,8070,2009-09-17
37,4085.0,4435.0,4031.0,4100.0,12400,2009-09-18
38,4085.0,4085.0,4085.0,4100.0,465,2009-09-21
39,3559.0,3731.0,3363.0,3700.0,1830,2009-09-22
40,4060.0,4087.0,3977.0,4000.0,3930,2009-09-23
41,3790.0,3952.0,3790.0,3800.0,5040,2009-09-24
42,3817.0,3844.0,3817.0,3800.0,5500,2009-09-25
43,3843.0,3976.0,3764.0,3800.0,2700,2009-09-28
44,3494.0,3763.0,3495.0,3500.0,14000,2009-09-29
45,3843.0,3843.0,3737.0,3800.0,1600,2009-09-30
46,4337.0,4759.0,3945.0,4200.0,8900,2009-10-01
47,3978.0,4166.0,3978.0,4200.0,910,2009-10-02
48,4817.0,5284.0,4351.0,4600.0,5430,2009-10-05
49,4028.0,4028.0,3548.0,3600.0,3350,2009-10-06
50,3871.0,3871.0,3871.0,3900.0,10,2009-10-07
51,3763.0,3763.0,3763.0,3800.0,100,2009-10-08
