,Open,High,Low,Close,Volume,TradingDate
0,33560.0,33560.0,33560.0,33600.0,549000,2016-11-21
1,38546.0,38546.0,38546.0,38500.0,642215,2016-11-22
2,44299.0,44299.0,40751.0,43300.0,3216615,2016-11-23
3,43340.0,43340.0,37874.0,39100.0,1436770,2016-11-24
4,38546.0,39217.0,35477.0,38700.0,1022400,2016-11-25
5,39313.0,42860.0,37874.0,40100.0,1303935,2016-11-28
6,40847.0,41710.0,39313.0,40500.0,349430,2016-11-29
7,39313.0,40080.0,38546.0,39500.0,743600,2016-11-30
8,39409.0,39792.0,38833.0,39300.0,881850,2016-12-01
9,39313.0,39600.0,39121.0,39300.0,880860,2016-12-02
10,39409.0,39600.0,38833.0,39300.0,606645,2016-12-05
11,39313.0,39313.0,38929.0,39200.0,593601,2016-12-06
12,38642.0,39121.0,38546.0,38700.0,383300,2016-12-07
13,38546.0,39600.0,38546.0,39300.0,377600,2016-12-08
14,39313.0,40080.0,39217.0,39700.0,439760,2016-12-09
15,33751.0,40080.0,33751.0,39500.0,382133,2016-12-12
16,39217.0,40463.0,38929.0,40200.0,525490,2016-12-13
17,40559.0,43052.0,40559.0,42200.0,688387,2016-12-14
18,42765.0,45929.0,42669.0,44500.0,474779,2016-12-15
19,44682.0,50819.0,44682.0,49400.0,1008233,2016-12-16
20,50819.0,53695.0,46696.0,50000.0,556031,2016-12-19
21,47942.0,48134.0,46121.0,46900.0,520219,2016-12-20
22,46504.0,47079.0,44874.0,45600.0,369140,2016-12-21
23,44107.0,48134.0,44107.0,47700.0,503655,2016-12-22
24,49381.0,49381.0,47079.0,47500.0,241001,2016-12-23
25,47463.0,48422.0,47271.0,48000.0,227910,2016-12-26
26,47942.0,47942.0,44586.0,45900.0,516119,2016-12-27
27,45929.0,47751.0,45929.0,47000.0,343380,2016-12-28
28,46504.0,47463.0,46121.0,46700.0,245157,2016-12-29
29,46504.0,47271.0,45833.0,46400.0,382180,2016-12-30
30,46504.0,46504.0,45066.0,45500.0,176750,2017-01-03
