,Open,High,Low,Close,Volume,TradingDate
0,2367.0,2367.0,258.0,1636.0,15300,2010-12-24
1,1550.0,1550.0,1535.0,1535.0,3200,2010-12-27
2,1507.0,1535.0,1507.0,1521.0,2400,2010-12-28
3,1521.0,1521.0,1435.0,1449.0,4200,2010-12-29
4,1435.0,1507.0,1435.0,1449.0,700,2010-12-30
5,1492.0,1492.0,1377.0,1449.0,1000,2010-12-31
6,1435.0,1435.0,1435.0,1435.0,2800,2011-01-04
7,1435.0,1435.0,1435.0,1435.0,1800,2011-01-05
8,1435.0,1435.0,1420.0,1435.0,1400,2011-01-06
9,1507.0,1535.0,1507.0,1521.0,3100,2011-01-07
10,1621.0,1621.0,1535.0,1621.0,15900,2011-01-10
11,1707.0,1707.0,1521.0,1550.0,1600,2011-01-11
12,1564.0,1564.0,1564.0,1564.0,100,2011-01-12
13,1564.0,1564.0,1478.0,1507.0,4300,2011-01-13
14,1492.0,1607.0,1478.0,1521.0,8000,2011-01-14
15,1535.0,1564.0,1535.0,1550.0,200,2011-01-17
16,1578.0,1607.0,1535.0,1564.0,3000,2011-01-18
17,1578.0,1593.0,1507.0,1535.0,15700,2011-01-19
18,1607.0,1607.0,1507.0,1521.0,2600,2011-01-20
19,1507.0,1578.0,1507.0,1550.0,200,2011-01-21
20,1650.0,1650.0,1650.0,1650.0,17400,2011-01-24
21,1765.0,1765.0,1722.0,1736.0,17300,2011-01-25
22,1750.0,1750.0,1664.0,1707.0,5800,2011-01-26
23,1707.0,1722.0,1679.0,1707.0,12400,2011-01-27
24,1722.0,1822.0,1693.0,1707.0,19300,2011-01-28
25,1736.0,1765.0,1722.0,1750.0,12700,2011-02-08
26,1718.0,1865.0,1718.0,1800.0,4500,2011-02-09
27,1800.0,1865.0,1800.0,1832.0,2500,2011-02-10
28,1832.0,1832.0,1832.0,1832.0,1000,2011-02-11
29,1832.0,1832.0,1832.0,1832.0,0,2011-02-14
30,1718.0,1734.0,1718.0,1718.0,700,2011-02-15
31,1603.0,1816.0,1603.0,1603.0,4100,2011-02-16
32,1603.0,1603.0,1505.0,1538.0,500,2011-02-17
33,1636.0,1636.0,1636.0,1636.0,100,2011-02-18
34,1636.0,1636.0,1636.0,1636.0,0,2011-02-21
35,1636.0,1636.0,1636.0,1636.0,0,2011-02-22
36,1669.0,1669.0,1669.0,1669.0,100,2011-02-23
37,1669.0,1669.0,1669.0,1669.0,0,2011-02-24
38,1669.0,1669.0,1669.0,1669.0,0,2011-02-25
39,1669.0,1669.0,1669.0,1669.0,0,2011-02-28
40,1669.0,1669.0,1669.0,1669.0,0,2011-03-01
41,1554.0,1554.0,1554.0,1554.0,100,2011-03-02
42,1554.0,1554.0,1554.0,1554.0,0,2011-03-03
43,1554.0,1554.0,1554.0,1554.0,0,2011-03-04
44,1554.0,1554.0,1554.0,1554.0,0,2011-03-07
45,1538.0,1538.0,1538.0,1538.0,100,2011-03-08
46,1538.0,1538.0,1538.0,1538.0,0,2011-03-09
47,1440.0,1538.0,1440.0,1456.0,3200,2011-03-10
48,1358.0,1391.0,1358.0,1358.0,8400,2011-03-11
49,1309.0,1309.0,1276.0,1292.0,3600,2011-03-14
50,1292.0,1292.0,1292.0,1292.0,0,2011-03-15
51,1276.0,1276.0,1276.0,1276.0,2000,2011-03-16
52,1276.0,1276.0,1276.0,1276.0,0,2011-03-17
53,1227.0,1276.0,1227.0,1276.0,5500,2011-03-18
54,1276.0,1276.0,1227.0,1243.0,6600,2011-03-21
55,1243.0,1260.0,1260.0,1243.0,0,2011-03-22
56,1243.0,1243.0,1243.0,1243.0,1300,2011-03-23
57,1243.0,1243.0,1243.0,1243.0,2700,2011-03-24
58,1243.0,1243.0,1243.0,1243.0,0,2011-03-25
59,1243.0,1243.0,1243.0,1243.0,6000,2011-03-28
60,1243.0,1243.0,1243.0,1243.0,2000,2011-03-29
61,1243.0,1243.0,1243.0,1243.0,500,2011-03-30
62,1243.0,1243.0,1243.0,1243.0,500,2011-03-31
63,1309.0,1309.0,1309.0,1309.0,100,2011-04-01
64,1243.0,1243.0,1243.0,1243.0,100,2011-04-04
65,1243.0,1243.0,1243.0,1243.0,0,2011-04-05
66,1178.0,1178.0,1178.0,1178.0,200,2011-04-06
67,1178.0,1178.0,1178.0,1178.0,0,2011-04-07
68,1194.0,1194.0,1194.0,1194.0,300,2011-04-08
69,1194.0,1194.0,1194.0,1194.0,0,2011-04-13
70,1145.0,1145.0,1145.0,1145.0,500,2011-04-14
71,1178.0,1194.0,1178.0,1194.0,1100,2011-04-15
72,1276.0,1276.0,1276.0,1276.0,100,2011-04-18
73,1276.0,1276.0,1276.0,1276.0,0,2011-04-19
74,1243.0,1243.0,1243.0,1243.0,1000,2011-04-20
75,1292.0,1292.0,1292.0,1292.0,100,2011-04-21
76,1227.0,1227.0,1227.0,1227.0,1000,2011-04-22
77,1227.0,1227.0,1227.0,1227.0,0,2011-04-25
78,1292.0,1292.0,1292.0,1292.0,100,2011-04-26
79,1358.0,1358.0,1358.0,1358.0,100,2011-04-27
80,1276.0,1276.0,1276.0,1276.0,2100,2011-04-28
81,1227.0,1227.0,1227.0,1227.0,1500,2011-04-29
82,1145.0,1194.0,1145.0,1178.0,300,2011-05-04
83,1096.0,1227.0,1096.0,1211.0,600,2011-05-05
84,1211.0,1227.0,1227.0,1211.0,0,2011-05-06
85,1129.0,1129.0,1129.0,1129.0,100,2011-05-09
86,1145.0,1145.0,1145.0,1145.0,300,2011-05-10
87,1096.0,1096.0,1096.0,1096.0,100,2011-05-11
88,1096.0,1096.0,1096.0,1096.0,0,2011-05-12
89,1047.0,1047.0,1047.0,1047.0,100,2011-05-13
90,1047.0,1047.0,1047.0,1047.0,0,2011-05-16
91,982.0,1047.0,982.0,1047.0,2100,2011-05-17
92,1063.0,1063.0,1047.0,1047.0,500,2011-05-18
93,982.0,982.0,982.0,982.0,500,2011-05-19
94,1047.0,1047.0,1047.0,1047.0,100,2011-05-20
95,1113.0,1113.0,1063.0,1063.0,2100,2011-05-23
96,1063.0,1063.0,1063.0,1063.0,0,2011-05-24
97,1063.0,1129.0,1063.0,1080.0,1900,2011-05-25
98,1047.0,1129.0,1047.0,1096.0,400,2011-05-26
99,1145.0,1162.0,1145.0,1162.0,400,2011-05-27
100,1194.0,1194.0,1113.0,1145.0,900,2011-05-30
101,1145.0,1113.0,1113.0,1145.0,0,2011-05-31
102,1194.0,1194.0,1194.0,1194.0,100,2011-06-01
103,1227.0,1227.0,1227.0,1227.0,100,2011-06-02
104,1145.0,1145.0,1145.0,1145.0,4300,2011-06-03
105,1096.0,1096.0,1080.0,1080.0,5000,2011-06-06
106,1014.0,1014.0,1014.0,1014.0,100,2011-06-07
107,1031.0,1080.0,1031.0,1063.0,3900,2011-06-08
108,1129.0,1129.0,1129.0,1129.0,200,2011-06-09
109,1145.0,1178.0,1145.0,1178.0,1200,2011-06-10
110,1178.0,1194.0,1178.0,1178.0,4000,2011-06-13
111,1145.0,1145.0,1096.0,1113.0,1200,2011-06-14
112,1113.0,1096.0,1096.0,1113.0,0,2011-06-15
113,1063.0,1063.0,1063.0,1063.0,2000,2011-06-16
114,1063.0,1063.0,1063.0,1063.0,300,2011-06-17
115,1113.0,1113.0,1113.0,1113.0,100,2011-06-20
116,1113.0,1113.0,1113.0,1113.0,0,2011-06-21
117,1080.0,1080.0,1080.0,1080.0,100,2011-06-22
118,1129.0,1129.0,1014.0,1047.0,300,2011-06-23
119,1047.0,1014.0,1014.0,1047.0,0,2011-06-24
120,1047.0,1047.0,1047.0,1047.0,5000,2011-06-27
121,1014.0,1014.0,1014.0,1014.0,200,2011-06-28
122,1063.0,1063.0,1047.0,1047.0,4000,2011-06-29
123,1047.0,1047.0,1047.0,1047.0,0,2011-06-30
124,1047.0,1047.0,1047.0,1047.0,800,2011-07-01
125,1047.0,1047.0,1047.0,1047.0,0,2011-07-04
126,1047.0,1047.0,1047.0,1047.0,0,2011-07-05
127,1047.0,1047.0,1047.0,1047.0,0,2011-07-06
128,1031.0,1031.0,1031.0,1031.0,100,2011-07-07
129,1031.0,1031.0,1031.0,1031.0,0,2011-07-08
130,1031.0,1031.0,1031.0,1031.0,0,2011-07-11
131,1031.0,1031.0,1031.0,1031.0,1000,2011-07-12
132,1031.0,1031.0,1031.0,1031.0,0,2011-07-13
133,1047.0,1047.0,1047.0,1047.0,1500,2011-07-14
134,1113.0,1113.0,1113.0,1113.0,100,2011-07-15
135,1178.0,1178.0,1178.0,1178.0,100,2011-07-18
136,1178.0,1178.0,1178.0,1178.0,0,2011-07-19
137,1178.0,1178.0,1178.0,1178.0,0,2011-07-20
138,1178.0,1178.0,1178.0,1178.0,0,2011-07-21
139,1096.0,1096.0,1096.0,1096.0,100,2011-07-22
140,1096.0,1096.0,1096.0,1096.0,0,2011-07-25
141,1031.0,1031.0,1031.0,1031.0,100,2011-07-26
142,1031.0,1031.0,1031.0,1031.0,0,2011-07-27
143,1031.0,1031.0,1031.0,1031.0,0,2011-07-28
144,1031.0,1031.0,1031.0,1031.0,0,2011-07-29
145,1031.0,1031.0,1031.0,1031.0,0,2011-08-01
146,1031.0,1031.0,1031.0,1031.0,0,2011-08-02
147,1031.0,1031.0,1031.0,1031.0,2000,2011-08-03
148,1096.0,1096.0,1096.0,1096.0,100,2011-08-04
149,1162.0,1162.0,1162.0,1162.0,100,2011-08-05
150,1096.0,1096.0,1096.0,1096.0,2000,2011-08-08
151,1047.0,1047.0,1047.0,1047.0,900,2011-08-09
152,1047.0,1047.0,1047.0,1047.0,0,2011-08-10
153,982.0,982.0,982.0,982.0,100,2011-08-11
154,933.0,933.0,933.0,933.0,100,2011-08-12
155,933.0,933.0,933.0,933.0,600,2011-08-15
156,933.0,933.0,933.0,933.0,0,2011-08-16
157,933.0,933.0,933.0,933.0,0,2011-08-17
158,982.0,982.0,982.0,982.0,100,2011-08-18
159,982.0,982.0,982.0,982.0,0,2011-08-19
160,1047.0,1047.0,1047.0,1047.0,800,2011-08-22
161,1096.0,1096.0,1096.0,1096.0,100,2011-08-23
162,1162.0,1162.0,1162.0,1162.0,100,2011-08-24
163,1162.0,1162.0,1162.0,1162.0,0,2011-08-25
164,1162.0,1162.0,1162.0,1162.0,0,2011-08-26
165,1162.0,1162.0,1162.0,1162.0,0,2011-08-29
166,1162.0,1162.0,1162.0,1162.0,0,2011-08-30
167,1227.0,1227.0,1227.0,1227.0,100,2011-08-31
168,1227.0,1227.0,1227.0,1227.0,0,2011-09-01
169,1145.0,1145.0,1145.0,1145.0,100,2011-09-05
170,1080.0,1080.0,1080.0,1080.0,100,2011-09-06
171,1014.0,1129.0,1014.0,1113.0,1100,2011-09-07
172,1080.0,1145.0,1080.0,1129.0,1300,2011-09-08
173,1080.0,1080.0,1080.0,1080.0,100,2011-09-09
174,1031.0,1145.0,1031.0,1113.0,2100,2011-09-12
175,1162.0,1162.0,1129.0,1162.0,5100,2011-09-13
176,1145.0,1211.0,1145.0,1178.0,5100,2011-09-14
177,1113.0,1145.0,1113.0,1145.0,1100,2011-09-15
178,1113.0,1113.0,1113.0,1113.0,100,2011-09-16
179,1113.0,1113.0,1113.0,1113.0,0,2011-09-19
180,1178.0,1178.0,1178.0,1178.0,100,2011-09-20
181,1162.0,1162.0,1096.0,1113.0,2500,2011-09-21
182,1113.0,1096.0,1096.0,1113.0,0,2011-09-22
183,1113.0,1096.0,1096.0,1113.0,0,2011-09-23
184,1113.0,1096.0,1096.0,1113.0,0,2011-09-26
185,1145.0,1145.0,1063.0,1096.0,4500,2011-09-27
186,1096.0,1063.0,1063.0,1096.0,0,2011-09-28
187,1080.0,1080.0,1080.0,1080.0,400,2011-09-29
188,1096.0,1096.0,1096.0,1096.0,500,2011-09-30
189,1096.0,1096.0,1096.0,1096.0,0,2011-10-03
190,1129.0,1129.0,1080.0,1113.0,200,2011-10-04
191,1063.0,1063.0,1063.0,1063.0,100,2011-10-05
192,1129.0,1129.0,1129.0,1129.0,1500,2011-10-06
193,1145.0,1178.0,1145.0,1162.0,500,2011-10-07
194,1113.0,1113.0,1113.0,1113.0,800,2011-10-10
195,1145.0,1145.0,1145.0,1145.0,100,2011-10-11
196,1096.0,1096.0,1096.0,1096.0,100,2011-10-12
197,1096.0,1096.0,1096.0,1096.0,0,2011-10-13
198,1162.0,1162.0,1162.0,1162.0,200,2011-10-14
199,1129.0,1129.0,1129.0,1129.0,100,2011-10-17
200,1096.0,1096.0,1096.0,1096.0,100,2011-10-18
201,1063.0,1145.0,1063.0,1129.0,800,2011-10-19
202,1145.0,1145.0,1145.0,1145.0,1200,2011-10-20
203,1145.0,1145.0,1129.0,1129.0,3100,2011-10-21
204,1145.0,1145.0,1145.0,1145.0,1500,2011-10-24
205,1129.0,1129.0,1129.0,1129.0,4400,2011-10-25
206,1113.0,1129.0,1113.0,1113.0,10400,2011-10-26
207,1145.0,1145.0,1145.0,1145.0,300,2011-10-27
208,1162.0,1162.0,1162.0,1162.0,1000,2011-10-28
209,1162.0,1162.0,1162.0,1162.0,0,2011-10-31
210,1129.0,1145.0,1129.0,1145.0,1100,2011-11-01
211,1145.0,1145.0,1145.0,1145.0,0,2011-11-02
212,1145.0,1162.0,1145.0,1162.0,1500,2011-11-03
213,1162.0,1162.0,1162.0,1162.0,0,2011-11-04
214,1129.0,1162.0,1129.0,1162.0,400,2011-11-07
215,1145.0,1145.0,1145.0,1145.0,1000,2011-11-08
216,1145.0,1145.0,1145.0,1145.0,500,2011-11-09
217,1145.0,1145.0,1145.0,1145.0,0,2011-11-10
218,1129.0,1129.0,1129.0,1129.0,2000,2011-11-11
219,1129.0,1129.0,1129.0,1129.0,700,2011-11-14
220,1129.0,1129.0,1129.0,1129.0,0,2011-11-15
221,1063.0,1063.0,1063.0,1063.0,100,2011-11-16
222,1129.0,1129.0,1113.0,1129.0,1100,2011-11-17
223,1129.0,1129.0,1113.0,1129.0,1000,2011-11-18
224,1113.0,1129.0,1113.0,1113.0,3500,2011-11-21
225,1047.0,1145.0,1047.0,1129.0,3200,2011-11-22
226,1145.0,1145.0,1145.0,1145.0,800,2011-11-23
227,1129.0,1129.0,1129.0,1129.0,1200,2011-11-24
228,1129.0,1129.0,1129.0,1129.0,0,2011-11-25
229,1096.0,1096.0,1096.0,1096.0,100,2011-11-28
