,Open,High,Low,Close,Volume,TradingDate
0,8726.0,8726.0,7271.0,7708.0,120600,2010-04-05
1,7804.0,7804.0,7271.0,7368.0,63800,2010-04-06
2,7271.0,7659.0,7271.0,7465.0,85500,2010-04-07
3,7804.0,7950.0,7804.0,7901.0,105200,2010-04-08
4,7901.0,8241.0,7901.0,8047.0,68900,2010-04-09
5,8047.0,8095.0,7804.0,8047.0,24600,2010-04-12
6,8047.0,8047.0,7611.0,7708.0,43100,2010-04-13
7,7465.0,7756.0,7320.0,7465.0,19000,2010-04-14
8,7514.0,7611.0,7417.0,7514.0,63700,2010-04-15
9,7562.0,7756.0,7514.0,7611.0,152300,2010-04-16
10,7756.0,7756.0,7562.0,7659.0,24600,2010-04-19
11,7756.0,7756.0,7514.0,7611.0,46100,2010-04-20
12,7756.0,7804.0,7659.0,7708.0,136900,2010-04-21
13,7998.0,8241.0,7998.0,8241.0,144700,2010-04-22
14,8726.0,8774.0,8338.0,8677.0,234000,2010-04-26
15,8726.0,8822.0,8580.0,8677.0,76700,2010-04-27
16,8968.0,8968.0,8483.0,8677.0,94400,2010-04-28
17,8968.0,9259.0,8726.0,9016.0,167300,2010-04-29
18,9647.0,9647.0,9647.0,9647.0,53500,2010-05-04
19,10180.0,10277.0,9792.0,10228.0,325400,2010-05-05
20,10907.0,10907.0,10907.0,10907.0,72100,2010-05-06
21,11634.0,11634.0,11198.0,11634.0,363100,2010-05-07
22,12410.0,12410.0,12167.0,12313.0,165100,2010-05-10
23,12264.0,12846.0,11489.0,11683.0,192000,2010-05-11
24,10955.0,10955.0,10907.0,10907.0,14100,2010-05-12
25,10180.0,10907.0,10180.0,10180.0,284600,2010-05-13
26,10180.0,10858.0,9501.0,10519.0,169100,2010-05-14
27,11101.0,11101.0,9792.0,10180.0,164300,2010-05-17
28,9986.0,10277.0,9986.0,10131.0,32200,2010-05-18
29,10180.0,10180.0,9453.0,9501.0,144000,2010-05-19
30,10131.0,10131.0,8871.0,9598.0,388100,2010-05-20
31,9695.0,9695.0,8968.0,9016.0,50300,2010-05-21
32,9210.0,9210.0,8435.0,9065.0,153000,2010-05-24
33,8435.0,9113.0,8435.0,8677.0,61300,2010-05-25
34,8677.0,8968.0,8483.0,8774.0,172200,2010-05-26
35,8386.0,9307.0,8386.0,8871.0,135800,2010-05-27
36,9404.0,9453.0,9259.0,9453.0,81400,2010-05-28
37,9695.0,10083.0,9695.0,9889.0,67300,2010-05-31
38,9695.0,9695.0,9307.0,9453.0,71000,2010-06-01
39,9356.0,9404.0,9162.0,9307.0,61800,2010-06-02
40,9695.0,9889.0,9307.0,9404.0,62600,2010-06-03
41,9210.0,9598.0,9210.0,9453.0,143600,2010-06-04
42,8968.0,9016.0,8822.0,8871.0,64100,2010-06-07
43,8726.0,8968.0,8726.0,8871.0,26800,2010-06-08
44,9307.0,9356.0,8726.0,8919.0,50500,2010-06-09
45,9065.0,9065.0,8919.0,9016.0,45200,2010-06-10
46,9404.0,9404.0,8968.0,9016.0,41100,2010-06-11
47,8968.0,9210.0,8483.0,9016.0,54300,2010-06-14
48,9065.0,9065.0,8726.0,8871.0,49500,2010-06-15
49,9016.0,9453.0,8968.0,9210.0,151100,2010-06-16
50,9695.0,9840.0,9356.0,9695.0,98500,2010-06-17
51,9598.0,9937.0,9453.0,9695.0,34700,2010-06-18
52,9598.0,9695.0,9453.0,9647.0,66300,2010-06-21
53,9453.0,9453.0,9113.0,9162.0,87900,2010-06-22
54,9113.0,9162.0,8968.0,9065.0,50700,2010-06-23
55,9016.0,9113.0,9016.0,9065.0,20200,2010-06-24
56,9016.0,9065.0,8968.0,9016.0,48000,2010-06-25
57,9016.0,9016.0,8968.0,9016.0,1500,2010-06-28
58,9356.0,9598.0,9210.0,9356.0,56400,2010-06-29
59,9210.0,9259.0,8968.0,9016.0,94400,2010-06-30
60,9016.0,9210.0,8968.0,8968.0,38800,2010-07-01
61,9210.0,9210.0,8919.0,9016.0,19400,2010-07-02
62,8871.0,8871.0,8822.0,8822.0,36300,2010-07-05
63,9210.0,9210.0,8726.0,8726.0,39600,2010-07-06
64,8726.0,8726.0,8580.0,8677.0,9200,2010-07-07
65,9113.0,9113.0,8580.0,8677.0,25400,2010-07-08
66,8726.0,8726.0,8677.0,8677.0,11500,2010-07-09
67,8483.0,8726.0,8241.0,8289.0,53100,2010-07-12
68,8726.0,8822.0,8677.0,8726.0,21200,2010-07-13
69,9307.0,9307.0,8968.0,9307.0,138700,2010-07-14
70,9210.0,9210.0,8774.0,9113.0,2500,2010-07-15
71,8726.0,8871.0,8629.0,8774.0,42100,2010-07-16
72,8726.0,8726.0,8580.0,8629.0,18900,2010-07-19
73,8726.0,8726.0,8532.0,8629.0,59600,2010-07-20
74,8532.0,8580.0,8483.0,8483.0,48000,2010-07-21
75,8483.0,8629.0,8435.0,8483.0,17700,2010-07-22
76,8483.0,8580.0,8289.0,8435.0,28700,2010-07-23
77,8483.0,8483.0,8289.0,8338.0,8600,2010-07-26
78,8435.0,8774.0,8386.0,8580.0,53900,2010-07-27
79,8532.0,8532.0,8241.0,8289.0,15500,2010-07-28
80,8289.0,8386.0,8241.0,8338.0,8000,2010-07-29
81,8435.0,8435.0,8386.0,8435.0,1900,2010-07-30
82,8483.0,8532.0,8289.0,8386.0,12000,2010-08-02
83,8289.0,8435.0,8241.0,8338.0,18000,2010-08-03
84,8241.0,8241.0,7998.0,8095.0,31000,2010-08-04
85,8386.0,8435.0,7950.0,7998.0,12300,2010-08-05
86,7593.0,7998.0,7593.0,7796.0,12800,2010-08-06
87,7796.0,8201.0,7441.0,7796.0,7900,2010-08-09
88,7593.0,7593.0,7289.0,7340.0,20500,2010-08-10
89,6834.0,7441.0,6834.0,7138.0,13100,2010-08-11
90,6783.0,7239.0,6682.0,6733.0,16600,2010-08-12
91,6733.0,6834.0,6277.0,6480.0,33500,2010-08-13
92,6581.0,6885.0,6480.0,6834.0,69400,2010-08-16
93,6682.0,6834.0,6378.0,6631.0,14400,2010-08-17
94,6682.0,6682.0,6378.0,6530.0,15700,2010-08-18
95,6834.0,6834.0,6530.0,6631.0,22500,2010-08-19
96,6986.0,6986.0,6530.0,6682.0,25900,2010-08-20
97,6783.0,6783.0,6480.0,6581.0,36800,2010-08-23
98,6581.0,6581.0,6125.0,6125.0,116000,2010-08-24
99,6125.0,6378.0,5720.0,5923.0,40900,2010-08-25
100,6226.0,6226.0,5568.0,5720.0,31400,2010-08-26
101,5518.0,6075.0,5366.0,5771.0,144500,2010-08-27
102,6125.0,6125.0,6125.0,6125.0,19500,2010-08-30
103,6530.0,6530.0,6429.0,6530.0,107100,2010-08-31
104,6885.0,6986.0,6530.0,6885.0,67200,2010-09-01
105,7340.0,7340.0,7239.0,7340.0,210700,2010-09-06
106,7492.0,7492.0,6834.0,7138.0,109700,2010-09-07
107,6935.0,7087.0,6733.0,6885.0,68100,2010-09-08
108,7340.0,7340.0,6935.0,7138.0,34100,2010-09-09
109,7087.0,7087.0,6682.0,6783.0,89400,2010-09-10
110,6581.0,6935.0,6328.0,6378.0,79900,2010-09-13
111,6682.0,6682.0,6429.0,6530.0,13300,2010-09-14
112,6682.0,6733.0,6530.0,6631.0,2600,2010-09-15
113,6581.0,6783.0,6581.0,6631.0,2500,2010-09-16
114,6885.0,6935.0,6631.0,6783.0,109400,2010-09-17
115,6986.0,7036.0,6581.0,6834.0,106100,2010-09-20
116,6733.0,6935.0,6429.0,6530.0,80200,2010-09-21
117,6581.0,6733.0,6429.0,6530.0,46600,2010-09-22
118,6567.0,6567.0,6184.0,6403.0,57700,2010-09-23
119,6184.0,6512.0,6184.0,6458.0,9700,2010-09-24
120,6458.0,6512.0,6293.0,6348.0,29600,2010-09-27
121,6567.0,6567.0,6293.0,6348.0,23800,2010-09-28
122,6458.0,6458.0,6020.0,6239.0,43800,2010-09-29
123,6020.0,6348.0,6020.0,6348.0,2600,2010-09-30
124,6184.0,6348.0,6020.0,6075.0,24100,2010-10-01
125,5746.0,5801.0,5691.0,5691.0,51100,2010-10-04
126,5801.0,5801.0,5473.0,5691.0,19300,2010-10-05
127,5856.0,5965.0,5691.0,5856.0,18400,2010-10-06
128,6020.0,6020.0,5691.0,5910.0,2100,2010-10-07
129,5965.0,5965.0,5527.0,5527.0,78100,2010-10-08
130,5637.0,5856.0,5582.0,5691.0,15100,2010-10-11
131,5746.0,5746.0,5473.0,5582.0,15600,2010-10-12
132,5637.0,5637.0,5637.0,5637.0,6100,2010-10-13
133,5527.0,5746.0,5527.0,5637.0,20000,2010-10-14
134,5637.0,5637.0,5418.0,5473.0,26800,2010-10-15
135,5582.0,5582.0,5254.0,5363.0,30400,2010-10-18
136,5582.0,5582.0,5144.0,5308.0,53500,2010-10-19
137,5199.0,5308.0,4980.0,5199.0,107500,2010-10-20
138,5090.0,5527.0,5090.0,5418.0,47000,2010-10-21
139,5418.0,5418.0,5199.0,5363.0,42200,2010-10-22
140,5363.0,5473.0,5199.0,5363.0,66300,2010-10-25
141,5527.0,5691.0,5473.0,5637.0,192600,2010-10-26
142,5801.0,5801.0,5582.0,5691.0,69800,2010-10-27
143,5746.0,5801.0,5582.0,5691.0,70400,2010-10-28
144,5746.0,5856.0,5582.0,5746.0,52500,2010-10-29
145,5691.0,5801.0,5637.0,5746.0,70300,2010-11-01
146,5746.0,5856.0,5473.0,5801.0,52100,2010-11-02
147,5801.0,5856.0,5582.0,5746.0,106200,2010-11-03
148,5746.0,5801.0,5691.0,5801.0,52100,2010-11-04
149,5746.0,5856.0,5691.0,5801.0,46700,2010-11-05
150,5910.0,5910.0,5691.0,5856.0,44300,2010-11-08
151,5691.0,5801.0,5473.0,5637.0,59700,2010-11-09
152,5746.0,5746.0,5637.0,5691.0,65400,2010-11-10
153,5691.0,5746.0,5582.0,5691.0,81100,2010-11-11
154,5691.0,5691.0,5308.0,5527.0,71600,2010-11-12
155,5637.0,5637.0,5144.0,5473.0,116500,2010-11-15
156,5582.0,5582.0,5254.0,5473.0,101100,2010-11-16
157,5582.0,5637.0,5473.0,5527.0,20200,2010-11-17
158,5801.0,5910.0,5527.0,5856.0,42900,2010-11-18
159,5801.0,5910.0,5691.0,5801.0,39400,2010-11-19
160,5746.0,5856.0,5691.0,5801.0,12300,2010-11-22
161,5856.0,5856.0,5691.0,5801.0,59800,2010-11-23
162,5691.0,5801.0,5691.0,5746.0,21300,2010-11-24
163,5801.0,5801.0,5691.0,5746.0,34700,2010-11-25
164,5856.0,6129.0,5691.0,5801.0,131100,2010-11-26
165,5965.0,6184.0,5691.0,6075.0,69300,2010-11-29
166,6348.0,6458.0,6184.0,6403.0,129800,2010-11-30
167,6731.0,6731.0,6020.0,6567.0,57900,2010-12-01
168,6895.0,6950.0,6239.0,6786.0,141300,2010-12-02
169,7114.0,7224.0,7060.0,7224.0,339400,2010-12-03
170,7388.0,7716.0,7224.0,7552.0,349800,2010-12-06
171,7333.0,7771.0,7060.0,7333.0,135300,2010-12-07
172,7716.0,7716.0,6841.0,7060.0,44300,2010-12-08
173,7114.0,7114.0,6567.0,6950.0,96000,2010-12-09
174,7279.0,7333.0,6841.0,7169.0,273500,2010-12-10
175,7552.0,7662.0,7388.0,7552.0,315300,2010-12-13
176,7881.0,7881.0,7060.0,7497.0,71200,2010-12-14
177,7114.0,7443.0,7005.0,7224.0,103500,2010-12-15
178,7224.0,7224.0,6731.0,6950.0,24900,2010-12-16
179,7169.0,7169.0,6512.0,6731.0,230000,2010-12-17
180,7114.0,7114.0,6567.0,7005.0,59200,2010-12-20
181,7224.0,7224.0,6567.0,6731.0,190200,2010-12-21
182,7005.0,7005.0,6348.0,6731.0,39800,2010-12-22
183,6567.0,6567.0,6293.0,6293.0,16900,2010-12-23
184,6293.0,6293.0,5965.0,6075.0,330400,2010-12-24
185,6348.0,6348.0,6020.0,6239.0,65500,2010-12-27
186,6293.0,6567.0,6020.0,6458.0,159200,2010-12-28
187,6731.0,6731.0,6293.0,6512.0,32200,2010-12-29
188,6786.0,6786.0,6184.0,6677.0,28700,2010-12-30
189,6950.0,6950.0,6403.0,6841.0,23500,2010-12-31
190,6403.0,6403.0,6403.0,6403.0,10300,2011-01-04
191,6075.0,6293.0,5965.0,6020.0,97200,2011-01-05
192,6239.0,6239.0,5965.0,6184.0,31400,2011-01-06
