,Open,High,Low,Close,Volume,TradingDate
0,4025.0,4154.0,3061.0,3900.0,,2009-10-26
1,4065.0,4197.0,3804.0,4100.0,,2009-10-27
2,4329.0,4372.0,4329.0,4400.0,,2009-10-28
3,4719.0,4810.0,4591.0,4600.0,,2009-10-29
4,4574.0,5116.0,4241.0,4200.0,,2009-10-30
5,4154.0,4154.0,4023.0,4200.0,,2009-11-02
6,3760.0,4023.0,3760.0,3800.0,,2009-11-03
7,3935.0,3935.0,3935.0,3900.0,,2009-11-04
8,3935.0,3935.0,3935.0,3900.0,,2009-11-05
9,4280.0,4329.0,3891.0,3900.0,,2009-11-06
10,3891.0,3935.0,3804.0,3800.0,,2009-11-09
11,3848.0,3935.0,3848.0,3900.0,,2009-11-10
12,3754.0,4329.0,3585.0,3600.0,,2009-11-11
13,3849.0,3804.0,3585.0,3800.0,,2009-11-12
14,3891.0,4023.0,3542.0,3900.0,,2009-11-13
15,3891.0,4066.0,3891.0,4100.0,,2009-11-16
16,3935.0,3935.0,3935.0,3900.0,,2009-11-17
17,3981.0,3935.0,3716.0,3900.0,,2009-11-18
18,4028.0,4372.0,3585.0,3600.0,,2009-11-23
19,3268.0,3903.0,3268.0,3600.0,,2009-11-26
20,3235.0,3235.0,3104.0,3200.0,,2009-11-30
21,3104.0,3148.0,2973.0,3100.0,,2009-12-02
22,3498.0,3498.0,3498.0,3500.0,,2009-12-09
23,3192.0,3410.0,3192.0,3200.0,,2009-12-15
24,3279.0,3279.0,3279.0,3300.0,,2009-12-23
25,3747.0,4023.0,3498.0,3500.0,,2010-01-05
26,3673.0,3673.0,3498.0,3500.0,,2010-01-11
27,3322.0,3454.0,3279.0,3400.0,,2010-01-13
28,3498.0,3673.0,3061.0,3500.0,,2010-01-14
29,3670.0,3891.0,3629.0,3600.0,,2010-01-26
30,3891.0,3891.0,3498.0,3500.0,,2010-01-27
31,3407.0,3673.0,3235.0,3300.0,,2010-02-05
32,3541.0,3848.0,3498.0,3600.0,,2010-03-01
33,3453.0,3542.0,3367.0,3400.0,,2010-03-02
34,3542.0,3629.0,3498.0,3500.0,,2010-03-03
35,3848.0,3848.0,3498.0,3800.0,,2010-03-04
36,3587.0,3542.0,3454.0,3500.0,,2010-03-05
37,3631.0,3585.0,3279.0,3500.0,,2010-03-08
38,3410.0,3498.0,3410.0,3400.0,,2010-03-09
39,3409.0,3542.0,3367.0,3500.0,,2010-03-10
40,3410.0,3498.0,3410.0,3500.0,,2010-03-11
41,3411.0,3498.0,3410.0,3500.0,,2010-03-12
42,3498.0,3498.0,3323.0,3500.0,,2010-03-15
43,3331.0,3716.0,3454.0,3500.0,,2010-03-16
44,3454.0,3542.0,3410.0,3500.0,,2010-03-17
45,3454.0,3498.0,3410.0,3400.0,,2010-03-18
46,3807.0,3760.0,3410.0,3500.0,,2010-03-19
47,3542.0,3498.0,3410.0,3500.0,,2010-03-22
48,3368.0,3498.0,3410.0,3500.0,,2010-03-23
49,3498.0,3498.0,3454.0,3500.0,,2010-03-24
50,3323.0,3454.0,3367.0,3400.0,,2010-03-26
51,3454.0,3454.0,3323.0,3300.0,,2010-03-29
52,3454.0,3498.0,3235.0,3300.0,,2010-03-30
53,3454.0,3498.0,3454.0,3500.0,,2010-03-31
54,3498.0,3498.0,3498.0,3500.0,,2010-04-01
55,3896.0,3848.0,3323.0,3500.0,,2010-04-02
56,3454.0,3454.0,3454.0,3500.0,,2010-04-05
57,3287.0,3760.0,3410.0,3500.0,,2010-04-06
58,3584.0,3979.0,3498.0,3500.0,,2010-04-07
59,3498.0,3585.0,3498.0,3500.0,,2010-04-08
60,3585.0,3629.0,3498.0,3600.0,,2010-04-09
61,3499.0,3848.0,3542.0,3500.0,,2010-04-12
62,4025.0,3979.0,3629.0,4000.0,,2010-04-13
63,4303.0,4349.0,4256.0,4000.0,,2010-04-14
64,4733.0,4503.0,3716.0,4500.0,,2010-04-15
65,4678.0,4678.0,4591.0,4700.0,,2010-04-16
66,4810.0,5116.0,4678.0,5100.0,,2010-04-19
67,5008.0,5247.0,4591.0,4600.0,,2010-04-20
68,4909.0,4766.0,4329.0,4500.0,,2010-04-21
69,4762.0,4810.0,4329.0,4400.0,,2010-04-22
70,4713.0,4853.0,4372.0,4400.0,,2010-04-26
71,4848.0,4984.0,4285.0,4400.0,,2010-04-27
72,4245.0,4853.0,4372.0,4400.0,,2010-04-28
73,4669.0,4941.0,4503.0,4900.0,,2010-04-29
74,4934.0,5203.0,4810.0,5200.0,,2010-05-04
75,5203.0,5553.0,5116.0,5600.0,,2010-05-05
76,6077.0,6077.0,5946.0,6100.0,,2010-05-06
77,6646.0,6646.0,6646.0,6600.0,,2010-05-07
78,7159.0,7302.0,6296.0,6600.0,,2010-05-10
79,6606.0,6558.0,6034.0,6100.0,,2010-05-11
80,5552.0,6646.0,5509.0,5600.0,,2010-05-12
81,5314.0,5946.0,5028.0,5700.0,,2010-05-13
82,5459.0,5903.0,4853.0,5900.0,,2010-05-14
83,6250.0,6384.0,5946.0,6100.0,,2010-05-17
84,6549.0,6678.0,5565.0,6100.0,,2010-05-18
85,5776.0,5684.0,5290.0,5500.0,,2010-05-19
86,5374.0,5946.0,5334.0,5900.0,,2010-05-20
87,5419.0,6427.0,5290.0,5600.0,,2010-05-21
88,5765.0,5903.0,5509.0,5500.0,,2010-05-25
89,6034.0,6165.0,5597.0,5700.0,,2010-05-26
90,5989.0,6296.0,5728.0,5800.0,,2010-05-27
91,5861.0,6384.0,5903.0,6100.0,,2010-05-28
92,6337.0,6733.0,5903.0,6000.0,,2010-05-31
93,6122.0,6209.0,5509.0,6100.0,,2010-06-01
94,6034.0,6165.0,6034.0,6000.0,,2010-06-02
95,6121.0,6121.0,5946.0,6000.0,,2010-06-03
96,5419.0,6515.0,5378.0,5800.0,,2010-06-07
97,6479.0,6340.0,5203.0,6100.0,,2010-06-08
98,6698.0,6602.0,5684.0,6100.0,,2010-06-10
99,7258.0,7214.0,6558.0,7200.0,,2010-06-14
100,7824.0,7870.0,7171.0,7400.0,,2010-06-15
101,7824.0,7824.0,6955.0,7400.0,,2010-06-16
102,7477.0,8176.0,6690.0,7400.0,,2010-06-17
103,7433.0,8045.0,6646.0,7400.0,,2010-06-18
104,7389.0,8089.0,6690.0,7700.0,,2010-06-21
105,7695.0,8439.0,6952.0,7500.0,,2010-06-22
106,7120.0,8045.0,6646.0,7700.0,,2010-06-24
107,7696.0,8395.0,6908.0,7600.0,,2010-06-25
108,7520.0,8264.0,6777.0,7500.0,,2010-06-28
109,7476.0,8264.0,7389.0,7400.0,,2010-06-29
110,7345.0,7477.0,7171.0,7300.0,,2010-06-30
111,7257.0,7477.0,7214.0,7400.0,,2010-07-01
112,7429.0,8089.0,7389.0,8100.0,,2010-07-02
113,8215.0,8613.0,8089.0,8600.0,,2010-07-05
114,8573.0,8526.0,7608.0,8000.0,,2010-07-06
115,7871.0,7958.0,7564.0,7800.0,,2010-07-07
116,7519.0,7870.0,7477.0,7700.0,,2010-07-08
117,7738.0,7870.0,7652.0,7900.0,,2010-07-09
118,7958.0,8089.0,7870.0,8000.0,,2010-07-12
119,7914.0,8307.0,7958.0,8000.0,,2010-07-13
120,8000.0,8089.0,7826.0,7900.0,,2010-07-14
121,8000.0,8132.0,7870.0,8100.0,,2010-07-15
122,8745.0,8745.0,8089.0,8200.0,,2010-07-19
123,8132.0,8176.0,7958.0,8000.0,,2010-07-20
124,7956.0,8001.0,7652.0,7700.0,,2010-07-21
125,7734.0,7870.0,7433.0,7400.0,,2010-07-22
126,7654.0,7564.0,7214.0,7500.0,,2010-07-23
127,7388.0,7433.0,7171.0,7200.0,,2010-07-26
128,7433.0,7433.0,7258.0,7400.0,,2010-07-27
129,7257.0,7345.0,7083.0,7200.0,,2010-07-28
130,7258.0,7564.0,7171.0,7400.0,,2010-07-29
131,7389.0,7433.0,7258.0,7400.0,,2010-07-30
132,7477.0,7433.0,7039.0,7400.0,,2010-08-02
133,7733.0,7870.0,6996.0,7800.0,,2010-08-04
134,8576.0,8576.0,8061.0,7800.0,,2010-08-05
