,Open,High,Low,Close,Volume,TradingDate
0,21677.0,25041.0,21677.0,24400.0,500,2018-01-08
1,24368.0,24368.0,24368.0,24400.0,0,2018-01-09
2,22424.0,22424.0,22424.0,22400.0,1500,2018-01-10
3,21378.0,21378.0,21228.0,21300.0,3520,2018-01-11
4,21677.0,21677.0,21677.0,21700.0,2700,2018-01-12
5,21677.0,21677.0,21677.0,21700.0,0,2018-01-15
6,21677.0,21677.0,21677.0,21700.0,3100,2018-01-16
7,21677.0,21677.0,21677.0,21700.0,4600,2018-01-17
8,21677.0,21677.0,21677.0,21700.0,151,2018-01-18
9,21677.0,21677.0,21677.0,21700.0,0,2018-01-19
10,21677.0,21677.0,21677.0,21700.0,2000,2018-01-22
11,22051.0,22051.0,21677.0,22000.0,1179,2018-01-23
12,21154.0,21677.0,21154.0,21400.0,2400,2018-01-24
13,21378.0,21378.0,21378.0,21400.0,0,2018-01-25
14,21079.0,21079.0,21079.0,21100.0,100,2018-01-26
15,21079.0,21079.0,21079.0,21100.0,0,2018-01-29
16,21079.0,21079.0,21079.0,21100.0,0,2018-01-30
17,21079.0,21079.0,21079.0,21100.0,0,2018-01-31
18,21079.0,21079.0,21079.0,21100.0,0,2018-02-01
19,21079.0,21079.0,21079.0,21100.0,0,2018-02-02
20,21677.0,21677.0,21154.0,21600.0,3400,2018-02-05
21,21079.0,21079.0,20929.0,21000.0,2200,2018-02-06
22,21004.0,21004.0,21004.0,21000.0,0,2018-02-07
23,21004.0,21004.0,21004.0,21000.0,0,2018-02-08
24,21303.0,21303.0,21303.0,21300.0,800,2018-02-09
25,21303.0,21303.0,21303.0,21300.0,0,2018-02-12
26,21303.0,21303.0,21303.0,21300.0,0,2018-02-13
27,21303.0,21303.0,21303.0,21300.0,0,2018-02-21
28,22424.0,21303.0,22424.0,22800.0,339,2018-02-22
29,19434.0,22798.0,19434.0,21800.0,3800,2018-02-23
30,18537.0,22424.0,18537.0,21800.0,1100,2018-02-26
31,18612.0,21677.0,18612.0,20100.0,298,2018-02-27
32,21677.0,22424.0,21677.0,22200.0,1100,2018-02-28
33,22200.0,22200.0,22200.0,22200.0,0,2018-03-01
34,21303.0,21303.0,21303.0,21300.0,100,2018-03-02
35,22424.0,22424.0,22424.0,22400.0,1100,2018-03-05
36,22424.0,22424.0,22424.0,22400.0,0,2018-03-06
37,22424.0,22424.0,22424.0,22400.0,0,2018-03-07
38,21677.0,21677.0,21303.0,21400.0,4000,2018-03-08
39,21378.0,21378.0,21378.0,21400.0,0,2018-03-09
40,21378.0,21378.0,21378.0,21400.0,0,2018-03-12
41,21378.0,21378.0,21378.0,21400.0,1000,2018-03-13
42,21527.0,21527.0,21527.0,21500.0,1000,2018-03-14
43,21677.0,21677.0,21677.0,21700.0,4400,2018-03-15
44,21677.0,21677.0,21677.0,21700.0,0,2018-03-16
