,Open,High,Low,Close,Volume,TradingDate
0,20558.0,20558.0,14562.0,16447.0,49000,2011-01-11
1,16532.0,16532.0,15333.0,15847.0,51600,2011-01-12
2,15847.0,16875.0,14819.0,15761.0,55800,2011-01-13
3,16789.0,16789.0,15247.0,15419.0,38900,2011-01-14
4,16447.0,16447.0,14391.0,15162.0,25900,2011-01-17
5,14562.0,15761.0,14562.0,14990.0,30700,2011-01-18
6,14562.0,16018.0,14562.0,15676.0,21000,2011-01-19
7,16704.0,16704.0,15076.0,15162.0,15800,2011-01-20
8,16190.0,16190.0,16104.0,16190.0,14700,2011-01-21
9,17132.0,17132.0,17132.0,17132.0,100,2011-01-24
10,17046.0,17046.0,17046.0,17046.0,200,2011-01-25
11,16532.0,16532.0,15933.0,16104.0,2200,2011-01-26
12,14990.0,16104.0,14990.0,15504.0,7300,2011-01-27
13,14819.0,14819.0,14819.0,14819.0,100,2011-01-28
14,13877.0,13877.0,13791.0,13791.0,3000,2011-02-08
15,14734.0,14734.0,14734.0,14734.0,2800,2011-02-09
16,15761.0,15761.0,15419.0,15676.0,29500,2011-02-10
17,16275.0,16447.0,16275.0,16361.0,6000,2011-02-11
18,15333.0,15676.0,15333.0,15590.0,3000,2011-02-14
19,15590.0,15590.0,15590.0,15590.0,0,2011-02-15
20,16190.0,16190.0,16190.0,16190.0,100,2011-02-16
21,16190.0,16190.0,16190.0,16190.0,0,2011-02-17
22,15419.0,15419.0,15419.0,15419.0,900,2011-02-18
23,16447.0,16447.0,14391.0,15590.0,2500,2011-02-21
24,16104.0,16104.0,16104.0,16104.0,60500,2011-02-22
25,16104.0,16104.0,16104.0,16104.0,0,2011-02-23
26,16104.0,16104.0,16104.0,16104.0,0,2011-02-24
27,16104.0,16104.0,16104.0,16104.0,0,2011-02-25
28,14990.0,14990.0,14990.0,14990.0,1400,2011-02-28
29,14990.0,14990.0,14990.0,14990.0,0,2011-03-01
30,15847.0,15847.0,15847.0,15847.0,24100,2011-03-02
31,15847.0,15847.0,15847.0,15847.0,0,2011-03-03
32,14819.0,14819.0,14819.0,14819.0,1000,2011-03-04
33,13791.0,14990.0,13791.0,13877.0,4300,2011-03-07
34,14819.0,14819.0,14819.0,14819.0,100,2011-03-08
35,15333.0,15847.0,15333.0,15504.0,21900,2011-03-09
36,16447.0,16532.0,16275.0,16447.0,2400,2011-03-10
37,17132.0,17132.0,17132.0,17132.0,5400,2011-03-11
38,16018.0,18331.0,16018.0,16447.0,68000,2011-03-14
39,17560.0,17560.0,17560.0,17560.0,2600,2011-03-15
40,16618.0,18760.0,16447.0,16961.0,44000,2011-03-16
41,18074.0,18074.0,18074.0,18074.0,8300,2011-03-17
42,19273.0,19273.0,19273.0,19273.0,6000,2011-03-18
43,20558.0,20558.0,20558.0,20558.0,7500,2011-03-21
44,21415.0,21929.0,21415.0,21501.0,12400,2011-03-22
45,20387.0,20387.0,20044.0,20130.0,17300,2011-03-23
