,Open,High,Low,Close,Volume,TradingDate
0,12231.0,12231.0,8154.0,8806.0,212500,2008-06-02
1,8969.0,8969.0,8888.0,8888.0,62400,2008-06-03
2,8643.0,8643.0,8643.0,8643.0,57200,2008-06-04
3,8398.0,8398.0,8398.0,8398.0,39100,2008-06-05
4,8154.0,8154.0,8154.0,8154.0,43200,2008-06-06
5,7909.0,7909.0,7909.0,7909.0,40300,2008-06-09
6,7727.0,8373.0,7997.0,8091.0,150200,2008-06-10
7,8000.0,8000.0,8000.0,8000.0,200,2008-06-11
8,8182.0,8182.0,8182.0,8182.0,25100,2008-06-12
9,8364.0,8364.0,8364.0,8364.0,17100,2008-06-13
10,8546.0,8546.0,8546.0,8546.0,7900,2008-06-16
11,8727.0,8727.0,8727.0,8727.0,1000,2008-06-17
12,8909.0,9001.0,8634.0,8909.0,303800,2008-06-18
13,9000.0,9091.0,8546.0,9091.0,153000,2008-06-19
14,9364.0,9833.0,9076.0,9455.0,153100,2008-06-20
15,9455.0,9455.0,9455.0,9455.0,56000,2008-06-23
16,9818.0,9818.0,9818.0,9818.0,74200,2008-06-24
17,10182.0,10182.0,10182.0,10182.0,6700,2008-06-25
18,10546.0,10731.0,10176.0,10546.0,317000,2008-06-26
19,10727.0,10819.0,10452.0,10727.0,164500,2008-06-27
20,11000.0,11000.0,11000.0,11000.0,210400,2008-06-30
21,11364.0,11364.0,11364.0,11364.0,25500,2008-07-01
22,11818.0,11818.0,11818.0,11818.0,18100,2008-07-02
23,12273.0,12273.0,12273.0,12273.0,700,2008-07-03
24,12727.0,12727.0,12727.0,12727.0,16100,2008-07-04
25,13182.0,13366.0,12629.0,13182.0,536400,2008-07-07
26,13455.0,13546.0,13089.0,13455.0,285600,2008-07-08
27,13818.0,13818.0,13818.0,13818.0,1200,2008-07-09
28,14364.0,14364.0,14364.0,14364.0,38000,2008-07-10
29,14909.0,14909.0,14909.0,14909.0,35500,2008-07-11
30,15455.0,15455.0,15455.0,15455.0,14700,2008-07-14
31,16000.0,16000.0,16000.0,16000.0,38200,2008-07-15
32,16637.0,16728.0,15448.0,16637.0,378800,2008-07-16
33,17182.0,17182.0,17182.0,17182.0,180200,2008-07-17
34,17818.0,17253.0,16020.0,16637.0,627200,2008-07-18
