,Open,High,Low,Close,Volume,TradingDate
0,15625.0,17531.0,15340.0,16216.0,70400,2006-11-28
1,17347.0,17751.0,16436.0,17642.0,45500,2006-11-29
2,18077.0,18517.0,17750.0,18078.0,5800,2006-11-30
3,18660.0,18628.0,18211.0,18365.0,6600,2006-12-01
4,17313.0,18628.0,17313.0,18365.0,13700,2006-12-04
5,17689.0,17750.0,16216.0,16216.0,9600,2006-12-05
6,15860.0,15996.0,15273.0,15273.0,6600,2006-12-06
7,15118.0,15120.0,13783.0,15120.0,13500,2006-12-07
8,14560.0,15561.0,14465.0,15451.0,14200,2006-12-08
9,16435.0,16436.0,15888.0,16436.0,11900,2006-12-11
10,17569.0,17752.0,16985.0,16985.0,8700,2006-12-12
11,17387.0,17531.0,16984.0,17093.0,8000,2006-12-13
12,17236.0,17643.0,17095.0,17533.0,43000,2006-12-14
13,17420.0,17868.0,17422.0,17422.0,75300,2006-12-15
14,17387.0,17868.0,17422.0,17422.0,18400,2006-12-18
15,17381.0,18315.0,17868.0,17422.0,30200,2006-12-19
16,17963.0,18847.0,17970.0,18847.0,72800,2006-12-20
17,18407.0,18955.0,18385.0,18407.0,156800,2006-12-21
18,16792.0,18408.0,16830.0,17970.0,8800,2006-12-22
19,17443.0,18627.0,17202.0,18627.0,13300,2006-12-25
20,18551.0,18847.0,18408.0,18847.0,26900,2006-12-26
21,20272.0,20491.0,19286.0,20272.0,12500,2006-12-27
22,20474.0,21368.0,20162.0,20272.0,24400,2006-12-28
23,22723.0,22725.0,21914.0,22725.0,31000,2006-12-29
24,24852.0,24850.0,24850.0,22725.0,2800,2007-01-02
25,27329.0,27329.0,27329.0,27329.0,7800,2007-01-03
26,30043.0,30043.0,30043.0,30043.0,18300,2007-01-04
27,32742.0,33047.0,30023.0,30089.0,21500,2007-01-05
28,30679.0,32870.0,28575.0,30679.0,96900,2007-01-08
29,32563.0,33749.0,30681.0,32565.0,53100,2007-01-09
30,34054.0,33968.0,32873.0,32873.0,22900,2007-01-10
31,33758.0,33968.0,32873.0,32873.0,13000,2007-01-11
32,30679.0,33528.0,30087.0,30679.0,67500,2007-01-12
33,36014.0,35873.0,35720.0,35720.0,104400,2007-01-15
34,39556.0,39423.0,35698.0,35720.0,35500,2007-01-16
35,35761.0,35721.0,32806.0,32806.0,33500,2007-01-17
36,32611.0,33201.0,30681.0,33201.0,99700,2007-01-18
37,31776.0,33310.0,29190.0,31776.0,16600,2007-01-19
38,30899.0,32872.0,30242.0,31776.0,97000,2007-01-22
39,31960.0,32434.0,30900.0,31667.0,65500,2007-01-23
40,28796.0,31557.0,28796.0,28796.0,27700,2007-01-24
41,27320.0,28926.0,26165.0,26735.0,78300,2007-01-25
42,30571.0,30571.0,27393.0,30571.0,54700,2007-01-26
43,30704.0,31297.0,30174.0,31297.0,56000,2007-01-29
44,32440.0,33918.0,32156.0,33918.0,97600,2007-01-30
45,36672.0,36782.0,36121.0,36672.0,61500,2007-01-31
46,37903.0,39646.0,35241.0,35241.0,13600,2007-02-01
47,36939.0,37001.0,33279.0,34578.0,7900,2007-02-02
48,33332.0,33479.0,31937.0,33038.0,22300,2007-02-05
49,32159.0,33038.0,30395.0,31276.0,39700,2007-02-06
50,31274.0,31936.0,30835.0,31276.0,30900,2007-02-07
51,31792.0,31937.0,29735.0,30616.0,18200,2007-02-08
52,31936.0,33698.0,30834.0,31936.0,29100,2007-02-09
53,33258.0,35241.0,33038.0,33258.0,36800,2007-02-12
54,34138.0,35239.0,34138.0,34138.0,30300,2007-02-13
55,36341.0,36341.0,34821.0,36341.0,48000,2007-02-14
56,37547.0,39028.0,36672.0,39028.0,39800,2007-02-15
57,42352.0,42355.0,42289.0,42355.0,42700,2007-02-26
58,46546.0,46562.0,45813.0,46254.0,24600,2007-02-27
59,50588.0,50879.0,46253.0,46474.0,24500,2007-02-28
60,46416.0,47354.0,42575.0,42575.0,40800,2007-03-01
61,42044.0,41848.0,39381.0,42575.0,44300,2007-03-02
62,40173.0,43984.0,39645.0,43720.0,102100,2007-03-05
63,46485.0,46648.0,38543.0,38543.0,70100,2007-03-06
64,43755.0,46254.0,39426.0,44051.0,67200,2007-03-07
65,44632.0,45151.0,44050.0,44931.0,40800,2007-03-08
66,45151.0,46252.0,45151.0,45151.0,55300,2007-03-09
67,45741.0,47574.0,45151.0,45151.0,30500,2007-03-12
68,47068.0,47355.0,42069.0,42069.0,18700,2007-03-13
69,41032.0,42509.0,39249.0,42069.0,75600,2007-03-14
70,40667.0,41849.0,38545.0,41849.0,30600,2007-03-15
71,45018.0,45018.0,40746.0,45018.0,17800,2007-03-16
72,41769.0,46033.0,41187.0,44711.0,41200,2007-03-19
73,43880.0,44931.0,39050.0,43587.0,24800,2007-03-20
