,Open,High,Low,Close,Volume,TradingDate
0,2092.0,2092.0,2092.0,2100.0,0,2009-12-23
1,1527.0,1555.0,1520.0,1500.0,31000,2010-01-05
2,1534.0,1534.0,1534.0,1500.0,1000,2010-01-11
3,1471.0,1541.0,1471.0,1500.0,5000,2010-01-13
4,1738.0,1945.0,1606.0,1600.0,23000,2010-01-14
5,1583.0,1583.0,1583.0,1600.0,0,2010-01-26
6,1583.0,1583.0,1583.0,1600.0,0,2010-01-27
7,1541.0,1541.0,1541.0,1500.0,0,2010-02-05
8,1137.0,1137.0,1137.0,1100.0,0,2010-03-01
9,1137.0,1137.0,1137.0,1100.0,0,2010-03-02
10,1207.0,1470.0,1207.0,1200.0,600,2010-03-03
11,1248.0,1248.0,1248.0,1200.0,0,2010-03-04
12,1248.0,1248.0,1248.0,1200.0,0,2010-03-05
13,955.0,955.0,955.0,1000.0,500,2010-03-08
14,955.0,955.0,955.0,1000.0,0,2010-03-09
15,1046.0,1046.0,1046.0,1000.0,400,2010-03-10
16,1025.0,1206.0,1025.0,1100.0,1000,2010-03-11
17,948.0,948.0,948.0,900.0,500,2010-03-12
18,1039.0,1039.0,1039.0,1000.0,100,2010-03-15
19,1137.0,1137.0,1137.0,1100.0,100,2010-03-16
20,1248.0,1248.0,1186.0,1200.0,4310,2010-03-17
21,1199.0,1311.0,1199.0,1300.0,110,2010-03-18
22,1423.0,1423.0,1423.0,1400.0,110,2010-03-19
23,1562.0,1562.0,1562.0,1600.0,100,2010-03-22
24,1716.0,1716.0,1716.0,1700.0,100,2010-03-23
25,1883.0,1883.0,1883.0,1900.0,10,2010-03-24
26,2071.0,2071.0,2071.0,2100.0,0,2010-03-26
27,2071.0,2071.0,2071.0,2100.0,0,2010-03-29
28,2071.0,2071.0,2071.0,2100.0,0,2010-03-30
29,2071.0,2071.0,2071.0,2100.0,0,2010-03-31
30,1869.0,1869.0,1869.0,1900.0,10,2010-04-01
31,2017.0,2017.0,1660.0,1700.0,120,2010-04-02
32,1859.0,1859.0,1534.0,1500.0,3930,2010-04-05
33,1299.0,1582.0,1299.0,1400.0,180,2010-04-06
34,1381.0,1381.0,1381.0,1400.0,300,2010-04-07
35,1248.0,1248.0,1248.0,1200.0,10,2010-04-08
36,1217.0,1472.0,1217.0,1400.0,25,2010-04-09
37,1144.0,1367.0,1144.0,1300.0,4080,2010-04-12
38,1151.0,1395.0,1151.0,1300.0,1915,2010-04-13
39,1165.0,1418.0,1311.0,1300.0,810,2010-04-14
40,1165.0,1290.0,1165.0,1300.0,520,2010-04-15
41,1266.0,1266.0,1054.0,1200.0,25,2010-04-16
42,1193.0,1444.0,1193.0,1300.0,545,2010-04-19
43,1318.0,1318.0,1318.0,1300.0,0,2010-04-20
44,1193.0,1193.0,1193.0,1200.0,1000,2010-04-21
45,1341.0,1341.0,1105.0,1300.0,35,2010-04-22
46,1075.0,1116.0,1075.0,1100.0,4130,2010-04-26
47,1032.0,1186.0,1032.0,1200.0,3010,2010-04-27
48,1281.0,1410.0,1281.0,1300.0,125,2010-04-28
49,1199.0,1221.0,1101.0,1200.0,14910,2010-04-29
50,1281.0,1408.0,1281.0,1300.0,5573,2010-05-04
51,1346.0,1346.0,1332.0,1300.0,12000,2010-05-05
52,1395.0,1464.0,1395.0,1500.0,31410,2010-05-06
53,1611.0,1611.0,1485.0,1600.0,29120,2010-05-07
54,1611.0,1618.0,1534.0,1600.0,6040,2010-05-10
55,1604.0,1604.0,1604.0,1600.0,0,2010-05-11
56,1444.0,1444.0,1444.0,1400.0,12500,2010-05-12
57,1395.0,1395.0,1395.0,1400.0,2000,2010-05-13
58,1360.0,1360.0,1360.0,1400.0,4000,2010-05-14
59,1240.0,1374.0,1240.0,1400.0,110,2010-05-17
60,1325.0,1325.0,1304.0,1300.0,2210,2010-05-18
61,1325.0,1325.0,1325.0,1300.0,0,2010-05-19
62,1325.0,1325.0,1325.0,1300.0,0,2010-05-20
63,1193.0,1193.0,1193.0,1200.0,10,2010-05-21
64,1186.0,1186.0,1186.0,1200.0,3000,2010-05-25
65,1304.0,1304.0,1304.0,1300.0,1100,2010-05-26
66,1304.0,1304.0,1304.0,1300.0,0,2010-05-27
67,1430.0,1430.0,1430.0,1400.0,10,2010-05-28
68,1569.0,1569.0,1569.0,1600.0,10,2010-05-31
69,1554.0,1554.0,1277.0,1400.0,20,2010-06-01
70,1599.0,1599.0,1308.0,1400.0,40,2010-06-02
71,1318.0,1318.0,1318.0,1300.0,200,2010-06-03
72,1318.0,1318.0,1318.0,1300.0,10,2010-06-07
73,1307.0,1307.0,1086.0,1200.0,20,2010-06-08
74,1597.0,1597.0,1325.0,1300.0,1110,2010-06-10
75,1458.0,1458.0,1458.0,1500.0,10,2010-06-14
76,1318.0,1318.0,1318.0,1300.0,4000,2010-06-15
77,1339.0,1240.0,1240.0,1300.0,2000,2010-06-16
78,1339.0,1339.0,1339.0,1300.0,10,2010-06-17
79,1471.0,1471.0,1332.0,1300.0,1010,2010-06-18
80,1464.0,1465.0,1207.0,1200.0,3050,2010-06-21
