,Open,High,Low,Close,Volume,TradingDate
0,5349.0,5349.0,5349.0,5349.0,2500,2011-12-13
1,5082.0,5082.0,5082.0,5082.0,50,2011-12-14
2,4859.0,4859.0,4859.0,4859.0,10,2011-12-15
3,4636.0,4636.0,4636.0,4636.0,10,2011-12-16
4,4591.0,4591.0,4413.0,4413.0,40,2011-12-19
5,4413.0,4413.0,4413.0,4413.0,0,2011-12-20
6,4235.0,4235.0,4235.0,4235.0,10,2011-12-21
7,4056.0,4056.0,4056.0,4056.0,10,2011-12-22
8,3878.0,3878.0,3878.0,3878.0,10,2011-12-23
9,3700.0,3700.0,3700.0,3700.0,5000,2011-12-26
10,3521.0,3521.0,3521.0,3521.0,5000,2011-12-27
11,3388.0,3388.0,3388.0,3388.0,10,2011-12-28
12,3254.0,3254.0,3254.0,3254.0,10,2011-12-29
13,3120.0,3120.0,3120.0,3120.0,100,2011-12-30
14,2987.0,2987.0,2987.0,2987.0,10,2012-01-03
15,2853.0,2853.0,2853.0,2853.0,100,2012-01-04
16,2719.0,2719.0,2719.0,2719.0,10,2012-01-05
17,2585.0,2585.0,2585.0,2585.0,5700,2012-01-06
18,2496.0,2675.0,2496.0,2541.0,69400,2012-01-09
19,2452.0,2630.0,2452.0,2630.0,40160,2012-01-10
20,2675.0,2675.0,2630.0,2675.0,37880,2012-01-11
21,2808.0,2808.0,2675.0,2808.0,28100,2012-01-12
22,2942.0,2942.0,2942.0,2942.0,6260,2012-01-13
23,3076.0,3076.0,3076.0,3076.0,18020,2012-01-16
24,3209.0,3209.0,3209.0,3209.0,28830,2012-01-17
25,3343.0,3343.0,3343.0,3343.0,5800,2012-01-18
26,3477.0,3477.0,3477.0,3477.0,10010,2012-01-19
27,3611.0,3611.0,3611.0,3611.0,11200,2012-01-20
28,3789.0,3789.0,3789.0,3789.0,880,2012-01-30
29,3789.0,3967.0,3789.0,3967.0,11840,2012-01-31
30,4146.0,4146.0,4146.0,4146.0,28910,2012-02-01
31,3967.0,4279.0,3967.0,4235.0,18490,2012-02-02
