,Open,High,Low,Close,Volume,TradingDate
0,3575.0,3575.0,3575.0,3600.0,0,2011-10-11
1,3575.0,3575.0,3575.0,3600.0,0,2011-10-12
2,3575.0,3575.0,3575.0,3600.0,0,2011-10-13
3,3575.0,3575.0,3575.0,3600.0,0,2011-10-14
4,3575.0,3575.0,3575.0,3600.0,0,2011-10-17
5,3575.0,3575.0,3575.0,3600.0,0,2011-10-18
6,3575.0,3575.0,3575.0,3600.0,0,2011-10-19
7,3575.0,3575.0,3575.0,3600.0,0,2011-10-20
8,3575.0,3575.0,3575.0,3600.0,100,2011-10-21
9,3218.0,3218.0,3218.0,3200.0,100,2011-10-24
10,2900.0,2900.0,2900.0,2900.0,100,2011-10-25
11,2900.0,2900.0,2900.0,2900.0,0,2011-10-26
12,2623.0,2623.0,2623.0,2600.0,100,2011-10-27
13,2623.0,2623.0,2583.0,2600.0,1100,2011-10-28
14,2623.0,2623.0,2623.0,2600.0,0,2011-10-31
15,2623.0,2623.0,2623.0,2600.0,0,2011-11-01
16,2623.0,2623.0,2623.0,2600.0,0,2011-11-02
17,2623.0,2623.0,2623.0,2600.0,0,2011-11-03
18,2623.0,2623.0,2623.0,2600.0,0,2011-11-04
19,2623.0,2623.0,2623.0,2600.0,0,2011-11-07
20,2623.0,2623.0,2623.0,2600.0,0,2011-11-08
21,2623.0,2623.0,2623.0,2600.0,0,2011-11-09
22,2623.0,2623.0,2623.0,2600.0,0,2011-11-10
23,2383.0,2383.0,2383.0,2400.0,100,2011-11-11
24,2144.0,2144.0,2144.0,2100.0,100,2011-11-14
25,2264.0,2264.0,1946.0,2100.0,400,2011-11-15
26,2105.0,2105.0,2105.0,2100.0,0,2011-11-16
27,2105.0,2105.0,2105.0,2100.0,0,2011-11-17
28,1907.0,1907.0,1907.0,1900.0,100,2011-11-18
29,2066.0,2066.0,1748.0,1800.0,1400,2011-11-21
30,1630.0,1630.0,1630.0,1600.0,100,2011-11-22
31,1470.0,1470.0,1470.0,1500.0,6000,2011-11-23
32,1352.0,1352.0,1352.0,1400.0,3000,2011-11-24
33,1352.0,1352.0,1352.0,1400.0,0,2011-11-25
34,1352.0,1352.0,1352.0,1400.0,0,2011-11-28
35,1352.0,1352.0,1352.0,1400.0,0,2011-11-29
36,1232.0,1431.0,1232.0,1400.0,10000,2011-11-30
37,1430.0,1430.0,1430.0,1400.0,3000,2011-12-01
38,1549.0,1549.0,1549.0,1500.0,100,2011-12-02
39,1630.0,1630.0,1630.0,1600.0,100,2011-12-05
