,Open,High,Low,Close,Volume,TradingDate
0,5212.0,5212.0,5212.0,5212.0,4470,2006-11-16
1,5213.0,5387.0,5213.0,5387.0,28570,2006-11-17
2,5387.0,5387.0,5169.0,5300.0,13710,2006-11-20
3,5299.0,5299.0,5256.0,5256.0,2370,2006-11-21
4,5081.0,5081.0,5038.0,5038.0,600,2006-11-22
5,4908.0,4909.0,4822.0,4822.0,4320,2006-11-23
6,4821.0,4821.0,4604.0,4604.0,8090,2006-11-24
7,4386.0,4386.0,4386.0,4386.0,4110,2006-11-27
8,4170.0,4170.0,4170.0,4170.0,5100,2006-11-28
9,3962.0,4170.0,3962.0,4170.0,25030,2006-11-29
10,4344.0,4344.0,4344.0,4344.0,6610,2006-11-30
11,4561.0,4561.0,4561.0,4561.0,6100,2006-12-01
12,4778.0,4778.0,4778.0,4778.0,12020,2006-12-04
13,4864.0,4865.0,4778.0,4778.0,8810,2006-12-05
14,4778.0,4778.0,4604.0,4604.0,9050,2006-12-06
15,4604.0,4778.0,4387.0,4778.0,2110,2006-12-07
16,4778.0,4778.0,4778.0,4778.0,0,2006-12-08
17,4778.0,4778.0,4604.0,4604.0,950,2006-12-11
18,4516.0,4517.0,4386.0,4386.0,4840,2006-12-12
19,4386.0,4386.0,4343.0,4386.0,4240,2006-12-13
20,4386.0,4386.0,4386.0,4386.0,6750,2006-12-14
21,4300.0,4604.0,4300.0,4604.0,2690,2006-12-15
22,4604.0,4778.0,4604.0,4778.0,6620,2006-12-18
23,4691.0,4691.0,4691.0,4691.0,5500,2006-12-19
24,4690.0,4690.0,4473.0,4473.0,1800,2006-12-20
25,4473.0,4690.0,4473.0,4473.0,3410,2006-12-21
26,4300.0,4344.0,4257.0,4344.0,2290,2006-12-22
27,4343.0,4344.0,4170.0,4170.0,6050,2006-12-25
28,4170.0,4170.0,4170.0,4170.0,5160,2006-12-26
29,4366.0,4366.0,4366.0,4366.0,250,2006-12-27
30,4366.0,4411.0,4366.0,4411.0,3460,2006-12-28
31,4410.0,4411.0,4197.0,4197.0,6080,2006-12-29
32,4402.0,4402.0,4402.0,4402.0,1460,2007-01-02
33,4588.0,4588.0,4588.0,4588.0,3980,2007-01-03
34,4633.0,4677.0,4633.0,4633.0,10670,2007-01-04
35,4632.0,4633.0,4455.0,4455.0,650,2007-01-05
36,4455.0,4455.0,4455.0,4455.0,1200,2007-01-08
37,4455.0,4455.0,4277.0,4277.0,1970,2007-01-09
38,4455.0,4455.0,4277.0,4455.0,2620,2007-01-10
39,4455.0,4456.0,4366.0,4366.0,1400,2007-01-11
40,4366.0,4366.0,4366.0,4366.0,3130,2007-01-12
41,4446.0,4446.0,4366.0,4446.0,2200,2007-01-15
42,4233.0,4233.0,4233.0,4233.0,3800,2007-01-16
43,4321.0,4410.0,4232.0,4321.0,3140,2007-01-17
44,4321.0,4321.0,4321.0,4321.0,3900,2007-01-18
45,4455.0,4455.0,4321.0,4455.0,8130,2007-01-19
46,4499.0,4499.0,4454.0,4499.0,4000,2007-01-22
47,4500.0,4500.0,4500.0,4500.0,0,2007-01-23
48,4500.0,4500.0,4500.0,4500.0,0,2007-01-24
49,4499.0,4500.0,4277.0,4277.0,550,2007-01-25
50,4187.0,4276.0,4062.0,4187.0,2430,2007-01-26
51,4392.0,4392.0,4392.0,4392.0,13490,2007-01-29
52,4499.0,4499.0,4499.0,4499.0,16600,2007-01-30
53,4544.0,4544.0,4544.0,4544.0,8740,2007-01-31
54,4544.0,4544.0,4544.0,4544.0,5400,2007-02-01
55,4544.0,4544.0,4544.0,4544.0,5350,2007-02-02
56,4544.0,4544.0,4544.0,4544.0,7200,2007-02-05
57,4544.0,4544.0,4322.0,4544.0,8370,2007-02-06
58,4544.0,4544.0,4544.0,4544.0,2310,2007-02-07
59,4544.0,4544.0,4411.0,4411.0,1290,2007-02-08
60,4410.0,4411.0,4366.0,4411.0,2620,2007-02-09
61,4499.0,4499.0,4410.0,4499.0,1890,2007-02-12
62,4589.0,4678.0,4544.0,4544.0,21750,2007-02-13
63,4766.0,4766.0,4722.0,4766.0,28620,2007-02-14
64,4990.0,4990.0,4990.0,4990.0,30810,2007-02-15
65,5212.0,5212.0,5212.0,5212.0,6450,2007-02-26
66,5435.0,5435.0,5435.0,5435.0,21260,2007-02-27
67,5702.0,5702.0,5702.0,5702.0,24970,2007-02-28
68,5970.0,5970.0,5970.0,5970.0,46720,2007-03-01
69,6236.0,6236.0,6058.0,6058.0,85510,2007-03-02
70,6058.0,6058.0,6058.0,6058.0,26870,2007-03-05
71,5792.0,5792.0,5792.0,5792.0,24860,2007-03-06
72,5613.0,5702.0,5524.0,5613.0,28010,2007-03-07
73,5836.0,5836.0,5524.0,5836.0,34500,2007-03-08
74,6104.0,6104.0,6104.0,6104.0,31250,2007-03-09
75,6104.0,6282.0,6104.0,6104.0,36920,2007-03-12
76,6058.0,6103.0,5835.0,6058.0,32930,2007-03-13
77,5792.0,5792.0,5792.0,5792.0,13080,2007-03-14
78,5525.0,5525.0,5525.0,5525.0,6570,2007-03-15
79,5435.0,5525.0,5302.0,5525.0,16220,2007-03-16
80,5792.0,5792.0,5792.0,5792.0,29500,2007-03-19
81,6058.0,6058.0,5880.0,5880.0,49110,2007-03-20
82,5880.0,5881.0,5792.0,5792.0,15780,2007-03-21
83,5925.0,5925.0,5702.0,5702.0,8390,2007-03-22
84,5792.0,5792.0,5703.0,5792.0,15380,2007-03-23
85,6058.0,6058.0,5880.0,5880.0,41670,2007-03-26
86,6147.0,6147.0,5613.0,5613.0,47020,2007-03-27
87,5525.0,5525.0,5525.0,5525.0,12920,2007-03-28
88,5792.0,5792.0,5792.0,5792.0,20420,2007-03-29
89,5791.0,5792.0,5613.0,5702.0,28750,2007-03-30
90,5525.0,5525.0,5525.0,5525.0,25180,2007-04-02
91,5525.0,5525.0,5525.0,5525.0,26460,2007-04-03
92,5569.0,5569.0,5524.0,5569.0,24120,2007-04-04
93,5828.0,5828.0,5346.0,5828.0,23540,2007-04-05
94,5827.0,5934.0,5667.0,5667.0,22370,2007-04-06
95,5399.0,5399.0,5399.0,5399.0,4800,2007-04-09
96,5399.0,5399.0,5132.0,5399.0,14010,2007-04-10
97,5399.0,5399.0,5399.0,5399.0,7390,2007-04-11
98,5399.0,5399.0,5238.0,5345.0,5450,2007-04-12
99,5238.0,5239.0,5132.0,5132.0,11310,2007-04-13
100,4876.0,4876.0,4876.0,4876.0,14360,2007-04-16
101,4652.0,4705.0,4641.0,4705.0,35750,2007-04-17
102,4919.0,4919.0,4919.0,4919.0,4770,2007-04-18
103,5165.0,5165.0,4919.0,5165.0,10600,2007-04-19
104,5165.0,5165.0,5165.0,5165.0,14700,2007-04-20
105,5165.0,5165.0,5165.0,5165.0,25640,2007-04-23
106,5165.0,5165.0,4929.0,5165.0,14900,2007-04-24
107,5399.0,5399.0,5132.0,5399.0,14670,2007-04-25
108,5506.0,5507.0,5453.0,5453.0,5390,2007-05-02
109,5453.0,5453.0,5347.0,5453.0,29520,2007-05-03
110,5453.0,5453.0,5186.0,5186.0,3200,2007-05-04
111,5186.0,5239.0,4983.0,5186.0,3040,2007-05-07
112,5399.0,5399.0,5239.0,5399.0,16190,2007-05-08
113,5399.0,5666.0,5345.0,5345.0,28140,2007-05-09
114,5239.0,5613.0,5239.0,5239.0,21010,2007-05-10
115,5452.0,5452.0,5345.0,5345.0,32150,2007-05-11
116,5345.0,5613.0,5345.0,5345.0,36190,2007-05-14
117,5399.0,5399.0,5346.0,5399.0,13020,2007-05-15
118,5399.0,5399.0,5292.0,5399.0,21010,2007-05-16
119,5667.0,5667.0,5346.0,5667.0,45050,2007-05-17
120,5453.0,5453.0,5400.0,5453.0,6070,2007-05-18
121,5453.0,5453.0,5347.0,5453.0,10340,2007-05-21
122,5453.0,5506.0,5399.0,5399.0,22280,2007-05-22
123,5560.0,5560.0,5453.0,5560.0,15020,2007-05-23
124,5559.0,5559.0,5281.0,5281.0,5670,2007-05-24
125,5293.0,5293.0,5282.0,5293.0,4630,2007-05-25
126,5506.0,5506.0,5346.0,5506.0,22430,2007-05-28
127,5613.0,5613.0,5506.0,5613.0,52090,2007-05-29
128,5560.0,5560.0,5399.0,5399.0,4550,2007-05-30
129,5667.0,5667.0,5346.0,5667.0,64020,2007-05-31
130,5667.0,5667.0,5453.0,5453.0,3990,2007-06-01
131,5560.0,5560.0,5453.0,5560.0,3710,2007-06-04
132,5559.0,5559.0,5345.0,5345.0,10800,2007-06-05
133,5345.0,5345.0,5345.0,5345.0,5710,2007-06-06
134,5345.0,5452.0,5345.0,5345.0,9300,2007-06-07
135,5345.0,5345.0,5345.0,5345.0,9030,2007-06-08
136,5345.0,5345.0,5345.0,5345.0,5360,2007-06-11
137,5345.0,5345.0,5345.0,5345.0,3360,2007-06-12
138,5399.0,5399.0,5345.0,5345.0,3100,2007-06-13
139,5345.0,5345.0,5089.0,5345.0,1880,2007-06-14
140,5346.0,5346.0,5293.0,5293.0,3540,2007-06-15
141,5346.0,5346.0,5293.0,5293.0,2600,2007-06-18
142,5293.0,5293.0,5293.0,5293.0,12580,2007-06-19
143,5453.0,5453.0,5293.0,5293.0,1560,2007-06-20
144,5293.0,5293.0,5293.0,5293.0,4200,2007-06-21
145,5131.0,5239.0,5078.0,5239.0,9430,2007-06-22
146,5345.0,5345.0,5142.0,5345.0,5540,2007-06-25
147,5345.0,5346.0,5239.0,5239.0,7670,2007-06-26
148,5239.0,5239.0,5239.0,5239.0,350,2007-06-27
149,5239.0,5239.0,5239.0,5239.0,6600,2007-06-28
150,5185.0,5239.0,5153.0,5153.0,1700,2007-06-29
151,5154.0,5154.0,5079.0,5079.0,2000,2007-07-02
152,5004.0,5079.0,5004.0,5004.0,1360,2007-07-03
153,5004.0,5004.0,4811.0,5004.0,2590,2007-07-04
154,5025.0,5025.0,5004.0,5025.0,2580,2007-07-05
155,5025.0,5025.0,5025.0,5025.0,1200,2007-07-06
156,5025.0,5025.0,5025.0,5025.0,1200,2007-07-09
157,5025.0,5025.0,5025.0,5025.0,2300,2007-07-10
158,5239.0,5239.0,5186.0,5186.0,3300,2007-07-11
159,5143.0,5143.0,5143.0,5143.0,500,2007-07-12
160,5132.0,5143.0,5111.0,5132.0,2340,2007-07-13
161,5057.0,5057.0,5057.0,5057.0,200,2007-07-16
162,5035.0,5035.0,5024.0,5035.0,1300,2007-07-17
163,5035.0,5035.0,5024.0,5035.0,2760,2007-07-18
164,5036.0,5036.0,4876.0,4876.0,1240,2007-07-19
165,5111.0,5111.0,4875.0,5111.0,8070,2007-07-20
166,5111.0,5111.0,5111.0,5111.0,2100,2007-07-23
167,5111.0,5111.0,5111.0,5111.0,0,2007-07-24
168,5025.0,5111.0,4972.0,5025.0,2700,2007-07-25
169,4928.0,5025.0,4928.0,4928.0,400,2007-07-26
170,4919.0,4919.0,4705.0,4919.0,7490,2007-07-27
171,4705.0,4705.0,4705.0,4705.0,8790,2007-07-30
172,4704.0,4704.0,4490.0,4490.0,1920,2007-07-31
173,4705.0,4705.0,4598.0,4705.0,5340,2007-08-01
174,4918.0,4812.0,4812.0,4812.0,3720,2007-08-02
175,4908.0,4812.0,4705.0,4705.0,1120,2007-08-03
176,4705.0,4705.0,4705.0,4705.0,700,2007-08-06
177,4544.0,4598.0,4544.0,4544.0,4200,2007-08-07
178,4597.0,4597.0,4544.0,4597.0,5980,2007-08-08
179,4705.0,4705.0,4598.0,4705.0,1670,2007-08-09
180,4704.0,4704.0,4490.0,4490.0,3530,2007-08-10
181,4597.0,4597.0,4597.0,4597.0,1020,2007-08-13
182,4651.0,4651.0,4651.0,4651.0,2040,2007-08-14
183,4651.0,5175.0,5132.0,4651.0,1430,2007-08-15
184,4597.0,4650.0,4597.0,4597.0,1660,2007-08-16
185,4597.0,4650.0,4383.0,4597.0,100,2007-08-17
186,4597.0,4597.0,4533.0,4533.0,2370,2007-08-20
187,4746.0,4747.0,4597.0,4597.0,7500,2007-08-21
188,4705.0,4705.0,4555.0,4705.0,910,2007-08-22
189,4597.0,4598.0,4544.0,4544.0,1300,2007-08-23
190,4544.0,4544.0,4502.0,4544.0,4100,2007-08-24
191,4543.0,4544.0,4490.0,4490.0,380,2007-08-27
192,4715.0,4715.0,4416.0,4715.0,16340,2007-08-28
193,4758.0,4812.0,4598.0,4812.0,13020,2007-08-29
194,4812.0,4844.0,4812.0,4812.0,12390,2007-08-30
195,5047.0,5047.0,4811.0,5047.0,24350,2007-08-31
196,5239.0,5293.0,5132.0,5293.0,16880,2007-09-04
197,5505.0,5506.0,5346.0,5506.0,47990,2007-09-05
198,5774.0,5774.0,5560.0,5560.0,35500,2007-09-06
199,5345.0,5345.0,5335.0,5345.0,5670,2007-09-07
200,5345.0,5346.0,5121.0,5132.0,3530,2007-09-10
201,5345.0,5345.0,5345.0,5345.0,15770,2007-09-11
202,5345.0,5346.0,5239.0,5239.0,2600,2007-09-12
203,5238.0,5239.0,5132.0,5132.0,10900,2007-09-13
204,5239.0,5239.0,5132.0,5239.0,5610,2007-09-14
205,5345.0,5345.0,5185.0,5345.0,15570,2007-09-17
206,5452.0,5452.0,5345.0,5345.0,1900,2007-09-18
207,5345.0,5346.0,5239.0,5239.0,6580,2007-09-19
208,5453.0,5453.0,5347.0,5453.0,8140,2007-09-20
209,5453.0,5453.0,5347.0,5453.0,17770,2007-09-21
210,5559.0,5559.0,5345.0,5345.0,9440,2007-09-24
211,5613.0,5613.0,5239.0,5613.0,15420,2007-09-25
212,5613.0,5614.0,5453.0,5453.0,11860,2007-09-26
213,5250.0,5250.0,5250.0,5250.0,2360,2007-09-27
