,Open,High,Low,Close,Volume,TradingDate
0,7767.0,8026.0,7664.0,7767.0,97540,2010-11-09
1,8130.0,8130.0,7405.0,7457.0,45950,2010-11-10
2,7819.0,7819.0,7094.0,7146.0,43310,2010-11-11
3,7250.0,7457.0,7250.0,7457.0,12200,2010-11-12
4,7819.0,7819.0,7094.0,7094.0,26330,2010-11-15
5,7250.0,7405.0,7250.0,7405.0,14900,2010-11-16
6,7767.0,7767.0,7405.0,7405.0,7310,2010-11-17
7,7560.0,7767.0,7560.0,7767.0,7790,2010-11-18
8,7612.0,7612.0,7457.0,7612.0,11300,2010-11-19
9,7405.0,7405.0,7405.0,7405.0,3000,2010-11-22
10,7664.0,7716.0,7560.0,7612.0,21130,2010-11-23
11,7612.0,7716.0,7560.0,7716.0,28800,2010-11-24
12,7612.0,7612.0,7405.0,7405.0,10070,2010-11-25
13,7664.0,7664.0,7509.0,7612.0,26260,2010-11-26
14,7457.0,7767.0,7457.0,7767.0,6530,2010-11-29
15,7871.0,7871.0,7612.0,7767.0,1200,2010-11-30
16,7612.0,7716.0,7560.0,7716.0,9590,2010-12-01
17,7716.0,8026.0,7664.0,8026.0,46320,2010-12-02
18,8130.0,8389.0,7767.0,8389.0,27500,2010-12-03
19,8803.0,8803.0,7975.0,8130.0,18230,2010-12-06
20,7871.0,8130.0,7767.0,7767.0,50940,2010-12-07
21,7612.0,7767.0,7509.0,7509.0,3500,2010-12-08
22,7871.0,7871.0,7871.0,7871.0,530,2010-12-09
23,8182.0,8182.0,7871.0,8026.0,1690,2010-12-10
24,8337.0,8337.0,7664.0,7664.0,6870,2010-12-13
25,7560.0,7871.0,7509.0,7871.0,7450,2010-12-14
26,7871.0,7975.0,7871.0,7975.0,22160,2010-12-15
27,7923.0,8026.0,7767.0,7767.0,21000,2010-12-16
28,7664.0,8026.0,7664.0,8026.0,2670,2010-12-17
29,8233.0,8233.0,7767.0,7767.0,520,2010-12-20
30,7767.0,7767.0,7767.0,7767.0,1020,2010-12-21
31,7767.0,8078.0,7767.0,7767.0,8670,2010-12-22
32,7767.0,7767.0,7767.0,7767.0,0,2010-12-23
33,8078.0,8130.0,8078.0,8130.0,18580,2010-12-24
34,8182.0,8389.0,8182.0,8337.0,7500,2010-12-27
35,8337.0,8337.0,8337.0,8337.0,0,2010-12-28
36,7923.0,8285.0,7923.0,8285.0,610,2010-12-29
37,7871.0,8285.0,7871.0,8285.0,4100,2010-12-30
38,8026.0,8026.0,7871.0,7871.0,1700,2010-12-31
39,7871.0,8026.0,7560.0,7612.0,5780,2011-01-04
40,7612.0,7871.0,7509.0,7871.0,7950,2011-01-05
41,7560.0,7975.0,7560.0,7975.0,2770,2011-01-06
42,7612.0,7871.0,7612.0,7871.0,2200,2011-01-07
43,7923.0,7923.0,7509.0,7509.0,2550,2011-01-10
44,7716.0,7716.0,7716.0,7716.0,100,2011-01-11
45,7767.0,7767.0,7767.0,7767.0,2100,2011-01-12
