,Open,High,Low,Close,Volume,TradingDate
0,11933.0,11933.0,9945.0,10541.0,391350,2015-03-18
1,10939.0,10939.0,10044.0,10690.0,100950,2015-03-19
2,10740.0,10939.0,10442.0,10442.0,31280,2015-03-20
3,10243.0,10442.0,9746.0,9746.0,178850,2015-03-23
4,9746.0,9795.0,9646.0,9696.0,16140,2015-03-24
5,9646.0,9845.0,9646.0,9845.0,3800,2015-03-25
6,9646.0,9795.0,9646.0,9746.0,14030,2015-03-26
7,9795.0,9795.0,9696.0,9746.0,6790,2015-03-27
8,9646.0,9696.0,9398.0,9398.0,21650,2015-03-30
9,9398.0,9547.0,9398.0,9547.0,8420,2015-03-31
10,9447.0,9447.0,9398.0,9447.0,6700,2015-04-01
11,9547.0,9895.0,9547.0,9895.0,3020,2015-04-02
12,9398.0,9646.0,9398.0,9646.0,150,2015-04-03
13,9447.0,9447.0,9298.0,9447.0,3530,2015-04-06
14,9646.0,9646.0,9050.0,9099.0,6070,2015-04-07
15,9099.0,9099.0,8801.0,9050.0,27220,2015-04-08
16,9050.0,9348.0,8950.0,9348.0,11000,2015-04-09
17,9497.0,9497.0,9348.0,9447.0,1030,2015-04-10
18,9348.0,9348.0,9199.0,9199.0,3500,2015-04-13
19,9149.0,9696.0,9000.0,9696.0,115140,2015-04-14
20,9696.0,9696.0,9447.0,9447.0,2600,2015-04-15
21,9447.0,9646.0,9398.0,9646.0,35560,2015-04-16
22,9895.0,9895.0,9497.0,9795.0,170,2015-04-17
23,9795.0,9795.0,9447.0,9447.0,12860,2015-04-20
24,9497.0,9497.0,9447.0,9447.0,10830,2015-04-21
25,9447.0,9646.0,9447.0,9646.0,110,2015-04-22
26,9646.0,10044.0,9447.0,9447.0,10110,2015-04-23
27,9547.0,9596.0,9497.0,9596.0,6840,2015-04-24
28,9845.0,9945.0,9646.0,9945.0,3280,2015-04-27
29,9696.0,9795.0,9447.0,9795.0,7970,2015-05-04
30,9298.0,9696.0,9199.0,9696.0,22510,2015-05-05
31,9646.0,9646.0,9646.0,9646.0,100,2015-05-06
32,9895.0,9895.0,9696.0,9696.0,90,2015-05-07
33,9696.0,10143.0,9596.0,9596.0,11930,2015-05-08
34,9646.0,9646.0,9646.0,9646.0,100,2015-05-11
35,9547.0,9845.0,9547.0,9795.0,11330,2015-05-12
36,9696.0,9696.0,9696.0,9696.0,210,2015-05-13
37,9696.0,9696.0,9696.0,9696.0,6050,2015-05-14
38,9547.0,9696.0,9298.0,9646.0,2270,2015-05-15
39,9795.0,9795.0,9596.0,9696.0,32200,2015-05-18
40,9696.0,9746.0,9447.0,9746.0,7530,2015-05-19
41,9746.0,9945.0,9746.0,9945.0,13140,2015-05-20
42,9945.0,9945.0,9696.0,9945.0,6600,2015-05-21
43,9994.0,10044.0,9994.0,9994.0,56540,2015-05-22
44,9994.0,10243.0,9945.0,9994.0,30540,2015-05-25
45,10643.0,10643.0,10156.0,10156.0,11610,2015-05-26
46,10210.0,10318.0,10210.0,10318.0,14820,2015-05-27
47,10318.0,10372.0,10264.0,10372.0,16430,2015-05-28
