,Open,High,Low,Close,Volume,TradingDate
0,6006.0,6406.0,6006.0,6286.0,3500,2006-12-28
1,7051.0,9009.0,9009.0,9009.0,3000,2006-12-29
2,6267.0,9009.0,9009.0,9009.0,300,2007-01-02
3,6267.0,9994.0,9994.0,9009.0,0,2007-01-03
4,6267.0,9994.0,9994.0,9009.0,0,2007-01-04
5,6267.0,9994.0,9994.0,9009.0,0,2007-01-05
6,5745.0,7312.0,7312.0,7312.0,3000,2007-01-08
7,5745.0,7312.0,7312.0,7312.0,0,2007-01-09
8,5223.0,6789.0,6789.0,6789.0,2000,2007-01-10
9,5223.0,6602.0,6059.0,6110.0,2800,2007-01-11
10,4700.0,6181.0,5537.0,5614.0,1000,2007-01-12
11,4439.0,5614.0,5614.0,5614.0,1000,2007-01-15
12,4439.0,5614.0,5614.0,5614.0,0,2007-01-16
13,4439.0,5614.0,5614.0,5614.0,0,2007-01-17
14,4700.0,6163.0,6163.0,6163.0,200,2007-01-18
15,6763.0,6763.0,6763.0,6763.0,2000,2007-01-19
16,5745.0,6763.0,6763.0,6763.0,5800,2007-01-22
17,6267.0,8147.0,8147.0,8147.0,7300,2007-01-23
18,6789.0,9036.0,8693.0,8957.0,24300,2007-01-24
19,7312.0,9158.0,8650.0,8878.0,3700,2007-01-25
20,6267.0,8226.0,8226.0,8226.0,500,2007-01-26
21,6006.0,8696.0,7906.0,8617.0,2000,2007-01-29
22,6528.0,8670.0,8407.0,8617.0,3900,2007-01-30
23,6789.0,8826.0,8670.0,8748.0,4100,2007-01-31
24,7312.0,8832.0,7856.0,8617.0,2900,2007-02-01
25,7312.0,9427.0,9375.0,9401.0,2400,2007-02-02
26,7312.0,9178.0,8413.0,8617.0,400,2007-02-05
27,6789.0,8413.0,8413.0,8617.0,0,2007-02-06
28,6789.0,8905.0,8878.0,8878.0,1700,2007-02-07
29,6267.0,8121.0,8016.0,8095.0,500,2007-02-08
30,6267.0,8121.0,8121.0,8095.0,0,2007-02-09
31,5745.0,8202.0,7697.0,8069.0,800,2007-02-12
32,6006.0,8148.0,7990.0,8095.0,1400,2007-02-13
33,6267.0,8148.0,8148.0,8095.0,0,2007-02-14
34,6267.0,8148.0,8148.0,8095.0,0,2007-02-15
35,6267.0,8148.0,8148.0,8095.0,0,2007-02-26
36,6789.0,8800.0,8748.0,8774.0,900,2007-02-27
37,7312.0,9638.0,9242.0,9401.0,5300,2007-02-28
38,7312.0,9767.0,9503.0,9662.0,3400,2007-03-01
39,7312.0,9934.0,9143.0,9662.0,7200,2007-03-02
40,8617.0,11229.0,11229.0,11229.0,1000,2007-03-05
41,9401.0,12352.0,12352.0,12352.0,2800,2007-03-06
42,10445.0,13579.0,13579.0,13579.0,1800,2007-03-07
43,11490.0,14937.0,14937.0,14937.0,3400,2007-03-08
