,Open,High,Low,Close,Volume,TradingDate
0,4121.0,4445.0,2667.0,3073.0,192000,2008-03-18
1,3132.0,3132.0,3132.0,3132.0,69000,2008-03-19
2,3438.0,3438.0,3415.0,3438.0,88100,2008-03-20
3,3768.0,3430.0,2830.0,3109.0,90500,2008-03-21
4,3073.0,3073.0,3073.0,3073.0,18500,2008-03-24
5,2767.0,2767.0,2767.0,2767.0,19900,2008-03-25
6,2496.0,3115.0,2569.0,2909.0,290200,2008-03-26
7,2873.0,2873.0,2873.0,2873.0,1000,2008-03-27
8,2920.0,2920.0,2920.0,2920.0,10400,2008-03-28
9,2967.0,2967.0,2967.0,2967.0,10500,2008-03-31
10,3026.0,3026.0,3026.0,3026.0,2300,2008-04-01
11,3085.0,3085.0,3085.0,3085.0,31000,2008-04-02
12,3144.0,3144.0,3144.0,3144.0,20400,2008-04-03
13,3203.0,3203.0,3203.0,3203.0,1300,2008-04-04
14,3297.0,3297.0,3297.0,3297.0,100,2008-04-07
15,3391.0,3451.0,3260.0,3391.0,410400,2008-04-08
16,3415.0,3402.0,3215.0,3238.0,118400,2008-04-09
17,3179.0,3179.0,3168.0,3168.0,5200,2008-04-10
18,3073.0,3287.0,3120.0,3156.0,71600,2008-04-11
19,3191.0,3215.0,3084.0,3191.0,171900,2008-04-16
20,3262.0,3262.0,3262.0,3262.0,34600,2008-04-17
21,3356.0,3380.0,3190.0,3356.0,268000,2008-04-18
22,3427.0,3439.0,3309.0,3356.0,117400,2008-04-21
23,3438.0,3402.0,3250.0,3285.0,185900,2008-04-22
24,3297.0,3285.0,3215.0,3226.0,171700,2008-04-23
25,3156.0,3308.0,3121.0,3203.0,126800,2008-04-24
26,3144.0,3368.0,3189.0,3321.0,83000,2008-04-25
27,3368.0,3368.0,3344.0,3368.0,194500,2008-04-28
28,3462.0,3462.0,3391.0,3462.0,327400,2008-04-29
29,3521.0,3508.0,3345.0,3415.0,118700,2008-05-05
30,3368.0,3391.0,3368.0,3368.0,47500,2008-05-06
31,3274.0,3274.0,3274.0,3274.0,17300,2008-05-07
32,3179.0,3179.0,3179.0,3179.0,3300,2008-05-08
33,3085.0,3085.0,3085.0,3085.0,8800,2008-05-09
34,3003.0,3003.0,3003.0,3003.0,10200,2008-05-12
35,2920.0,2920.0,2920.0,2920.0,2100,2008-05-13
36,2838.0,2838.0,2838.0,2838.0,100,2008-05-14
37,2755.0,2755.0,2755.0,2755.0,5600,2008-05-15
38,2673.0,2825.0,2661.0,2673.0,291600,2008-05-16
39,2638.0,2638.0,2614.0,2614.0,17000,2008-05-19
40,2544.0,2544.0,2544.0,2544.0,500,2008-05-20
41,2473.0,2473.0,2473.0,2473.0,400,2008-05-21
42,2402.0,2402.0,2402.0,2402.0,100,2008-05-22
43,2332.0,2332.0,2332.0,2332.0,1000,2008-05-23
44,2273.0,2273.0,2273.0,2273.0,100,2008-05-26
45,2214.0,2214.0,2214.0,2214.0,200,2008-05-27
46,2155.0,2155.0,2155.0,2155.0,18900,2008-05-28
47,2096.0,2096.0,2096.0,2096.0,15900,2008-05-29
48,2037.0,2037.0,2037.0,2037.0,6400,2008-05-30
49,1978.0,1978.0,1978.0,1978.0,1200,2008-06-02
50,1919.0,1919.0,1919.0,1919.0,600,2008-06-03
51,1872.0,1872.0,1872.0,1872.0,600,2008-06-04
52,1825.0,1825.0,1825.0,1825.0,500,2008-06-05
53,1778.0,1778.0,1778.0,1778.0,900,2008-06-06
54,1731.0,1731.0,1731.0,1731.0,700,2008-06-09
55,1684.0,1684.0,1684.0,1684.0,1600,2008-06-10
56,1637.0,1792.0,1694.0,1731.0,175000,2008-06-11
57,1719.0,1719.0,1707.0,1719.0,74100,2008-06-12
58,1766.0,1766.0,1766.0,1766.0,23700,2008-06-13
59,1813.0,1813.0,1813.0,1813.0,1000,2008-06-16
60,1861.0,1861.0,1861.0,1861.0,1100,2008-06-17
61,1908.0,1848.0,1756.0,1813.0,84100,2008-06-18
62,1802.0,1802.0,1802.0,1802.0,500,2008-06-19
63,1731.0,1731.0,1731.0,1731.0,2500,2008-06-20
64,1672.0,1839.0,1718.0,1766.0,185100,2008-06-23
65,1778.0,1790.0,1731.0,1778.0,74700,2008-06-24
66,1813.0,1849.0,1778.0,1837.0,108500,2008-06-25
67,1896.0,1933.0,1789.0,1861.0,144500,2008-06-26
68,1766.0,1909.0,1789.0,1825.0,135700,2008-06-27
69,1790.0,1861.0,1742.0,1813.0,175300,2008-06-30
70,1872.0,1872.0,1802.0,1872.0,80300,2008-07-01
