,Open,High,Low,Close,Volume,TradingDate
0,13200.0,13200.0,12867.0,12867.0,133500,2008-07-22
1,13600.0,13600.0,13257.0,13257.0,10,2008-07-23
2,13989.0,13989.0,13637.0,13637.0,10,2008-07-24
3,14378.0,14378.0,14018.0,14018.0,20,2008-07-25
4,14779.0,14779.0,14408.0,14408.0,1100,2008-07-28
5,14788.0,15170.0,14788.0,14788.0,3740,2008-07-29
6,15559.0,15559.0,15168.0,15168.0,1000,2008-07-30
7,15548.0,15950.0,15548.0,15548.0,7000,2008-07-31
8,16429.0,16429.0,16016.0,16016.0,6500,2008-08-01
9,16899.0,16899.0,16474.0,16474.0,7820,2008-08-04
10,17368.0,17368.0,16932.0,16932.0,1000,2008-08-05
11,17390.0,17840.0,17390.0,17390.0,1500,2008-08-06
12,17849.0,18309.0,17849.0,17849.0,20,2008-08-07
13,18307.0,18778.0,18307.0,18307.0,20,2008-08-08
14,19328.0,19328.0,18843.0,18843.0,20,2008-08-11
15,19878.0,19878.0,19379.0,19379.0,2000,2008-08-12
16,19915.0,20428.0,19915.0,19915.0,1500,2008-08-13
17,20451.0,20978.0,20451.0,20451.0,10,2008-08-14
18,21065.0,21610.0,21065.0,21065.0,3060,2008-08-15
19,22628.0,22628.0,22060.0,22060.0,3600,2008-08-18
20,23142.0,23737.0,23142.0,23142.0,160,2008-08-19
21,24910.0,24910.0,24282.0,24282.0,3980,2008-08-20
22,25433.0,26089.0,25433.0,25433.0,2900,2008-08-21
23,27349.0,27349.0,26661.0,26661.0,17400,2008-08-22
24,28532.0,28689.0,27967.0,27967.0,7020,2008-08-25
25,29341.0,30100.0,29341.0,29341.0,3510,2008-08-26
26,31589.0,31589.0,30794.0,30794.0,1100,2008-08-27
27,30025.0,33169.0,30025.0,32334.0,685270,2008-08-28
28,34820.0,34820.0,33169.0,33943.0,404260,2008-08-29
29,35629.0,36549.0,35629.0,35629.0,50500,2008-09-03
30,38352.0,38352.0,36151.0,37159.0,328650,2008-09-04
31,36230.0,36230.0,35317.0,35317.0,56340,2008-09-05
32,34418.0,34418.0,33553.0,33553.0,3920,2008-09-08
33,32768.0,32768.0,31944.0,31944.0,3110,2008-09-09
34,31196.0,31196.0,30414.0,30414.0,15100,2008-09-10
35,28917.0,28920.0,28917.0,28920.0,1430,2008-09-11
36,27510.0,27510.0,27510.0,27510.0,750,2008-09-12
37,26167.0,28839.0,26167.0,26170.0,134840,2008-09-15
38,24910.0,24910.0,24910.0,24910.0,20570,2008-09-16
39,23737.0,23740.0,23737.0,23740.0,3010,2008-09-17
40,22558.0,22560.0,22558.0,22560.0,22830,2008-09-18
41,22008.0,23660.0,21458.0,23660.0,466500,2008-09-19
42,24838.0,24840.0,24838.0,24840.0,132950,2008-09-22
43,23659.0,24838.0,23659.0,23660.0,192960,2008-09-23
44,22480.0,22480.0,22480.0,22480.0,6690,2008-09-24
45,21374.0,22790.0,21374.0,22790.0,138260,2008-09-25
46,23659.0,23659.0,21694.0,22010.0,181870,2008-09-26
47,21059.0,22002.0,21059.0,21610.0,84930,2008-09-29
48,20824.0,20824.0,20588.0,20590.0,1300,2008-09-30
49,21217.0,21217.0,19566.0,19960.0,83660,2008-10-01
50,20274.0,20274.0,19174.0,20040.0,69500,2008-10-02
51,19257.0,19650.0,19178.0,19180.0,41040,2008-10-03
52,18228.0,18230.0,18228.0,18230.0,17520,2008-10-06
53,17368.0,17370.0,17368.0,17370.0,3370,2008-10-07
54,16504.0,16505.0,16504.0,16505.0,59100,2008-10-08
55,15720.0,16899.0,15720.0,15720.0,100340,2008-10-09
56,14934.0,14934.0,14934.0,14934.0,10260,2008-10-10
57,14936.0,15250.0,14228.0,14230.0,102850,2008-10-13
58,14928.0,14930.0,14928.0,14930.0,1510,2008-10-14
59,15639.0,15640.0,15246.0,15640.0,101560,2008-10-15
60,15406.0,16350.0,15406.0,16350.0,52110,2008-10-16
61,17128.0,17130.0,17128.0,17130.0,4800,2008-10-17
62,17919.0,17919.0,16347.0,17290.0,153070,2008-10-20
63,17914.0,17914.0,16421.0,17130.0,143220,2008-10-21
64,16800.0,17900.0,16800.0,17900.0,90380,2008-10-22
65,17200.0,17900.0,17100.0,17100.0,73480,2008-10-23
66,16700.0,17000.0,16300.0,16500.0,46400,2008-10-24
67,15700.0,16000.0,15700.0,15700.0,54580,2008-10-27
68,15000.0,15500.0,15000.0,15000.0,88430,2008-10-28
69,15700.0,15700.0,14800.0,15700.0,74380,2008-10-29
70,15500.0,16000.0,15400.0,15800.0,47910,2008-10-30
71,16300.0,16300.0,15800.0,16200.0,60830,2008-10-31
72,15400.0,16200.0,15400.0,15400.0,63030,2008-11-03
73,15700.0,16100.0,15200.0,15800.0,57460,2008-11-04
74,16400.0,16500.0,16000.0,16500.0,117540,2008-11-05
75,15800.0,16900.0,15800.0,15900.0,74460,2008-11-06
76,15300.0,15800.0,15200.0,15200.0,104300,2008-11-07
77,15700.0,15700.0,15200.0,15200.0,43750,2008-11-10
78,14700.0,14800.0,14500.0,14500.0,125690,2008-11-11
79,15200.0,15200.0,14900.0,15200.0,91900,2008-11-12
80,15900.0,15900.0,15900.0,15900.0,13410,2008-11-13
81,16600.0,16600.0,16000.0,16600.0,130240,2008-11-14
82,16600.0,16800.0,16200.0,16200.0,67460,2008-11-17
83,16000.0,16000.0,15400.0,16000.0,61290,2008-11-18
84,15600.0,15600.0,15300.0,15500.0,47490,2008-11-19
85,15000.0,15500.0,14800.0,15000.0,54630,2008-11-20
86,14300.0,15600.0,14300.0,14500.0,32420,2008-11-21
87,14100.0,15000.0,14100.0,15000.0,20780,2008-11-24
88,15000.0,15000.0,14300.0,14700.0,27010,2008-11-25
89,14800.0,14800.0,14000.0,14000.0,9020,2008-11-26
90,14000.0,14000.0,13300.0,13300.0,29810,2008-11-27
91,13900.0,13900.0,13800.0,13900.0,15710,2008-11-28
92,14000.0,14500.0,13900.0,14200.0,26390,2008-12-01
93,13500.0,13800.0,13500.0,13500.0,33380,2008-12-02
94,14000.0,14000.0,12900.0,13400.0,11780,2008-12-03
