,Open,High,Low,Close,Volume,TradingDate
0,19730.0,19730.0,19730.0,19730.0,713340,2010-06-22
1,20453.0,20453.0,18875.0,18941.0,1177740,2010-06-23
2,18743.0,18875.0,18020.0,18349.0,454510,2010-06-24
3,18349.0,19204.0,18086.0,19204.0,190550,2010-06-25
4,18415.0,20059.0,18415.0,19072.0,392890,2010-06-28
5,18743.0,19401.0,18743.0,18743.0,139850,2010-06-29
6,18086.0,18415.0,18086.0,18217.0,149870,2010-06-30
7,18415.0,18415.0,18086.0,18217.0,138300,2010-07-01
8,17888.0,18217.0,17757.0,17888.0,235240,2010-07-02
9,17757.0,17757.0,17494.0,17625.0,151740,2010-07-05
10,17428.0,17560.0,16836.0,16836.0,177330,2010-07-06
11,16836.0,17296.0,16178.0,16244.0,232960,2010-07-07
12,16442.0,16968.0,16310.0,16442.0,246150,2010-07-08
13,16836.0,17231.0,16442.0,17231.0,324350,2010-07-09
14,17231.0,18086.0,17231.0,18086.0,324540,2010-07-12
15,18678.0,18941.0,18283.0,18941.0,257920,2010-07-13
16,18415.0,19006.0,18283.0,18415.0,289280,2010-07-14
17,17888.0,18415.0,17560.0,17757.0,287560,2010-07-15
18,17757.0,18349.0,17625.0,17625.0,102550,2010-07-16
19,17757.0,18151.0,17428.0,17625.0,188710,2010-07-19
20,17560.0,17757.0,17428.0,17494.0,141230,2010-07-20
21,17494.0,17625.0,17099.0,17099.0,104110,2010-07-21
22,17099.0,17428.0,16968.0,17033.0,141790,2010-07-22
23,17823.0,17823.0,17757.0,17823.0,474030,2010-07-23
24,18678.0,18678.0,17823.0,17823.0,400000,2010-07-26
25,17823.0,17888.0,17428.0,17428.0,85660,2010-07-27
26,17428.0,17625.0,17099.0,17296.0,84550,2010-07-28
27,17625.0,17625.0,16968.0,17165.0,169430,2010-07-29
28,17099.0,17428.0,16968.0,16968.0,164370,2010-07-30
29,16770.0,17099.0,16770.0,16836.0,73080,2010-08-02
30,16968.0,17033.0,16442.0,16442.0,121500,2010-08-03
31,16442.0,16639.0,15981.0,16178.0,138150,2010-08-04
32,16705.0,16705.0,16047.0,16113.0,81770,2010-08-05
33,15652.0,16113.0,15652.0,15915.0,61510,2010-08-06
34,15850.0,15850.0,15126.0,15126.0,162090,2010-08-09
35,14469.0,14797.0,14403.0,14403.0,445880,2010-08-10
36,14205.0,14863.0,14074.0,14403.0,57740,2010-08-11
37,14074.0,14074.0,13745.0,13745.0,138920,2010-08-12
38,13482.0,13942.0,13153.0,13942.0,147390,2010-08-13
