,Open,High,Low,Close,Volume,TradingDate
0,9293.0,9293.0,9293.0,9300.0,100,2018-01-05
1,10620.0,10620.0,10620.0,10600.0,100,2018-01-08
2,10620.0,10620.0,10620.0,10600.0,0,2018-01-09
3,12182.0,12182.0,12182.0,12200.0,100,2018-01-10
4,13978.0,13978.0,13978.0,14000.0,100,2018-01-11
5,16008.0,16008.0,16008.0,16000.0,100,2018-01-12
6,16008.0,16008.0,16008.0,16000.0,0,2018-01-15
7,18351.0,18351.0,18351.0,18400.0,100,2018-01-16
8,21084.0,21084.0,20225.0,20600.0,8200,2018-01-17
9,23661.0,23661.0,19523.0,19700.0,6700,2018-01-18
10,19913.0,22568.0,18742.0,20300.0,27650,2018-01-19
11,19601.0,20303.0,19523.0,19600.0,93750,2018-01-22
12,19601.0,21084.0,19523.0,19600.0,54100,2018-01-23
13,19991.0,21084.0,19835.0,20100.0,67200,2018-01-24
14,21475.0,21553.0,21397.0,21500.0,13900,2018-01-25
15,21553.0,21631.0,21084.0,21400.0,10200,2018-01-26
16,21240.0,21240.0,20616.0,20800.0,4000,2018-01-29
17,21865.0,21865.0,21475.0,21600.0,300,2018-01-30
18,21865.0,21865.0,20928.0,21400.0,1400,2018-01-31
19,21084.0,21475.0,21006.0,21100.0,4400,2018-02-01
20,21240.0,21240.0,21084.0,21100.0,550,2018-02-02
21,21084.0,21084.0,21084.0,21100.0,9300,2018-02-05
22,20303.0,21084.0,19523.0,20500.0,13100,2018-02-06
23,23349.0,23349.0,21084.0,21300.0,1100,2018-02-07
24,22256.0,22256.0,20303.0,20600.0,750,2018-02-08
25,21397.0,21397.0,20147.0,20500.0,2700,2018-02-09
26,21475.0,21475.0,21084.0,21300.0,6300,2018-02-12
27,21162.0,21397.0,21162.0,21300.0,3500,2018-02-13
28,21865.0,22256.0,21865.0,22000.0,2900,2018-02-21
29,24989.0,24989.0,18742.0,21800.0,1700,2018-02-22
30,21865.0,21865.0,21865.0,21900.0,0,2018-02-23
31,22021.0,22646.0,21787.0,21900.0,6100,2018-02-26
32,21162.0,21240.0,21084.0,21200.0,7500,2018-02-27
33,21240.0,21475.0,21084.0,21300.0,12800,2018-02-28
34,18195.0,24442.0,18195.0,23200.0,33800,2018-03-01
35,26551.0,26629.0,24364.0,25400.0,85519,2018-03-02
36,25535.0,25535.0,24755.0,25100.0,22000,2018-03-05
37,25145.0,26551.0,25067.0,25700.0,43300,2018-03-06
38,26863.0,29518.0,26160.0,27100.0,21100,2018-03-07
39,27332.0,28893.0,27332.0,28500.0,4500,2018-03-08
40,28112.0,31080.0,28112.0,29600.0,11835,2018-03-09
41,31236.0,33969.0,31236.0,33800.0,32300,2018-03-12
42,38264.0,38811.0,37483.0,38400.0,19400,2018-03-13
43,42950.0,42950.0,36156.0,37300.0,22710,2018-03-14
44,36702.0,38889.0,36702.0,38000.0,12025,2018-03-15
45,40529.0,41388.0,38264.0,39600.0,26600,2018-03-16
46,42871.0,45526.0,42871.0,44400.0,13110,2018-03-19
47,43340.0,46073.0,43340.0,45000.0,28405,2018-03-20
48,45683.0,47244.0,44511.0,46200.0,7200,2018-03-21
49,46854.0,53101.0,46307.0,50100.0,16000,2018-03-22
50,50759.0,50759.0,49197.0,50200.0,8000,2018-03-23
51,50446.0,54663.0,50446.0,54100.0,4600,2018-03-26
52,57709.0,62082.0,52320.0,59900.0,5705,2018-03-27
53,59895.0,62472.0,57006.0,59300.0,2070,2018-03-28
54,59348.0,63643.0,59348.0,61400.0,3300,2018-03-29
55,64034.0,66377.0,63878.0,64700.0,8250,2018-03-30
56,71452.0,71452.0,64034.0,66200.0,2975,2018-04-02
57,65986.0,65986.0,60910.0,62200.0,3650,2018-04-03
58,61769.0,64424.0,61769.0,63800.0,45850,2018-04-04
59,64112.0,64659.0,63956.0,64300.0,34710,2018-04-05
60,64502.0,64815.0,63253.0,64400.0,31600,2018-04-06
61,62472.0,62472.0,60910.0,61400.0,15400,2018-04-09
62,62862.0,63175.0,60988.0,62500.0,2200,2018-04-10
63,60129.0,60129.0,57006.0,58800.0,8665,2018-04-11
64,56303.0,56928.0,53882.0,55900.0,7500,2018-04-12
65,50368.0,58568.0,50368.0,55100.0,5650,2018-04-13
66,55444.0,57396.0,55444.0,57000.0,9500,2018-04-16
67,57787.0,60285.0,57787.0,59300.0,66200,2018-04-17
68,60129.0,60442.0,60129.0,60200.0,20110,2018-04-18
69,58568.0,58568.0,57084.0,57900.0,1200,2018-04-19
70,57006.0,58958.0,57006.0,58700.0,10100,2018-04-20
71,58724.0,59114.0,57006.0,58700.0,30400,2018-04-23
72,58489.0,58646.0,57006.0,58600.0,34400,2018-04-24
73,58568.0,59426.0,58568.0,59200.0,108300,2018-04-26
74,60129.0,67938.0,60129.0,61300.0,58500,2018-04-27
75,64424.0,65986.0,64424.0,65600.0,2300,2018-05-02
76,65986.0,65986.0,64815.0,65800.0,2500,2018-05-03
77,74576.0,74576.0,66767.0,70700.0,200,2018-05-04
78,74186.0,74186.0,63253.0,66500.0,3300,2018-05-07
79,66767.0,67157.0,61691.0,66600.0,13700,2018-05-08
80,66611.0,76528.0,65596.0,73300.0,21700,2018-05-09
81,74186.0,81214.0,70671.0,78000.0,16910,2018-05-10
82,72702.0,89023.0,72624.0,85500.0,11165,2018-05-11
83,79261.0,84728.0,77309.0,80100.0,1250,2018-05-14
84,74186.0,74186.0,72624.0,73500.0,2800,2018-05-15
85,72624.0,72624.0,72233.0,72500.0,1700,2018-05-16
86,73405.0,73405.0,69500.0,70200.0,9815,2018-05-17
87,70515.0,77309.0,70515.0,72800.0,3300,2018-05-18
88,74186.0,78090.0,74186.0,76800.0,1060,2018-05-21
89,75747.0,75747.0,74186.0,74400.0,3700,2018-05-22
90,74420.0,74420.0,74420.0,74400.0,15,2018-05-23
91,74186.0,74966.0,74186.0,74700.0,700,2018-05-24
92,74186.0,74186.0,72233.0,72900.0,8250,2018-05-25
93,73405.0,73405.0,70281.0,71300.0,14900,2018-05-28
94,70671.0,71062.0,68329.0,70100.0,29621,2018-05-29
95,67314.0,68016.0,67157.0,67700.0,12110,2018-05-30
96,67704.0,67938.0,67704.0,67900.0,2530,2018-05-31
97,70281.0,71218.0,69188.0,70400.0,14000,2018-06-01
98,70281.0,74186.0,70281.0,73800.0,2880,2018-06-04
99,74576.0,74576.0,73795.0,74000.0,970,2018-06-05
100,74186.0,74576.0,74186.0,74500.0,2100,2018-06-06
101,73405.0,74186.0,73405.0,74100.0,6100,2018-06-07
102,74029.0,75747.0,74029.0,74500.0,1310,2018-06-08
103,71062.0,71062.0,71062.0,71100.0,1610,2018-06-11
104,71062.0,71062.0,71062.0,71100.0,0,2018-06-12
105,71062.0,71062.0,71062.0,71100.0,0,2018-06-13
106,71062.0,71062.0,71062.0,71100.0,0,2018-06-14
107,71062.0,71062.0,71062.0,71100.0,100,2018-06-15
108,73405.0,74186.0,69500.0,71500.0,1900,2018-06-18
109,68329.0,68329.0,67157.0,67600.0,6000,2018-06-19
110,67938.0,67938.0,64815.0,67300.0,5200,2018-06-20
111,66377.0,67860.0,66377.0,67100.0,5900,2018-06-21
112,66377.0,68563.0,66377.0,67200.0,5500,2018-06-22
113,66377.0,66377.0,66377.0,66400.0,1000,2018-06-25
114,66377.0,71062.0,65596.0,69300.0,33500,2018-06-26
115,70515.0,71140.0,70281.0,70500.0,7900,2018-06-27
116,68251.0,68251.0,66377.0,67700.0,4700,2018-06-28
117,63643.0,64034.0,62082.0,62600.0,10300,2018-06-29
118,57943.0,57943.0,53882.0,55900.0,12800,2018-07-02
119,47635.0,47713.0,47635.0,47700.0,1500,2018-07-03
120,53804.0,53804.0,53726.0,53800.0,1039,2018-07-04
121,54663.0,54663.0,48416.0,50500.0,2100,2018-07-05
122,48962.0,48962.0,48025.0,48700.0,5200,2018-07-06
123,48650.0,48650.0,42169.0,43700.0,12250,2018-07-09
124,49509.0,49509.0,44121.0,45300.0,9100,2018-07-10
125,41856.0,49900.0,41856.0,45400.0,2500,2018-07-11
126,44121.0,46307.0,42950.0,45000.0,900,2018-07-12
127,46854.0,46854.0,43730.0,44500.0,720,2018-07-13
128,40997.0,42169.0,37952.0,39800.0,25905,2018-07-16
129,45214.0,45214.0,42169.0,42200.0,45700,2018-07-17
130,42169.0,48025.0,39826.0,44400.0,13550,2018-07-18
131,50680.0,50680.0,42559.0,47200.0,3614,2018-07-19
132,49197.0,53101.0,47166.0,50000.0,4200,2018-07-20
133,53101.0,53101.0,49978.0,50800.0,450,2018-07-23
134,53023.0,53023.0,53023.0,53000.0,100,2018-07-24
135,53023.0,53023.0,53023.0,53000.0,0,2018-07-25
136,45448.0,54663.0,45448.0,52500.0,8160,2018-07-26
137,54273.0,54273.0,54273.0,54300.0,100,2018-07-27
138,46151.0,54194.0,46151.0,48200.0,850,2018-07-30
139,48182.0,48182.0,40997.0,46100.0,1409,2018-07-31
140,46073.0,46073.0,46073.0,46100.0,0,2018-08-01
141,45292.0,52086.0,45292.0,49900.0,4900,2018-08-02
142,45058.0,45448.0,45058.0,45300.0,650,2018-08-03
143,48182.0,48260.0,44121.0,46900.0,1300,2018-08-06
144,48338.0,48338.0,48025.0,48100.0,400,2018-08-07
145,48103.0,48103.0,48103.0,48100.0,0,2018-08-08
146,42169.0,44199.0,40919.0,41600.0,6700,2018-08-09
147,44121.0,44121.0,41388.0,42300.0,2000,2018-08-10
148,42793.0,42793.0,40216.0,42000.0,12000,2018-08-13
149,40451.0,42091.0,40451.0,41900.0,32500,2018-08-14
150,45995.0,45995.0,42169.0,43700.0,22200,2018-08-15
151,42559.0,42559.0,40997.0,42400.0,19800,2018-08-16
152,43574.0,43574.0,39435.0,41100.0,13800,2018-08-17
153,41075.0,41778.0,39045.0,40700.0,6420,2018-08-20
