,Open,High,Low,Close,Volume,TradingDate
0,7891.0,8014.0,7706.0,7891.0,1174500,2017-11-16
1,8650.0,8792.0,8021.0,8397.0,650800,2017-11-17
2,8397.0,8433.0,8233.0,8346.0,228400,2017-11-20
3,8093.0,8208.0,7904.0,8043.0,492500,2017-11-21
4,7992.0,7816.0,7035.0,7537.0,77700,2017-11-22
5,7537.0,8031.0,7127.0,7436.0,76500,2017-11-23
6,7436.0,8171.0,7749.0,7840.0,150500,2017-11-24
7,7790.0,7763.0,7612.0,7689.0,91600,2017-11-27
8,7689.0,7882.0,7727.0,7739.0,113700,2017-11-28
9,7689.0,7712.0,7610.0,7689.0,88800,2017-11-29
10,7689.0,7974.0,7819.0,7840.0,100800,2017-11-30
11,7840.0,7930.0,7879.0,7891.0,104900,2017-12-01
12,7942.0,7951.0,7850.0,7891.0,102400,2017-12-04
13,7840.0,7843.0,7792.0,7840.0,86600,2017-12-05
14,7082.0,7792.0,7084.0,7689.0,101300,2017-12-06
15,7739.0,7719.0,7517.0,7638.0,94400,2017-12-07
16,7689.0,7667.0,7516.0,7638.0,104700,2017-12-08
17,7690.0,7643.0,7591.0,7638.0,36100,2017-12-11
18,7638.0,7638.0,7638.0,7638.0,18500,2017-12-12
19,7638.0,7638.0,7638.0,7638.0,34900,2017-12-13
20,7587.0,7565.0,7411.0,7484.0,34300,2017-12-14
21,7432.0,7389.0,7286.0,7329.0,137000,2017-12-15
22,7329.0,7547.0,7390.0,7484.0,100600,2017-12-18
23,7535.0,7679.0,7576.0,7638.0,89200,2017-12-19
24,7638.0,7623.0,7520.0,7535.0,99800,2017-12-20
25,7535.0,7484.0,7331.0,7380.0,21200,2017-12-21
26,7380.0,7380.0,7380.0,7380.0,0,2017-12-22
27,7380.0,7452.0,7400.0,7432.0,74400,2017-12-25
28,7484.0,7488.0,7437.0,7484.0,88400,2017-12-26
29,7484.0,7484.0,7484.0,7484.0,98000,2017-12-27
30,7380.0,7326.0,7223.0,7277.0,100100,2017-12-28
31,7277.0,7381.0,7278.0,7329.0,135500,2017-12-29
32,7380.0,7382.0,7331.0,7380.0,109300,2018-01-02
33,7380.0,7308.0,7206.0,7277.0,113000,2018-01-03
34,7329.0,7380.0,7328.0,7329.0,102800,2018-01-04
35,7380.0,7575.0,7471.0,7484.0,64500,2018-01-05
36,7535.0,7590.0,7487.0,7535.0,207500,2018-01-08
37,7638.0,7583.0,7430.0,7535.0,150500,2018-01-09
38,7484.0,7587.0,7535.0,7535.0,145300,2018-01-10
39,7484.0,7488.0,7436.0,7484.0,163500,2018-01-11
40,7432.0,7528.0,7476.0,7484.0,140000,2018-01-12
41,7432.0,7338.0,7185.0,7277.0,72200,2018-01-15
42,7432.0,7429.0,7326.0,7380.0,163100,2018-01-16
43,7329.0,7250.0,7097.0,7174.0,111700,2018-01-17
44,7277.0,7201.0,7048.0,7122.0,83000,2018-01-18
45,7019.0,7048.0,6996.0,7019.0,122300,2018-01-19
46,7019.0,6986.0,6883.0,6916.0,208500,2018-01-22
47,6916.0,6868.0,6714.0,6761.0,91900,2018-01-23
48,6761.0,6828.0,6776.0,6813.0,114400,2018-01-24
49,6813.0,6789.0,6738.0,6761.0,153200,2018-01-25
50,6813.0,6812.0,6710.0,6761.0,155500,2018-01-26
51,6761.0,6725.0,6673.0,6709.0,101000,2018-01-29
52,6606.0,6493.0,6239.0,6348.0,142000,2018-01-30
53,6297.0,6221.0,6119.0,6193.0,137600,2018-01-31
54,6193.0,6193.0,6193.0,6193.0,61000,2018-02-01
55,6193.0,6163.0,6111.0,6142.0,74000,2018-02-02
56,6090.0,6090.0,6090.0,6090.0,35600,2018-02-05
57,6142.0,6209.0,6157.0,6193.0,101000,2018-02-06
58,6090.0,6242.0,6138.0,6193.0,53700,2018-02-07
59,6193.0,6150.0,6099.0,6142.0,30000,2018-02-08
60,6142.0,6142.0,6142.0,6142.0,19000,2018-02-09
61,6142.0,6235.0,6183.0,6193.0,35100,2018-02-12
62,6245.0,6245.0,6245.0,6245.0,100,2018-02-13
63,6245.0,6343.0,6291.0,6297.0,99000,2018-02-21
64,6193.0,6193.0,6193.0,6193.0,15000,2018-02-22
65,6193.0,6193.0,6193.0,6193.0,30000,2018-02-23
66,6142.0,6245.0,6193.0,6193.0,35300,2018-02-26
67,6142.0,6193.0,6142.0,6193.0,25100,2018-02-27
