,Open,High,Low,Close,Volume,TradingDate
0,18499.0,18500.0,17431.0,17488.0,958770,2010-06-04
1,16925.0,17375.0,16869.0,16925.0,174100,2010-06-07
2,17768.0,17769.0,16869.0,17207.0,296830,2010-06-08
3,16925.0,17263.0,16869.0,16925.0,270660,2010-06-09
4,16306.0,16869.0,16138.0,16307.0,171510,2010-06-10
5,16761.0,16763.0,16364.0,16307.0,207730,2010-06-11
6,16588.0,16869.0,16082.0,16588.0,264930,2010-06-14
7,16812.0,16813.0,16251.0,16307.0,153920,2010-06-15
8,16588.0,16757.0,16307.0,16588.0,225880,2010-06-16
9,16588.0,16644.0,16419.0,16419.0,171440,2010-06-17
10,16419.0,16419.0,16082.0,16251.0,121420,2010-06-18
11,16306.0,16363.0,16251.0,16251.0,200230,2010-06-21
12,16166.0,16588.0,16096.0,16166.0,195110,2010-06-22
13,15815.0,16729.0,15815.0,16166.0,42650,2010-06-23
14,16518.0,16939.0,16377.0,16939.0,396740,2010-06-24
15,16869.0,17572.0,16799.0,16939.0,266630,2010-06-25
16,17010.0,17010.0,16799.0,16869.0,148950,2010-06-28
17,16729.0,17080.0,16729.0,16729.0,136270,2010-06-29
18,16307.0,16377.0,15955.0,16026.0,324040,2010-06-30
19,15885.0,16166.0,15674.0,15745.0,264470,2010-07-01
20,16307.0,16307.0,15604.0,16096.0,91600,2010-07-02
21,16096.0,16166.0,15815.0,16166.0,115070,2010-07-05
22,15815.0,16166.0,15815.0,16096.0,408600,2010-07-06
23,16307.0,16307.0,16026.0,16096.0,339170,2010-07-07
24,16096.0,16237.0,16026.0,16096.0,308800,2010-07-08
25,16166.0,16447.0,16026.0,16447.0,622360,2010-07-09
26,16588.0,17221.0,16518.0,16939.0,623230,2010-07-12
27,17080.0,17080.0,16799.0,16939.0,315500,2010-07-13
28,16307.0,16939.0,16307.0,16307.0,430560,2010-07-14
29,16518.0,16799.0,16447.0,16447.0,260630,2010-07-15
30,16377.0,16588.0,16237.0,16307.0,118880,2010-07-16
31,16026.0,16237.0,15955.0,16166.0,81370,2010-07-19
32,16166.0,16166.0,16026.0,16026.0,121800,2010-07-20
33,16096.0,16096.0,15815.0,15955.0,176750,2010-07-21
34,15815.0,15885.0,15745.0,15815.0,235640,2010-07-22
35,15745.0,15885.0,15674.0,15745.0,355370,2010-07-23
36,15745.0,16518.0,15745.0,16377.0,263130,2010-07-26
37,16237.0,16447.0,16026.0,16237.0,81960,2010-07-27
38,16166.0,16166.0,15674.0,15674.0,126320,2010-07-28
39,15815.0,15815.0,15604.0,15674.0,74180,2010-07-29
40,15604.0,15955.0,15604.0,15674.0,88610,2010-07-30
41,15674.0,15885.0,15463.0,15463.0,41700,2010-08-02
42,16096.0,16096.0,15463.0,15463.0,34520,2010-08-03
43,15253.0,15393.0,15253.0,15323.0,71110,2010-08-04
44,15323.0,15463.0,15323.0,15323.0,87660,2010-08-05
45,14971.0,15393.0,14971.0,15393.0,71920,2010-08-06
46,15674.0,15674.0,14971.0,14971.0,237120,2010-08-09
47,14479.0,14550.0,14268.0,14268.0,192760,2010-08-10
48,14690.0,14901.0,14409.0,14831.0,54260,2010-08-11
49,14409.0,14620.0,14128.0,14128.0,146540,2010-08-12
50,14058.0,14409.0,14058.0,14339.0,62960,2010-08-13
51,14761.0,15042.0,14690.0,15042.0,140680,2010-08-16
52,14550.0,15112.0,14550.0,15042.0,26270,2010-08-17
53,15323.0,15323.0,14620.0,14690.0,31850,2010-08-18
54,14901.0,14901.0,14550.0,14761.0,6550,2010-08-19
55,14761.0,14901.0,14620.0,14901.0,90330,2010-08-20
56,14761.0,14901.0,14761.0,14761.0,38820,2010-08-23
57,14550.0,14620.0,14058.0,14058.0,259760,2010-08-24
58,13706.0,13706.0,13355.0,13355.0,134950,2010-08-25
