,Open,High,Low,Close,Volume,TradingDate
0,9009.0,9009.0,9009.0,9009.0,57340,2009-12-01
1,9429.0,9430.0,9338.0,9430.0,168440,2009-12-02
2,9155.0,9796.0,9009.0,9155.0,31220,2009-12-03
3,8972.0,8972.0,8789.0,8789.0,21440,2009-12-04
4,8917.0,8917.0,8423.0,8514.0,27210,2009-12-07
5,8514.0,8514.0,8093.0,8093.0,48260,2009-12-08
6,7690.0,7690.0,7690.0,7690.0,15700,2009-12-09
7,7690.0,7690.0,7306.0,7690.0,76550,2009-12-10
8,7306.0,7416.0,7306.0,7306.0,34810,2009-12-11
9,7324.0,7507.0,7306.0,7306.0,35370,2009-12-14
10,7306.0,7416.0,7306.0,7306.0,13260,2009-12-15
11,7287.0,7288.0,6958.0,6958.0,19740,2009-12-16
12,6958.0,7269.0,6702.0,6958.0,35340,2009-12-17
13,7306.0,7306.0,7123.0,7306.0,29430,2009-12-18
14,7562.0,7654.0,7324.0,7654.0,46550,2009-12-21
15,7946.0,8002.0,7343.0,7782.0,30770,2009-12-22
16,7402.0,7972.0,7402.0,7782.0,23570,2009-12-23
17,7782.0,7801.0,7592.0,7801.0,10760,2009-12-24
18,8067.0,8162.0,7782.0,8029.0,25060,2009-12-25
19,7972.0,8067.0,7630.0,7630.0,15720,2009-12-28
20,7782.0,8010.0,7649.0,7649.0,11400,2009-12-29
21,7649.0,7801.0,7592.0,7763.0,20210,2009-12-30
22,7877.0,8067.0,7782.0,7782.0,70840,2009-12-31
23,7782.0,8162.0,7782.0,8162.0,15590,2010-01-04
24,7782.0,8427.0,7782.0,7972.0,66900,2010-01-05
25,7972.0,8162.0,7972.0,8162.0,76450,2010-01-06
26,8086.0,8162.0,8067.0,8162.0,27050,2010-01-07
27,8332.0,8332.0,8086.0,8086.0,14830,2010-01-08
28,8219.0,8219.0,7782.0,8048.0,8550,2010-01-11
29,7972.0,8067.0,7782.0,7782.0,21140,2010-01-12
30,7763.0,7972.0,7763.0,7763.0,14650,2010-01-13
31,7953.0,7953.0,7782.0,7934.0,13140,2010-01-14
32,7820.0,7972.0,7820.0,7896.0,9700,2010-01-15
33,7630.0,7915.0,7630.0,7630.0,21370,2010-01-18
34,7782.0,7877.0,7592.0,7687.0,12630,2010-01-19
35,7402.0,7839.0,7402.0,7402.0,42270,2010-01-20
36,7763.0,7763.0,7459.0,7459.0,11040,2010-01-21
37,7497.0,7497.0,7421.0,7440.0,6760,2010-01-22
38,7497.0,7497.0,7421.0,7421.0,7130,2010-01-25
