,Open,High,Low,Close,Volume,TradingDate
0,12124.0,12501.0,11706.0,12124.0,14130980,2009-10-27
1,12417.0,12459.0,12124.0,12250.0,6561020,2009-10-28
2,11915.0,12124.0,11664.0,11790.0,3970860,2009-10-29
3,11915.0,11957.0,11706.0,11790.0,3723990,2009-10-30
4,11205.0,11581.0,11205.0,11455.0,5989710,2009-11-02
5,11330.0,11497.0,11037.0,11079.0,3297810,2009-11-03
6,11288.0,11330.0,10996.0,11079.0,2791880,2009-11-04
7,11288.0,11497.0,11121.0,11414.0,2980370,2009-11-05
8,11664.0,11664.0,11288.0,11288.0,3057730,2009-11-06
9,11079.0,11246.0,10954.0,11037.0,3593740,2009-11-09
10,11079.0,11163.0,10786.0,10828.0,2749910,2009-11-10
11,10870.0,11079.0,10786.0,11079.0,2148090,2009-11-11
12,11079.0,11205.0,11037.0,11079.0,1890050,2009-11-12
13,10996.0,11079.0,10954.0,11079.0,1842920,2009-11-13
14,10954.0,11079.0,10828.0,10828.0,1965290,2009-11-16
15,10828.0,10828.0,10577.0,10577.0,2059480,2009-11-17
16,10452.0,10494.0,10368.0,10452.0,2541330,2009-11-18
17,10619.0,10703.0,10452.0,10619.0,1896910,2009-11-19
18,10577.0,10619.0,10452.0,10452.0,1462170,2009-11-20
19,10368.0,10410.0,10159.0,10159.0,1601490,2009-11-23
20,10034.0,10159.0,9783.0,9783.0,2915180,2009-11-24
21,9323.0,9616.0,9323.0,9323.0,4320240,2009-11-25
22,8989.0,9156.0,8863.0,8863.0,4072270,2009-11-26
23,9281.0,9281.0,8445.0,9281.0,2414700,2009-11-27
24,9741.0,9741.0,9741.0,9741.0,960250,2009-11-30
25,10201.0,10201.0,10201.0,10201.0,509260,2009-12-01
26,10159.0,10661.0,9825.0,10159.0,9790490,2009-12-02
27,10243.0,10452.0,10034.0,10410.0,4989260,2009-12-03
28,10536.0,10536.0,10327.0,10410.0,1836220,2009-12-04
29,10410.0,10410.0,10243.0,10285.0,1524840,2009-12-07
30,10118.0,10201.0,9909.0,9950.0,2401440,2009-12-08
31,9574.0,9699.0,9490.0,9574.0,3143570,2009-12-09
32,9741.0,9741.0,9449.0,9532.0,2183660,2009-12-10
33,9532.0,9574.0,9240.0,9240.0,2898380,2009-12-11
34,9699.0,9699.0,9532.0,9699.0,4458950,2009-12-14
35,9950.0,10076.0,9741.0,9950.0,2988620,2009-12-15
36,9950.0,9950.0,9532.0,9574.0,2577780,2009-12-16
37,9532.0,9867.0,9365.0,9825.0,2894350,2009-12-17
38,9950.0,10159.0,9867.0,9950.0,3820150,2009-12-18
39,10076.0,10201.0,9950.0,10201.0,3973490,2009-12-21
40,10159.0,10201.0,9950.0,10034.0,3874370,2009-12-22
41,10034.0,10118.0,9909.0,9992.0,3508950,2009-12-23
42,9950.0,10118.0,9909.0,10076.0,4181060,2009-12-24
43,10285.0,10368.0,10118.0,10327.0,3364470,2009-12-25
44,10159.0,10285.0,10076.0,10159.0,2973170,2009-12-28
45,10034.0,10159.0,9992.0,9992.0,2220070,2009-12-29
46,10034.0,10159.0,9950.0,9992.0,1656460,2009-12-30
47,10118.0,10159.0,9992.0,10034.0,6441730,2009-12-31
48,10536.0,10536.0,10034.0,10536.0,3521350,2010-01-04
49,10996.0,11037.0,10828.0,10912.0,4561690,2010-01-05
50,10870.0,10870.0,10619.0,10661.0,2756100,2010-01-06
51,10661.0,10703.0,10452.0,10452.0,2586670,2010-01-07
52,10745.0,10828.0,10368.0,10368.0,3831940,2010-01-08
53,10368.0,10452.0,10243.0,10327.0,1292100,2010-01-11
54,10243.0,10368.0,9867.0,9867.0,1951010,2010-01-12
55,9867.0,10076.0,9783.0,9992.0,2102770,2010-01-13
56,10034.0,10076.0,9909.0,9950.0,1124370,2010-01-14
57,9950.0,10034.0,9867.0,9950.0,1396510,2010-01-15
58,9950.0,9950.0,9741.0,9741.0,1991690,2010-01-18
59,9867.0,9992.0,9741.0,9867.0,1376290,2010-01-19
60,9825.0,9992.0,9783.0,9825.0,1566410,2010-01-20
61,9699.0,9867.0,9699.0,9699.0,1350830,2010-01-21
62,9616.0,9741.0,9532.0,9616.0,1177140,2010-01-22
63,9616.0,9658.0,9574.0,9616.0,1593240,2010-01-25
64,10034.0,10034.0,9741.0,10034.0,1772240,2010-01-26
65,9741.0,9950.0,9699.0,9909.0,1513870,2010-01-27
66,9909.0,9909.0,9574.0,9658.0,1362970,2010-01-28
67,9616.0,9699.0,9574.0,9616.0,1339920,2010-01-29
68,9616.0,9699.0,9616.0,9616.0,1085620,2010-02-01
69,9658.0,9699.0,9616.0,9658.0,1423240,2010-02-02
70,9658.0,9741.0,9616.0,9658.0,851530,2010-02-03
71,9699.0,9783.0,9658.0,9699.0,614680,2010-02-04
72,9616.0,9699.0,9616.0,9616.0,649670,2010-02-05
73,9783.0,9825.0,9574.0,9783.0,992150,2010-02-08
74,9699.0,9783.0,9658.0,9658.0,490930,2010-02-09
75,9658.0,9783.0,9616.0,9658.0,380180,2010-02-10
76,9825.0,9825.0,9616.0,9825.0,345620,2010-02-11
77,9950.0,9950.0,9825.0,9909.0,481470,2010-02-12
78,9909.0,9992.0,9825.0,9909.0,479220,2010-02-22
79,9783.0,9825.0,9699.0,9741.0,353620,2010-02-23
80,9699.0,9699.0,9616.0,9699.0,557970,2010-02-24
81,9699.0,9825.0,9616.0,9658.0,414870,2010-02-25
82,9658.0,9699.0,9616.0,9658.0,518750,2010-02-26
83,9783.0,9909.0,9783.0,9783.0,1007300,2010-03-01
84,9825.0,9825.0,9658.0,9699.0,455230,2010-03-02
85,9783.0,9783.0,9699.0,9783.0,721890,2010-03-03
86,9825.0,9825.0,9699.0,9741.0,990740,2010-03-04
87,9699.0,9741.0,9658.0,9658.0,1202700,2010-03-05
88,9699.0,9741.0,9658.0,9658.0,1633040,2010-03-08
89,9658.0,9699.0,9616.0,9658.0,1539830,2010-03-09
90,9699.0,9699.0,9616.0,9616.0,1149220,2010-03-10
