,Open,High,Low,Close,Volume,TradingDate
0,9954.0,9954.0,9954.0,9954.0,7230,2013-05-15
1,9280.0,9280.0,9280.0,9280.0,130,2013-05-16
2,8658.0,8658.0,8658.0,8658.0,10,2013-05-17
3,8088.0,8088.0,8088.0,8088.0,40310,2013-05-20
4,7569.0,7777.0,7569.0,7777.0,2723800,2013-05-21
5,8140.0,8295.0,8036.0,8295.0,1274270,2013-05-22
6,8866.0,8866.0,8606.0,8866.0,1239310,2013-05-23
7,8866.0,9021.0,8295.0,8295.0,2523500,2013-05-24
8,7881.0,8192.0,7725.0,7725.0,1470620,2013-05-27
9,7466.0,7518.0,7207.0,7518.0,1198810,2013-05-28
10,7155.0,7466.0,6999.0,7207.0,998580,2013-05-29
11,7051.0,7621.0,7051.0,7362.0,374470,2013-05-30
12,7258.0,7466.0,6999.0,6999.0,615720,2013-05-31
13,6999.0,7207.0,6947.0,7103.0,379690,2013-06-03
14,7103.0,7155.0,6688.0,6688.0,374230,2013-06-04
15,6844.0,6947.0,6636.0,6688.0,284950,2013-06-05
16,6636.0,6844.0,6584.0,6584.0,351130,2013-06-06
17,6584.0,6792.0,6584.0,6688.0,437330,2013-06-07
18,6740.0,6844.0,6429.0,6481.0,264570,2013-06-10
19,6481.0,6895.0,6481.0,6895.0,1176730,2013-06-11
20,6999.0,7362.0,6999.0,7362.0,2428790,2013-06-12
21,7621.0,7673.0,7362.0,7362.0,1185800,2013-06-13
22,7310.0,7414.0,7155.0,7207.0,933890,2013-06-14
23,7103.0,7207.0,6740.0,6740.0,1093200,2013-06-17
24,6740.0,6895.0,6688.0,6740.0,497460,2013-06-18
25,6947.0,7207.0,6895.0,7207.0,983840,2013-06-19
26,7207.0,7518.0,7207.0,7310.0,1522520,2013-06-20
27,7258.0,7310.0,7051.0,7258.0,466530,2013-06-21
28,7414.0,7414.0,6895.0,6947.0,506810,2013-06-24
29,6947.0,6947.0,6481.0,6481.0,1310770,2013-06-25
30,6481.0,6688.0,6429.0,6481.0,467450,2013-06-26
31,6584.0,6636.0,6533.0,6584.0,241780,2013-06-27
32,6636.0,6688.0,6481.0,6584.0,333650,2013-06-28
33,6533.0,6636.0,6429.0,6481.0,202700,2013-07-01
34,6481.0,6584.0,6481.0,6584.0,149220,2013-07-02
35,6533.0,6636.0,6481.0,6533.0,188220,2013-07-03
36,6533.0,6636.0,6533.0,6533.0,196440,2013-07-04
37,6533.0,6584.0,6481.0,6533.0,217050,2013-07-05
38,6533.0,6533.0,6377.0,6377.0,199980,2013-07-08
39,6429.0,6429.0,6377.0,6377.0,105230,2013-07-09
40,6429.0,6481.0,6273.0,6273.0,205060,2013-07-10
41,6273.0,6325.0,6170.0,6170.0,273790,2013-07-11
42,6170.0,6377.0,6170.0,6273.0,194040,2013-07-12
43,6325.0,6481.0,6325.0,6429.0,267370,2013-07-15
44,6377.0,6481.0,6325.0,6377.0,94400,2013-07-16
45,6377.0,6377.0,6273.0,6273.0,209240,2013-07-17
46,6221.0,6325.0,6170.0,6221.0,91700,2013-07-18
47,6273.0,6273.0,6221.0,6221.0,135160,2013-07-19
48,6170.0,6221.0,6118.0,6118.0,136260,2013-07-22
49,6118.0,6221.0,6066.0,6066.0,141880,2013-07-23
50,6221.0,6273.0,6118.0,6221.0,227000,2013-07-24
51,6221.0,6221.0,5910.0,5910.0,198360,2013-07-25
52,5910.0,5962.0,5599.0,5599.0,398540,2013-07-26
53,5651.0,5651.0,5340.0,5340.0,319090,2013-07-29
54,5340.0,5444.0,5288.0,5340.0,292330,2013-07-30
55,5288.0,5340.0,5081.0,5133.0,356570,2013-07-31
56,5081.0,5444.0,5081.0,5444.0,429570,2013-08-01
57,5547.0,5703.0,5340.0,5340.0,192300,2013-08-02
58,5340.0,5703.0,5340.0,5599.0,411390,2013-08-05
59,5547.0,5703.0,5496.0,5651.0,154640,2013-08-06
60,5651.0,5651.0,5496.0,5599.0,152770,2013-08-07
61,5547.0,5807.0,5547.0,5599.0,254270,2013-08-08
62,5599.0,5599.0,5496.0,5496.0,110140,2013-08-09
63,5444.0,5496.0,5340.0,5444.0,131850,2013-08-12
64,5392.0,5444.0,5236.0,5340.0,313750,2013-08-13
65,5288.0,5392.0,5236.0,5340.0,180930,2013-08-14
66,5340.0,5444.0,5236.0,5340.0,189690,2013-08-15
67,5340.0,5547.0,5340.0,5444.0,253500,2013-08-16
68,5444.0,5547.0,5392.0,5496.0,242690,2013-08-19
69,5547.0,5599.0,5392.0,5496.0,171610,2013-08-20
70,5496.0,5496.0,5392.0,5444.0,225680,2013-08-21
71,5444.0,5496.0,5288.0,5288.0,180220,2013-08-22
72,5340.0,5392.0,5288.0,5392.0,261370,2013-08-23
73,5392.0,5392.0,5288.0,5392.0,129180,2013-08-26
74,5392.0,5392.0,5288.0,5288.0,47520,2013-08-27
75,5288.0,5288.0,5133.0,5288.0,310700,2013-08-28
76,5288.0,5340.0,5133.0,5185.0,115700,2013-08-29
77,5185.0,5236.0,5081.0,5185.0,109620,2013-08-30
78,5185.0,5185.0,5081.0,5133.0,57030,2013-09-03
79,5081.0,5133.0,4977.0,4977.0,176330,2013-09-04
80,5029.0,5029.0,4822.0,4873.0,172970,2013-09-05
81,5029.0,5029.0,4822.0,4925.0,39670,2013-09-06
82,4925.0,4925.0,4666.0,4666.0,176860,2013-09-09
83,4666.0,4770.0,4666.0,4718.0,83250,2013-09-10
84,4770.0,4822.0,4666.0,4666.0,77360,2013-09-11
85,4666.0,4666.0,4562.0,4666.0,81000,2013-09-12
86,4666.0,4666.0,4511.0,4562.0,55050,2013-09-13
87,4511.0,4614.0,4251.0,4303.0,332140,2013-09-16
88,4303.0,4562.0,4303.0,4562.0,192760,2013-09-17
89,4562.0,4562.0,4407.0,4407.0,25390,2013-09-18
90,4459.0,4459.0,4355.0,4459.0,78300,2013-09-19
91,4407.0,4407.0,4355.0,4355.0,33400,2013-09-20
92,4407.0,4562.0,4355.0,4511.0,302260,2013-09-23
93,4562.0,4666.0,4511.0,4562.0,193530,2013-09-24
94,4562.0,4666.0,4407.0,4562.0,264170,2013-09-25
95,4511.0,4614.0,4459.0,4562.0,102760,2013-09-26
96,4614.0,4614.0,4459.0,4459.0,113140,2013-09-27
97,4459.0,4562.0,4407.0,4562.0,229200,2013-09-30
98,4562.0,4666.0,4511.0,4562.0,295810,2013-10-01
99,4562.0,4873.0,4562.0,4822.0,494340,2013-10-02
100,4873.0,5029.0,4822.0,4925.0,339890,2013-10-03
101,4822.0,5029.0,4822.0,4977.0,365810,2013-10-04
102,4925.0,5288.0,4925.0,5288.0,1143360,2013-10-07
103,5288.0,5392.0,5185.0,5340.0,381410,2013-10-08
104,5236.0,5340.0,5185.0,5236.0,331930,2013-10-09
105,5236.0,5236.0,5029.0,5029.0,400440,2013-10-10
106,5081.0,5081.0,4873.0,4925.0,323740,2013-10-11
107,4925.0,4925.0,4770.0,4822.0,173550,2013-10-14
108,4873.0,4925.0,4822.0,4925.0,439500,2013-10-15
109,4925.0,5029.0,4873.0,4977.0,309420,2013-10-16
110,5029.0,5081.0,4873.0,4873.0,374640,2013-10-17
111,4822.0,4873.0,4718.0,4873.0,661430,2013-10-18
112,4925.0,5133.0,4873.0,5029.0,951730,2013-10-21
113,4770.0,4873.0,4718.0,4718.0,946400,2013-10-22
114,4407.0,4562.0,4407.0,4459.0,1175130,2013-10-23
115,4459.0,4666.0,4407.0,4511.0,543240,2013-10-24
116,4511.0,4511.0,4355.0,4355.0,298400,2013-10-25
117,4355.0,4355.0,4096.0,4096.0,395100,2013-10-28
118,4096.0,4148.0,3992.0,4096.0,283350,2013-10-29
119,4096.0,4148.0,4044.0,4096.0,88960,2013-10-30
120,4044.0,4096.0,4044.0,4096.0,112150,2013-10-31
121,4096.0,4251.0,4044.0,4199.0,338730,2013-11-01
122,4199.0,4303.0,4148.0,4303.0,160120,2013-11-04
123,4303.0,4355.0,4251.0,4355.0,141780,2013-11-05
124,4303.0,4303.0,4148.0,4199.0,375270,2013-11-06
125,4303.0,4303.0,4199.0,4251.0,202540,2013-11-07
126,4199.0,4251.0,4148.0,4199.0,169530,2013-11-08
127,4148.0,4303.0,4148.0,4251.0,412700,2013-11-11
128,4251.0,4407.0,4251.0,4251.0,535990,2013-11-12
129,4303.0,4355.0,4251.0,4251.0,133150,2013-11-13
130,4251.0,4303.0,4199.0,4199.0,105070,2013-11-14
131,4199.0,4251.0,4199.0,4251.0,117300,2013-11-15
132,4303.0,4355.0,4251.0,4251.0,276020,2013-11-18
133,4303.0,4511.0,4303.0,4511.0,925410,2013-11-19
134,4614.0,4718.0,4562.0,4666.0,846650,2013-11-20
135,4562.0,4770.0,4407.0,4407.0,1092530,2013-11-21
136,4407.0,4459.0,4303.0,4459.0,364120,2013-11-22
137,4511.0,4511.0,4355.0,4355.0,250170,2013-11-25
138,4355.0,4459.0,4303.0,4355.0,249770,2013-11-26
139,4407.0,4459.0,4355.0,4407.0,225310,2013-11-27
140,4459.0,4459.0,4355.0,4407.0,186520,2013-11-28
141,4407.0,4407.0,4303.0,4407.0,216690,2013-11-29
142,4355.0,4459.0,4355.0,4407.0,141810,2013-12-02
143,4459.0,4666.0,4407.0,4666.0,1475400,2013-12-03
144,4718.0,4822.0,4614.0,4614.0,321060,2013-12-04
145,4614.0,4770.0,4614.0,4718.0,355640,2013-12-05
146,4718.0,4718.0,4614.0,4614.0,205440,2013-12-06
147,4718.0,4770.0,4562.0,4562.0,311490,2013-12-09
148,4614.0,4718.0,4511.0,4666.0,520260,2013-12-10
149,4666.0,4666.0,4459.0,4459.0,310340,2013-12-11
150,4407.0,4562.0,4407.0,4562.0,209370,2013-12-12
151,4562.0,4666.0,4562.0,4614.0,240250,2013-12-13
152,4718.0,4718.0,4614.0,4718.0,301020,2013-12-16
153,4770.0,5029.0,4770.0,5029.0,1248660,2013-12-17
154,5185.0,5185.0,4925.0,4977.0,190980,2013-12-18
155,5185.0,5288.0,5185.0,5288.0,366040,2013-12-19
156,5547.0,5651.0,5496.0,5651.0,1577740,2013-12-20
157,5496.0,5703.0,5392.0,5703.0,1072940,2013-12-23
158,5703.0,6066.0,5547.0,5651.0,1331820,2013-12-24
159,5547.0,5962.0,5547.0,5703.0,1247730,2013-12-25
160,5807.0,5807.0,5496.0,5496.0,575140,2013-12-26
161,5547.0,5651.0,5133.0,5133.0,1135760,2013-12-27
162,5288.0,5392.0,4925.0,4925.0,1476640,2013-12-30
163,5029.0,5236.0,4925.0,5236.0,490700,2013-12-31
164,5340.0,5496.0,5236.0,5236.0,480260,2014-01-02
165,5236.0,5340.0,5133.0,5133.0,319710,2014-01-03
166,5288.0,5392.0,5185.0,5185.0,233660,2014-01-06
167,5236.0,5444.0,5236.0,5392.0,741150,2014-01-07
168,5444.0,5599.0,5340.0,5340.0,459700,2014-01-08
169,5444.0,5547.0,5288.0,5288.0,397840,2014-01-09
170,5444.0,5496.0,5340.0,5340.0,545390,2014-01-10
171,5288.0,5444.0,5288.0,5340.0,195160,2014-01-13
172,5444.0,5703.0,5340.0,5703.0,875040,2014-01-14
173,5755.0,5859.0,5444.0,5444.0,827410,2014-01-15
174,5496.0,5651.0,5392.0,5651.0,282450,2014-01-16
175,5703.0,5910.0,5599.0,5651.0,656960,2014-01-17
176,5651.0,5703.0,5444.0,5444.0,155330,2014-01-20
177,5444.0,5807.0,5444.0,5703.0,350650,2014-01-21
178,5807.0,6066.0,5703.0,6066.0,1337770,2014-01-22
179,5910.0,6325.0,5910.0,6221.0,604630,2014-01-23
