,Open,High,Low,Close,Volume,TradingDate
0,6746.0,9032.0,5241.0,7805.0,1004400,2011-10-05
1,8307.0,8307.0,8307.0,8307.0,1100,2011-10-06
2,8865.0,8865.0,8809.0,8865.0,181500,2011-10-07
3,9422.0,9478.0,9088.0,9311.0,120300,2011-10-10
4,9366.0,9534.0,8976.0,9311.0,143300,2011-10-11
5,8697.0,9088.0,8697.0,8920.0,134200,2011-10-12
6,9199.0,9311.0,8363.0,8920.0,30600,2011-10-13
7,8363.0,8642.0,8251.0,8363.0,79500,2011-10-14
8,7805.0,7805.0,7805.0,7805.0,5000,2011-10-17
9,7304.0,7304.0,7304.0,7304.0,6500,2011-10-18
10,6802.0,7805.0,6802.0,6857.0,248800,2011-10-19
11,6411.0,7136.0,6411.0,7136.0,50500,2011-10-20
12,7248.0,7248.0,6746.0,7081.0,17200,2011-10-21
13,7081.0,7081.0,6690.0,6969.0,43800,2011-10-24
14,6857.0,6857.0,6579.0,6802.0,33700,2011-10-25
15,6634.0,6634.0,6523.0,6634.0,11300,2011-10-26
16,6690.0,6690.0,6356.0,6634.0,22500,2011-10-27
17,6188.0,7081.0,6188.0,6579.0,169300,2011-10-28
18,6634.0,6913.0,6188.0,6634.0,112300,2011-10-31
19,6634.0,6634.0,6188.0,6411.0,61900,2011-11-01
20,6356.0,6356.0,5965.0,6021.0,37200,2011-11-02
21,5631.0,5631.0,5631.0,5631.0,39600,2011-11-03
22,5241.0,6021.0,5241.0,5854.0,765400,2011-11-04
23,6188.0,6244.0,5965.0,6077.0,231200,2011-11-07
24,6411.0,6411.0,5854.0,6133.0,191600,2011-11-08
25,5965.0,6244.0,5854.0,6077.0,385800,2011-11-09
26,6021.0,6021.0,5687.0,5910.0,253500,2011-11-10
27,6021.0,6300.0,5742.0,6077.0,377500,2011-11-11
28,5742.0,6133.0,5687.0,5910.0,448400,2011-11-14
29,6077.0,6077.0,5575.0,5742.0,317200,2011-11-15
30,5352.0,6133.0,5352.0,5910.0,486700,2011-11-16
31,5965.0,6188.0,5854.0,5910.0,448700,2011-11-17
32,5965.0,6300.0,5854.0,5910.0,312600,2011-11-18
33,6133.0,6300.0,5910.0,6244.0,232100,2011-11-21
34,6244.0,6634.0,6244.0,6579.0,252600,2011-11-22
35,6913.0,7025.0,6913.0,7025.0,151900,2011-11-23
36,7415.0,7471.0,7415.0,7471.0,218300,2011-11-24
37,7805.0,7973.0,7694.0,7805.0,442100,2011-11-25
38,8251.0,8307.0,8140.0,8251.0,424400,2011-11-28
39,8809.0,8809.0,8642.0,8753.0,543800,2011-11-29
40,9143.0,9143.0,8642.0,8809.0,369700,2011-11-30
41,8920.0,9032.0,8196.0,8530.0,291800,2011-12-01
42,8419.0,8419.0,7973.0,8140.0,315200,2011-12-02
43,8586.0,8642.0,7805.0,8251.0,227100,2011-12-05
44,8530.0,8809.0,8307.0,8530.0,259000,2011-12-06
45,8307.0,8307.0,7973.0,8140.0,279600,2011-12-07
46,7917.0,8084.0,7582.0,7861.0,214500,2011-12-08
47,7917.0,7973.0,7527.0,7805.0,296000,2011-12-09
48,7917.0,8307.0,7750.0,7973.0,353800,2011-12-12
49,8196.0,8530.0,8028.0,8307.0,439500,2011-12-13
50,8474.0,8530.0,8084.0,8196.0,152200,2011-12-14
51,8251.0,8251.0,7917.0,8028.0,257600,2011-12-15
52,8028.0,8586.0,7805.0,8251.0,335400,2011-12-16
53,8307.0,8809.0,8084.0,8642.0,538000,2011-12-19
54,8809.0,9199.0,8586.0,9032.0,431500,2011-12-20
55,9199.0,9645.0,9199.0,9589.0,308500,2011-12-21
56,9812.0,10258.0,9812.0,9980.0,281800,2011-12-22
57,9924.0,9924.0,9366.0,9478.0,356800,2011-12-23
58,9701.0,10091.0,9422.0,9924.0,353200,2011-12-26
59,10593.0,10593.0,10481.0,10537.0,283800,2011-12-27
60,10593.0,11262.0,10593.0,11150.0,267600,2011-12-28
61,11931.0,11931.0,10481.0,11262.0,238800,2011-12-29
62,10593.0,11596.0,10593.0,11318.0,725800,2011-12-30
63,11318.0,12098.0,10872.0,11764.0,202300,2012-01-03
64,12544.0,12544.0,11987.0,12210.0,148200,2012-01-04
65,12990.0,13046.0,11819.0,12656.0,114200,2012-01-05
66,13102.0,13157.0,11931.0,12433.0,133300,2012-01-06
67,12321.0,12934.0,11931.0,12377.0,146900,2012-01-09
68,12265.0,12656.0,11875.0,12210.0,318400,2012-01-10
69,13046.0,13046.0,12321.0,12656.0,210000,2012-01-11
70,12656.0,13213.0,12600.0,12767.0,203100,2012-01-12
71,13046.0,13046.0,12544.0,12767.0,308000,2012-01-13
72,12934.0,13046.0,12042.0,12767.0,255100,2012-01-16
73,12879.0,12934.0,12544.0,12767.0,141800,2012-01-17
74,12767.0,13659.0,11875.0,13046.0,287100,2012-01-18
75,13715.0,13938.0,13436.0,13826.0,187400,2012-01-19
76,13941.0,14744.0,12908.0,14342.0,296500,2012-01-20
77,15318.0,15318.0,15146.0,15318.0,159500,2012-01-30
78,16293.0,16350.0,16064.0,16236.0,208300,2012-01-31
79,17211.0,17326.0,16752.0,17039.0,208600,2012-02-01
80,17727.0,18186.0,17555.0,17957.0,149800,2012-02-02
81,18932.0,19162.0,18703.0,18989.0,169100,2012-02-03
82,20252.0,20252.0,18932.0,19334.0,204100,2012-02-06
83,19793.0,20022.0,18244.0,19276.0,232900,2012-02-07
84,19506.0,20366.0,18416.0,19735.0,295900,2012-02-08
85,20596.0,20711.0,19735.0,20252.0,208900,2012-02-09
86,20252.0,20424.0,18989.0,19735.0,164800,2012-02-10
87,19506.0,19506.0,18875.0,19104.0,126200,2012-02-13
88,19793.0,19965.0,19276.0,19793.0,199000,2012-02-14
89,20366.0,20366.0,19104.0,19506.0,124000,2012-02-15
90,19620.0,19678.0,19162.0,19391.0,141200,2012-02-16
91,19965.0,20653.0,19334.0,19620.0,207600,2012-02-17
92,20424.0,20596.0,19678.0,19965.0,115200,2012-02-20
93,20079.0,20079.0,19678.0,19850.0,118500,2012-02-21
94,19850.0,19965.0,18473.0,19448.0,312200,2012-02-22
95,20079.0,20768.0,19448.0,20194.0,264200,2012-02-23
96,20424.0,21571.0,20366.0,21456.0,186300,2012-02-24
97,22948.0,22948.0,22776.0,22891.0,203100,2012-02-27
98,24095.0,24440.0,22833.0,23981.0,202700,2012-02-28
99,25185.0,25185.0,23923.0,24497.0,120000,2012-02-29
100,25530.0,25816.0,23407.0,24325.0,173000,2012-03-01
101,24325.0,24325.0,22948.0,23407.0,187000,2012-03-02
102,24095.0,25013.0,24095.0,24841.0,148900,2012-03-05
103,26562.0,26562.0,23120.0,24382.0,131200,2012-03-06
104,22948.0,23235.0,22718.0,22776.0,52700,2012-03-07
105,22374.0,22374.0,21227.0,21915.0,39500,2012-03-08
106,20424.0,21686.0,20424.0,20768.0,54800,2012-03-09
107,20711.0,20711.0,19334.0,19620.0,113300,2012-03-12
108,19448.0,19620.0,18301.0,18817.0,98800,2012-03-13
109,18817.0,18817.0,17555.0,17727.0,136300,2012-03-14
110,17727.0,18301.0,17211.0,17957.0,148200,2012-03-15
111,18014.0,18358.0,17957.0,18129.0,124900,2012-03-16
112,18129.0,18186.0,16867.0,17326.0,112500,2012-03-19
113,17670.0,17785.0,16637.0,17096.0,118300,2012-03-20
114,17211.0,17211.0,15949.0,16695.0,173800,2012-03-21
115,16350.0,16580.0,15547.0,15662.0,134600,2012-03-22
116,15490.0,16752.0,14801.0,15260.0,156800,2012-03-23
117,16293.0,16293.0,14916.0,15432.0,114900,2012-03-26
118,15547.0,15547.0,14629.0,14629.0,93300,2012-03-27
119,14629.0,14859.0,14342.0,14744.0,110600,2012-03-28
120,14916.0,14974.0,14056.0,14113.0,90700,2012-03-29
121,14170.0,14170.0,13654.0,13769.0,108100,2012-03-30
122,14056.0,14572.0,13711.0,14113.0,132200,2012-04-03
123,14400.0,14400.0,13654.0,13826.0,102500,2012-04-04
124,13883.0,13883.0,13425.0,13826.0,141200,2012-04-05
125,14056.0,14113.0,13597.0,13826.0,136600,2012-04-06
126,13998.0,14056.0,13711.0,13883.0,128400,2012-04-09
127,14342.0,14572.0,13482.0,13883.0,94900,2012-04-10
128,14228.0,14228.0,13711.0,14113.0,140100,2012-04-11
129,14457.0,15088.0,14228.0,14285.0,148500,2012-04-12
130,14916.0,14916.0,13998.0,14113.0,135000,2012-04-13
131,14457.0,14801.0,13998.0,14342.0,135200,2012-04-16
132,14801.0,14801.0,13998.0,14113.0,141400,2012-04-17
133,14056.0,14170.0,13654.0,13654.0,118200,2012-04-18
134,13654.0,13654.0,12793.0,12908.0,171300,2012-04-19
135,12966.0,13080.0,12621.0,12908.0,167400,2012-04-20
136,13138.0,13195.0,12793.0,12908.0,133600,2012-04-23
137,13080.0,13195.0,12564.0,13023.0,125700,2012-04-24
138,13482.0,13883.0,13080.0,13252.0,178000,2012-04-25
139,13941.0,13941.0,12736.0,12793.0,148800,2012-04-26
140,12908.0,13654.0,12679.0,13138.0,161400,2012-04-27
141,13138.0,13711.0,12793.0,12908.0,219700,2012-05-02
142,13138.0,13138.0,12679.0,12793.0,171000,2012-05-03
143,12908.0,13654.0,12851.0,13195.0,220900,2012-05-04
144,13425.0,13482.0,13195.0,13367.0,211100,2012-05-07
145,13425.0,13482.0,12736.0,12851.0,229400,2012-05-08
146,13195.0,13195.0,12564.0,12621.0,190200,2012-05-09
147,12679.0,12908.0,12449.0,12564.0,209400,2012-05-10
148,12679.0,12679.0,11703.0,12048.0,244200,2012-05-11
149,12335.0,12621.0,11244.0,11474.0,206300,2012-05-14
150,11474.0,11474.0,10671.0,10671.0,154200,2012-05-15
151,10556.0,10728.0,10269.0,10499.0,231700,2012-05-16
152,10499.0,10613.0,9925.0,9982.0,243600,2012-05-17
153,9982.0,9982.0,9351.0,9351.0,143600,2012-05-18
154,9294.0,9982.0,9294.0,9982.0,228700,2012-05-21
155,10040.0,10212.0,9581.0,9810.0,244300,2012-05-22
156,9753.0,9753.0,9294.0,9351.0,181700,2012-05-23
157,9351.0,9466.0,8892.0,8950.0,149900,2012-05-24
158,8950.0,9523.0,8950.0,9523.0,120800,2012-05-25
159,9523.0,9925.0,9466.0,9581.0,232800,2012-05-28
160,9581.0,9581.0,9294.0,9466.0,138300,2012-05-29
161,9409.0,9581.0,9351.0,9466.0,158400,2012-05-30
162,9466.0,9466.0,9064.0,9179.0,151800,2012-05-31
163,9179.0,9351.0,9064.0,9122.0,185200,2012-06-01
164,9122.0,9122.0,8720.0,8778.0,159800,2012-06-04
165,8835.0,9064.0,8663.0,9064.0,199600,2012-06-05
166,9122.0,9351.0,8950.0,9294.0,157300,2012-06-06
167,9237.0,9925.0,9179.0,9925.0,456900,2012-06-07
168,10613.0,10613.0,10040.0,10613.0,666700,2012-06-08
169,11244.0,11302.0,10441.0,11015.0,526600,2012-06-11
170,11015.0,11015.0,10327.0,10441.0,412700,2012-06-12
171,10269.0,10441.0,9753.0,9925.0,847500,2012-06-13
172,9982.0,9982.0,9237.0,9294.0,1091800,2012-06-14
173,9237.0,9638.0,9237.0,9237.0,712300,2012-06-15
174,9294.0,9523.0,8835.0,8950.0,971800,2012-06-18
175,9007.0,9007.0,8376.0,8376.0,883700,2012-06-19
176,8319.0,8376.0,7802.0,8147.0,490900,2012-06-20
177,8089.0,8261.0,8032.0,8089.0,303300,2012-06-21
178,7573.0,7745.0,7573.0,7573.0,721500,2012-06-22
179,7401.0,7573.0,7056.0,7056.0,292700,2012-06-25
180,6598.0,7343.0,6598.0,7229.0,1803600,2012-06-26
181,7286.0,7688.0,7286.0,7286.0,1166900,2012-06-27
182,7171.0,7343.0,6942.0,7286.0,694900,2012-06-28
183,7286.0,7286.0,6942.0,7056.0,489700,2012-06-29
184,6999.0,7171.0,6598.0,6598.0,489200,2012-07-02
185,6425.0,6425.0,6139.0,6311.0,712500,2012-07-03
186,6196.0,6540.0,6024.0,6196.0,650000,2012-07-04
187,6196.0,6540.0,6081.0,6368.0,483800,2012-07-05
188,6425.0,6540.0,6253.0,6311.0,454500,2012-07-06
189,6311.0,6311.0,6081.0,6139.0,259700,2012-07-09
190,6139.0,6311.0,6139.0,6196.0,256100,2012-07-10
191,6196.0,6425.0,6196.0,6311.0,301700,2012-07-11
192,6253.0,6540.0,6196.0,6425.0,514100,2012-07-12
193,6311.0,6827.0,6311.0,6770.0,665300,2012-07-13
194,6884.0,6884.0,6368.0,6425.0,535300,2012-07-16
195,6311.0,6598.0,6253.0,6483.0,470200,2012-07-17
196,6770.0,6770.0,6311.0,6368.0,382700,2012-07-18
197,6368.0,6770.0,6253.0,6770.0,612700,2012-07-19
198,6655.0,7229.0,6655.0,7229.0,934200,2012-07-20
199,7229.0,7688.0,7114.0,7458.0,966200,2012-07-23
200,7458.0,7458.0,6942.0,6942.0,675800,2012-07-24
201,6884.0,6884.0,6483.0,6540.0,990700,2012-07-25
202,6311.0,6770.0,6311.0,6483.0,784500,2012-07-26
203,6368.0,6540.0,6196.0,6253.0,746600,2012-07-27
204,6139.0,6655.0,6024.0,6655.0,1101600,2012-07-30
205,6540.0,6942.0,6540.0,6540.0,1042000,2012-07-31
206,6425.0,6655.0,6253.0,6425.0,593000,2012-08-01
207,6368.0,6540.0,6311.0,6425.0,478700,2012-08-02
208,6425.0,6540.0,6139.0,6311.0,541800,2012-08-03
209,6253.0,6712.0,6253.0,6598.0,1139900,2012-08-06
210,6483.0,6598.0,6253.0,6311.0,1092400,2012-08-07
211,6196.0,6540.0,6139.0,6368.0,643100,2012-08-08
212,6311.0,6540.0,6253.0,6368.0,1310800,2012-08-09
213,6311.0,6483.0,6253.0,6311.0,774000,2012-08-10
214,6253.0,6425.0,6196.0,6368.0,542900,2012-08-13
215,6253.0,6483.0,6253.0,6311.0,886900,2012-08-14
216,6253.0,6483.0,6139.0,6196.0,538600,2012-08-15
217,6139.0,6311.0,5966.0,6024.0,1091300,2012-08-16
218,5966.0,6024.0,5852.0,5909.0,1083700,2012-08-17
219,5852.0,6081.0,5794.0,6024.0,879400,2012-08-20
220,5966.0,5966.0,5622.0,5622.0,803200,2012-08-21
221,5278.0,5393.0,5278.0,5278.0,553200,2012-08-22
222,4991.0,5049.0,4934.0,4934.0,217900,2012-08-23
223,4590.0,5163.0,4590.0,4876.0,1553000,2012-08-24
224,4762.0,4762.0,4590.0,4590.0,686700,2012-08-27
225,4303.0,4475.0,4303.0,4303.0,179100,2012-08-28
226,4188.0,4475.0,4188.0,4303.0,727800,2012-08-29
227,4188.0,4360.0,4016.0,4073.0,918500,2012-08-30
228,4016.0,4131.0,3901.0,3901.0,626200,2012-08-31
229,3844.0,4131.0,3844.0,4131.0,945600,2012-09-04
