,Open,High,Low,Close,Volume,TradingDate
0,9219.0,9219.0,9219.0,9219.0,8330,2017-02-27
1,9834.0,9834.0,9834.0,9834.0,460,2017-02-28
2,10487.0,10487.0,10487.0,10487.0,880,2017-03-01
3,11217.0,11217.0,11217.0,11217.0,840,2017-03-02
4,11524.0,11985.0,11524.0,11985.0,490,2017-03-03
5,12792.0,12792.0,12792.0,12792.0,120,2017-03-06
6,13675.0,13675.0,13675.0,13675.0,370,2017-03-07
7,14597.0,14597.0,14597.0,14597.0,3510,2017-03-08
8,15596.0,15596.0,15596.0,15596.0,900,2017-03-09
9,16672.0,16672.0,16672.0,16672.0,420,2017-03-10
10,17824.0,17824.0,17824.0,17824.0,1560,2017-03-13
11,19053.0,19053.0,19053.0,19053.0,120,2017-03-14
12,20359.0,20359.0,20359.0,20359.0,440,2017-03-15
13,21781.0,21781.0,21781.0,21781.0,720,2017-03-16
14,23279.0,23279.0,23279.0,23279.0,1750,2017-03-17
15,24892.0,24892.0,24892.0,24892.0,1310,2017-03-20
16,26621.0,26621.0,26621.0,26621.0,1970,2017-03-21
17,28465.0,28465.0,28465.0,28465.0,2440,2017-03-22
18,30424.0,30424.0,28503.0,28810.0,54520,2017-03-23
19,28810.0,28810.0,26813.0,26890.0,2770,2017-03-24
20,26890.0,26890.0,25007.0,25007.0,600,2017-03-27
21,23279.0,23279.0,23279.0,23279.0,40,2017-03-28
22,21665.0,21665.0,21665.0,21665.0,10,2017-03-29
23,20167.0,20167.0,20167.0,20167.0,50,2017-03-30
24,18784.0,18784.0,18784.0,18784.0,2850,2017-03-31
25,18784.0,18784.0,18784.0,18784.0,0,2017-04-03
26,17478.0,17478.0,17478.0,17478.0,300,2017-04-04
27,16287.0,16287.0,16287.0,16287.0,490,2017-04-05
28,15173.0,15173.0,15173.0,15173.0,10,2017-04-07
29,15173.0,15173.0,15173.0,15173.0,0,2017-04-10
30,14136.0,14136.0,14136.0,14136.0,130,2017-04-11
31,13176.0,14136.0,13176.0,14136.0,6390,2017-04-12
32,13176.0,15097.0,13176.0,15058.0,2440,2017-04-13
33,14021.0,16057.0,14021.0,14597.0,6540,2017-04-14
34,15366.0,15366.0,13598.0,13598.0,1070,2017-04-17
35,12677.0,13061.0,12677.0,13061.0,3240,2017-04-18
36,13752.0,13752.0,12177.0,12177.0,11020,2017-04-19
37,11908.0,12984.0,11908.0,12446.0,660,2017-04-20
38,12677.0,13214.0,11678.0,11678.0,860,2017-04-21
39,10910.0,12216.0,10871.0,12139.0,1750,2017-04-24
40,11908.0,11908.0,11294.0,11908.0,4490,2017-04-25
41,11140.0,11831.0,11140.0,11140.0,120,2017-04-26
42,10372.0,10372.0,10372.0,10372.0,4070,2017-04-27
43,10372.0,10679.0,9680.0,10679.0,480,2017-04-28
44,11332.0,11409.0,11294.0,11409.0,1260,2017-05-03
45,12177.0,12177.0,12177.0,12177.0,510,2017-05-04
46,13022.0,13022.0,13022.0,13022.0,5370,2017-05-05
47,13906.0,13906.0,13291.0,13291.0,10140,2017-05-08
48,13291.0,14213.0,13291.0,14213.0,8630,2017-05-09
49,15135.0,15173.0,15135.0,15173.0,8290,2017-05-10
50,16211.0,16211.0,16211.0,16211.0,2610,2017-05-11
51,17325.0,17325.0,17325.0,17325.0,5070,2017-05-12
52,18515.0,18515.0,18515.0,18515.0,3670,2017-05-15
53,19783.0,19783.0,19783.0,19783.0,810,2017-05-16
54,21166.0,21166.0,18400.0,18400.0,10430,2017-05-17
55,17133.0,17133.0,17133.0,17133.0,710,2017-05-18
56,15942.0,15942.0,15942.0,15942.0,10,2017-05-19
57,14828.0,14828.0,14828.0,14828.0,210,2017-05-22
58,13791.0,13791.0,13791.0,13791.0,210,2017-05-23
59,12830.0,14751.0,12830.0,14751.0,13350,2017-05-24
60,15750.0,15750.0,14751.0,14751.0,8320,2017-05-25
61,15750.0,15750.0,15366.0,15366.0,1250,2017-05-26
62,14290.0,16134.0,14290.0,14290.0,11810,2017-05-29
63,13291.0,13368.0,13291.0,13291.0,8960,2017-05-30
64,12446.0,14213.0,12369.0,12369.0,27480,2017-05-31
65,11678.0,11908.0,11524.0,11755.0,49290,2017-06-01
66,11524.0,12561.0,11524.0,11755.0,20430,2017-06-02
67,12446.0,12484.0,11447.0,11524.0,11300,2017-06-05
68,12062.0,12062.0,11370.0,11370.0,9410,2017-06-06
69,11870.0,11870.0,11370.0,11524.0,8940,2017-06-07
70,11870.0,11870.0,11370.0,11678.0,7810,2017-06-08
71,11370.0,11601.0,11294.0,11447.0,8810,2017-06-09
72,11601.0,11601.0,11370.0,11447.0,2220,2017-06-12
73,11447.0,11447.0,11140.0,11370.0,2210,2017-06-13
74,11524.0,11524.0,10756.0,10986.0,3040,2017-06-14
75,11294.0,11294.0,10372.0,10679.0,8220,2017-06-15
76,11063.0,11063.0,11063.0,11063.0,20,2017-06-16
77,11140.0,11831.0,11102.0,11524.0,27490,2017-06-19
78,11755.0,11908.0,11678.0,11678.0,1150,2017-06-20
79,11678.0,11908.0,11524.0,11831.0,2950,2017-06-21
80,12292.0,12292.0,11524.0,11908.0,300,2017-06-22
81,11908.0,11908.0,11140.0,11755.0,1080,2017-06-23
82,11755.0,11755.0,11678.0,11755.0,80,2017-06-26
83,11831.0,11870.0,11755.0,11755.0,800,2017-06-27
84,11755.0,11755.0,10986.0,11678.0,3520,2017-06-28
85,10910.0,11370.0,10871.0,11370.0,70,2017-06-29
86,11370.0,11524.0,10756.0,11294.0,4790,2017-06-30
87,11524.0,11985.0,11486.0,11524.0,1220,2017-07-03
88,11831.0,11831.0,10756.0,11601.0,440,2017-07-04
89,10910.0,11447.0,10910.0,11447.0,1150,2017-07-05
90,11447.0,11447.0,10756.0,10756.0,3090,2017-07-06
91,10756.0,11370.0,10218.0,11370.0,150,2017-07-07
92,11447.0,11447.0,10602.0,11294.0,5070,2017-07-10
93,11294.0,11294.0,11294.0,11294.0,10,2017-07-11
94,10756.0,11140.0,10679.0,10833.0,2820,2017-07-12
95,11140.0,11140.0,10372.0,10372.0,1460,2017-07-13
96,10986.0,10986.0,9834.0,10910.0,100,2017-07-14
97,10180.0,10372.0,10180.0,10372.0,4720,2017-07-17
98,9680.0,10756.0,9680.0,10756.0,140,2017-07-18
99,10026.0,10641.0,10026.0,10026.0,300,2017-07-19
100,9373.0,10141.0,9373.0,10103.0,730,2017-07-20
101,10103.0,10333.0,9411.0,9411.0,2150,2017-07-21
102,10064.0,10064.0,9411.0,9988.0,1330,2017-07-24
103,10256.0,10256.0,9296.0,10256.0,4000,2017-07-25
104,10679.0,10679.0,10410.0,10410.0,60,2017-07-26
105,9757.0,10218.0,9757.0,10218.0,300,2017-07-27
106,9603.0,10064.0,9527.0,10026.0,930,2017-07-28
107,9450.0,9796.0,9373.0,9796.0,2120,2017-07-31
108,9219.0,9949.0,9219.0,9219.0,8400,2017-08-01
109,9796.0,9796.0,9796.0,9796.0,10,2017-08-02
110,9796.0,9988.0,9796.0,9949.0,1060,2017-08-03
111,9949.0,9988.0,9949.0,9988.0,510,2017-08-04
112,9988.0,9988.0,9603.0,9988.0,770,2017-08-07
113,9911.0,9911.0,9603.0,9911.0,1090,2017-08-08
114,9219.0,9949.0,9219.0,9872.0,2120,2017-08-09
115,9872.0,9872.0,9872.0,9872.0,10,2017-08-10
116,9872.0,9872.0,9872.0,9872.0,10,2017-08-11
117,9219.0,9757.0,9219.0,9719.0,1460,2017-08-14
118,9066.0,9565.0,9066.0,9565.0,4510,2017-08-15
119,9373.0,9373.0,8912.0,8912.0,600,2017-08-16
120,9219.0,9527.0,8374.0,9181.0,550,2017-08-17
121,9796.0,9796.0,9296.0,9296.0,410,2017-08-18
122,9872.0,9872.0,9872.0,9872.0,10,2017-08-21
123,9834.0,9834.0,9834.0,9834.0,10,2017-08-22
124,9834.0,9834.0,9834.0,9834.0,0,2017-08-23
125,9181.0,9450.0,9181.0,9450.0,440,2017-08-24
126,10103.0,10103.0,9872.0,9872.0,110,2017-08-25
127,9872.0,9872.0,9872.0,9872.0,0,2017-08-28
128,9872.0,9872.0,9872.0,9872.0,0,2017-08-29
129,9219.0,9872.0,9219.0,9603.0,850,2017-08-30
130,9949.0,9949.0,9719.0,9719.0,50,2017-08-31
131,9603.0,9603.0,9603.0,9603.0,110,2017-09-01
132,8950.0,9527.0,8950.0,8950.0,2580,2017-09-05
133,9181.0,9181.0,9181.0,9181.0,10,2017-09-06
134,9488.0,9488.0,8566.0,9411.0,330,2017-09-07
135,9258.0,9258.0,9258.0,9258.0,20,2017-09-08
136,8912.0,9142.0,8912.0,9142.0,310,2017-09-11
137,9142.0,9142.0,9142.0,9142.0,0,2017-09-12
138,9527.0,9527.0,8528.0,9142.0,830,2017-09-13
139,9181.0,9219.0,9181.0,9219.0,100,2017-09-14
140,8605.0,9219.0,8605.0,9219.0,3340,2017-09-15
141,8605.0,8989.0,8605.0,8989.0,3170,2017-09-18
142,8374.0,8451.0,8374.0,8374.0,5290,2017-09-19
143,7913.0,8950.0,7913.0,8874.0,1100,2017-09-20
144,9142.0,9142.0,8259.0,8259.0,1030,2017-09-21
145,8797.0,8797.0,8797.0,8797.0,10,2017-09-22
146,8566.0,8566.0,8566.0,8566.0,10,2017-09-25
147,7990.0,8413.0,7990.0,8221.0,1130,2017-09-26
148,7683.0,7683.0,7652.0,7683.0,4780,2017-09-27
149,7222.0,8221.0,7222.0,8221.0,1550,2017-09-28
150,8451.0,8451.0,8451.0,8451.0,10,2017-09-29
151,8451.0,8451.0,8451.0,8451.0,0,2017-10-02
152,8067.0,8451.0,7875.0,8451.0,1070,2017-10-03
153,8259.0,8413.0,8259.0,8413.0,60,2017-10-04
154,7836.0,8259.0,7836.0,7836.0,580,2017-10-05
155,8336.0,8336.0,7291.0,7836.0,1390,2017-10-06
156,7299.0,8028.0,7299.0,8028.0,670,2017-10-09
157,7468.0,7990.0,7468.0,7990.0,130,2017-10-10
158,8413.0,8413.0,7606.0,7990.0,230,2017-10-11
159,7683.0,7990.0,7683.0,7990.0,1110,2017-10-12
160,7990.0,7990.0,7614.0,7614.0,140,2017-10-13
161,7614.0,7614.0,7614.0,7614.0,1040,2017-10-16
162,8144.0,8144.0,7084.0,7990.0,2730,2017-10-17
163,7990.0,7990.0,7990.0,7990.0,10,2017-10-18
164,8336.0,8336.0,8336.0,8336.0,10,2017-10-19
165,8336.0,8336.0,8336.0,8336.0,0,2017-10-20
166,7760.0,8336.0,7760.0,8336.0,1270,2017-10-23
167,7760.0,8182.0,7760.0,8182.0,170,2017-10-24
168,7614.0,7683.0,7614.0,7683.0,980,2017-10-25
169,8182.0,8182.0,7153.0,7990.0,190,2017-10-26
170,7437.0,7952.0,7437.0,7952.0,630,2017-10-27
171,7398.0,7990.0,7398.0,7836.0,1040,2017-10-30
172,7299.0,7683.0,7291.0,7683.0,1010,2017-10-31
173,7675.0,7760.0,7675.0,7760.0,30,2017-11-01
174,7229.0,7721.0,7222.0,7721.0,510,2017-11-02
175,7721.0,7721.0,7721.0,7721.0,0,2017-11-03
176,7191.0,7760.0,7183.0,7721.0,490,2017-11-06
177,7721.0,7721.0,7721.0,7721.0,10,2017-11-07
178,8028.0,8028.0,8028.0,8028.0,10,2017-11-08
179,7468.0,7675.0,7468.0,7468.0,3850,2017-11-09
180,7667.0,7667.0,7667.0,7667.0,10,2017-11-10
181,7836.0,7875.0,7836.0,7875.0,40,2017-11-13
182,8297.0,8297.0,8297.0,8297.0,10,2017-11-14
183,8297.0,8297.0,8297.0,8297.0,0,2017-11-15
184,7721.0,7721.0,7721.0,7721.0,90,2017-11-16
185,7199.0,8259.0,7191.0,7913.0,1280,2017-11-17
186,7913.0,7913.0,7913.0,7913.0,0,2017-11-20
187,8297.0,8297.0,8297.0,8297.0,10,2017-11-21
188,8297.0,8297.0,7721.0,7721.0,4030,2017-11-22
189,7721.0,7721.0,7721.0,7721.0,0,2017-11-23
190,7721.0,7721.0,7299.0,7721.0,240,2017-11-24
191,7222.0,7721.0,7183.0,7721.0,5380,2017-11-27
192,7836.0,7836.0,7760.0,7760.0,30,2017-11-28
193,7760.0,7760.0,7760.0,7760.0,110,2017-11-29
194,7721.0,7721.0,7222.0,7222.0,3420,2017-11-30
195,7260.0,7683.0,7260.0,7606.0,1600,2017-12-01
196,7606.0,8067.0,7076.0,7675.0,3180,2017-12-04
197,7606.0,7644.0,7299.0,7299.0,340,2017-12-05
198,7222.0,7760.0,7222.0,7683.0,230,2017-12-06
199,7168.0,7168.0,7168.0,7168.0,70,2017-12-07
200,7222.0,7591.0,7222.0,7591.0,200,2017-12-08
201,7675.0,7675.0,7153.0,7591.0,350,2017-12-11
202,7798.0,7798.0,7068.0,7068.0,5940,2017-12-12
203,7521.0,7521.0,7521.0,7521.0,10,2017-12-13
204,7498.0,7498.0,7498.0,7498.0,10,2017-12-14
205,7445.0,7445.0,7299.0,7299.0,2160,2017-12-15
206,7222.0,7222.0,7153.0,7153.0,60,2017-12-18
207,7506.0,7506.0,7145.0,7145.0,20,2017-12-19
208,7568.0,7568.0,7130.0,7130.0,110,2017-12-20
209,7544.0,7544.0,7076.0,7076.0,80,2017-12-21
210,6922.0,7414.0,6922.0,7084.0,110,2017-12-22
211,6930.0,7084.0,6930.0,7084.0,60,2017-12-25
212,6938.0,7076.0,6938.0,7076.0,20,2017-12-26
213,6945.0,7222.0,6899.0,6899.0,350,2017-12-27
214,6914.0,7291.0,6907.0,6914.0,3810,2017-12-28
215,6914.0,7283.0,6907.0,7283.0,170,2017-12-29
216,7291.0,7683.0,6807.0,6807.0,260,2018-01-02
217,6530.0,6530.0,6377.0,6377.0,1040,2018-01-03
218,6377.0,6792.0,6377.0,6384.0,870,2018-01-04
219,6653.0,6669.0,6653.0,6669.0,1370,2018-01-05
220,7130.0,7130.0,6569.0,6569.0,210,2018-01-08
221,6569.0,7022.0,6446.0,7022.0,3170,2018-01-09
222,7068.0,7299.0,6914.0,7299.0,880,2018-01-10
223,7529.0,7529.0,7529.0,7529.0,10,2018-01-11
224,7007.0,7675.0,7007.0,7675.0,2190,2018-01-12
225,7222.0,7606.0,7145.0,7606.0,4430,2018-01-15
226,7606.0,7606.0,7375.0,7375.0,1100,2018-01-16
227,7452.0,7606.0,7229.0,7229.0,1120,2018-01-17
228,6922.0,7606.0,6922.0,7114.0,1220,2018-01-18
229,7452.0,7591.0,7037.0,7037.0,80,2018-01-19
230,7068.0,7068.0,6914.0,7068.0,360,2018-01-22
231,7068.0,7068.0,7068.0,7068.0,0,2018-01-23
232,7068.0,7068.0,7068.0,7068.0,0,2018-01-24
233,7529.0,7529.0,6761.0,7291.0,1350,2018-01-25
234,6784.0,6914.0,6784.0,6914.0,3400,2018-01-26
235,6914.0,6914.0,6914.0,6914.0,320,2018-01-29
236,7299.0,7398.0,6991.0,7398.0,5330,2018-01-30
237,7398.0,7913.0,7398.0,7913.0,10780,2018-01-31
238,8374.0,8451.0,8374.0,8451.0,4610,2018-02-01
239,9027.0,9027.0,9027.0,9027.0,5110,2018-02-02
240,9642.0,9642.0,9603.0,9642.0,9020,2018-02-05
241,10295.0,10295.0,10295.0,10295.0,40180,2018-02-06
242,10986.0,10986.0,10756.0,10986.0,22700,2018-02-07
243,11755.0,11755.0,10679.0,11755.0,14280,2018-02-08
244,10948.0,10948.0,10948.0,10948.0,840,2018-02-09
245,10948.0,10948.0,10218.0,10218.0,760,2018-02-12
246,9527.0,9527.0,9527.0,9527.0,1260,2018-02-13
247,9527.0,9527.0,8874.0,8874.0,2910,2018-02-21
248,8259.0,8874.0,8259.0,8259.0,11790,2018-02-22
249,7683.0,7683.0,7683.0,7683.0,11170,2018-02-23
250,8221.0,8221.0,7836.0,8221.0,9150,2018-02-26
251,8720.0,8758.0,8451.0,8758.0,5650,2018-02-27
252,9335.0,9335.0,9335.0,9335.0,9820,2018-02-28
253,9988.0,9988.0,9603.0,9603.0,33760,2018-03-01
254,10218.0,10218.0,8950.0,9988.0,1110,2018-03-02
255,9603.0,9603.0,9296.0,9296.0,2650,2018-03-05
256,8682.0,9219.0,8682.0,8682.0,6680,2018-03-06
257,9219.0,9219.0,8682.0,9219.0,790,2018-03-07
258,8605.0,9219.0,8605.0,9181.0,200,2018-03-08
259,9181.0,9219.0,8605.0,9142.0,1040,2018-03-09
260,9142.0,9142.0,8528.0,8528.0,1720,2018-03-12
261,8067.0,9104.0,8067.0,8566.0,4220,2018-03-13
262,9142.0,9142.0,8605.0,9104.0,320,2018-03-14
263,8489.0,9219.0,8489.0,9219.0,1870,2018-03-15
264,8605.0,9219.0,8605.0,9219.0,2930,2018-03-16
265,9219.0,9219.0,8605.0,9219.0,2250,2018-03-19
266,9219.0,9219.0,8605.0,9142.0,500,2018-03-20
267,8528.0,9142.0,8528.0,8605.0,1470,2018-03-21
268,8605.0,9181.0,8605.0,9181.0,520,2018-03-22
269,8566.0,9181.0,8566.0,9066.0,80,2018-03-23
270,9066.0,9066.0,8989.0,8989.0,3050,2018-03-26
271,8989.0,8989.0,8989.0,8989.0,30,2018-03-27
272,8950.0,8989.0,8950.0,8950.0,130,2018-03-28
273,8451.0,8835.0,8451.0,8835.0,990,2018-03-29
274,8451.0,8451.0,8221.0,8451.0,470,2018-03-30
275,7875.0,8451.0,7875.0,8451.0,810,2018-04-02
276,8451.0,8451.0,7875.0,7875.0,1450,2018-04-03
277,7683.0,8413.0,7329.0,8413.0,6270,2018-04-04
278,8835.0,8835.0,8835.0,8835.0,10,2018-04-05
279,8221.0,8720.0,8221.0,8221.0,290,2018-04-06
280,8297.0,8451.0,7652.0,8451.0,8580,2018-04-09
281,8451.0,8451.0,8413.0,8413.0,570,2018-04-10
282,8067.0,8067.0,8067.0,8067.0,90,2018-04-11
283,7514.0,8067.0,7514.0,8067.0,100,2018-04-12
284,7683.0,8413.0,7683.0,8067.0,1080,2018-04-13
285,8221.0,8451.0,8221.0,8221.0,1030,2018-04-16
286,7683.0,8221.0,7683.0,8221.0,50,2018-04-17
287,8221.0,8221.0,8221.0,8221.0,270,2018-04-18
288,8221.0,8221.0,8067.0,8144.0,310,2018-04-19
289,8144.0,8144.0,8144.0,8144.0,0,2018-04-20
290,8144.0,8144.0,7683.0,7760.0,9380,2018-04-23
291,7913.0,8297.0,7913.0,8297.0,450,2018-04-24
292,7836.0,8874.0,7836.0,8874.0,3370,2018-04-26
293,9373.0,9373.0,8374.0,9373.0,2760,2018-04-27
294,9603.0,9603.0,9603.0,9603.0,110,2018-05-02
295,8950.0,8950.0,8950.0,8950.0,50,2018-05-03
296,9527.0,9527.0,9219.0,9219.0,400,2018-05-04
297,9219.0,9373.0,9219.0,9335.0,30,2018-05-07
298,9757.0,9757.0,8682.0,9565.0,80,2018-05-08
299,9527.0,9527.0,9219.0,9219.0,9460,2018-05-09
300,8682.0,9450.0,8605.0,9373.0,1210,2018-05-10
301,8835.0,9373.0,8835.0,9373.0,120,2018-05-11
