,Open,High,Low,Close,Volume,TradingDate
0,1244.0,1244.0,1244.0,1244.0,8400,2002-01-02
1,1266.0,1266.0,1266.0,1266.0,9500,2002-01-04
2,1289.0,1289.0,1289.0,1289.0,14000,2002-01-07
3,1312.0,1312.0,1312.0,1312.0,7900,2002-01-09
4,1338.0,1338.0,1338.0,1338.0,19800,2002-01-11
5,1338.0,1338.0,1338.0,1338.0,2000,2002-01-14
6,1312.0,1312.0,1312.0,1312.0,300,2002-01-16
7,1286.0,1286.0,1286.0,1286.0,100,2002-01-18
8,1286.0,1286.0,1286.0,1286.0,8000,2002-01-21
9,1286.0,1286.0,1286.0,1286.0,13400,2002-01-23
10,1286.0,1286.0,1286.0,1286.0,17600,2002-01-25
11,1309.0,1309.0,1309.0,1309.0,8000,2002-01-28
12,1309.0,1309.0,1309.0,1309.0,14700,2002-01-30
13,1283.0,1283.0,1283.0,1283.0,400,2002-02-01
14,1283.0,1283.0,1283.0,1283.0,100,2002-02-04
15,1260.0,1260.0,1260.0,1260.0,1500,2002-02-06
16,1283.0,1283.0,1283.0,1283.0,4100,2002-02-08
17,1283.0,1283.0,1283.0,1283.0,1100,2002-02-18
18,1260.0,1260.0,1260.0,1260.0,4200,2002-02-20
19,1237.0,1237.0,1237.0,1237.0,300,2002-02-22
20,1237.0,1237.0,1237.0,1237.0,700,2002-02-25
21,1244.0,1244.0,1244.0,1244.0,4500,2002-02-27
22,1266.0,1266.0,1266.0,1266.0,14500,2002-03-01
23,1289.0,1289.0,1289.0,1289.0,9100,2002-03-04
24,1289.0,1289.0,1289.0,1289.0,10600,2002-03-05
25,1289.0,1289.0,1289.0,1289.0,1000,2002-03-06
26,1276.0,1276.0,1276.0,1276.0,9300,2002-03-07
27,1276.0,1276.0,1276.0,1276.0,4400,2002-03-08
28,1283.0,1283.0,1283.0,1283.0,28700,2002-03-11
29,1305.0,1305.0,1305.0,1305.0,1400,2002-03-12
30,1328.0,1328.0,1328.0,1328.0,18400,2002-03-13
31,1354.0,1354.0,1354.0,1354.0,13000,2002-03-14
32,1380.0,1380.0,1380.0,1380.0,5200,2002-03-15
33,1380.0,1380.0,1380.0,1380.0,8300,2002-03-18
34,1380.0,1380.0,1380.0,1380.0,1400,2002-03-19
35,1380.0,1380.0,1380.0,1380.0,5900,2002-03-20
36,1380.0,1380.0,1380.0,1380.0,100,2002-03-21
37,1380.0,1380.0,1380.0,1380.0,300,2002-03-22
38,1354.0,1354.0,1354.0,1354.0,200,2002-03-25
39,1348.0,1348.0,1348.0,1348.0,16900,2002-03-26
40,1374.0,1374.0,1374.0,1374.0,2300,2002-03-27
41,1400.0,1400.0,1400.0,1400.0,5800,2002-03-28
42,1427.0,1427.0,1427.0,1427.0,1400,2002-03-29
43,1400.0,1400.0,1400.0,1400.0,1100,2002-04-01
44,1374.0,1374.0,1374.0,1374.0,3400,2002-04-02
45,1348.0,1348.0,1348.0,1348.0,300,2002-04-03
46,1322.0,1322.0,1322.0,1322.0,300,2002-04-04
47,1299.0,1299.0,1299.0,1299.0,1500,2002-04-05
48,1299.0,1299.0,1299.0,1299.0,2300,2002-04-08
49,1299.0,1299.0,1299.0,1299.0,3900,2002-04-09
50,1299.0,1299.0,1299.0,1299.0,2300,2002-04-10
51,1299.0,1299.0,1299.0,1299.0,2000,2002-04-11
52,1286.0,1286.0,1286.0,1286.0,2300,2002-04-12
53,1292.0,1292.0,1292.0,1292.0,3100,2002-04-15
54,1276.0,1276.0,1276.0,1276.0,3000,2002-04-16
55,1296.0,1296.0,1296.0,1296.0,4000,2002-04-17
56,1299.0,1299.0,1299.0,1299.0,2800,2002-04-18
57,1302.0,1302.0,1302.0,1302.0,5100,2002-04-19
58,1302.0,1302.0,1302.0,1302.0,1500,2002-04-22
59,1309.0,1309.0,1309.0,1309.0,11600,2002-04-23
60,1315.0,1315.0,1315.0,1315.0,6000,2002-04-24
61,1341.0,1341.0,1341.0,1341.0,8600,2002-04-25
62,1367.0,1367.0,1367.0,1367.0,8400,2002-04-26
63,1393.0,1393.0,1393.0,1393.0,6900,2002-05-02
64,1420.0,1420.0,1420.0,1420.0,20700,2002-05-03
65,1443.0,1443.0,1443.0,1443.0,7000,2002-05-06
66,1417.0,1417.0,1417.0,1417.0,8700,2002-05-07
67,1390.0,1390.0,1390.0,1390.0,1900,2002-05-08
68,1417.0,1417.0,1417.0,1417.0,7000,2002-05-09
69,1443.0,1443.0,1443.0,1443.0,18600,2002-05-10
70,1443.0,1443.0,1443.0,1443.0,2100,2002-05-13
71,1443.0,1443.0,1443.0,1443.0,3700,2002-05-14
72,1453.0,1453.0,1453.0,1453.0,7700,2002-05-15
73,1453.0,1453.0,1453.0,1453.0,2800,2002-05-16
74,1453.0,1453.0,1453.0,1453.0,4000,2002-05-17
75,1453.0,1453.0,1453.0,1453.0,4300,2002-05-20
76,1453.0,1453.0,1453.0,1453.0,3300,2002-05-21
77,1453.0,1453.0,1453.0,1453.0,2100,2002-05-22
78,1437.0,1437.0,1437.0,1437.0,1200,2002-05-23
79,1440.0,1440.0,1440.0,1440.0,900,2002-05-24
80,1453.0,1453.0,1453.0,1453.0,1500,2002-05-27
81,1443.0,1443.0,1443.0,1443.0,700,2002-05-28
82,1443.0,1443.0,1443.0,1443.0,13000,2002-05-29
83,1443.0,1443.0,1443.0,1443.0,6700,2002-05-30
84,1466.0,1466.0,1466.0,1466.0,800,2002-05-31
85,1466.0,1466.0,1466.0,1466.0,1900,2002-06-03
86,1453.0,1453.0,1453.0,1453.0,700,2002-06-04
87,1450.0,1450.0,1450.0,1450.0,2000,2002-06-05
88,1456.0,1456.0,1456.0,1456.0,900,2002-06-06
89,1456.0,1456.0,1456.0,1456.0,1600,2002-06-07
90,1479.0,1479.0,1479.0,1479.0,1800,2002-06-10
91,1479.0,1479.0,1479.0,1479.0,500,2002-06-11
92,1479.0,1479.0,1479.0,1479.0,600,2002-06-12
93,1472.0,1472.0,1472.0,1472.0,1000,2002-06-13
94,1443.0,1443.0,1443.0,1443.0,2600,2002-06-14
95,1440.0,1440.0,1440.0,1440.0,100,2002-06-17
96,1440.0,1440.0,1440.0,1440.0,500,2002-06-18
97,1414.0,1414.0,1414.0,1414.0,2200,2002-06-19
98,1387.0,1387.0,1387.0,1387.0,2300,2002-06-20
99,1414.0,1414.0,1414.0,1414.0,100,2002-06-21
100,1440.0,1440.0,1440.0,1440.0,300,2002-06-24
101,1466.0,1466.0,1466.0,1466.0,3600,2002-06-25
102,1443.0,1443.0,1443.0,1443.0,24300,2002-06-26
103,1443.0,1443.0,1443.0,1443.0,10100,2002-06-27
104,1443.0,1443.0,1443.0,1443.0,10000,2002-06-28
105,1443.0,1443.0,1443.0,1443.0,0,2002-07-01
106,1443.0,1443.0,1443.0,1443.0,0,2002-07-02
107,1443.0,1443.0,1443.0,1443.0,0,2002-07-03
108,1443.0,1443.0,1443.0,1443.0,100,2002-07-04
109,1433.0,1433.0,1433.0,1433.0,200,2002-07-05
110,1434.0,1434.0,1434.0,1434.0,0,2002-07-08
111,1407.0,1407.0,1407.0,1407.0,1900,2002-07-09
112,1407.0,1407.0,1407.0,1407.0,1700,2002-07-10
113,1387.0,1387.0,1387.0,1387.0,1500,2002-07-11
114,1387.0,1387.0,1387.0,1387.0,1300,2002-07-12
115,1387.0,1387.0,1387.0,1387.0,2200,2002-07-15
116,1393.0,1393.0,1393.0,1393.0,1600,2002-07-16
117,1393.0,1393.0,1393.0,1393.0,500,2002-07-17
118,1367.0,1367.0,1367.0,1367.0,700,2002-07-18
119,1367.0,1367.0,1367.0,1367.0,5000,2002-07-19
120,1380.0,1380.0,1380.0,1380.0,6000,2002-07-22
121,1407.0,1407.0,1407.0,1407.0,5600,2002-07-23
122,1414.0,1414.0,1414.0,1414.0,2100,2002-07-24
123,1387.0,1387.0,1387.0,1387.0,1800,2002-07-25
124,1407.0,1407.0,1407.0,1407.0,100,2002-07-26
125,1407.0,1407.0,1407.0,1407.0,4800,2002-07-29
126,1430.0,1430.0,1430.0,1430.0,4400,2002-07-30
127,1424.0,1424.0,1424.0,1424.0,10500,2002-07-31
128,1414.0,1414.0,1414.0,1414.0,9400,2002-08-01
129,1374.0,1374.0,1374.0,1374.0,6100,2002-08-02
130,1414.0,1414.0,1414.0,1414.0,2900,2002-08-05
131,1414.0,1414.0,1414.0,1414.0,3300,2002-08-06
132,1414.0,1414.0,1414.0,1414.0,5500,2002-08-07
133,1430.0,1430.0,1430.0,1430.0,5000,2002-08-08
134,1430.0,1430.0,1430.0,1430.0,5300,2002-08-09
135,1424.0,1424.0,1424.0,1424.0,1900,2002-08-12
136,1424.0,1424.0,1424.0,1424.0,2500,2002-08-13
137,1430.0,1430.0,1430.0,1430.0,16600,2002-08-14
138,1433.0,1433.0,1433.0,1433.0,2000,2002-08-15
139,1440.0,1440.0,1440.0,1440.0,5200,2002-08-16
140,1482.0,1482.0,1482.0,1482.0,3200,2002-08-19
141,1525.0,1525.0,1525.0,1525.0,12500,2002-08-20
142,1531.0,1531.0,1531.0,1531.0,6600,2002-08-21
143,1531.0,1531.0,1531.0,1531.0,6200,2002-08-22
144,1531.0,1531.0,1531.0,1531.0,3900,2002-08-23
145,1531.0,1531.0,1531.0,1531.0,4600,2002-08-26
146,1531.0,1531.0,1531.0,1531.0,10000,2002-08-27
147,1538.0,1538.0,1538.0,1538.0,6700,2002-08-28
