,Open,High,Low,Close,Volume,TradingDate
0,4180.0,4180.0,4180.0,4200.0,1500,2016-10-18
1,3583.0,3583.0,3583.0,3600.0,958,2016-10-19
2,3052.0,3052.0,3052.0,3100.0,312847,2016-10-20
3,2654.0,2986.0,2654.0,2700.0,367364,2016-10-21
4,2919.0,2919.0,2654.0,2700.0,44300,2016-10-24
5,2720.0,2786.0,2720.0,2700.0,46384,2016-10-25
6,2720.0,2786.0,2720.0,2700.0,63853,2016-10-26
7,2720.0,2720.0,2654.0,2700.0,27744,2016-10-27
8,2654.0,2853.0,2654.0,2800.0,95744,2016-10-28
9,2720.0,2786.0,2654.0,2700.0,65235,2016-10-31
10,2654.0,2720.0,2521.0,2600.0,51300,2016-11-01
11,2654.0,2919.0,2654.0,2900.0,231689,2016-11-02
12,3077.0,3077.0,2702.0,2800.0,13678,2016-11-03
13,2777.0,2777.0,2627.0,2800.0,12237,2016-11-04
14,2552.0,2627.0,2477.0,2500.0,30100,2016-11-07
15,2552.0,2627.0,2477.0,2500.0,28530,2016-11-08
16,2627.0,2627.0,2402.0,2400.0,77426,2016-11-09
17,2402.0,2552.0,2402.0,2500.0,48794,2016-11-10
18,2477.0,2552.0,2402.0,2500.0,41956,2016-11-11
19,2402.0,2477.0,2402.0,2400.0,75100,2016-11-14
20,2477.0,2477.0,2402.0,2400.0,46500,2016-11-15
21,2477.0,2477.0,2402.0,2500.0,62610,2016-11-16
22,2402.0,2477.0,2402.0,2400.0,61050,2016-11-17
23,2402.0,2627.0,2402.0,2500.0,80900,2016-11-18
24,2627.0,2627.0,2477.0,2500.0,43501,2016-11-21
25,2477.0,2552.0,2402.0,2400.0,5609,2016-11-22
26,2477.0,2552.0,2477.0,2500.0,34045,2016-11-23
27,2477.0,2552.0,2477.0,2500.0,28540,2016-11-24
28,2477.0,2477.0,2402.0,2500.0,48695,2016-11-25
29,2402.0,2477.0,2402.0,2400.0,63531,2016-11-28
30,2402.0,2477.0,2402.0,2400.0,14062,2016-11-29
31,2402.0,2552.0,2402.0,2500.0,40480,2016-11-30
32,2477.0,2627.0,2477.0,2500.0,95331,2016-12-01
33,2552.0,2552.0,2477.0,2500.0,124916,2016-12-02
34,2552.0,2552.0,2477.0,2500.0,29805,2016-12-05
35,2552.0,2627.0,2402.0,2500.0,163619,2016-12-06
36,2552.0,2552.0,2477.0,2500.0,76201,2016-12-07
37,2477.0,2552.0,2477.0,2500.0,68055,2016-12-08
38,2477.0,2477.0,2402.0,2500.0,16300,2016-12-09
39,2402.0,2477.0,2402.0,2400.0,7354,2016-12-12
40,2402.0,2402.0,2252.0,2300.0,100557,2016-12-13
41,2327.0,2402.0,2327.0,2300.0,79900,2016-12-14
42,2327.0,2402.0,2252.0,2300.0,158400,2016-12-15
43,2252.0,2327.0,2252.0,2300.0,7700,2016-12-16
44,2327.0,2402.0,2327.0,2300.0,76000,2016-12-19
45,2402.0,2402.0,2327.0,2300.0,5100,2016-12-20
46,2327.0,2402.0,2327.0,2300.0,56200,2016-12-21
47,2327.0,2477.0,2327.0,2400.0,233901,2016-12-22
48,2402.0,2402.0,2402.0,2400.0,22400,2016-12-23
49,2327.0,2402.0,2327.0,2300.0,70135,2016-12-26
50,2252.0,2327.0,2252.0,2300.0,20200,2016-12-27
51,2252.0,2402.0,2252.0,2300.0,45200,2016-12-28
52,2252.0,2402.0,2252.0,2300.0,43153,2016-12-29
53,2327.0,2402.0,2252.0,2400.0,40951,2016-12-30
54,2327.0,2402.0,2327.0,2300.0,28846,2017-01-03
55,2402.0,2402.0,2402.0,2400.0,11200,2017-01-04
56,2327.0,2402.0,2327.0,2300.0,36290,2017-01-05
57,2327.0,2327.0,2327.0,2300.0,48100,2017-01-06
58,2327.0,2477.0,2252.0,2300.0,230012,2017-01-09
59,2402.0,2402.0,2327.0,2400.0,4626,2017-01-10
60,2327.0,2402.0,2327.0,2300.0,33906,2017-01-11
61,2327.0,2402.0,2327.0,2300.0,22866,2017-01-12
62,2327.0,2402.0,2327.0,2300.0,2563,2017-01-13
63,2402.0,2402.0,2402.0,2400.0,101,2017-01-16
64,2327.0,2402.0,2252.0,2300.0,44331,2017-01-17
65,2252.0,2252.0,2252.0,2300.0,58200,2017-01-18
66,2327.0,2327.0,2252.0,2300.0,23000,2017-01-19
67,2327.0,2327.0,2252.0,2300.0,36000,2017-01-20
68,2252.0,2327.0,2252.0,2300.0,19600,2017-01-23
69,2327.0,2327.0,2327.0,2300.0,2400,2017-01-24
70,2327.0,2327.0,2252.0,2300.0,11900,2017-01-25
71,2252.0,2252.0,2252.0,2300.0,20410,2017-02-02
72,2252.0,2327.0,2252.0,2300.0,21610,2017-02-03
73,2252.0,2327.0,2252.0,2300.0,19716,2017-02-06
