,Open,High,Low,Close,Volume,TradingDate
0,2560.0,2560.0,2560.0,2560.0,40,2009-05-19
1,2687.0,2687.0,2687.0,2687.0,20,2009-05-20
2,2821.0,2821.0,2821.0,2821.0,10,2009-05-21
3,2956.0,2956.0,2956.0,2956.0,500,2009-05-22
4,3098.0,3098.0,3098.0,3098.0,10,2009-05-25
5,3248.0,3248.0,3248.0,3248.0,10,2009-05-26
6,3406.0,3406.0,3406.0,3406.0,16040,2009-05-27
7,3572.0,3572.0,3572.0,3572.0,21900,2009-05-28
8,3746.0,3746.0,3746.0,3746.0,25850,2009-05-29
9,3928.0,3928.0,3928.0,3928.0,61090,2009-06-01
10,4109.0,4109.0,4109.0,4109.0,16350,2009-06-02
11,4307.0,4307.0,4307.0,4307.0,41500,2009-06-03
12,4504.0,4504.0,4504.0,4504.0,161220,2009-06-04
13,4702.0,4702.0,4702.0,4702.0,500,2009-06-05
14,4900.0,4900.0,4900.0,4900.0,55600,2009-06-08
15,5137.0,5137.0,5137.0,5137.0,166030,2009-06-09
16,5374.0,5374.0,5374.0,5374.0,333800,2009-06-10
17,5611.0,5611.0,5571.0,5611.0,909580,2009-06-11
18,5887.0,5887.0,5887.0,5887.0,15670,2009-06-12
19,6164.0,6164.0,6085.0,6164.0,858330,2009-06-15
20,6006.0,6164.0,5887.0,5887.0,192300,2009-06-16
21,5611.0,5611.0,5611.0,5611.0,87640,2009-06-17
22,5848.0,5848.0,5334.0,5374.0,870410,2009-06-18
23,5452.0,5453.0,5137.0,5255.0,387420,2009-06-19
24,5018.0,5058.0,5018.0,5018.0,331730,2009-06-22
25,4781.0,4781.0,4781.0,4781.0,193580,2009-06-23
26,5018.0,5018.0,4979.0,5018.0,694930,2009-06-24
27,5176.0,5176.0,4781.0,4781.0,337330,2009-06-25
28,4742.0,4900.0,4583.0,4742.0,330390,2009-06-26
29,4820.0,4979.0,4781.0,4979.0,297910,2009-06-29
30,4978.0,4979.0,4742.0,4742.0,250170,2009-06-30
31,4504.0,4504.0,4504.0,4504.0,261330,2009-07-01
32,4425.0,4583.0,4307.0,4465.0,347590,2009-07-02
33,4307.0,4425.0,4267.0,4346.0,329670,2009-07-03
34,4544.0,4544.0,4425.0,4544.0,218360,2009-07-06
35,4504.0,4623.0,4425.0,4544.0,153750,2009-07-07
36,4742.0,4742.0,4544.0,4742.0,407630,2009-07-08
37,4899.0,4979.0,4821.0,4979.0,399850,2009-07-09
38,4978.0,4979.0,4742.0,4742.0,301710,2009-07-10
39,4741.0,4742.0,4504.0,4504.0,166480,2009-07-13
40,4504.0,4504.0,4346.0,4386.0,206630,2009-07-14
41,4425.0,4583.0,4386.0,4583.0,155010,2009-07-15
42,4781.0,4781.0,4662.0,4742.0,226180,2009-07-16
43,4623.0,4702.0,4544.0,4544.0,109340,2009-07-17
44,4425.0,4425.0,4346.0,4346.0,126180,2009-07-20
45,4346.0,4465.0,4267.0,4307.0,105350,2009-07-21
46,4346.0,4346.0,4228.0,4307.0,113980,2009-07-22
47,4228.0,4504.0,4188.0,4504.0,125780,2009-07-23
48,4702.0,4702.0,4702.0,4702.0,9480,2009-07-24
49,4900.0,4900.0,4900.0,4900.0,74270,2009-07-27
50,5136.0,5137.0,5058.0,5058.0,1179810,2009-07-28
51,5137.0,5255.0,5058.0,5137.0,357910,2009-07-29
52,4978.0,5097.0,4939.0,4979.0,153170,2009-07-30
53,5097.0,5216.0,5058.0,5216.0,211700,2009-07-31
54,5215.0,5374.0,5058.0,5216.0,218920,2009-08-03
55,5374.0,5413.0,5295.0,5374.0,279050,2009-08-04
56,5294.0,5413.0,5255.0,5334.0,250320,2009-08-05
57,5334.0,5413.0,5216.0,5216.0,266100,2009-08-06
58,5137.0,5255.0,5137.0,5137.0,155730,2009-08-07
59,5295.0,5374.0,5137.0,5295.0,181020,2009-08-10
60,5255.0,5334.0,5216.0,5255.0,91000,2009-08-11
61,5334.0,5374.0,5176.0,5176.0,164290,2009-08-12
62,5334.0,5334.0,5255.0,5255.0,175780,2009-08-13
63,5255.0,5295.0,5255.0,5255.0,168930,2009-08-14
64,5255.0,5255.0,5097.0,5097.0,98740,2009-08-17
65,5018.0,5097.0,4979.0,5058.0,183000,2009-08-18
66,5136.0,5176.0,5058.0,5137.0,153710,2009-08-19
67,5215.0,5216.0,5137.0,5176.0,106110,2009-08-20
68,5373.0,5413.0,5334.0,5413.0,812500,2009-08-21
69,5413.0,5571.0,5374.0,5492.0,212470,2009-08-24
70,5413.0,5492.0,5334.0,5374.0,166120,2009-08-25
71,5373.0,5413.0,5295.0,5295.0,137800,2009-08-26
72,5294.0,5295.0,5216.0,5255.0,222860,2009-08-27
73,5294.0,5334.0,5255.0,5295.0,213540,2009-08-28
74,5452.0,5532.0,5413.0,5532.0,588590,2009-08-31
75,5808.0,5808.0,5532.0,5808.0,553420,2009-09-01
76,5848.0,6085.0,5808.0,5927.0,761530,2009-09-03
77,5887.0,5966.0,5650.0,5650.0,396680,2009-09-04
78,5532.0,5611.0,5374.0,5492.0,377780,2009-09-07
79,5571.0,5729.0,5532.0,5729.0,459940,2009-09-08
80,5808.0,5808.0,5611.0,5690.0,245280,2009-09-09
81,5887.0,5887.0,5690.0,5887.0,506290,2009-09-10
82,6006.0,6045.0,5927.0,6045.0,530400,2009-09-11
83,6045.0,6164.0,6006.0,6164.0,344610,2009-09-14
84,6322.0,6362.0,6164.0,6362.0,556000,2009-09-15
85,6243.0,6520.0,6243.0,6243.0,394850,2009-09-16
86,6243.0,6283.0,6006.0,6124.0,504140,2009-09-17
87,6164.0,6164.0,6045.0,6164.0,955470,2009-09-18
88,6203.0,6283.0,6203.0,6203.0,354390,2009-09-21
89,6203.0,6480.0,6164.0,6441.0,698600,2009-09-22
90,6756.0,6757.0,6480.0,6520.0,790500,2009-09-23
91,6401.0,6520.0,6322.0,6401.0,336630,2009-09-24
92,6322.0,6480.0,6283.0,6480.0,369320,2009-09-25
93,6796.0,6796.0,6559.0,6757.0,747990,2009-09-28
94,6756.0,6757.0,6520.0,6559.0,512080,2009-09-29
95,6559.0,6559.0,6322.0,6322.0,429950,2009-09-30
96,6282.0,6322.0,6085.0,6085.0,498290,2009-10-01
97,5927.0,6045.0,5808.0,5927.0,673900,2009-10-02
98,6006.0,6045.0,5769.0,5887.0,267890,2009-10-05
99,5966.0,5966.0,5848.0,5848.0,248900,2009-10-06
100,6124.0,6124.0,5848.0,6124.0,294630,2009-10-07
101,6203.0,6401.0,6124.0,6401.0,482390,2009-10-08
102,6717.0,6717.0,6638.0,6717.0,838230,2009-10-09
103,6954.0,7033.0,6836.0,7033.0,747410,2009-10-12
104,6875.0,7112.0,6875.0,6875.0,535450,2009-10-13
105,7191.0,7191.0,6875.0,7191.0,590870,2009-10-14
106,7547.0,7547.0,7349.0,7468.0,1035510,2009-10-15
107,7349.0,7705.0,7310.0,7349.0,663940,2009-10-16
108,7270.0,7468.0,7191.0,7191.0,513640,2009-10-19
109,7349.0,7468.0,7231.0,7468.0,590390,2009-10-20
110,7468.0,7705.0,7349.0,7705.0,576960,2009-10-21
111,7981.0,8061.0,7823.0,8061.0,701510,2009-10-22
112,8218.0,8377.0,7744.0,7744.0,883900,2009-10-23
113,7823.0,7982.0,7428.0,7428.0,473420,2009-10-26
114,7389.0,7428.0,7073.0,7191.0,644670,2009-10-27
115,7468.0,7507.0,7270.0,7507.0,679060,2009-10-28
116,7191.0,7231.0,7152.0,7152.0,573040,2009-10-29
117,7468.0,7468.0,7152.0,7270.0,281550,2009-10-30
118,6915.0,6954.0,6915.0,6915.0,252890,2009-11-02
119,6914.0,6915.0,6599.0,6599.0,587690,2009-11-03
