,Open,High,Low,Close,Volume,TradingDate
0,4673.0,5442.0,4309.0,4714.0,29500,2010-12-27
1,4511.0,4511.0,4451.0,4471.0,7000,2010-12-28
2,4269.0,4269.0,4269.0,4269.0,500,2010-12-29
3,4269.0,4269.0,4269.0,4269.0,14900,2010-12-30
4,4309.0,4329.0,4269.0,4269.0,12500,2010-12-31
5,4309.0,4410.0,4289.0,4309.0,16000,2011-01-04
6,4552.0,4552.0,4552.0,4552.0,100,2011-01-05
7,4815.0,4815.0,4815.0,4815.0,1000,2011-01-06
8,4491.0,4491.0,4491.0,4491.0,1400,2011-01-07
9,4188.0,4491.0,4188.0,4289.0,11000,2011-01-10
10,4006.0,4006.0,4006.0,4006.0,100,2011-01-11
11,4269.0,4269.0,4269.0,4269.0,1400,2011-01-12
12,4552.0,4552.0,4552.0,4552.0,500,2011-01-13
13,4451.0,4714.0,4451.0,4592.0,16900,2011-01-14
14,4653.0,4896.0,4653.0,4774.0,49000,2011-01-17
15,4876.0,5098.0,4876.0,5058.0,54600,2011-01-18
16,5402.0,5402.0,5280.0,5381.0,57400,2011-01-19
17,5462.0,5462.0,5179.0,5381.0,20300,2011-01-20
18,5381.0,5402.0,5078.0,5300.0,28800,2011-01-21
19,5260.0,5260.0,5260.0,5260.0,5000,2011-01-24
20,4896.0,4896.0,4896.0,4896.0,5200,2011-01-25
21,5139.0,5139.0,5139.0,5139.0,100,2011-01-26
22,5240.0,5240.0,5240.0,5240.0,100,2011-01-27
23,5159.0,5159.0,4956.0,5159.0,12000,2011-01-28
24,5159.0,5159.0,5159.0,5159.0,0,2011-02-08
25,4815.0,4815.0,4815.0,4815.0,1000,2011-02-09
26,4835.0,4835.0,4835.0,4835.0,100,2011-02-10
27,4835.0,4835.0,4835.0,4835.0,0,2011-02-11
28,4754.0,4754.0,4653.0,4734.0,1700,2011-02-14
29,4552.0,4552.0,4552.0,4552.0,300,2011-02-15
30,4653.0,4653.0,4613.0,4633.0,1900,2011-02-16
31,4633.0,4633.0,4633.0,4633.0,0,2011-02-17
32,4633.0,4633.0,4633.0,4633.0,0,2011-02-18
33,4633.0,4633.0,4633.0,4633.0,0,2011-02-21
34,4815.0,4815.0,4552.0,4572.0,1100,2011-02-22
35,4572.0,4572.0,4572.0,4572.0,0,2011-02-23
36,4855.0,4855.0,4855.0,4855.0,100,2011-02-24
37,4855.0,4855.0,4855.0,4855.0,0,2011-02-25
38,4855.0,4855.0,4855.0,4855.0,0,2011-02-28
39,4855.0,4855.0,4855.0,4855.0,0,2011-03-01
40,4835.0,4835.0,4835.0,4835.0,5000,2011-03-02
41,4835.0,4835.0,4835.0,4835.0,0,2011-03-03
42,4835.0,4835.0,4835.0,4835.0,0,2011-03-04
43,4835.0,4835.0,4835.0,4835.0,0,2011-03-07
44,4511.0,4511.0,4511.0,4511.0,300,2011-03-08
45,4511.0,4511.0,4511.0,4511.0,0,2011-03-09
46,4511.0,4511.0,4511.0,4511.0,0,2011-03-10
47,4511.0,4511.0,4511.0,4511.0,0,2011-03-11
48,4511.0,4511.0,4511.0,4511.0,0,2011-03-14
49,4815.0,4815.0,4208.0,4269.0,1200,2011-03-15
50,4269.0,4269.0,4269.0,4269.0,0,2011-03-16
51,3985.0,3985.0,3985.0,3985.0,20000,2011-03-17
52,3985.0,3985.0,3985.0,3985.0,0,2011-03-18
53,3743.0,4208.0,3722.0,3743.0,8100,2011-03-21
54,3985.0,3985.0,3844.0,3925.0,2000,2011-03-22
55,3682.0,3682.0,3662.0,3662.0,5000,2011-03-23
56,3905.0,3905.0,3905.0,3905.0,100,2011-03-24
57,3662.0,3662.0,3662.0,3662.0,3500,2011-03-25
58,3864.0,3864.0,3419.0,3439.0,16300,2011-03-28
59,3257.0,3257.0,3257.0,3257.0,100,2011-03-29
60,3459.0,3480.0,3459.0,3480.0,2100,2011-03-30
61,3662.0,3662.0,3237.0,3601.0,700,2011-03-31
62,3783.0,3783.0,3358.0,3500.0,1500,2011-04-01
63,3682.0,3682.0,3682.0,3682.0,100,2011-04-04
64,3824.0,3824.0,3824.0,3824.0,300,2011-04-05
65,4046.0,4046.0,4046.0,4046.0,100,2011-04-06
66,4309.0,4309.0,4309.0,4309.0,100,2011-04-07
67,4309.0,4309.0,4309.0,4309.0,0,2011-04-08
68,4309.0,4309.0,4309.0,4309.0,0,2011-04-13
69,4309.0,4309.0,4309.0,4309.0,0,2011-04-14
70,4309.0,4309.0,4309.0,4309.0,0,2011-04-15
71,4309.0,4309.0,4309.0,4309.0,0,2011-04-18
72,4309.0,4309.0,4309.0,4309.0,0,2011-04-19
73,4309.0,4309.0,4309.0,4309.0,0,2011-04-20
74,4309.0,4309.0,4309.0,4309.0,0,2011-04-21
75,4572.0,4572.0,4572.0,4572.0,100,2011-04-22
76,4572.0,4572.0,4572.0,4572.0,0,2011-04-25
77,4269.0,4269.0,4269.0,4269.0,100,2011-04-26
78,4269.0,4269.0,4269.0,4269.0,0,2011-04-27
79,4269.0,4269.0,4269.0,4269.0,0,2011-04-28
80,4552.0,4552.0,4552.0,4552.0,100,2011-04-29
81,4248.0,4248.0,4248.0,4248.0,100,2011-05-04
82,4248.0,4248.0,4248.0,4248.0,0,2011-05-05
83,4248.0,4248.0,4248.0,4248.0,0,2011-05-06
84,3965.0,3965.0,3965.0,3965.0,100,2011-05-09
85,3702.0,3702.0,3702.0,3702.0,100,2011-05-10
