,Open,High,Low,Close,Volume,TradingDate
0,9776.0,9776.0,9776.0,9800.0,26500,2017-01-03
1,11210.0,11210.0,11210.0,11200.0,11410,2017-01-04
2,12796.0,12796.0,9674.0,12400.0,17470,2017-01-05
3,11158.0,11210.0,10595.0,10900.0,10100,2017-01-06
4,9316.0,9316.0,9316.0,9300.0,3000,2017-01-09
5,7934.0,8701.0,7934.0,8000.0,9200,2017-01-10
6,7934.0,7985.0,7473.0,7700.0,7700,2017-01-11
7,7729.0,7934.0,7729.0,7900.0,9700,2017-01-12
8,7934.0,7934.0,7934.0,7900.0,100,2017-01-13
9,7319.0,7319.0,7217.0,7300.0,6400,2017-01-16
10,7319.0,7319.0,7319.0,7300.0,10000,2017-01-17
11,7319.0,7319.0,7319.0,7300.0,0,2017-01-18
12,7319.0,7319.0,7319.0,7300.0,0,2017-01-19
13,7319.0,7319.0,7319.0,7300.0,0,2017-01-20
14,7166.0,7166.0,6961.0,7100.0,5100,2017-01-23
15,6961.0,6961.0,6961.0,7000.0,10,2017-01-24
16,7166.0,7166.0,7166.0,7200.0,900,2017-01-25
17,6961.0,7166.0,6961.0,7000.0,600,2017-02-02
18,7064.0,7166.0,7064.0,7100.0,1977,2017-02-03
19,7166.0,7166.0,7166.0,7200.0,2000,2017-02-06
20,7166.0,7166.0,7166.0,7200.0,4,2017-02-07
21,7166.0,7166.0,7166.0,7200.0,0,2017-02-08
22,7268.0,7422.0,7268.0,7400.0,2100,2017-02-09
23,7268.0,7268.0,7217.0,7300.0,2400,2017-02-10
24,7678.0,7678.0,7678.0,7700.0,300,2017-02-13
25,7678.0,7678.0,7678.0,7700.0,0,2017-02-14
26,7678.0,7678.0,7678.0,7700.0,1500,2017-02-15
27,7371.0,7371.0,7319.0,7300.0,4510,2017-02-16
28,7422.0,7422.0,7371.0,7400.0,2500,2017-02-17
29,7473.0,7473.0,7473.0,7500.0,5200,2017-02-20
30,7422.0,7678.0,7422.0,7700.0,5240,2017-02-21
31,7473.0,7473.0,7473.0,7500.0,200,2017-02-22
32,8190.0,8394.0,7473.0,8100.0,2360,2017-02-23
33,7473.0,7473.0,7473.0,7500.0,100,2017-02-24
34,7524.0,7524.0,7524.0,7500.0,3400,2017-02-27
35,7524.0,7678.0,7524.0,7600.0,3833,2017-02-28
36,7678.0,7678.0,7678.0,7700.0,200,2017-03-01
37,7678.0,7678.0,7678.0,7700.0,0,2017-03-02
38,7678.0,7678.0,7678.0,7700.0,0,2017-03-03
39,7575.0,7575.0,7575.0,7600.0,100,2017-03-06
40,7217.0,8190.0,7217.0,8200.0,5454,2017-03-07
41,7217.0,7883.0,7217.0,7500.0,260,2017-03-08
42,7550.0,7550.0,7550.0,7500.0,0,2017-03-09
43,7550.0,7550.0,7550.0,7500.0,0,2017-03-10
44,7550.0,7550.0,7550.0,7500.0,0,2017-03-13
45,7883.0,7883.0,7883.0,7900.0,240,2017-03-14
46,7627.0,7627.0,7627.0,7600.0,100,2017-03-15
47,6552.0,6552.0,6552.0,6600.0,114,2017-03-16
48,7524.0,7524.0,7524.0,7500.0,120,2017-03-17
49,8650.0,8650.0,6501.0,7600.0,205,2017-03-20
50,6961.0,6961.0,6961.0,7000.0,100,2017-03-21
51,6756.0,7985.0,6756.0,7700.0,1200,2017-03-22
52,6654.0,7268.0,6654.0,7000.0,200,2017-03-23
53,6705.0,7934.0,6705.0,7700.0,600,2017-03-24
54,6654.0,6654.0,6654.0,6700.0,110,2017-03-27
55,7627.0,7627.0,7627.0,7600.0,100,2017-03-28
56,8190.0,8190.0,8190.0,8200.0,1000,2017-03-29
57,7729.0,7934.0,7729.0,7900.0,4000,2017-03-30
58,9060.0,9060.0,9060.0,9100.0,186,2017-03-31
59,9162.0,9162.0,9009.0,9100.0,200,2017-04-03
60,9111.0,9085.0,9085.0,9100.0,0,2017-04-04
61,9085.0,9085.0,9085.0,9100.0,34,2017-04-05
62,8190.0,8190.0,8190.0,8200.0,1800,2017-04-07
63,8190.0,8190.0,8190.0,8200.0,0,2017-04-10
64,8190.0,8701.0,8190.0,8600.0,12256,2017-04-11
65,8599.0,8614.0,8614.0,8600.0,0,2017-04-12
66,8292.0,8292.0,8292.0,8300.0,100,2017-04-13
67,7729.0,7729.0,7729.0,7700.0,100,2017-04-14
68,6654.0,6654.0,6654.0,6700.0,100,2017-04-17
69,6654.0,6654.0,6654.0,6700.0,0,2017-04-18
70,6654.0,6654.0,6654.0,6700.0,0,2017-04-19
71,6654.0,6654.0,6654.0,6700.0,0,2017-04-20
72,6654.0,6654.0,6654.0,6700.0,20,2017-04-21
