,Open,High,Low,Close,Volume,TradingDate
0,14713.0,19843.0,14956.0,19520.0,37900,2007-12-11
1,19276.0,19001.0,18039.0,18544.0,13000,2007-12-12
2,17568.0,17395.0,16960.0,17129.0,9900,2007-12-13
3,15860.0,16655.0,15424.0,15665.0,8100,2007-12-14
4,17080.0,16580.0,14922.0,15372.0,5500,2007-12-17
5,14299.0,16669.0,14365.0,15860.0,3600,2007-12-18
6,16836.0,17324.0,16812.0,17080.0,4200,2007-12-19
7,16104.0,15832.0,15352.0,15616.0,1100,2007-12-20
8,15860.0,15592.0,15592.0,15616.0,800,2007-12-21
9,16104.0,16029.0,15543.0,15616.0,900,2007-12-24
10,15128.0,15128.0,15128.0,15128.0,500,2007-12-25
11,15860.0,16080.0,15836.0,15860.0,800,2007-12-26
12,15397.0,15470.0,15421.0,15445.0,2800,2007-12-27
13,15421.0,15357.0,14405.0,14762.0,3500,2007-12-28
14,14640.0,14689.0,14665.0,14665.0,700,2008-01-02
15,14640.0,14469.0,14227.0,14396.0,300,2008-01-03
16,14616.0,14444.0,14204.0,14396.0,2000,2008-01-04
17,13786.0,13786.0,13786.0,13786.0,300,2008-01-07
18,13176.0,13224.0,13055.0,13127.0,4000,2008-01-08
19,12444.0,12295.0,11741.0,12078.0,2300,2008-01-09
20,12200.0,12200.0,12200.0,12200.0,100,2008-01-10
21,12566.0,12467.0,12225.0,12322.0,1300,2008-01-11
22,11224.0,11200.0,11175.0,11200.0,700,2008-01-14
23,10102.0,10102.0,10102.0,10102.0,700,2008-01-15
24,10248.0,11201.0,10339.0,11102.0,1800,2008-01-16
25,11224.0,11419.0,11176.0,11224.0,3200,2008-01-17
26,11102.0,11347.0,11175.0,11273.0,300,2008-01-18
27,10492.0,10492.0,10492.0,10492.0,1000,2008-01-21
28,10248.0,10322.0,9585.0,10175.0,2700,2008-01-22
29,10004.0,10004.0,10004.0,10004.0,200,2008-01-23
30,10004.0,10322.0,9340.0,9516.0,1700,2008-01-24
31,9028.0,9364.0,8884.0,9028.0,1800,2008-01-25
32,10004.0,10004.0,10004.0,10004.0,100,2008-01-28
33,9272.0,9443.0,9321.0,9394.0,600,2008-01-29
34,9760.0,10322.0,9807.0,10273.0,8400,2008-01-30
35,10712.0,10637.0,10297.0,10370.0,1400,2008-01-31
36,10809.0,10980.0,10492.0,10809.0,2400,2008-02-01
37,11712.0,11209.0,9878.0,10321.0,300,2008-02-12
38,11224.0,11234.0,9900.0,10321.0,800,2008-02-13
39,10321.0,9900.0,9900.0,10321.0,0,2008-02-14
40,10151.0,10151.0,10126.0,10126.0,500,2008-02-15
41,9565.0,9638.0,9150.0,9565.0,1200,2008-02-18
42,9760.0,9588.0,9348.0,9516.0,500,2008-02-19
43,9028.0,8978.0,8736.0,8784.0,1100,2008-02-20
44,8174.0,8173.0,7906.0,7955.0,4200,2008-02-21
45,7979.0,9419.0,8604.0,8735.0,2500,2008-02-22
46,8540.0,9341.0,8701.0,8906.0,800,2008-02-25
47,8052.0,8590.0,8146.0,8491.0,500,2008-02-26
48,8491.0,8590.0,8590.0,8491.0,0,2008-02-27
49,8491.0,8590.0,8590.0,8491.0,0,2008-02-28
50,8052.0,7927.0,7639.0,7759.0,2200,2008-02-29
51,7101.0,7101.0,7101.0,7101.0,2300,2008-03-03
52,6393.0,6393.0,6393.0,6393.0,800,2008-03-04
53,7027.0,7027.0,7027.0,7027.0,100,2008-03-05
54,7711.0,7711.0,7711.0,7711.0,5000,2008-03-06
55,8321.0,8467.0,8321.0,8467.0,4100,2008-03-07
56,9297.0,8645.0,7828.0,8418.0,1900,2008-03-10
57,9760.0,9260.0,8565.0,9028.0,300,2008-03-11
58,8784.0,8784.0,8784.0,8784.0,200,2008-03-12
59,9223.0,8822.0,7702.0,8052.0,600,2008-03-13
60,7881.0,7831.0,7565.0,7637.0,2200,2008-03-14
61,6954.0,6954.0,6905.0,6930.0,700,2008-03-17
62,6344.0,6344.0,6271.0,6271.0,2800,2008-03-18
63,6881.0,6775.0,6175.0,6271.0,700,2008-03-19
64,6368.0,6666.0,5615.0,5734.0,1800,2008-03-20
65,5270.0,5319.0,5270.0,5295.0,6300,2008-03-21
66,4782.0,4782.0,4782.0,4782.0,800,2008-03-24
67,4368.0,4417.0,4368.0,4392.0,3800,2008-03-25
68,4026.0,4961.0,4176.0,4758.0,2900,2008-03-26
69,4660.0,4660.0,4660.0,4660.0,100,2008-03-27
70,4734.0,4734.0,4734.0,4734.0,4200,2008-03-28
71,4807.0,4807.0,4807.0,4807.0,8500,2008-03-31
72,4880.0,4880.0,4880.0,4880.0,100,2008-04-01
73,4978.0,4978.0,4978.0,4978.0,100,2008-04-02
74,5075.0,5075.0,5075.0,5075.0,200,2008-04-03
75,5173.0,5173.0,5173.0,5173.0,100,2008-04-04
76,5319.0,5319.0,5319.0,5319.0,1000,2008-04-07
77,5466.0,5392.0,5176.0,5368.0,18100,2008-04-08
78,5588.0,5537.0,5247.0,5295.0,2800,2008-04-09
79,5490.0,5414.0,5125.0,5197.0,7400,2008-04-10
80,5124.0,5567.0,5266.0,5417.0,13700,2008-04-11
81,5417.0,5417.0,5417.0,5417.0,500,2008-04-16
82,5563.0,5563.0,5563.0,5563.0,1500,2008-04-17
83,5710.0,5710.0,5661.0,5710.0,17200,2008-04-18
84,5880.0,5880.0,5880.0,5880.0,16500,2008-04-21
85,5710.0,5876.0,5545.0,5734.0,11100,2008-04-22
86,5466.0,5417.0,5369.0,5417.0,1100,2008-04-23
87,5319.0,5393.0,5344.0,5368.0,600,2008-04-24
88,5197.0,5566.0,5316.0,5441.0,200,2008-04-25
89,5173.0,5566.0,5268.0,5417.0,900,2008-04-28
90,5466.0,5293.0,5081.0,5246.0,2700,2008-04-29
91,5270.0,5270.0,5270.0,5270.0,300,2008-05-05
92,5270.0,5270.0,5270.0,5270.0,0,2008-05-06
93,5124.0,5124.0,5124.0,5124.0,100,2008-05-07
94,4978.0,4978.0,4978.0,4978.0,100,2008-05-08
95,4831.0,4831.0,4831.0,4831.0,100,2008-05-09
96,4709.0,4709.0,4709.0,4709.0,100,2008-05-12
97,4587.0,4587.0,4587.0,4587.0,300,2008-05-13
98,4465.0,4465.0,4465.0,4465.0,100,2008-05-14
99,4343.0,4343.0,4343.0,4343.0,100,2008-05-15
100,4221.0,4221.0,4221.0,4221.0,300,2008-05-16
101,4099.0,4099.0,4099.0,4099.0,600,2008-05-19
102,3977.0,3977.0,3977.0,3977.0,500,2008-05-20
103,3880.0,3880.0,3880.0,3880.0,2000,2008-05-21
104,3782.0,3782.0,3782.0,3782.0,100,2008-05-22
105,3684.0,3684.0,3684.0,3684.0,100,2008-05-23
106,3587.0,3587.0,3587.0,3587.0,100,2008-05-26
107,3489.0,3489.0,3489.0,3489.0,1900,2008-05-27
108,3489.0,3416.0,3344.0,3416.0,2300,2008-05-28
109,3416.0,3440.0,3416.0,3440.0,500,2008-05-29
110,3489.0,3390.0,3248.0,3343.0,1700,2008-05-30
111,3440.0,3440.0,3440.0,3440.0,500,2008-06-02
112,3343.0,3465.0,3367.0,3440.0,4300,2008-06-03
113,3416.0,3391.0,3294.0,3318.0,300,2008-06-04
114,3245.0,3245.0,3245.0,3245.0,100,2008-06-05
115,3172.0,3172.0,3172.0,3172.0,200,2008-06-06
116,3099.0,3099.0,3099.0,3099.0,100,2008-06-09
117,3026.0,3026.0,3026.0,3026.0,1400,2008-06-10
118,3099.0,3099.0,3099.0,3099.0,6200,2008-06-11
119,3172.0,3172.0,3172.0,3172.0,100,2008-06-12
120,3245.0,3245.0,3245.0,3245.0,100,2008-06-13
121,3318.0,3318.0,3318.0,3318.0,1000,2008-06-16
