,Open,High,Low,Close,Volume,TradingDate
0,9405.0,10521.0,9405.0,10521.0,213620,2016-07-11
1,11239.0,11239.0,11239.0,11239.0,43600,2016-07-12
2,11956.0,11956.0,11159.0,11956.0,90160,2016-07-13
3,11159.0,11159.0,11159.0,11159.0,41520,2016-07-14
4,10681.0,11159.0,10442.0,11159.0,56210,2016-07-15
5,11159.0,11557.0,10760.0,11557.0,86000,2016-07-18
6,11637.0,12036.0,11637.0,11956.0,135470,2016-07-19
7,12115.0,12115.0,11478.0,11797.0,50290,2016-07-20
8,12036.0,12275.0,11637.0,11797.0,40000,2016-07-21
9,11876.0,11876.0,11478.0,11478.0,89810,2016-07-22
10,11557.0,11956.0,11557.0,11876.0,77600,2016-07-25
11,11797.0,12195.0,11797.0,11956.0,66500,2016-07-26
12,12036.0,12115.0,11876.0,11956.0,107620,2016-07-27
13,11956.0,12115.0,11797.0,12036.0,111610,2016-07-28
14,12036.0,12115.0,11876.0,11956.0,126500,2016-07-29
15,12115.0,12275.0,11956.0,12036.0,188200,2016-08-01
16,11876.0,11876.0,11557.0,11637.0,137700,2016-08-02
17,11637.0,11717.0,11398.0,11557.0,189300,2016-08-03
18,11557.0,11797.0,11478.0,11557.0,149000,2016-08-04
19,11478.0,11637.0,11318.0,11318.0,213300,2016-08-05
20,11398.0,11398.0,11159.0,11398.0,187670,2016-08-08
21,11398.0,11398.0,11398.0,11398.0,27900,2016-08-09
22,11398.0,11398.0,11159.0,11398.0,145420,2016-08-10
23,11398.0,11398.0,11239.0,11318.0,102000,2016-08-11
24,11239.0,11637.0,11239.0,11398.0,145000,2016-08-12
25,11478.0,11637.0,11398.0,11637.0,145700,2016-08-15
26,11557.0,11717.0,11398.0,11717.0,131100,2016-08-16
27,11557.0,11956.0,11557.0,11956.0,161210,2016-08-17
28,11876.0,12115.0,11797.0,12036.0,164260,2016-08-18
29,11956.0,11956.0,11717.0,11876.0,140500,2016-08-19
30,11956.0,12036.0,11797.0,11876.0,152600,2016-08-22
31,11956.0,11956.0,11717.0,11717.0,142200,2016-08-23
32,11797.0,11956.0,11717.0,11717.0,183300,2016-08-24
33,11637.0,11876.0,11637.0,11637.0,172850,2016-08-25
34,11637.0,11797.0,11398.0,11398.0,154300,2016-08-26
35,11398.0,11717.0,11318.0,11557.0,156500,2016-08-29
36,11398.0,11557.0,11318.0,11318.0,150300,2016-08-30
37,11239.0,11557.0,11239.0,11398.0,162700,2016-08-31
38,11318.0,11876.0,11318.0,11717.0,181900,2016-09-01
39,11637.0,11876.0,11637.0,11876.0,184440,2016-09-05
40,11956.0,12115.0,11876.0,11956.0,175320,2016-09-06
41,11956.0,11956.0,11637.0,11797.0,161300,2016-09-07
42,11876.0,11876.0,11637.0,11637.0,193320,2016-09-08
43,11797.0,11797.0,11478.0,11557.0,185210,2016-09-09
44,11478.0,11797.0,11478.0,11717.0,161200,2016-09-12
45,11637.0,11717.0,11478.0,11557.0,188500,2016-09-13
46,11557.0,11836.0,11557.0,11797.0,175920,2016-09-14
47,11876.0,11876.0,11637.0,11637.0,183490,2016-09-15
48,11717.0,11956.0,11637.0,11717.0,162880,2016-09-16
49,11840.0,11924.0,11588.0,11588.0,192150,2016-09-19
50,11588.0,11756.0,11420.0,11462.0,197770,2016-09-20
51,11420.0,11840.0,11378.0,11798.0,180730,2016-09-21
52,11756.0,11924.0,11756.0,11756.0,208680,2016-09-22
53,11756.0,11924.0,11462.0,11924.0,253720,2016-09-23
54,11756.0,12386.0,11756.0,12176.0,455700,2016-09-26
55,12218.0,12218.0,11840.0,11840.0,386500,2016-09-27
56,11798.0,11798.0,11504.0,11630.0,363850,2016-09-28
57,11672.0,12428.0,11378.0,12428.0,541730,2016-09-29
58,12596.0,13268.0,12596.0,13268.0,399570,2016-09-30
59,13939.0,14023.0,13226.0,13645.0,553980,2016-10-03
60,13520.0,14569.0,13520.0,14569.0,403630,2016-10-04
61,14611.0,14989.0,13939.0,14191.0,464560,2016-10-05
62,14107.0,14905.0,14107.0,14359.0,456920,2016-10-06
63,14275.0,14275.0,13729.0,13855.0,360060,2016-10-07
64,13771.0,13771.0,13352.0,13603.0,244240,2016-10-10
65,13352.0,13520.0,13226.0,13352.0,193440,2016-10-11
66,13268.0,13520.0,13268.0,13436.0,270480,2016-10-12
67,13436.0,13603.0,13268.0,13603.0,220000,2016-10-13
68,13645.0,13771.0,13520.0,13771.0,242740,2016-10-14
69,13939.0,14107.0,13771.0,13771.0,225540,2016-10-17
70,13687.0,13687.0,13352.0,13352.0,266100,2016-10-18
71,13352.0,13352.0,13058.0,13352.0,216730,2016-10-19
72,13352.0,13729.0,13310.0,13729.0,327380,2016-10-20
73,13855.0,14191.0,13855.0,14191.0,265790,2016-10-21
74,14359.0,14611.0,13981.0,14611.0,381790,2016-10-24
75,14527.0,15619.0,14443.0,15619.0,578500,2016-10-25
76,16123.0,16543.0,15955.0,16501.0,726730,2016-10-26
77,16626.0,16668.0,15787.0,15787.0,381080,2016-10-27
78,15451.0,15535.0,15115.0,15115.0,421690,2016-10-28
79,14947.0,15031.0,14737.0,14863.0,220520,2016-10-31
80,14611.0,14737.0,14443.0,14695.0,171620,2016-11-01
81,14695.0,14695.0,14275.0,14275.0,217540,2016-11-02
82,14275.0,14359.0,14233.0,14317.0,146600,2016-11-03
83,14275.0,14317.0,14191.0,14275.0,94000,2016-11-04
84,14275.0,14443.0,14233.0,14401.0,75700,2016-11-07
85,14401.0,14737.0,14359.0,14695.0,152100,2016-11-08
86,14737.0,14779.0,14485.0,14527.0,175650,2016-11-09
87,14569.0,14779.0,14569.0,14695.0,157780,2016-11-10
88,14653.0,14863.0,14527.0,14569.0,145640,2016-11-11
89,14527.0,14695.0,14485.0,14653.0,117860,2016-11-14
90,14611.0,14779.0,14569.0,14569.0,137840,2016-11-15
